business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 47.6076059, 'lng': -122.3325935}, 'viewport': {'northeast': {'lat': 47.60892018029149, 'lng': -122.3312989197085}, 'southwest': {'lat': 47.60622221970849, 'lng': -122.3339968802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Kimpton Hotel Vintage Seattle,{'open_now': True},"[{'height': 3600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100868427468708353870"">Kimpton Hotel Vintage Seattle</a>'], 'photo_reference': 'AW30NDwVZ1XSATu1C5s4mzX1InNzKda9e2LY2jb4ynS7qJEOPR-kFWYKOPCAFN5Uch_IhYjkgKJyGj3_CHt-1lnbXK-XbUTQRlb1R5mT9k2mjQxkV_I-O_moT9QfOrkKMmbjz4InLsdfWu12G79NoukMSY_LjDPqxLLn_wb9nRbKFpdorhe_', 'width': 2328}]",ChIJJ6iYtLZqkFQRGEtPwzzHb48,"{'compound_code': 'JM58+2X Seattle, WA, USA', 'global_code': '84VVJM58+2X'}",4.0,4.3,ChIJJ6iYtLZqkFQRGEtPwzzHb48,GOOGLE,"['travel_agency', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",834.0,"1100 5th Avenue, Seattle",
OPERATIONAL,"{'location': {'lat': 47.6259415, 'lng': -122.3390615}, 'viewport': {'northeast': {'lat': 47.6272985802915, 'lng': -122.3375766697085}, 'southwest': {'lat': 47.6246006197085, 'lng': -122.3402746302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Buca di Beppo Italian Restaurant,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116856244241829718269"">C.C. McAll</a>'], 'photo_reference': 'AW30NDxUqBZm-4g0mCzY9y1VkMAhQG4nOJUEitW_NenUQ5T9NK6H_hiHuf8neYVYjHEk0SEqM-fDRLvg4qrz_oR3bGK4eV6COf6HTh53Tuw8J4Dbd4JvjHUA2DivMMrM80xR7Z7PWlOeZfsh9hvD6WY1PBxMFdIq_YJkeVrXiIJLtNqgXyKP', 'width': 3000}]",ChIJqcEWDzkVkFQRApc1W87ZbEE,"{'compound_code': 'JMG6+99 Seattle, WA, USA', 'global_code': '84VVJMG6+99'}",2.0,4.1,ChIJqcEWDzkVkFQRApc1W87ZbEE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2164.0,"701 Westlake Avenue North, Seattle",
OPERATIONAL,"{'location': {'lat': 47.6080322, 'lng': -122.338974}, 'viewport': {'northeast': {'lat': 47.6093245302915, 'lng': -122.3377444697085}, 'southwest': {'lat': 47.6066265697085, 'lng': -122.3404424302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Japonessa Sushi Cocina,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109505825473729085092"">Japonessa Sushi Cocina</a>'], 'photo_reference': 'AW30NDwWD0E-mXV97ogUMoTI4CSeuWy8lcBJEc0dhDeQvPUvQy-S5mB16MN5vfI5RaVzchAzGXDxuoHRfSPZHThAznTrl9xPLfaKFxOdZVA4on89YS77mWSxLKZQkP7o-Ipzl0909D2kanCxWe30d4Hr3-tMnKJGeZBfT3WB36tc4zb-5MQb', 'width': 3024}]",ChIJUwksT7JqkFQR3kjlZYrA0XY,"{'compound_code': 'JM56+6C Seattle, WA, USA', 'global_code': '84VVJM56+6C'}",2.0,4.5,ChIJUwksT7JqkFQR3kjlZYrA0XY,GOOGLE,"['meal_takeaway', 'bar', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",4280.0,"1400 1st Avenue, Seattle",
OPERATIONAL,"{'location': {'lat': 47.606075, 'lng': -122.3414167}, 'viewport': {'northeast': {'lat': 47.6074376302915, 'lng': -122.3396552697085}, 'southwest': {'lat': 47.6047396697085, 'lng': -122.3423532302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Crab Pot Seattle,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103996215214991337062"">CE Begay</a>'], 'photo_reference': 'AW30NDzS1lCRybsHsZW0SfjhyYUVyx0HSCsphRaxp29SVfViEsmlncQxHjdmcrqdSRz2uu8M5GzUughtf04hgfMv0Nq5X-T1eRff76MNXK6pYq1HdwJjrz-itFQ8arl19vdFkrV7b-Ujg3-RFGnMbJ92etoq2oaQRl9HpGZdonYui8hFLeGH', 'width': 4032}]",ChIJs-Di-61qkFQRca-vbJs-L2o,"{'compound_code': 'JM45+CC Seattle, WA, USA', 'global_code': '84VVJM45+CC'}",3.0,4.2,ChIJs-Di-61qkFQRca-vbJs-L2o,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",9246.0,"1301 Alaskan Way Pier 57, 1305 Alaskan Way, Seattle",
OPERATIONAL,"{'location': {'lat': 47.61388739999999, 'lng': -122.3341112}, 'viewport': {'northeast': {'lat': 47.6151657302915, 'lng': -122.3326062697085}, 'southwest': {'lat': 47.6124677697085, 'lng': -122.3353042302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tidal+,{'open_now': True},"[{'height': 365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110479722988618509703"">Urbane</a>'], 'photo_reference': 'AW30NDyeYuG2m-BTP_q3xtqgrIN1D74Z35kI_a2aA-N8rMZ-F6lKYNCDKOSXFNGUnJjJSPG4ZMFBdhWt5Nh3-pFfx4BNMAJAriYjxrkz0uany-IgdDNCh62evmk-vYSxRwRNtLcHgxewJXuA4H4XZABAC_ajiDk4GmR6qD5StAnbf-AElYd2', 'width': 500}]",ChIJu_VRNLVqkFQRR6qyyVqUSb8,"{'compound_code': 'JM78+H9 Seattle, WA, USA', 'global_code': '84VVJM78+H9'}",3.0,4.0,ChIJu_VRNLVqkFQRR6qyyVqUSb8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",677.0,"1639 8th Avenue, Seattle",
OPERATIONAL,"{'location': {'lat': 47.6079573, 'lng': -122.3352017}, 'viewport': {'northeast': {'lat': 47.6093654802915, 'lng': -122.3336360197085}, 'southwest': {'lat': 47.6066675197085, 'lng': -122.3363339802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Purple Cafe and Wine Bar,{'open_now': False},"[{'height': 1024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102182331274846345841"">Purple Cafe and Wine Bar</a>'], 'photo_reference': 'AW30NDxEteIJ5558VFNjf_AlpvvZp7kF_EfN49R85qwVNqEkGHP2fw5DMj-7pF0XYM0j0GJtaHLw_4If8S5jrpB5x-2MJLpKiyo02_5yCIzTIXr1iwiRx7SNnDwfRT4qE7m4rB2w318rJ63Zlec7VZ742gRbkA5whXwXYJHMXyNVxpmLtxLq', 'width': 682}]",ChIJC2j55LNqkFQRRqBoRA_a_3A,"{'compound_code': 'JM57+5W Seattle, WA, USA', 'global_code': '84VVJM57+5W'}",3.0,4.4,ChIJC2j55LNqkFQRRqBoRA_a_3A,GOOGLE,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2756.0,"1225 4th Avenue, Seattle",
OPERATIONAL,"{'location': {'lat': 47.60896579999999, 'lng': -122.3372014}, 'viewport': {'northeast': {'lat': 47.6103066302915, 'lng': -122.3358290697085}, 'southwest': {'lat': 47.6076086697085, 'lng': -122.3385270302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wild Ginger,{'open_now': False},"[{'height': 1164, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107045432723461463057"">Wild Ginger</a>'], 'photo_reference': 'AW30NDyOU4DPxOQf5CK_71Oyys_eRxAXijCtWidIkauEx90vD-2kH-lEKuolo-hUNfXncXHDZuK5nxSz_nECIjnANeTpQKETwUGmh3XhZ9Y95jK3rWgt-z-JUVxSYblwEhbwkSpIwSPV4lPuLEV3f3LNUxSO4xyEi_sqywLWD6k49xZgNIFO', 'width': 1500}]",ChIJHUQoo7NqkFQRj20DssNIn8c,"{'compound_code': 'JM57+H4 Seattle, WA, USA', 'global_code': '84VVJM57+H4'}",3.0,4.3,ChIJHUQoo7NqkFQRj20DssNIn8c,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1871.0,"1401 3rd Avenue, Seattle",
OPERATIONAL,"{'location': {'lat': 47.6118674, 'lng': -122.333289}, 'viewport': {'northeast': {'lat': 47.6131484302915, 'lng': -122.3320363697085}, 'southwest': {'lat': 47.6104504697085, 'lng': -122.3347343302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Cheesecake Factory,{'open_now': True},"[{'height': 1170, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116156281603795603748"">Gouri Phull</a>'], 'photo_reference': 'AW30NDx972GIaVfIqulo2t8tfjg6vhCgrkKvmJdNhAPqBdZGrpOYy5-SLYa6H1N0Gq7FO67NnTG7bcaKAA65iEnaElrV1zeEZ5Qa3EdGR3VvPN-yRTl7dacerTkK0izjIwiQV7gZUnzWA6ux8ZaJzB8xxfI11qIKIAZxoXqvegoaPeCBxyLM', 'width': 2208}]",ChIJKQ2BHbVqkFQRRnjiLmdeTDM,"{'compound_code': 'JM68+PM Seattle, WA, USA', 'global_code': '84VVJM68+PM'}",2.0,4.3,ChIJKQ2BHbVqkFQRRnjiLmdeTDM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",5090.0,"700 Pike Street, Seattle",
OPERATIONAL,"{'location': {'lat': 47.6044334, 'lng': -122.3341284}, 'viewport': {'northeast': {'lat': 47.6057237302915, 'lng': -122.3328966197085}, 'southwest': {'lat': 47.6030257697085, 'lng': -122.3355945802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Metropolitan Grill,{'open_now': False},"[{'height': 1220, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105849776590165710548"">REbranding 360</a>'], 'photo_reference': 'AW30NDz4HDtiw9EYjC8aeLC15evEVbE8g70iAdSZahS8wW412KHlA52LLGrzXCw0VwMwDRAy2gu8_5eb5UrSaEgmPPIWIDGw3ar3-R_pmZkbHxAIcg4oushWJPSZfLquHm9TvZ3_lcbFa5cHjJ01_-_cRcoSecUeEdLRcTftdaE3mRYdK8gY', 'width': 1800}]",ChIJPf-9ULBqkFQRSBVLYMR_ONQ,"{'compound_code': 'JM38+Q8 Seattle, WA, USA', 'global_code': '84VVJM38+Q8'}",4.0,4.7,ChIJPf-9ULBqkFQRSBVLYMR_ONQ,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3102.0,"820 2nd Avenue, Seattle",
OPERATIONAL,"{'location': {'lat': 47.6247613, 'lng': -122.3569487}, 'viewport': {'northeast': {'lat': 47.6260824802915, 'lng': -122.3554814697085}, 'southwest': {'lat': 47.6233845197085, 'lng': -122.3581794302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Toulouse Petit Kitchen & Lounge,{'open_now': True},"[{'height': 1214, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100169974813079077979"">Toulouse Petit Kitchen &amp; Lounge</a>'], 'photo_reference': 'AW30NDx_H0B-98U8leLJwM4QT12yJy0XiaDl-mQk40Njrrhptg9BL-tXyh1N82_hesQsRkI0CVblcYJqB84UAOCIEIi5KEISCmh2wXIkGrU3X2V1Yvg-9w7esrha_CAeJYDYmDMt2jyF-2nZeE6dg3UHXVq2sWJsgZNDqu7wT6IUZW0sMRlq', 'width': 2591}]",ChIJ_UHsyUMVkFQRucL7Hw-w7UE,"{'compound_code': 'JJFV+W6 Seattle, WA, USA', 'global_code': '84VVJJFV+W6'}",2.0,4.5,ChIJ_UHsyUMVkFQRucL7Hw-w7UE,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",4847.0,"601 Queen Anne Avenue North, Seattle",
