business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 34.27141949999999, 'lng': -118.7735977}, 'viewport': {'northeast': {'lat': 34.2728910302915, 'lng': -118.7722719197085}, 'southwest': {'lat': 34.2701930697085, 'lng': -118.7749698802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Hat,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101516746508969439641"">Phil Kreis</a>'], 'photo_reference': 'AW30NDzwsW5u-lXMmQg01eCJ8IXYfr9-3qgKhUfRKaCGBYB_s3wQtCFZBmxo6LokZp4KXuhJFcWPSjVfW6VAYPp0tUEt0OfM2ga1BsR83IKjkwyZjc19R2nFn-cz7AQgyKV9ttY1hnuxnkkR8cRb7ARs9QXI9MhDsNUT2ForSOVhliVEvfF0', 'width': 4032}]",ChIJ6du1H84u6IARtvvu8ffA5sQ,"{'compound_code': '76CG+HH Simi Valley, CA, USA', 'global_code': '856376CG+HH'}",1.0,4.6,ChIJ6du1H84u6IARtvvu8ffA5sQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1849.0,"1308 East Los Angeles Avenue, Simi Valley",
OPERATIONAL,"{'location': {'lat': 34.284326, 'lng': -118.7703046}, 'viewport': {'northeast': {'lat': 34.28553168029151, 'lng': -118.7690677697085}, 'southwest': {'lat': 34.28283371970851, 'lng': -118.7717657302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Larsen's Grill,{'open_now': True},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114103403566644005267"">Larsen&#39;s Grill</a>'], 'photo_reference': 'AW30NDxUuYJyi2anivbg2qcHVxmWvJS191Rwbm8BdDnuembbEj5sB-NMqWfCq3cp57hkoN7EszcUz254kLMquwav4lG8zR2hXCF8S8UmjbXAVoJcg7H8Nzaz_6PBF2iK9KRFjXxzgDtUFtUVB5tRU87_CoPH2wlZrZYPaX_qztgOn63qRQZt', 'width': 2048}]",ChIJdzggCbUu6IARS8fRAadrsQw,"{'compound_code': '76MH+PV Simi Valley, CA, USA', 'global_code': '856376MH+PV'}",3.0,4.3,ChIJdzggCbUu6IARS8fRAadrsQw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",430.0,"1555 Simi Town Center Way #565, Simi Valley",
OPERATIONAL,"{'location': {'lat': 34.2843064, 'lng': -118.7683079}, 'viewport': {'northeast': {'lat': 34.2855167802915, 'lng': -118.7669548197085}, 'southwest': {'lat': 34.2828188197085, 'lng': -118.7696527802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,California Pizza Kitchen at Simi Valley Town Center,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113507698330439869668"">Kim Ivey</a>'], 'photo_reference': 'AW30NDzQnuV15gUlbSN_sFQXaUOT0CIFeERfLYsjzTXOBexYk8napTKib3ay8Em_izdSuZP1Qw2QwQfmDA4eFR8m9eIPe8LUf4w7cLIhvvSMZFARFyiJ33a4cg0yyi2huG1ADdGSYcAohgGRq5XqEnoWPTc7uqaARlV12tLT6gtGGbqZQe4m', 'width': 5312}]",ChIJdzggCbUu6IARmR1uW7Kul3s,"{'compound_code': '76MJ+PM Simi Valley, CA, USA', 'global_code': '856376MJ+PM'}",2.0,4.2,ChIJdzggCbUu6IARmR1uW7Kul3s,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",492.0,"1555 Simi Town Center Dr, Center #790, Simi Valley",
OPERATIONAL,"{'location': {'lat': 34.2793912, 'lng': -118.7204305}, 'viewport': {'northeast': {'lat': 34.2808847302915, 'lng': -118.7189260697085}, 'southwest': {'lat': 34.2781867697085, 'lng': -118.7216240302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sutter's Mill Restaurant,{'open_now': False},"[{'height': 400, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104846885327149611853"">Sutter&#39;s Mill Restaurant</a>'], 'photo_reference': 'AW30NDzpVWNTDtGvyvprwLusZ01CxEl9KLIZARCAjLJ1fq3QQHw2M0GzY9mMeSaEwBK3IRXYO_4fcLx7LZQocoeccnFwPrjt885s_bHF9RELZryhzJhUMa_otx8XyQE8Hkz1xUUJ455zac5zw4tOFgIHZt-uzLhC5wcek32UNVJU74jWYKza', 'width': 600}]",ChIJn4e8Q6op6IARofi6kaIYzy0,"{'compound_code': '77HH+QR Simi Valley, CA, USA', 'global_code': '856377HH+QR'}",3.0,4.3,ChIJn4e8Q6op6IARofi6kaIYzy0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",436.0,"3885 Cochran Street A, Simi Valley",
OPERATIONAL,"{'location': {'lat': 34.2794151, 'lng': -118.7455323}, 'viewport': {'northeast': {'lat': 34.28065103029149, 'lng': -118.7440640697085}, 'southwest': {'lat': 34.2779530697085, 'lng': -118.7467620302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117702972539615511963"">Elizabeth V</a>'], 'photo_reference': 'AW30NDxkjZOSkLQG3nKUbKKyye8uWl8qLb5B_T6YyiowvbTdkeb2GTS7B4atxToKtpNOaOpH3sSQfp1tBDDJtxDNMY18eamMru_qPIH8BwBaMO45R7kc4wP02BZRemNc-Gk_6Sv3kKj3wQd96XQtL2raCL6F60bdh_bF4ItAY94E8W01cPqa', 'width': 3024}]",ChIJ8cRNxhkp6IAR9JFN1zqE3Po,"{'compound_code': '77H3+QQ Simi Valley, CA, USA', 'global_code': '856377H3+QQ'}",1.0,3.8,ChIJ8cRNxhkp6IAR9JFN1zqE3Po,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",85.0,"2689 Cochran Street, Simi Valley",
OPERATIONAL,"{'location': {'lat': 34.2895485, 'lng': -118.6958984}, 'viewport': {'northeast': {'lat': 34.2908704302915, 'lng': -118.6946885197085}, 'southwest': {'lat': 34.28817246970851, 'lng': -118.6973864802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/golf-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/golf_pinlet,Simi Hills Golf Course,{'open_now': False},"[{'height': 2142, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113985496263171393799"">Simi Hills Golf Course</a>'], 'photo_reference': 'AW30NDz8_ZHkLj8p8wGxiRE7bWAFlw2qEN6aQQGRchT5VDMjhUFNzSzbPOseGvlrLWKg5OB8g3mcSAoOBN9r4Y-iS3aLta-gt4cGlkx0lsOeECjc98necgizp5GfMztS6HCsNRnaOmnJWe2lk6wUfmuL992Eggs0mubU5h_qL8f0QBOs5Jcu', 'width': 2856}]",ChIJOdzx4sUp6IARONwMzbbEi7w,"{'compound_code': '78Q3+RJ Simi Valley, CA, USA', 'global_code': '856378Q3+RJ'}",,4.5,ChIJOdzx4sUp6IARONwMzbbEi7w,GOOGLE,"['health', 'restaurant', 'food', 'point_of_interest', 'establishment']",135.0,"5031 Alamo Street, Simi Valley",
OPERATIONAL,"{'location': {'lat': 34.27811429999999, 'lng': -118.7429123}, 'viewport': {'northeast': {'lat': 34.27953713029149, 'lng': -118.7415646697085}, 'southwest': {'lat': 34.2768391697085, 'lng': -118.7442626302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cronies Sports Grill,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110312244119305396297"">Ted Eckman</a>'], 'photo_reference': 'AW30NDw6jL7gQi7ZCj2-A7yIF0mBC9ZVeC5tgvIIO1HQGdEBw-SY-a9qN6O4OqZVvWTPuVr9vZw-3gY3jScVYHLVBWO1cbOtq70VDvzQWuPtdC-GeBArUkFY_ZLpHmOWmv97rf-hmJtOGA_ocEnIUbor-LfbE6DVCUJtwqX-lcUAVoTi84Vj', 'width': 4032}]",ChIJg7zWBhgp6IAR3syYsWK65pk,"{'compound_code': '77H4+6R Simi Valley, CA, USA', 'global_code': '856377H4+6R'}",2.0,4.4,ChIJg7zWBhgp6IAR3syYsWK65pk,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",300.0,"2752 Cochran Street, Simi Valley",
OPERATIONAL,"{'location': {'lat': 34.27262839999999, 'lng': -118.6920971}, 'viewport': {'northeast': {'lat': 34.27402388029149, 'lng': -118.6906709697085}, 'southwest': {'lat': 34.2713259197085, 'lng': -118.6933689302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chi-Chi's Pizza,{'open_now': True},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100072722088255073296"">Chi-Chi&#39;s Pizza</a>'], 'photo_reference': 'AW30NDxp8ukAneOlsToAgXTDgL4qH1xdQdWAdo4JWpuvTZdXk0FilAgj_h0biaUr0HFUv0vcovznU9YUR73Uy7NfdVskxT_zYtCBLZxHGyAXHUK-iKdYOAj7N-lu8Ev9pYym1bQlCSKZm4NufkJztDO3ReQjtq2rL0p02nvG_5T1Ud1gscvc', 'width': 2048}]",ChIJ4e20YTco6IARh3j9D0P1Cm0,"{'compound_code': '78F5+35 Simi Valley, CA, USA', 'global_code': '856378F5+35'}",2.0,4.6,ChIJ4e20YTco6IARh3j9D0P1Cm0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",582.0,"5145 East Los Angeles Avenue, Simi Valley",
OPERATIONAL,"{'location': {'lat': 34.27987289999999, 'lng': -118.6898651}, 'viewport': {'northeast': {'lat': 34.2811649302915, 'lng': -118.6885211197085}, 'southwest': {'lat': 34.2784669697085, 'lng': -118.6912190802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Harley's Valley Bowl,{'open_now': False},"[{'height': 2358, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110792952268645087310"">Harley&#39;s Valley Bowl</a>'], 'photo_reference': 'AW30NDydJqpiypCkEsns7o7Ipovjt8MUKseN9Xl-pAusKytUq_GLZWomNCUj7c1Ak1gUQ6E39NS3kf439J2vDNRrFmVkwacRHnCAF7umWp7m8WOh3D2UuvXV-4_sSkmwZZLr0iJBdJZXs-ppPbOPXQPfVnT4a9T5-S6NhMtZonm2lfETm2wx', 'width': 4192}]",ChIJXSuXeDQo6IARL-Kgd0NNxbg,"{'compound_code': '78H6+W3 Simi Valley, CA, USA', 'global_code': '856378H6+W3'}",,4.6,ChIJXSuXeDQo6IARL-Kgd0NNxbg,GOOGLE,"['bowling_alley', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",586.0,"5255 Cochran Street, Simi Valley",
OPERATIONAL,"{'location': {'lat': 34.27928440000001, 'lng': -118.7605047}, 'viewport': {'northeast': {'lat': 34.2806348802915, 'lng': -118.7592322697085}, 'southwest': {'lat': 34.2779369197085, 'lng': -118.7619302302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Toppers Pizza,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112341849488252443788"">Chuck Weissman</a>'], 'photo_reference': 'AW30NDwJx4hKOYGb3MeUcB6mmPFyui8mMSuYU6unUqvXAgpVp6fWkIBri6wMSaacT1ID6F1ccoOwPvsDvHle6eSCj3TAr5Y7ZGjO9PkGqGUOe1ZbsHXNaFNLOCiSn47ZjeXGnrq0ZyFO73A-T7rLxwndWaNjOpTyOMZD8ku74SURjzTsilGC', 'width': 4032}]",ChIJQxbDBzQp6IAR02zMJ3JuO7Q,"{'compound_code': '76HQ+PQ Simi Valley, CA, USA', 'global_code': '856376HQ+PQ'}",2.0,4.6,ChIJQxbDBzQp6IAR02zMJ3JuO7Q,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",1485.0,"2408 Erringer Road, Simi Valley",
