business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 43.52582700000001, 'lng': -96.77768209999999}, 'viewport': {'northeast': {'lat': 43.5270592802915, 'lng': -96.77639476970849}, 'southwest': {'lat': 43.5243613197085, 'lng': -96.7790927302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Century Stadium 14 and XD,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112116046111253464769"">Kira Swets</a>'], 'photo_reference': 'AW30NDzxTbH_oR2Ay6R1_svfSfHjHy89JHfcWTD1fwP3Vlc9zb46RMqX1ufhdKUHpE3SyorIrYqbmtnL7BY_rVgx4w2HO1nh3yUK9BOa1z3kKfz3M6nVYHscC94LXf49ZXicEqK6FtH30jGafBRpXVu7HugJ2eYnimNsiXWkZ7F16_lD3m6e', 'width': 1920}]",ChIJY_e2GDvKjocRU1Q4KkYfW54,"{'compound_code': 'G6GC+8W Sioux Falls, SD, USA', 'global_code': '86M5G6GC+8W'}",4.3,ChIJY_e2GDvKjocRU1Q4KkYfW54,GOOGLE,"['movie_theater', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2166.0,"2400 South Carolyn Avenue, Sioux Falls",,,
OPERATIONAL,"{'location': {'lat': 43.5296635, 'lng': -96.7505284}, 'viewport': {'northeast': {'lat': 43.5310036302915, 'lng': -96.7493057197085}, 'southwest': {'lat': 43.5283056697085, 'lng': -96.75200368029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Grille 26,"[{'height': 400, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109504037209158853349"">Grille 26</a>'], 'photo_reference': 'AW30NDwFpXHWwrFN2a_CxFaqTrpoLy0iB6Z6OqxOnnPiq6o6qeG2_rtulBQWwbkyX508pii80213Kj7QAFulpVzBp_wIMFPdz7CF-c6LzRjgPY2cxrQMR2u8OUtEfhSQQE-RW1NIigyj85xEt6ozkMn-zhWioZwvUjq-BqVA8tXiEwMTFFwm', 'width': 680}]",ChIJexTcJArKjocRTc3jofLMJeE,"{'compound_code': 'G6HX+VQ Sioux Falls, SD, USA', 'global_code': '86M5G6HX+VQ'}",4.6,ChIJexTcJArKjocRTc3jofLMJeE,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1197.0,"1716 South Western Avenue, Sioux Falls",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 43.5445139, 'lng': -96.72704019999999}, 'viewport': {'northeast': {'lat': 43.5458768802915, 'lng': -96.72557881970849}, 'southwest': {'lat': 43.5431789197085, 'lng': -96.7282767802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Minervas Restaurant - Sioux Falls,"[{'height': 2016, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117708750729085612971"">Minervas Restaurant - Sioux Falls</a>'], 'photo_reference': 'AW30NDyfUa8SNeKtWJgSLmcjS3v6N7N6Rm4ui3CEYUf3owo5eCEvVHN9wwY7Uo17gSG39uKd3fYWSCBzuICXpN1sj0qYwmU2Ire3ejYfX7tY0ZJzm9Cd0IJ8PxoMjjj9DJGwWV06rfLT4_18kQXnQh2b4dxcaVIqGEP0GQfmPnodbotEji4w', 'width': 1512}]",ChIJy68tRr21jocRC2kiSnalO3Y,"{'compound_code': 'G7VF+R5 Sioux Falls, SD, USA', 'global_code': '86M5G7VF+R5'}",4.6,ChIJy68tRr21jocRC2kiSnalO3Y,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1637.0,"301 South Phillips Avenue, Sioux Falls",{'open_now': True},3.0,
OPERATIONAL,"{'location': {'lat': 43.51519139999999, 'lng': -96.73183949999999}, 'viewport': {'northeast': {'lat': 43.5165399302915, 'lng': -96.7305914197085}, 'southwest': {'lat': 43.5138419697085, 'lng': -96.73328938029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108871137635875958863"">Your Seasoned Agent</a>'], 'photo_reference': 'AW30NDzpc7O78GEw37naiNPyc9duMqXYifi_EfhmXX43lCSCqZYBR4RUjH4QR9Fu1puIRSbKUr4v7oYk8MZ9rQ9h5zkbmiBuoGxo_SvZtiZOSThU5FETNEdpvbpPZ5HmQZkvuKWuikyzBsc8S_WFvQGWqSw_1HbGbq7kXqRsrqQdE5fGt8di', 'width': 4000}]",ChIJ7-JjQgq2jocRsMqXrGnSa9w,"{'compound_code': 'G789+37 Sioux Falls, SD, USA', 'global_code': '86M5G789+37'}",4.0,ChIJ7-JjQgq2jocRsMqXrGnSa9w,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",492.0,"3221 South Minnesota Avenue, Sioux Falls",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 43.54705420000001, 'lng': -96.7121777}, 'viewport': {'northeast': {'lat': 43.54820903029151, 'lng': -96.71082711970848}, 'southwest': {'lat': 43.54551106970851, 'lng': -96.71352508029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,"[{'height': 766, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112934515972021639947"">Subway</a>'], 'photo_reference': 'AW30NDzr83YVyA4U38AiWvBf8qyNUiejq5bc6gFhx0GQMwUQRPxJ7V7YyHWIWc6ai0N30_2b8zovFKh5my3ghgDY96S60w24AHwTYZxA5V-9u-H-bKCM-IM7pPj4tK7vVhEUX0UoOIR10OPXr_rhX9Nr0Ol7e6JBzHR04eTq4qv_Yd3rAFcd', 'width': 766}]",ChIJz9CcCK61jocR61OnygNK-xU,"{'compound_code': 'G7WQ+R4 Sioux Falls, SD, USA', 'global_code': '86M5G7WQ+R4'}",4.2,ChIJz9CcCK61jocR61OnygNK-xU,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",201.0,"1116 East 10th Street, Sioux Falls",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 43.5139912, 'lng': -96.7606134}, 'viewport': {'northeast': {'lat': 43.5154045302915, 'lng': -96.75925596970849}, 'southwest': {'lat': 43.51270656970851, 'lng': -96.76195393029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106313409767590796539"">Travis Ball</a>'], 'photo_reference': 'AW30NDxsTp6SZKCdbRmfDnMfP14Kvsr1b9JnHu4SoXUY6PIlg0Tbqe3zkYqdR94U3m83JxG0KmH85mYMJFr7hBlKehjqTiuPwZKbWHeOyQ5bhufn9kXbrovmfeUYerfOg4MbOZytgcwbuziW5xL78yNzpUNdhCyc98W8nHXPMDNDnIBT4Mdm', 'width': 4160}]",ChIJNSHpix3KjocRr9V0muVamz4,"{'compound_code': 'G67Q+HQ Sioux Falls, SD, USA', 'global_code': '86M5G67Q+HQ'}",4.1,ChIJNSHpix3KjocRr9V0muVamz4,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",170.0,"2815 West 41st Street, Sioux Falls",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 43.5442079, 'lng': -96.7626564}, 'viewport': {'northeast': {'lat': 43.54555148029149, 'lng': -96.76119041970848}, 'southwest': {'lat': 43.5428535197085, 'lng': -96.76388838029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116545026374148397522"">Santanna Mosbrucker</a>'], 'photo_reference': 'AW30NDylLwACrd7W7LLcFOrgaiSyTKyO27FiMEjFc2O9Tlqdah-bQDIK76Wz_1QM3ltMis4vR9dAddXe0_88twpQKNFYJbuwdRz-hVXq48106iXIxmmr3cp_iUt7hZsV5n6r1IaN541j1DroU4UvN4Qe5VWsZ668MWJjjF_ne-yJRqmp52Vc', 'width': 3024}]",ChIJT8ZSaGXKjocRQGHqeVEk66A,"{'compound_code': 'G6VP+MW Sioux Falls, SD, USA', 'global_code': '86M5G6VP+MW'}",4.1,ChIJT8ZSaGXKjocRQGHqeVEk66A,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",298.0,"2720 West 12th Street, Sioux Falls",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 43.545557, 'lng': -96.72813}, 'viewport': {'northeast': {'lat': 43.5470700302915, 'lng': -96.7267150197085}, 'southwest': {'lat': 43.5443720697085, 'lng': -96.72941298029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Parker's Bistro,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103922617217014518735"">Dessie Hristov</a>'], 'photo_reference': 'AW30NDy2IXwWqg-Nh6nQjTE1iorDGn53JhQdDragnuzjiNHnPa0VkF8GsFMbRyZWlGY_CFHLxsPhgxr_jHdMHQAYe-gSXkUXZTNNT53gVGTARh4mKw6V_6RcNnLV3qEHWw1JbFD_YxqBUkVvPZg0H1-HAGakB1Q5VDXGGbWZl2R1-IhmcYG7', 'width': 2268}]",ChIJy2lOAZi1jocRcg79ymiVsLY,"{'compound_code': 'G7WC+6P Sioux Falls, SD, USA', 'global_code': '86M5G7WC+6P'}",4.6,ChIJy2lOAZi1jocRcg79ymiVsLY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",290.0,"210 South Main Avenue, Sioux Falls",{'open_now': False},2.0,
OPERATIONAL,"{'location': {'lat': 43.5202113, 'lng': -96.7308589}, 'viewport': {'northeast': {'lat': 43.5217604302915, 'lng': -96.72960351970848}, 'southwest': {'lat': 43.5190624697085, 'lng': -96.7323014802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Famous Dave's Bar-B-Que,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114469924860824231901"">Adam Sieff</a>'], 'photo_reference': 'AW30NDxugnxfu21hrOxrTtvSMP8uLiIKrahPfepBjnrCrhf3fNVVqwlyZcz2hJpOKOibGxlC6wrjecCwSwtzvftmXW-Slx1vY8H7DsdrRQ2jNExgSQPTDWalZ76o5Zt7ABF7M9QsTLHpO6v2Fx2TLdqpgFbEih3cnsfqN1A5z0FdXEz4_3g9', 'width': 4000}]",ChIJvetAI-G1jocR0WDfR0amlE4,"{'compound_code': 'G7C9+3M Sioux Falls, SD, USA', 'global_code': '86M5G7C9+3M'}",4.4,ChIJvetAI-G1jocR0WDfR0amlE4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1716.0,"2700 South Minnesota Avenue, Sioux Falls",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 43.51626599999999, 'lng': -96.7728934}, 'viewport': {'northeast': {'lat': 43.5176398302915, 'lng': -96.77142406970849}, 'southwest': {'lat': 43.5149418697085, 'lng': -96.7741220302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100036548436630817284"">Adnan Akram</a>'], 'photo_reference': 'AW30NDz1OMiHa8E4LVhCii70Z-3dFnw8iOMWjz4irbhg5dm6co5xDMMmjfdoRRvvSreBuRD0tpiBKoU5whVdvtYjv3KlALAutKfTbGIZAbBKUXnAg1KFaiRKFYTHeNk4_rapj9twZ40NJTIKk2L9IDeyau1mPT0xUT_G-Gu1wTVRNkIXHi0W', 'width': 4032}]",ChIJLbuwLSDKjocRtGHwkOthQJo,"{'compound_code': 'G68G+GR Sioux Falls, SD, USA', 'global_code': '86M5G68G+GR'}",3.0,ChIJLbuwLSDKjocRtGHwkOthQJo,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",41.0,"3209 South Louise Avenue, Sioux Falls",{'open_now': True},1.0,
