business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 41.6756565, 'lng': -86.25785929999999}, 'viewport': {'northeast': {'lat': 41.67703453029149, 'lng': -86.2565965197085}, 'southwest': {'lat': 41.67433656970849, 'lng': -86.2592944802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tippecanoe Place Restaurant,{'open_now': False},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116713024603755737022"">Tippecanoe Place Restaurant</a>'], 'photo_reference': 'AW30NDyxWeMGoekk8ikbmyO2sETMZkUdQ1-8qCvg8gq3mV4lji28XibCjSlE9tcW8etT21yCT9vHk5-_XYQvCggqLB3Xt4ac9eDm6ZThHHeFFAaL64YbqpZBCzJENMTZQsG-U8tfGdHI0cHONLFeQzkBxmZUzk7OyZcph87SUoKmY49JAuHZ', 'width': 1620}]",ChIJrS5SE8syEYgRwlTeJ7Zpln8,"{'compound_code': 'MPGR+7V South Bend, IN, USA', 'global_code': '86HMMPGR+7V'}",3.0,4.3,ChIJrS5SE8syEYgRwlTeJ7Zpln8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",839.0,"620 West Washington Street, South Bend",
OPERATIONAL,"{'location': {'lat': 41.67784699999999, 'lng': -86.251334}, 'viewport': {'northeast': {'lat': 41.6791352302915, 'lng': -86.24998421970848}, 'southwest': {'lat': 41.6764372697085, 'lng': -86.2526821802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,LaSalle Grill,{'open_now': False},"[{'height': 700, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111829230896240239554"">LaSalle Grill</a>'], 'photo_reference': 'AW30NDycLTNx9-GYj0j6YmahqoMqJEvqqgk12gHoxCjGzTUlp3Rihww_vEirJzCzbnOeuf9iW-2xTw7lnr0wldCSRNXV6O7Qq4wc_F1DEtbjiB0MAa8E54ajRsqSZDRowrqTj2c98ZzbSpCfpksooSOdlDV8Sr44agGkb-a3MusjC99NJdO5', 'width': 1242}]",ChIJZwDb0TXNFogR0-QxqI_kfXE,"{'compound_code': 'MPHX+4F South Bend, IN, USA', 'global_code': '86HMMPHX+4F'}",3.0,4.5,ChIJZwDb0TXNFogR0-QxqI_kfXE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",548.0,"115 West Colfax Avenue, South Bend",
OPERATIONAL,"{'location': {'lat': 41.6968031, 'lng': -86.1942069}, 'viewport': {'northeast': {'lat': 41.69801158029149, 'lng': -86.1928611197085}, 'southwest': {'lat': 41.6953136197085, 'lng': -86.1955590802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Cinemark Movies 14,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108696275440843297267"">Colleen Mc.</a>'], 'photo_reference': 'AW30NDz_O0sPxlqoyFcdinV7FVo4PcpAREnfz7vLeTXnc7u5-ocVPGANY7x9NUte7VUEv8x1ce84d5uz7vsQlTG4cuTGG1oJICM1u6MxpTgqa5fpmuDdG_qx1NjtcztmmvLKdPpbFrk8SYS5YO6ceE9mTe6CvnVXJhdiZvYgkUWHzmy-TFbz', 'width': 4032}]",ChIJY-6l0fTNFogRpPOvS8pZmJM,"{'compound_code': 'MRW4+P8 Mishawaka, IN, USA', 'global_code': '86HMMRW4+P8'}",,4.6,ChIJY-6l0fTNFogRpPOvS8pZmJM,GOOGLE,"['movie_theater', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",3935.0,"910 West Edison Road, Mishawaka",
OPERATIONAL,"{'location': {'lat': 41.683188, 'lng': -86.241643}, 'viewport': {'northeast': {'lat': 41.6845290302915, 'lng': -86.24021541970849}, 'southwest': {'lat': 41.6818310697085, 'lng': -86.2429133802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Rocco's Restaurant,{'open_now': False},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115604618057494819367"">Juan Cepeda</a>'], 'photo_reference': 'AW30NDyki5aY4AHytq82KM5GbiqEhAOfMp-tvIoAkt34xRDn1MoQcBjv2pFoAIVifNvr_FqUDjJFOx-kOFsZ4WfZI4aYymmM-jdTayhplniSSDphaodD6zgQB3P-gzLU3UuCBrcnaCaGwZTxBqE0MCxvzhSXpvUqDew6qdUspwW31RwG-Sk6', 'width': 1920}]",ChIJ6QDzy0bNFogR0jP2WqMdc_0,"{'compound_code': 'MQM5+78 South Bend, IN, USA', 'global_code': '86HMMQM5+78'}",2.0,4.7,ChIJ6QDzy0bNFogR0jP2WqMdc_0,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",706.0,"537 North Saint Louis Boulevard, South Bend",
OPERATIONAL,"{'location': {'lat': 41.6753431, 'lng': -86.2409337}, 'viewport': {'northeast': {'lat': 41.6767545302915, 'lng': -86.2397816197085}, 'southwest': {'lat': 41.6740565697085, 'lng': -86.2424795802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Barnaby's South Bend,{'open_now': False},"[{'height': 412, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113823757377725597896"">Orion Ali</a>'], 'photo_reference': 'AW30NDxrlnLrN2M7nPrSAKfjiSG_AfPiQKSYZqRJ8Um6C6TJKVF8DMwDPKVsmLNrAKDkkw7cMvUTjz9m-QKSE6BBGU_OaREbVpSKS3cFKWIkE5hUYX5VU7q8LTfJjhEP3bzDyRb_d5p__lY3ZOIbapn3Hb13lVkI7oVgV3GOK9d-2KSAOLpv', 'width': 550}]",ChIJ42mcsj7NFogR2s--EukQxL8,"{'compound_code': 'MQG5+4J South Bend, IN, USA', 'global_code': '86HMMQG5+4J'}",2.0,4.5,ChIJ42mcsj7NFogR2s--EukQxL8,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2037.0,"713 East Jefferson Boulevard, South Bend",
OPERATIONAL,"{'location': {'lat': 41.6916504, 'lng': -86.2277994}, 'viewport': {'northeast': {'lat': 41.6928328302915, 'lng': -86.22675526970849}, 'southwest': {'lat': 41.6901348697085, 'lng': -86.2294532302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Parisi's Ristorante Italiano,{'open_now': False},"[{'height': 899, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107399120430006502132"">Parisi&#39;s Ristorante Italiano</a>'], 'photo_reference': 'AW30NDyjWZRWOrpalKC1EjIockA-qqPTI5ADA5yOApyJfoDPR7MLise6rHnk4jZ6EMFS-7sZJE5LOtoI4jWbqFV0YMTHfb15YSHC61cCNcK8Uzr75rk5Qwsu8FdZJpmfJZyrNjE4ao1qKi6-yRevMqWOMqaTESuIIdClIQ8ZPLLYqH5dGk5y', 'width': 1599}]",ChIJJa5b42TNFogRpbHVbgZPX0A,"{'compound_code': 'MQRC+MV South Bend, IN, USA', 'global_code': '86HMMQRC+MV'}",3.0,4.3,ChIJJa5b42TNFogRpbHVbgZPX0A,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",372.0,"1412 South Bend Avenue, South Bend",
OPERATIONAL,"{'location': {'lat': 41.6765593, 'lng': -86.2510776}, 'viewport': {'northeast': {'lat': 41.6778756302915, 'lng': -86.2498010697085}, 'southwest': {'lat': 41.6751776697085, 'lng': -86.25249903029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114199280643768211256"">Jason Gordon</a>'], 'photo_reference': 'AW30NDyToRwofM9EGXN5Oh19gCVCG3C9l7gfL5EIf_3vx_YSYgw2zQuxgNqhJ_bKK0PMPu63AD9FsP6JUNhjB04o44B-AC5ztIhPXYKJPfscqKJELoblcYJ6YUjR9AgtroEt12VIih7vE0q57O06QhdqWJiCtc3eqnu50duhjL_4pWPER_6Y', 'width': 1920}]",ChIJceWcmzbNFogR0J34xE5rz-c,"{'compound_code': 'MPGX+JH South Bend, IN, USA', 'global_code': '86HMMPGX+JH'}",1.0,4.1,ChIJceWcmzbNFogR0J34xE5rz-c,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",99.0,"115 West Washington Street, South Bend",
OPERATIONAL,"{'location': {'lat': 41.676619, 'lng': -86.250626}, 'viewport': {'northeast': {'lat': 41.6779616802915, 'lng': -86.24914491970848}, 'southwest': {'lat': 41.67526371970851, 'lng': -86.25184288029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cafe Navarre,{'open_now': True},"[{'height': 3744, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115617217401948535800"">Cafe Navarre</a>'], 'photo_reference': 'AW30NDynWStL5h8AYzXaJIF1wevSrsMzMIp9Z0vpQZqKhc-WjFC3BVckL0em6K2bhXJF0UJzP_Y04JOHWq4qHj9TrLrzEpeLuleKdGNmdrItLtD7hklygWFYWH7beXuZYS804-17G3ijJOOxBE_t1UuJbCTVi_-OLpZcReJIFkCZ3UFHOc89', 'width': 5616}]",ChIJFePQkTbNFogRUDq4md9-EgU,"{'compound_code': 'MPGX+JP South Bend, IN, USA', 'global_code': '86HMMPGX+JP'}",3.0,4.6,ChIJFePQkTbNFogRUDq4md9-EgU,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",783.0,"101 North Michigan Street, South Bend",
CLOSED_TEMPORARILY,"{'location': {'lat': 41.6962493, 'lng': -86.2710851}, 'viewport': {'northeast': {'lat': 41.69762233029149, 'lng': -86.26960771970849}, 'southwest': {'lat': 41.6949243697085, 'lng': -86.2723056802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116995850934558759599"">Subway</a>'], 'photo_reference': 'AW30NDw6n9zfHhE3nTtpxjtIliKMKxSnwz8aMrM5VjuQYNnlqidCuySlBoi4mYnvviYtr51NMf3L_NVrgMrp600BQAzCMixmlMXwHb2N167VOmF7W-6O7f8UadG5Y1tfptWaVf8LJih4f1iKlrQDkYgSAcB6VKLpeD8uYelSzHdH1DuvFf5a', 'width': 1763}]",ChIJd9IYlqYyEYgROigwMZBDGeM,"{'compound_code': 'MPWH+FH South Bend, IN, USA', 'global_code': '86HMMPWH+FH'}",1.0,4.2,ChIJd9IYlqYyEYgROigwMZBDGeM,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",169.0,"1615 Portage Avenue, South Bend",True
OPERATIONAL,"{'location': {'lat': 41.6292487, 'lng': -86.2495466}, 'viewport': {'northeast': {'lat': 41.6305975302915, 'lng': -86.24823976970849}, 'southwest': {'lat': 41.6278995697085, 'lng': -86.25093773029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1860, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115013719885742714075"">Nathan Weaver</a>'], 'photo_reference': 'AW30NDzohJ3KZV5b9rzX35Y62IxyveBBORKpbFjCwRKlEew6Z26qxc5V2X_z0QyPk3_-aUVxM60lprC_p0fCOZJzL8fOoafxz2x2MkBZjIJ9H_Xgj_BKw_p5XXoYB8QTNErmnpVlj79PFcGXjGn-PW9zLNURVlXgTC3cT1TB7phZDJb9GJjS', 'width': 1925}]",ChIJi4LsOq7MFogRNIeU-vKDiV8,"{'compound_code': 'JQH2+M5 South Bend, IN, USA', 'global_code': '86HMJQH2+M5'}",1.0,3.7,ChIJi4LsOq7MFogRNIeU-vKDiV8,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",181.0,"135 East Ireland Road, South Bend",
