business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 39.534334, 'lng': -119.7336252}, 'viewport': {'northeast': {'lat': 39.5357703802915, 'lng': -119.7323447197085}, 'southwest': {'lat': 39.5330724197085, 'lng': -119.7350426802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Western Village Inn & Casino,{'open_now': True},"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109646710315955881856"">Western Village Inn &amp; Casino</a>'], 'photo_reference': 'AW30NDxwieM8oDAeHZe2A7XkwbnaqDdloeCS-6y3WV2C21XVQolYondxC4v3lLE4SJ8KrPuUyANJ6h3WCTmxdLswDXQyfkVdn-hFq1-Sf3z6bhY5_vML54DK2SKCEC6_q_skM8V4LFqAIQod2mcDd547VV2pdPZ0Ve539qhF54kVrL0-G5Au', 'width': 3000}]",ChIJkVAWfts-mYARIcOgGg3-Zpw,"{'compound_code': 'G7M8+PG Sparks, NV, USA', 'global_code': '85F2G7M8+PG'}",4.2,ChIJkVAWfts-mYARIcOgGg3-Zpw,GOOGLE,"['lodging', 'casino', 'restaurant', 'food', 'point_of_interest', 'establishment']",6541.0,"815 Nichols Boulevard, Sparks",,
OPERATIONAL,"{'location': {'lat': 39.5333743, 'lng': -119.7583475}, 'viewport': {'northeast': {'lat': 39.5345208802915, 'lng': -119.7566047697085}, 'southwest': {'lat': 39.5318229197085, 'lng': -119.7593027302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Oyster Bar,{'open_now': True},"[{'height': 900, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101021219430753094588"">curley curley</a>'], 'photo_reference': 'AW30NDwnt7Vo14_XmOJixPgw3hc_o__pxURnK774fIJq1D-0ChKMfBlHurCGqfqvH5mCDghFNfzu9blCtm6JYiKcCxvAt3GDqcGhQqoHc1lltbyUkpkk4KcTJcoVH2wBezj3-N4VXmPlnaJ3UqtIMLvi1EtLfN4_v-qncy5lvZQRtLFNroZQ', 'width': 1600}]",ChIJxQpVnjo_mYARIxVQKf7Klvg,"{'compound_code': 'G6MR+8M Sparks, NV, USA', 'global_code': '85F2G6MR+8M'}",4.2,ChIJxQpVnjo_mYARIxVQKf7Klvg,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",635.0,"1100 Nugget Avenue, Sparks",2.0,
OPERATIONAL,"{'location': {'lat': 39.5339412, 'lng': -119.719831}, 'viewport': {'northeast': {'lat': 39.53516963029151, 'lng': -119.7184328697085}, 'southwest': {'lat': 39.53247166970851, 'lng': -119.7211308302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117756018618597572761"">Bruno W. Farias</a>'], 'photo_reference': 'AW30NDyyAaeHFKm1CSe8WvNQaYmiYGTNMjab72n4h5-Fzch0l8qNQMUZsVuAJ9q3fAQdNVb__95ELCiQ3RzYTX88Dhktoq7J-B91YaGv4CPhj5E2coL_oHp67jCFjyllo-Qp8QuxYqEnJ5RJjwDBUIyRYx-TL1mo82duPCPofMOlCeY2M8AB', 'width': 5312}]",ChIJrRBCBMA-mYAR7d9DleRn0es,"{'compound_code': 'G7MJ+H3 Sparks, NV, USA', 'global_code': '85F2G7MJ+H3'}",4.4,ChIJrRBCBMA-mYAR7d9DleRn0es,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2469.0,"1481 East Lincoln Way, Sparks",2.0,
OPERATIONAL,"{'location': {'lat': 39.5350823, 'lng': -119.7541308}, 'viewport': {'northeast': {'lat': 39.5364910802915, 'lng': -119.7528558197085}, 'southwest': {'lat': 39.5337931197085, 'lng': -119.7555537802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Great Basin Brewing Company ~ Sparks,{'open_now': True},"[{'height': 594, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101500217054081176541"">Great Basin Brewing Company ~ Sparks</a>'], 'photo_reference': 'AW30NDwIp_9-sd_mGAaJUZnW1Rzhrjh78n_h1tRu9iglVlUg0kWTQD_Mc_ffTAR-Qn746L7Eqk2EXX5rsE3BSGNTY47ggMsizMC8SAdK5oSB_TvIgTj3M63c9kVqzf-T11EPQ_2wfWaELUOy7_jeIqBkY89Zpd1DXc6SXAzT4pzzXMu75WKR', 'width': 1500}]",ChIJV8wS4S8_mYARaUvoLOKjLtk,"{'compound_code': 'G6PW+28 Sparks, NV, USA', 'global_code': '85F2G6PW+28'}",4.6,ChIJV8wS4S8_mYARaUvoLOKjLtk,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",720.0,"846 Victorian Avenue, Sparks",2.0,
OPERATIONAL,"{'location': {'lat': 39.54297569999999, 'lng': -119.7345268}, 'viewport': {'northeast': {'lat': 39.5443102302915, 'lng': -119.7330720197085}, 'southwest': {'lat': 39.5416122697085, 'lng': -119.7357699802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Lupita's,{'open_now': True},"[{'height': 300, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108804626890754468427"">Lupita&#39;s</a>'], 'photo_reference': 'AW30NDxet5kLNczxUFDo1jZe5G6v9DyH_EoqXyuNHaCE4Adalmw9IXpYx9QkbCAkJNNB8lA8xeJQ1DVa235RLXLZp1c4kX7m0RZzJgPa5R0zXvV3s_Ap0eEDnNJyJsvPZbKMy5rWcCawz0Q0irAWw2G31FAV6mJHUz8ckZql2cY5uNNedxAV', 'width': 400}]",ChIJbcmYA9E-mYARyyIqZu4Tu7c,"{'compound_code': 'G7V8+55 Sparks, NV, USA', 'global_code': '85F2G7V8+55'}",3.9,ChIJbcmYA9E-mYARyyIqZu4Tu7c,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",241.0,"668 East Prater Way, Sparks",,
OPERATIONAL,"{'location': {'lat': 39.556597, 'lng': -119.7322586}, 'viewport': {'northeast': {'lat': 39.5579728802915, 'lng': -119.7310191697085}, 'southwest': {'lat': 39.5552749197085, 'lng': -119.7337171302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,La Fuente,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102150811490974193342"">Bradley Tammen</a>'], 'photo_reference': 'AW30NDxL0F4kCIasYTcuPcWrGgIrQLU1rI5MfbIhWFrFjMaaKqFlsklYn02wJxD4dUBLC-obHUug-X4G0bASkJZTbQ0u7GVUB4Nc-fmqDCnnt1-ufwpveUfORi0Fqm6dd8b3zTE8eFb8x6aCxwhSwM9OhR2M_i4EhTbbiJ1Qhzf35prd_2sI', 'width': 4000}]",ChIJQ2XXNC45mYARgvvzQWXH4ms,"{'compound_code': 'H749+J3 Sparks, NV, USA', 'global_code': '85F2H749+J3'}",4.4,ChIJQ2XXNC45mYARgvvzQWXH4ms,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",424.0,"790 Baring Boulevard, Sparks",2.0,
OPERATIONAL,"{'location': {'lat': 39.5342153, 'lng': -119.7162048}, 'viewport': {'northeast': {'lat': 39.53545828029149, 'lng': -119.7148401697085}, 'southwest': {'lat': 39.5327603197085, 'lng': -119.7175381302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,BJ's Restaurant & Brewhouse,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106768670630368465407"">BJ&#39;s Restaurant &amp; Brewhouse</a>'], 'photo_reference': 'AW30NDzvEie9hRMNhro87xF6ieoDHgm5mDbIRX-XhHDPa8xI56Wa-42ElB5XmKPDT5q446XLOX4Yxs8oyDK_6MusPtjuo_CsEErXvjRZnOQjI-A0-74Ut9gW0oFaxwZ9ZyVT0bR9eVsnIEswhMer1ZWuRu-JJni9pevnNtwMPQp-0tqT04NF', 'width': 4032}]",ChIJbRumlpU-mYARfN2nL-B5TLM,"{'compound_code': 'G7MM+MG Sparks, NV, USA', 'global_code': '85F2G7MM+MG'}",4.2,ChIJbRumlpU-mYARfN2nL-B5TLM,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1748.0,"425 Sparks Boulevard, Sparks",2.0,
OPERATIONAL,"{'location': {'lat': 39.5409902, 'lng': -119.734258}, 'viewport': {'northeast': {'lat': 39.5423084802915, 'lng': -119.7330418197085}, 'southwest': {'lat': 39.5396105197085, 'lng': -119.7357397802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Applebee's Grill + Bar,{'open_now': True},"[{'height': 2898, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102106617906117817899"">Mark Loftin</a>'], 'photo_reference': 'AW30NDyXZdpam7GENwiRbTqsSapV2ZQY_HR7MmOeSFo3Jlcrlo5u4e59Ke8fjmldl-J2kyocx8HGktRPnXXN8EDWFzFU5_9i4bLQj8ykDve-P7-00I3fuuNbnhBofTUQ5r4G85StJJhXIo68IPfv2ggrgB50IzarjDe8RPWpCsDyn61AtRZJ', 'width': 3864}]",ChIJ29fc9tA-mYARJXZUBt6ORAg,"{'compound_code': 'G7R8+97 Sparks, NV, USA', 'global_code': '85F2G7R8+97'}",3.9,ChIJ29fc9tA-mYARJXZUBt6ORAg,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1071.0,"693 North McCarran Boulevard, Sparks",2.0,
OPERATIONAL,"{'location': {'lat': 39.5560351, 'lng': -119.7196873}, 'viewport': {'northeast': {'lat': 39.55737928029149, 'lng': -119.7184414697085}, 'southwest': {'lat': 39.5546813197085, 'lng': -119.7211394302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jimboy's Tacos,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103893154431866530194"">Mike Carr</a>'], 'photo_reference': 'AW30NDxykOFUUPaLWG2mE6fUEDX0yYe559Ai5vz4TEjSxUvp6EzweVKidfauOeEFSB_mD3CCT7aAlqqwTpOucPfqzfoze0ATFf6UXtg3Yj1g7OguBoOVuxvcQ7F98sWbpYxKCgaEVpmuQnYXsNTq72Z2noKanIRyFBlOyk5uiAf9LmLvCsA0', 'width': 4032}]",ChIJC4Y_iTU5mYARqar1h_SR7ao,"{'compound_code': 'H74J+C4 Sparks, NV, USA', 'global_code': '85F2H74J+C4'}",4.0,ChIJC4Y_iTU5mYARqar1h_SR7ao,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",350.0,"1363 Baring Boulevard, Sparks",1.0,
OPERATIONAL,"{'location': {'lat': 39.5329395, 'lng': -119.7402255}, 'viewport': {'northeast': {'lat': 39.53412213029149, 'lng': -119.7387953197085}, 'southwest': {'lat': 39.5314241697085, 'lng': -119.7414932802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Denny's,{'open_now': True},"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109828941690741705975"">Fireberrytech</a>'], 'photo_reference': 'AW30NDysOF-DzUotIbWUTRSoax35QyFuJJG3IRJjg04WfXCuU-5O0ZFBb7Bak1Ypwz2nTI0r0VexHMrU2Z-R99fMrrHqM4K7yHsuI6scLyrzCS2AjT95engF2AbVX0NX5Yk7NGOGlAM8EZxs_Wr6wtb8oPUoB8nT17_xAX4-ygirzl9J2gfs', 'width': 4000}]",ChIJQ7xAUyY_mYARgQ9UoNVU7nw,"{'compound_code': 'G7M5+5W Sparks, NV, USA', 'global_code': '85F2G7M5+5W'}",4.1,ChIJQ7xAUyY_mYARgQ9UoNVU7nw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2360.0,"205 Nugget Avenue, Sparks",1.0,
