business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 47.66720229999999, 'lng': -117.1964883}, 'viewport': {'northeast': {'lat': 47.6682971802915, 'lng': -117.1951205697085}, 'southwest': {'lat': 47.6655992197085, 'lng': -117.1978185302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Mirabeau Park Hotel & Convention Center,{'open_now': True},"[{'height': 2490, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111122934438277325122"">Mirabeau Park Hotel &amp; Convention Center</a>'], 'photo_reference': 'AW30NDzRsZMiVWAxx8Pm87wCDREjSIw06zkxU6_SX_UFp95-r40qm1wCHWps44-A3lD6M6KJbHASjlpgnuywyXJ7PPhPr-jA8l7I2_VkGc1ylZrum3oscIcmfIyHl-5pe0c9jv7vJ4o5DvHxZHl_0m8cZ96LExtc7Ct2sGMXQbcoVpKNIB-v', 'width': 6205}]",ChIJD5Kr_pDfYVMRMG612YHy_cw,"{'compound_code': 'MR83+VC Spokane Valley, WA, USA', 'global_code': '85V4MR83+VC'}",2.0,4.3,ChIJD5Kr_pDfYVMRMG612YHy_cw,GOOGLE,"['bar', 'night_club', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",2240,"1100 North Sullivan Road, Spokane Valley",
OPERATIONAL,"{'location': {'lat': 47.66238979999999, 'lng': -117.1972376}, 'viewport': {'northeast': {'lat': 47.66374233029149, 'lng': -117.1955238197085}, 'southwest': {'lat': 47.6610443697085, 'lng': -117.1982217802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113010682035741438384"">DigitalHare (DigitalHare)</a>'], 'photo_reference': 'AW30NDxaYfMz9npzjOKtqcJLh9rTVMI9Zm0CuheQjlAOE-c_9teXaiWHgWk8U9zN2YKDDMHAzkFyGAuP4wy4epchGGMKHajuVovMdiPREhIDHoVY9nlvsxu2JCwuPaTKSi4H00dXX6vqUhe1j7upSulMvXB5S15LjVdZpfSaDYoPSLLihKLa', 'width': 1920}]",ChIJ_QgML4XfYVMR3xQhrrFOLf4,"{'compound_code': 'MR63+X4 Spokane Valley, WA, USA', 'global_code': '85V4MR63+X4'}",1.0,3.7,ChIJ_QgML4XfYVMR3xQhrrFOLf4,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",458,"509 Sullivan Road Suite D, Spokane Valley",
OPERATIONAL,"{'location': {'lat': 47.66471529999999, 'lng': -117.1928857}, 'viewport': {'northeast': {'lat': 47.66632928029149, 'lng': -117.1915442697085}, 'southwest': {'lat': 47.6636313197085, 'lng': -117.1942422302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2322, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103036645465072183595"">Erick Batton</a>'], 'photo_reference': 'AW30NDwEIolrVpfVzajQVkLALYcsJUSaGPUjzGqEXaR52djcEBsleAW_siOvRjbo9tAnRN0Oh9VWVwz5ycxOVYHuGYTq7LbUvoCY_lRTGnDyCqiUy-LxIVUcjz-6N_DENCqDYLUg8Ki_IiG9ApF-FJRAq483TQ2odFboxbzkIYbGCIgbC4GW', 'width': 4128}]",ChIJpULla5rfYVMRQroQY177zp8,"{'compound_code': 'MR74+VR Spokane Valley, WA, USA', 'global_code': '85V4MR74+VR'}",1.0,3.9,ChIJpULla5rfYVMRQroQY177zp8,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",189,"15705 East Broadway Avenue Suite B1, Spokane",
OPERATIONAL,"{'location': {'lat': 47.6790575, 'lng': -117.2817618}, 'viewport': {'northeast': {'lat': 47.6802482302915, 'lng': -117.2804086197085}, 'southwest': {'lat': 47.6775502697085, 'lng': -117.2831065802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 12000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100890697383513685648"">Shatha Alissea</a>'], 'photo_reference': 'AW30NDxEY5mbr2BJoYidL-Goo-HQsarFY2EMMmfb8RiDI26XK7sI007jyXkIRkYmF6rd8jTGvViPqbP2uqn3VuImY8RQ64NXMkA75cVSJQO7g8DiSHdrLBTylxzKe1zoerGSyOeblt8aSKMMmqxHck1nR40jBUgqoSEhzvzYb2Z8Edm2qLqT', 'width': 9000}]",ChIJk_UZL4YfnlQRfzLcXAsOs6c,"{'compound_code': 'MPH9+J7 Spokane Valley, WA, USA', 'global_code': '85V4MPH9+J7'}",1.0,3.5,ChIJk_UZL4YfnlQRfzLcXAsOs6c,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",200,"9119 East Montgomery Avenue Suite B, Spokane Valley",
OPERATIONAL,"{'location': {'lat': 47.690209, 'lng': -117.1962605}, 'viewport': {'northeast': {'lat': 47.6915614302915, 'lng': -117.1952057197085}, 'southwest': {'lat': 47.6888634697085, 'lng': -117.1979036802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117607099993498111440"">Jared Ortiz</a>'], 'photo_reference': 'AW30NDyTBCvF79UMrkstY73yqsZn1TwH7ZZ8bFPWWdWZYuqtnbyPvLDufXSpRWuEH9-x8NaPPSDEv7hiAd2LYc99JPeSWNw3tUZTWoniQwS-xqe8wxUKXeWUSL3IOELZ4lbaJTMX9q0xzkGUz0lAwNKEmePCnKMzLgx953r9hLcLZMhGroWv', 'width': 4032}]",ChIJ_V4lx9vfYVMRo-MJEeoV57A,"{'compound_code': 'MRR3+3F Spokane, WA, USA', 'global_code': '85V4MRR3+3F'}",1.0,3.9,ChIJ_V4lx9vfYVMRo-MJEeoV57A,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",103,"3808, 101 North Sullivan Road Bldg N 15, Suite, Spokane",
OPERATIONAL,"{'location': {'lat': 47.67175029999999, 'lng': -117.1975952}, 'viewport': {'northeast': {'lat': 47.67310313029149, 'lng': -117.1963464197085}, 'southwest': {'lat': 47.6704051697085, 'lng': -117.1990443802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Krispy Kreme,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114929032295111383278"">Serg Bogdanov</a>'], 'photo_reference': 'AW30NDw_4wKrVIFk8LEyjl2EDrPYMWbpu5shYYXgqM8cJL-oFPNO7PfdUyi9wHASwYy4TauZhxl5jUPafsNQeTKG8JRF0rDNbs6ykI4lFgLWG0n0vRrPD3GDIaQcRTgrnRrOCWtfDv0fnmhF6fIB0R86EPydaba0T2L5cEkSoEpE9LW8UTKL', 'width': 4032}]",ChIJUYywiZPfYVMRj-nNicaKSb8,"{'compound_code': 'MRC2+PX Spokane, WA, USA', 'global_code': '85V4MRC2+PX'}",1.0,4.4,ChIJUYywiZPfYVMRj-nNicaKSb8,GOOGLE,"['cafe', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2240,"15401 East Indiana Avenue, Spokane",
OPERATIONAL,"{'location': {'lat': 47.6283068, 'lng': -117.2247339}, 'viewport': {'northeast': {'lat': 47.62955768029151, 'lng': -117.2234271197085}, 'southwest': {'lat': 47.62685971970851, 'lng': -117.2261250802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104487388992974628734"">Heather Brotherton</a>'], 'photo_reference': 'AW30NDzhMmaql8gAZMN4nCzwdftMI2_2QsYrf-3nSh6G2iHheagRz-z1u-uoF_V085bCLrHwSFEUdZ8hzA6C-FBZAKGbkF9Uk8Xn5-YjEF3BYroHr_KhEo-Xy9Hlh0QlQgzHGKi_QZk7XaNsTlekCO6huVhgGw2IIuz8szciyIeGrlSJGhzo', 'width': 4032}]",ChIJ9aparOkgnlQRdUBXEec8cFY,"{'compound_code': 'JQHG+84 Spokane, WA, USA', 'global_code': '85V4JQHG+84'}",1.0,3.9,ChIJ9aparOkgnlQRdUBXEec8cFY,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",117,"13411 East 32nd Avenue, Spokane",
OPERATIONAL,"{'location': {'lat': 47.6577364, 'lng': -117.2038382}, 'viewport': {'northeast': {'lat': 47.6590191302915, 'lng': -117.2023179197085}, 'southwest': {'lat': 47.65632116970851, 'lng': -117.2050158802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chuck E. Cheese,{'open_now': True},"[{'height': 1978, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117222086739492749882"">Lorilee Technetium</a>'], 'photo_reference': 'AW30NDzTX6HbD6hiYZOPTyBqj7UOAtRtKKiCy9X6u4ZzMUHq-HWNVxjzb1LqyZQxH0uLKpqL0xsOIUtekSVvJhYJCukVCUwyBslOaWglYkjTQIp0n43cJNo8vUynuBzUCPvHFS1__6n5XHwF80bT47dSnR9Ass0kVskrr5OHwpI5UZoUCwEj', 'width': 3120}]",ChIJAWQL1IDfYVMRDJmtXifCgow,"{'compound_code': 'MQ5W+3F Spokane Valley, WA, USA', 'global_code': '85V4MQ5W+3F'}",2.0,4.1,ChIJAWQL1IDfYVMRDJmtXifCgow,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1054,"14919 East Sprague Avenue, Spokane Valley",
OPERATIONAL,"{'location': {'lat': 47.6700556, 'lng': -117.2836876}, 'viewport': {'northeast': {'lat': 47.6714381802915, 'lng': -117.2823056197085}, 'southwest': {'lat': 47.6687402197085, 'lng': -117.2850035802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chan Bistro,{'open_now': False},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108989348405560816293"">Clark Griswold</a>'], 'photo_reference': 'AW30NDyMZnlgB7N0r8dSTET6B9Sphxv1JsbJs0JEo4wrhz6kvwf-MoqHLh_bPcv5KnocKTp4TnzFnLAM7T8_kC5moyhe93QZWOQVuvu5Yhp0QFosRrjJW2h5RgJf82DYeAkp6TLTtSqdQq0RfI5B7sjMDdWrLdUJhYV04lO5nYvrYwCwcHQM', 'width': 4032}]",ChIJDSQD8CsgnlQRBvfJgyLFFdw,"{'compound_code': 'MPC8+2G Spokane Valley, WA, USA', 'global_code': '85V4MPC8+2G'}",2.0,4.4,ChIJDSQD8CsgnlQRBvfJgyLFFdw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",241,"1409 North Argonne Road, Spokane Valley",
OPERATIONAL,"{'location': {'lat': 47.6983073, 'lng': -117.2495377}, 'viewport': {'northeast': {'lat': 47.6997768302915, 'lng': -117.2486866697085}, 'southwest': {'lat': 47.6970788697085, 'lng': -117.2513846302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Arbor Crest Wine Cellars,{'open_now': False},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106531540824192918659"">Jim van Loben Sels</a>'], 'photo_reference': 'AW30NDz2r7p-3ilU-q7vgzbUqM32WwG1XmlnsLPJWF7iFdBW0JWynSQBYRzx-6C-lAN5t3k2K2qkS24OJzlaP9GWZDzr9Y98EXaRwVjtDS8_5J5RK16TDmDVAZ6cVAUDbs13MhE77NObUiEKskmuJ2cSTQu_jI8QtGCHxhNQzsxw6ERc3ODT', 'width': 2048}]",ChIJo63aPh7gYVMR0ccE-m7XyHA,"{'compound_code': 'MQX2+85 Spokane, WA, USA', 'global_code': '85V4MQX2+85'}",,4.7,ChIJo63aPh7gYVMR0ccE-m7XyHA,GOOGLE,"['tourist_attraction', 'restaurant', 'food', 'point_of_interest', 'establishment']",325,"4705 North Fruit Hill Road, Spokane",
