business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 37.2073659, 'lng': -93.2828637}, 'viewport': {'northeast': {'lat': 37.2088059802915, 'lng': -93.28130706970849}, 'southwest': {'lat': 37.2061080197085, 'lng': -93.2840050302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,University Plaza Hotel & Convention Center,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117073440121040325265"">Larry Duncan</a>'], 'photo_reference': 'AW30NDzsKUVkWSI_EZQ3YJKxsB9xjV1AzCg1gVVJZe6R2DCD7KWrH1s4pdtB3JHUYKNbCOmfhxcJKT2u5xFyifjypzzZuphq8nY04ML4mUv1TwcrTILdnuFF2dqpPQwje3mJFo0kBRQyBSrgPdqoYMVINbEBCD_ldYVpeNkB0DtgFLM2pNB9', 'width': 4032}]",ChIJnYwKRh5jz4cRf5CGfathi9s,"{'compound_code': '6P48+WV Springfield, MO, USA', 'global_code': '86986P48+WV'}",4.0,ChIJnYwKRh5jz4cRf5CGfathi9s,GOOGLE,"['cafe', 'lodging', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",2249.0,"333 South John Q Hammons Parkway, Springfield",,
OPERATIONAL,"{'location': {'lat': 37.19479439999999, 'lng': -93.2777394}, 'viewport': {'northeast': {'lat': 37.1960686802915, 'lng': -93.2763892197085}, 'southwest': {'lat': 37.1933707197085, 'lng': -93.27908718029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bambinos Cafe on Delmar,{'open_now': True},"[{'height': 501, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116000676136514789769"">Bambinos Cafe on Delmar</a>'], 'photo_reference': 'AW30NDxTIW_HEfUo5xM1gVAXFR9BJ61g3U318m08qu-LBUI-jdGVZztimbIzAROUe_bRWz48Q2kFeqLRfCjZiyaxwnafx_TLdfeQTLBX7QnhzjmUFiTuSFHy-CYDRjYUQWzBBD_t3-DYzx5E7QrwZqxEcxoY30ES6qd3ymCenVpL-_dBGI3f', 'width': 901}]",ChIJn3NHkj1jz4cR9iSE8eONBCQ,"{'compound_code': '5PVC+WW Springfield, MO, USA', 'global_code': '86985PVC+WW'}",4.6,ChIJn3NHkj1jz4cR9iSE8eONBCQ,GOOGLE,"['meal_delivery', 'bar', 'cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",1612.0,"1141 East Delmar Street, Springfield",2.0,
OPERATIONAL,"{'location': {'lat': 37.2076566, 'lng': -93.2832265}, 'viewport': {'northeast': {'lat': 37.2089501802915, 'lng': -93.28148846970849}, 'southwest': {'lat': 37.2062522197085, 'lng': -93.2841864302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Terrace Grille,{'open_now': False},"[{'height': 1078, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107227484981416509821"">erin dalbey-rangel</a>'], 'photo_reference': 'AW30NDxVtBtjlRqtzajHboFsEDaACEvWBYP_m75ysXCMQO_YN4m12-RsF1VGeQO14NCjM4ARgjvBQ1D65U-ZMql4kIuNh8vmzP3DCeVngrSmUycTA0Crtc4DZNJOdVapvH9AXOL1gtNVrKRrwSLDadXu9rISEgDS9oIviZt9tfMYRIhhsg8G', 'width': 1917}]",ChIJ5QOeOh5jz4cRxKfbGl3Jsz0,"{'compound_code': '6P58+3P Springfield, MO, USA', 'global_code': '86986P58+3P'}",4.2,ChIJ5QOeOh5jz4cRxKfbGl3Jsz0,GOOGLE,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",11.0,"333 South John Q Hammons Parkway, Springfield",,
OPERATIONAL,"{'location': {'lat': 37.1622396, 'lng': -93.2941815}, 'viewport': {'northeast': {'lat': 37.1635408802915, 'lng': -93.29307391970849}, 'southwest': {'lat': 37.16084291970851, 'lng': -93.2957718802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Springfield's Incredible Pizza Company,{'open_now': False},"[{'height': 4224, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107145376286565155091"">Preston Rouse</a>'], 'photo_reference': 'AW30NDz3_HxtGsiT-T_rwhFvLSyEqjO2fqCUXZcfbxeoSZua2zs3L-q2VXOdlNGuTmZgpGSPdgFRZ2LjjAqTHEW7rZxHlHP8g-AD_Ez7gHpqWa9JCkr9Kwrhg6MpOBPEh0xutTqFOz9GMp8yA2d6vDeXul0fOKXEJrlZ-p20kU7c0aVIA-DR', 'width': 3136}]",ChIJHYVdFoFkz4cRwWp002Q-Q_Q,"{'compound_code': '5P64+V8 Springfield, MO, USA', 'global_code': '86985P64+V8'}",4.3,ChIJHYVdFoFkz4cRwWp002Q-Q_Q,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3556.0,"2850 South Campbell Avenue, Springfield",2.0,
OPERATIONAL,"{'location': {'lat': 37.2077168, 'lng': -93.29589209999999}, 'viewport': {'northeast': {'lat': 37.2090051302915, 'lng': -93.29437046970848}, 'southwest': {'lat': 37.2063071697085, 'lng': -93.2970684302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Springfield Brewing Company,{'open_now': True},"[{'height': 2905, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104130484079432657431"">Springfield Brewing Company</a>'], 'photo_reference': 'AW30NDzTk2lAfSdBAFwu0dNDZ1GpPZcVImVHUQ7PHJydGeNH6KoeIBlS3rmz32WsF_DOvk2AxIh9C9klklAjbY5jotBeMBzIOrskAKyVq1g5z_yH-DUPzjtvI98bGOvDYhdx6Rtr5_vQbB_KEnrIoPXlBxdzUNbYXEvTKmv9wNTv2FEgq7cv', 'width': 3873}]",ChIJw_4tzwFjz4cRD40SGbezRCw,"{'compound_code': '6P53+3J Springfield, MO, USA', 'global_code': '86986P53+3J'}",4.4,ChIJw_4tzwFjz4cRD40SGbezRCw,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1887.0,"305 South Market Avenue, Springfield",2.0,
OPERATIONAL,"{'location': {'lat': 37.153988, 'lng': -93.298379}, 'viewport': {'northeast': {'lat': 37.1553521302915, 'lng': -93.2969642697085}, 'southwest': {'lat': 37.1526541697085, 'lng': -93.2996622302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101082459810858801235"">Matt Jacks</a>'], 'photo_reference': 'AW30NDyQCLnUzfCMPUnaBSBC96tMKh3EU3zgfDVremO4mGk2gMXdoN2Jmh7j0vU6CwX-EmRoXQiexAd49uQcSu1aLG8MYk104UpAfLOl8eaNamSZ5NBSUQRMSj-JHO-NDGjbcVR714CIOA84AN8SEy1ZUu1gn4x3vXnaXytAL6cSKAWS6Eks', 'width': 4032}]",ChIJmVt_JIhkz4cRCXnwFOWJNxg,"{'compound_code': '5P32+HJ Springfield, MO, USA', 'global_code': '86985P32+HJ'}",3.1,ChIJmVt_JIhkz4cRCXnwFOWJNxg,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",55.0,"3315 South Campbell Avenue, Springfield",1.0,
OPERATIONAL,"{'location': {'lat': 37.207023, 'lng': -93.29386699999999}, 'viewport': {'northeast': {'lat': 37.2084309802915, 'lng': -93.2925367197085}, 'southwest': {'lat': 37.2057330197085, 'lng': -93.2952346802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Flame Steakhouse & Wine Bar,{'open_now': True},"[{'height': 3835, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114320085268038978675"">Flame Steakhouse &amp; Wine Bar</a>'], 'photo_reference': 'AW30NDyrArWp-ZliTC6jpggs6A9TcgF2Hw_HpG7ZlfmGYDeqzyWna02kIoCONkxGdRSyKw8xQ3v-fPc8Zvu4-rfzvDKZvOnBzo1MI_gmofPB0ec_YBuBhZco-Al1_QOZ2uF7vQGOVEUJl6226V5nQitbsNCiOP0vg3mYp39CVf5LDI0SHyGN', 'width': 5303}]",ChIJ__KpjgFjz4cR-l4LKO9FwUc,"{'compound_code': '6P44+RF Springfield, MO, USA', 'global_code': '86986P44+RF'}",4.7,ChIJ__KpjgFjz4cR-l4LKO9FwUc,GOOGLE,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1108.0,"314 West Walnut Street, Springfield",2.0,
OPERATIONAL,"{'location': {'lat': 37.16044530000001, 'lng': -93.2915516}, 'viewport': {'northeast': {'lat': 37.16189833029151, 'lng': -93.2902655697085}, 'southwest': {'lat': 37.15920036970851, 'lng': -93.2929635302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112197720643285587002"">James Latham</a>'], 'photo_reference': 'AW30NDzrXg-2wA64Ngm3pYPrzADjjq6ZPV3AgVNOHEaCnMyK5Hq5Hj1xPM7lP3YuxpDNXtDaCb1EEQO8S6QmZFRSclfEIsROJDO6WS5m24qnYYBvl3g_ffUNqVY5-cTzorID4iLsmfkM9bva4NpAt5FI2Hp1vP3GN5cVQA_X8H7LPB1XAdn7', 'width': 3024}]",ChIJuwZXj4Nkz4cR4xnpI4aYn7I,"{'compound_code': '5P65+59 Springfield, MO, USA', 'global_code': '86985P65+59'}",3.7,ChIJuwZXj4Nkz4cR4xnpI4aYn7I,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",80.0,"321 East Battlefield Road Suite 104, Springfield",1.0,
OPERATIONAL,"{'location': {'lat': 37.2026593, 'lng': -93.26244849999999}, 'viewport': {'northeast': {'lat': 37.2040606802915, 'lng': -93.2610612197085}, 'southwest': {'lat': 37.2013627197085, 'lng': -93.2637591802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101971999224126409872"">Lucky Charm</a>'], 'photo_reference': 'AW30NDwPPZADr5azB5DjLzdqhAfxZDer7alfQbjdD_jIxy1bN8USlz-D69Dm99i0RZGNZ-z0kL3T_AKpUpNO9BAx2E_S0uQbHHLf2odoTDMUrGRCt_DrnH4AM7ObVQfOWtosqWJjyLSKXLTA-0VeJSchhzcarfnTzceVitxuXqPTYJQQ4tfb', 'width': 4032}]",ChIJRYrBPixjz4cRZlZ3pWjEvWc,"{'compound_code': '6P3Q+32 Springfield, MO, USA', 'global_code': '86986P3Q+32'}",4.1,ChIJRYrBPixjz4cRZlZ3pWjEvWc,GOOGLE,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",972.0,"631 South Glenstone Avenue, Springfield",2.0,
OPERATIONAL,"{'location': {'lat': 37.1940994, 'lng': -93.26180959999999}, 'viewport': {'northeast': {'lat': 37.1952274802915, 'lng': -93.26063631970848}, 'southwest': {'lat': 37.1925295197085, 'lng': -93.2633342802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112197720643285587002"">James Latham</a>'], 'photo_reference': 'AW30NDzfN2gUEbS9WmJiPeX2IxARdJIXI7gAScDEXWZsTbDSC1X3N33Wk5sQbmc4U6m6uIUDXnHyErZd6LIBVFhaRf6BTkT5B1gotrpOPqv00AzWwqUJgqQD5go59SDLSKPKge2laDXQs3ttdMom8tmS4s9VNjKn1MtG-eBQn9uTohSld7kS', 'width': 3024}]",ChIJhdG_jjNjz4cRbLPJOXFCKKg,"{'compound_code': '5PVQ+J7 Springfield, MO, USA', 'global_code': '86985PVQ+J7'}",4.2,ChIJhdG_jjNjz4cRbLPJOXFCKKg,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",242.0,"1120 South Glenstone Avenue, Springfield",1.0,
