business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 38.6350254, 'lng': -90.2239865}, 'viewport': {'northeast': {'lat': 38.6364209802915, 'lng': -90.22268841970849}, 'southwest': {'lat': 38.6337230197085, 'lng': -90.22538638029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pappy's Smokehouse,{'open_now': False},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107304953007863664760"">Pappy&#39;s Smokehouse</a>'], 'photo_reference': 'AW30NDxEQLPBjAEUSM8n-uJJBqchJd8blfSLPMXy6jw33vHEo54vSLQeqcv6TQkPFFi0sJf8XWkMwP1_ewXn-S_qjipxIhVu4XhDCHdNBdX7BZfKsjrm3SgoGD5x5ScBG1h1DuO3MrkF4N1ysVVGeY31JL7ULqQV3e8k96hgOXUJjRQJxaty', 'width': 5184}]",ChIJq-YwmaC02IcRzqnxYtdjZuA,"{'compound_code': 'JQPG+2C St. Louis, MO, USA', 'global_code': '86CFJQPG+2C'}",2.0,4.7,ChIJq-YwmaC02IcRzqnxYtdjZuA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",7294.0,"3106 Olive Street, St. Louis",
OPERATIONAL,"{'location': {'lat': 38.6331005, 'lng': -90.20972080000001}, 'viewport': {'northeast': {'lat': 38.63455293029151, 'lng': -90.2084623197085}, 'southwest': {'lat': 38.63185496970851, 'lng': -90.21116028029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Schlafly Tap Room,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113800164454528820883"">Peter Steenhuis</a>'], 'photo_reference': 'AW30NDwUXmfZMuGNky0vb7fY1hhLDZdU7vbCVyRcgsNv-O_0QhRe3CIeZL2dVEPHgRcBnKP26RrTQkzyt6rcR2DZ6uRh1Uen5GzdQHbYfInq22k6BTledmSDDOfadSiMpSgukoQNANcf_vthO-2nnl5k_MTprzTGy7gLIy2Kh8F6y38sRRMr', 'width': 4032}]",ChIJIX2d7UGz2IcRqSV5cX14rZs,"{'compound_code': 'JQMR+64 St. Louis, MO, USA', 'global_code': '86CFJQMR+64'}",2.0,4.5,ChIJIX2d7UGz2IcRqSV5cX14rZs,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1184.0,"2100 Locust Street, St. Louis",
OPERATIONAL,"{'location': {'lat': 38.6361553, 'lng': -90.22304179999999}, 'viewport': {'northeast': {'lat': 38.6374473302915, 'lng': -90.22168116970849}, 'southwest': {'lat': 38.6347493697085, 'lng': -90.2243791302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Fountain on Locust,{'open_now': False},"[{'height': 449, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114855428327270118140"">The Fountain on Locust</a>'], 'photo_reference': 'AW30NDwTlNVSJzrKoRbtnWLJbcp6dRhMeV3c5_IhlOF5Z8w6qwQ6IHp2wwFxqVm6mZ3CyfCEtOGKOKOOloVIC7H1X7WbXv8a03Ww8282RbYhKyeNuGH3E0Aa3M-F_AkKHsjv8hKk9-zN7VD84LWCkFKrQokOLcZXcLZvtCByJVRX-WcEjgZs', 'width': 795}]",ChIJFblwOV-z2IcRVFyZye2-kqk,"{'compound_code': 'JQPG+FQ St. Louis, MO, USA', 'global_code': '86CFJQPG+FQ'}",2.0,4.7,ChIJFblwOV-z2IcRVFyZye2-kqk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2582.0,"3037 Locust Street, St. Louis",
OPERATIONAL,"{'location': {'lat': 38.6279172, 'lng': -90.25194909999999}, 'viewport': {'northeast': {'lat': 38.6291420302915, 'lng': -90.2505698697085}, 'southwest': {'lat': 38.6264440697085, 'lng': -90.2532678302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Everest Cafe & Bar,{'open_now': True},"[{'height': 640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114351572139119565818"">Everest Cafe &amp; Bar</a>'], 'photo_reference': 'AW30NDzVuLudUcCzYLk5DptDOHCi82nnyJEU2VZ-T7rrajJBwv00d1KztHgc1oLcJxGX-09Mht1FLplulxbZCT2MAlvbTyotJRZj7wjLfTAHqEe-4EBCnQwfgCE7Xz48UuTM4N6bx5Q8ZUZvm1I4TSRJc1Z9e6G7OgQsRmZQl2Xk5ia6f8vq', 'width': 640}]",ChIJz6uml-i02IcRzTMVkLGCsPM,"{'compound_code': 'JPHX+56 St. Louis, MO, USA', 'global_code': '86CFJPHX+56'}",1.0,4.6,ChIJz6uml-i02IcRzTMVkLGCsPM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",692.0,"4145 Manchester Avenue, St. Louis",
OPERATIONAL,"{'location': {'lat': 38.6326199, 'lng': -90.23385580000001}, 'viewport': {'northeast': {'lat': 38.6339001302915, 'lng': -90.23243041970849}, 'southwest': {'lat': 38.6312021697085, 'lng': -90.2351283802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chipotle Mexican Grill,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100304278025034577525"">Dennis Smith</a>'], 'photo_reference': 'AW30NDyMn39u54ZRVRb9Bi0slXTmmhUd51gfxeqALxq4Ka6zGUnM36Vz0lbBXlMv-O-yzR_gCnVIp0ISLJYH6QLVFTcj5FqBlXaswWMSwtmDTJLT0NcPid5X3Z3RMILvpkoLmEJeDQaEldEepEwcX2vpVV7eBi6ePWvurLHb_7aD_mw71cLG', 'width': 4032}]",ChIJhXhzTb202IcRvj3HLz45ndM,"{'compound_code': 'JQM8+2F St. Louis, MO, USA', 'global_code': '86CFJQM8+2F'}",1.0,3.7,ChIJhXhzTb202IcRvj3HLz45ndM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1322.0,"212 South Grand Boulevard, St. Louis",
OPERATIONAL,"{'location': {'lat': 38.6370063, 'lng': -90.23060400000001}, 'viewport': {'northeast': {'lat': 38.6382669802915, 'lng': -90.22926951970848}, 'southwest': {'lat': 38.6355690197085, 'lng': -90.23196748029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Vito's Sicilian Pizzeria & Ristorante,{'open_now': True},"[{'height': 3464, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105073120105082531174"">Barry G</a>'], 'photo_reference': 'AW30NDw2_NTR436Uw9SG2sOZKiD09FK-WeYLOOZEhXIMfih75tcElPbI_ymoylfjy03a3j0GM9tRYEkkgnLThr5KlUdXP4lMG1FrkbsFj3iCqH7x4hw5lO2N3Xe6p9kh9jXUq_0g46_najjV9TgATzY6ILU3Mktv9jy0Ba_R_SXQ1TuWeXm9', 'width': 4618}]",ChIJu_j2iaO02IcRKHw8I5yZq_4,"{'compound_code': 'JQP9+RQ St. Louis, MO, USA', 'global_code': '86CFJQP9+RQ'}",2.0,4.3,ChIJu_j2iaO02IcRKHw8I5yZq_4,GOOGLE,"['meal_takeaway', 'bar', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",710.0,"3515 Lindell Boulevard, St. Louis",
OPERATIONAL,"{'location': {'lat': 38.637906, 'lng': -90.22579999999999}, 'viewport': {'northeast': {'lat': 38.6391142302915, 'lng': -90.2244927197085}, 'southwest': {'lat': 38.6364162697085, 'lng': -90.2271906802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Urban Chestnut Midtown Brewery and Biergarten,{'open_now': False},"[{'height': 1570, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107240769994436788520"">Urban Chestnut Midtown Brewery and Biergarten</a>'], 'photo_reference': 'AW30NDybe18ewAINtm053Bczx2omF4AmRopJIX5h87Di8S5vFQr0jYGISms5qIJt0yCR2d2dl_HXeHTthHKm5ELkun-dOYbBRi1pvVmaRndBgP4EN9HEnA2BNs_JD04pGEWPQfvEtEvV-k7DZZnZzNdoKhG_h_dL0G16A_alrkwzw3mGj8J2', 'width': 4452}]",ChIJtywQOae02IcR4kZXeiqt2Hw,"{'compound_code': 'JQQF+5M St. Louis, MO, USA', 'global_code': '86CFJQQF+5M'}",1.0,4.6,ChIJtywQOae02IcR4kZXeiqt2Hw,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",393.0,"3229 Washington Avenue, St. Louis",
OPERATIONAL,"{'location': {'lat': 38.63912200000001, 'lng': -90.24365999999999}, 'viewport': {'northeast': {'lat': 38.6405392302915, 'lng': -90.24232256970849}, 'southwest': {'lat': 38.63784126970851, 'lng': -90.2450205302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,McDonald's,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113237395916345876720"">Jimmy Conway</a>'], 'photo_reference': 'AW30NDzOa8ijGKg2HZYb02OTbtO_ovAyUXFtDftxbyen-D_byR6mZWhDVwjRcSsTjjrfmwnnKRpt7ygT-egE9QyObMY8kuVx74wsNcoZM7xVf-Tc7A-ovPFHZltQWf8NguALjedxghPUPQmVSy_kRqX9K8cSJeMVBo5mgYvtWDCaqRnkBvCm', 'width': 4160}]",ChIJXy_sese02IcRBKypSCeWMUs,"{'compound_code': 'JQQ4+JG St. Louis, MO, USA', 'global_code': '86CFJQQ4+JG'}",1.0,3.3,ChIJXy_sese02IcRBKypSCeWMUs,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2362.0,"4006 Lindell Boulevard, St. Louis",
OPERATIONAL,"{'location': {'lat': 38.6351013, 'lng': -90.23750129999999}, 'viewport': {'northeast': {'lat': 38.63650118029149, 'lng': -90.2361197697085}, 'southwest': {'lat': 38.6338032197085, 'lng': -90.2388177302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Humphrey's Restaurant & Tavern,{'open_now': True},"[{'height': 2652, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118195061534430829869"">Kyle Neely</a>'], 'photo_reference': 'AW30NDwilCyKkyl0febQM-D-KwQDII0kQiIxIa4UElg1AJ18YsR2pFOJTzZgVocTJm4rZwd4Kp7sBVcrGUrfiptjpImi_NTYoWCKq_Vp2nFl5JO2NXgf012_f8JPRzgW_43TUolc1b78e0X18wZZUXhKjRzjDIBoqgyDVR8VSeUQlN__CujN', 'width': 3537}]",ChIJWf83OLy02IcRA9KCn_AlSAc,"{'compound_code': 'JQP6+2X St. Louis, MO, USA', 'global_code': '86CFJQP6+2X'}",2.0,3.8,ChIJWf83OLy02IcRA9KCn_AlSAc,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",43.0,"3700 Laclede Avenue, St. Louis",
OPERATIONAL,"{'location': {'lat': 38.6279417, 'lng': -90.2512721}, 'viewport': {'northeast': {'lat': 38.62919463029149, 'lng': -90.24992546970849}, 'southwest': {'lat': 38.6264966697085, 'lng': -90.2526234302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,HandleBar,{'open_now': True},"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116721061070133695833"">HandleBar</a>'], 'photo_reference': 'AW30NDwzZLxPdQM_yslMfZUOmzQCORfs51w-u6C6M2-SXeK4BA2DVp3ceiNK0p3ry8xQ7O8dmrX7DieKTapwKXKH6hmXlJffgetxI5A6QsGbdQSLnD-Kl1Ik_hZD_F5i6OrOwVFRLg74SAYzvk0gPKvw-1huySwdvUnQkVz7HupG78hLWKg', 'width': 2300}]",ChIJt4ms6-i02IcRePJV_wR2Ll4,"{'compound_code': 'JPHX+5F St. Louis, MO, USA', 'global_code': '86CFJPHX+5F'}",1.0,4.4,ChIJt4ms6-i02IcRePJV_wR2Ll4,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",697.0,"4127 Manchester Avenue, St. Louis",
