business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 27.7713953, 'lng': -82.6336304}, 'viewport': {'northeast': {'lat': 27.7726589302915, 'lng': -82.63233656970849}, 'southwest': {'lat': 27.76996096970849, 'lng': -82.63503453029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,The Ponce De Leon Hotel,{'open_now': True},"[{'height': 1360, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102530165263991528159"">The Ponce De Leon Hotel</a>'], 'photo_reference': 'AW30NDyV6BSShkdJngu6NEEzl1VX8PObTALzi14W2mPTiLiNaamMlZbbADERZsZkYoYWxKRdzHdkTLCeFqYLp7FYGrLGTfX8M6L_smJ6o0PapaQ0PaDAMka20e1VG2VipyVPeAfOlCZcoIzyytUlzW5Lx2SyGjiyv9fnX74SPVI41GhRLIpD', 'width': 2048}]",ChIJj5ggQZzhwogRl3ZeohGPdXw,"{'compound_code': 'Q9C8+HG St. Petersburg, FL, USA', 'global_code': '76VVQ9C8+HG'}",3.4,ChIJj5ggQZzhwogRl3ZeohGPdXw,GOOGLE,"['bar', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",1202.0,"95 Central Avenue North, St. Petersburg",,
OPERATIONAL,"{'location': {'lat': 27.769671, 'lng': -82.63684359999999}, 'viewport': {'northeast': {'lat': 27.7710382802915, 'lng': -82.63560911970849}, 'southwest': {'lat': 27.7683403197085, 'lng': -82.6383070802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Red Mesa Cantina,{'open_now': True},"[{'height': 1366, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116945390312264673864"">Red Mesa Cantina</a>'], 'photo_reference': 'AW30NDzqm9nCxnRGKekEwUTKmtJN8rgnahDFjUm6-BRJPtN9_ajJ1rRSDx-PyGd1bP9ArC9kSg_3O8cvwo5Q2YE3asb63gI_hYsJzS6ldbJ9fNA4mwhpPsZ2qPRRj5_FVjPWskwZLbvkwyNsqfWldlcMuzrtRjQApX8mYacfZWjDxIIybDJP', 'width': 2048}]",ChIJiZGQV5vhwogRiQMWZFKJQdY,"{'compound_code': 'Q997+V7 St. Petersburg, FL, USA', 'global_code': '76VVQ997+V7'}",4.4,ChIJiZGQV5vhwogRiQMWZFKJQdY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",4626.0,"128 3rd Street South, St. Petersburg",2.0,
OPERATIONAL,"{'location': {'lat': 27.7759996, 'lng': -82.6322488}, 'viewport': {'northeast': {'lat': 27.7772980302915, 'lng': -82.6307055197085}, 'southwest': {'lat': 27.77460006970849, 'lng': -82.6334034802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,The Birchwood,{'open_now': True},"[{'height': 793, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102344814279006629589"">The Birchwood</a>'], 'photo_reference': 'AW30NDxYfAxn1mj2KkPIQx1OyETGMczcRwI4F1BUpm6TYd74loMAUz01hD8rpUlXwcL8k411xqFPx1d_l_iAascj_yc0PT3j_TSd8ig5pLqons1xQFaaNZFqZQ2AOeGAaRBit6orzLujF5eFYcqf98aysV24R5Ihr4hJ0k5L6EBnYfrmT1gy', 'width': 832}]",ChIJUbET_XXhwogRrLZqbHA2TdU,"{'compound_code': 'Q9G9+94 St. Petersburg, FL, USA', 'global_code': '76VVQ9G9+94'}",4.5,ChIJUbET_XXhwogRrLZqbHA2TdU,GOOGLE,"['night_club', 'bar', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",1790.0,"340 Beach Drive Northeast, St. Petersburg",,
OPERATIONAL,"{'location': {'lat': 27.78176299999999, 'lng': -82.6387457}, 'viewport': {'northeast': {'lat': 27.7830297302915, 'lng': -82.63743961970849}, 'southwest': {'lat': 27.7803317697085, 'lng': -82.6401375802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tijuana Flats,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111639044969890396098"">Jathan a</a>'], 'photo_reference': 'AW30NDwfr-D4OIy1jIIE-eKBvpODxBevcs8fNEZNngVitugCs9UO6PRgGhlsycW8a-cPO16ZDx7T_-NFcTYXzBR6LJQrrrbMRy4dijHL_ELbsf8BqrDblFFF-mhliOgtPVkx_N6YXwpGEFp4f_FsklhyJ2znRSK-xqRBWtVwVeRAMjs1ow5a', 'width': 3024}]",ChIJwaEJHnrhwogRTc_jYuu6ADI,"{'compound_code': 'Q9J6+PG St. Petersburg, FL, USA', 'global_code': '76VVQ9J6+PG'}",4.5,ChIJwaEJHnrhwogRTc_jYuu6ADI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1199.0,"944 4th Street North #100, St. Petersburg",1.0,
OPERATIONAL,"{'location': {'lat': 27.7774078, 'lng': -82.6314419}, 'viewport': {'northeast': {'lat': 27.7786775802915, 'lng': -82.6300025697085}, 'southwest': {'lat': 27.7759796197085, 'lng': -82.6327005302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,400 Beach Seafood & Tap House,{'open_now': True},"[{'height': 9000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100417807565730018962"">Evan Smith</a>'], 'photo_reference': 'AW30NDySICp5jQmfBiRhNdQXASxhRprty-O5NgvaASdOzZcOPFAMgw0n9Vp2-DEdDlbaaOgWGaMtouVyTTrZHrZN3knCiDjncKW5-BISfaxCxPqcsJu0fLOywaXqUWvqAx2ZuAsNM4p-FUSZ46FWgGcoBK353U9T_iSiIyw9vln9-qI2tWP6', 'width': 12000}]",ChIJK6b43nXhwogRCV39bMyGJGo,"{'compound_code': 'Q9G9+XC St. Petersburg, FL, USA', 'global_code': '76VVQ9G9+XC'}",4.4,ChIJK6b43nXhwogRCV39bMyGJGo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2952.0,"400 Beach Drive Northeast, St. Petersburg",2.0,
OPERATIONAL,"{'location': {'lat': 27.774421, 'lng': -82.63188400000001}, 'viewport': {'northeast': {'lat': 27.7759514802915, 'lng': -82.6308061697085}, 'southwest': {'lat': 27.7732535197085, 'lng': -82.63350413029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Museum of Fine Arts,{'open_now': False},"[{'height': 6000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104059588174105292323"">Patrícia Spessi</a>'], 'photo_reference': 'AW30NDy--eJ6yNpULq2BX4GwbWpZXlU5SPNJ8fHpYMQrX-0W8yX_XvWhB5m4NYGZwXx3uH3SL0XRk1ijYAXKSlxPDL3TTubQJCpE1eJtTyqkMN992BXIzuhoNKdYMVi2Ucoyev4HABGUhcP3WH_WFyE33ojh8eupdKNgeIe9dL33ZimE1ex0', 'width': 8000}]",ChIJH_yrCJ7hwogRBdasI9ePfT0,"{'compound_code': 'Q9F9+Q6 St. Petersburg, FL, USA', 'global_code': '76VVQ9F9+Q6'}",4.7,ChIJH_yrCJ7hwogRBdasI9ePfT0,GOOGLE,"['museum', 'tourist_attraction', 'restaurant', 'food', 'point_of_interest', 'establishment']",1873.0,"255 Beach Drive Northeast, St. Petersburg",,
OPERATIONAL,"{'location': {'lat': 27.7752002, 'lng': -82.6325105}, 'viewport': {'northeast': {'lat': 27.7764640302915, 'lng': -82.6309681697085}, 'southwest': {'lat': 27.7737660697085, 'lng': -82.6336661302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Parkshore Grill,{'open_now': True},"[{'height': 9000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113419412158445250581"">Laura Goldman</a>'], 'photo_reference': 'AW30NDyIvgJM_cC8WitVmNwyBbYDs0zo-ZA474OfYO0amYaLqa0pCBMGCqjAHNZqC_1hDf7YJglWLDvkVQR_cRmYyKWzzHfMO12Vmca0ZKIKy_sOL_TSbfmSEtiujBggE7y3i_EctlJ5xT4ZfYV9NN_pblYG6IT2oFLhu4FaoZyNuRAQJNdq', 'width': 12000}]",ChIJU3g_9p3hwogRX2Cb15oVchI,"{'compound_code': 'Q9G8+3X St. Petersburg, FL, USA', 'global_code': '76VVQ9G8+3X'}",4.6,ChIJU3g_9p3hwogRX2Cb15oVchI,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2319.0,"300 Beach Drive Northeast #104, St. Petersburg",2.0,
OPERATIONAL,"{'location': {'lat': 27.7902096, 'lng': -82.6382627}, 'viewport': {'northeast': {'lat': 27.7914512802915, 'lng': -82.6369179197085}, 'southwest': {'lat': 27.78875331970849, 'lng': -82.6396158802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Carrabba's Italian Grill,{'open_now': True},"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110933534391564529082"">Iam Deirdre (IamDeirdre)</a>'], 'photo_reference': 'AW30NDyTSk0TX3KOBUe_wLgIEZ_DOAoNzmrqArnSbQJHW98XjSLOWO_KqlYS_5kXUDoypGV7I0wx2ihV8IdLUL5LVN2kG7p72Bc4F21EoyndZsmtrydKa9AoyvgoRqwD5XjjJkJyM-PDfUuaxKOfMjs5ITXwaxGB-zxhRCGfF49DDcScXEk4', 'width': 4048}]",ChIJv2fgdmXhwogRDlAsOqVJ4jA,"{'compound_code': 'Q9R6+3M St. Petersburg, FL, USA', 'global_code': '76VVQ9R6+3M'}",4.3,ChIJv2fgdmXhwogRDlAsOqVJ4jA,GOOGLE,"['bar', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1282.0,"1951 4th Street North, St. Petersburg",2.0,
OPERATIONAL,"{'location': {'lat': 27.7738461, 'lng': -82.6329308}, 'viewport': {'northeast': {'lat': 27.7751070302915, 'lng': -82.63145246970849}, 'southwest': {'lat': 27.77240906970849, 'lng': -82.6341504302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,BellaBrava,{'open_now': True},"[{'height': 315, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110201525748425842546"">BellaBrava</a>'], 'photo_reference': 'AW30NDwXZth_GkcIFXMiglb_YTlHfwyIY07PkjRXosgUeSclC9Ouj5H8k3O1--wd4eVEtLv4lfYtEQLFwX-_AnWkyQCS1Gs1uLPlB7iY64v4F_gjG2JYn--syKFEyyRJflqIVFPmZDQ-JIMpYD1QqIdnKjZV2yBjbq9et8sjz2vqXhzmHonD', 'width': 560}]",ChIJQc46w53hwogRkIzJCT6FnW4,"{'compound_code': 'Q9F8+GR St. Petersburg, FL, USA', 'global_code': '76VVQ9F8+GR'}",4.5,ChIJQc46w53hwogRkIzJCT6FnW4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1959.0,"204 Beach Drive Northeast, St. Petersburg",2.0,
OPERATIONAL,"{'location': {'lat': 27.77137999999999, 'lng': -82.6358675}, 'viewport': {'northeast': {'lat': 27.7726458302915, 'lng': -82.6345179697085}, 'southwest': {'lat': 27.7699478697085, 'lng': -82.63721593029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,The Garden,,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117306360755442002757"">Antanas Sukys</a>'], 'photo_reference': 'AW30NDxyar4o80qZv-A8RFvSoq7XF62BHlYqpIFvr47tLs6RzOfua0pSCVf4LwXpJcQ0cbzMzeHJB-5haukYt9lZ0XkwVbFuVYWQ9GCt84Z-cmg2AJRnky2iToKNOmwY_EmcTqnVUMIZ5rHmomy9nhK_KcOJ_O3kzSWn8vT_hlh1DZUkM62o', 'width': 3000}]",ChIJ4RmqkpzhwogRY371gAhioNw,"{'compound_code': 'Q9C7+HM St. Petersburg, FL, USA', 'global_code': '76VVQ9C7+HM'}",3.3,ChIJ4RmqkpzhwogRY371gAhioNw,GOOGLE,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",16.0,"217 Central Avenue, St. Petersburg",2.0,
