business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 42.5774365, 'lng': -83.02956060000001}, 'viewport': {'northeast': {'lat': 42.5788561802915, 'lng': -83.02808346970849}, 'southwest': {'lat': 42.5761582197085, 'lng': -83.0307814302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Ike's Restaurant,{'open_now': True},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115571828542017746621"">Ike&#39;s Restaurant</a>'], 'photo_reference': 'AW30NDwQ8AVzPh7fNaHg7lGGUeZ5PcdgZ2Hgax-MXUSL_SaTuQFyXxi8cF8StaNlMWHofMlIW0w7syUzSBy-8U58vdPHtESF9M1marjBUkhqtRrOfFRSoJdIzGMub5i5_PHADFyxlZ4fV1_q3O0krNgB00Nxt_-MOa8Z3TUINPhKSfJRNUmn', 'width': 2048}]",ChIJuSqXP3ncJIgRVuPVUT5wEK8,"{'compound_code': 'HXGC+X5 Sterling Heights, MI, USA', 'global_code': '86JRHXGC+X5'}",2.0,4.4,ChIJuSqXP3ncJIgRVuPVUT5wEK8,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1760.0,"38550 Van Dyke Avenue, Sterling Heights",
OPERATIONAL,"{'location': {'lat': 42.58128199999999, 'lng': -83.028578}, 'viewport': {'northeast': {'lat': 42.5826254802915, 'lng': -83.0273432197085}, 'southwest': {'lat': 42.5799275197085, 'lng': -83.0300411802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 2985, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101947890989202837256"">Jayesh Chirayil</a>'], 'photo_reference': 'AW30NDzxkWPVThbxEeTGqxZ5diBMOOaCLMaaT7fa37TR2rQsx4YI8GQgIZ4jzOV-DBYzf0r6t9fuScarCazbZd6d0GA4Avv4vUL5EkAncQ40rY-HbZOx0Nk82mvo0P6cq7m2HSSdsMprjE7BXi_7nt3N2PKGxmIfO0TpWaCYTQRS2uX97q5k', 'width': 1991}]",ChIJb1_MgnvcJIgRyyMW2cGNIJQ,"{'compound_code': 'HXJC+GH Sterling Heights, MI, USA', 'global_code': '86JRHXJC+GH'}",1.0,4.1,ChIJb1_MgnvcJIgRyyMW2cGNIJQ,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",479.0,"39050 Van Dyke Avenue, Sterling Heights",
OPERATIONAL,"{'location': {'lat': 42.5661088, 'lng': -83.0501403}, 'viewport': {'northeast': {'lat': 42.56757548029151, 'lng': -83.04868681970851}, 'southwest': {'lat': 42.56487751970851, 'lng': -83.05138478029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tim Hortons,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118296848890532773482"">Basam Esac</a>'], 'photo_reference': 'AW30NDwK705m1Z_T_uml1SKdvxDcHUhRMJNZ_EY9kRV9BpTIn9zvAFC2Xdqk17QrJXFUaBSVzSKPXouit1JmxZOyVHVfWgcPypCcjdfIkJLlq4FG7TmmIURb08J9O_V7S90aKv5u7VmxHt14UQgfs-klkXOkBXAe4XEE_JQgg3VuPyUnsMlO', 'width': 4032}]",ChIJtfwPm2XbJIgRBUzjQwksnmA,"{'compound_code': 'HW8X+CW Sterling Heights, MI, USA', 'global_code': '86JRHW8X+CW'}",1.0,3.4,ChIJtfwPm2XbJIgRBUzjQwksnmA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",534.0,"37121 Mound Road, Sterling Heights",
OPERATIONAL,"{'location': {'lat': 42.5504655, 'lng': -83.0281688}, 'viewport': {'northeast': {'lat': 42.55186743029149, 'lng': -83.0268156697085}, 'southwest': {'lat': 42.5491694697085, 'lng': -83.0295136302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tim Hortons,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112728814115699617656"">Maryam Yono</a>'], 'photo_reference': 'AW30NDwgXElb-XxUUVKjnWgjxeRCJdYZrEdNcNEPOzsYNEPf3AvEi-sfAly29XcCm6Orv7p3h6XoauFP-Dr1yXph_di2vZ6r1-jmdoZpT2m023iXuTdu_ZVjkwTdBdj0lsH5HMpUGeuBXDrs6X3JsY7v7WHdsjnYENLx6hNQ64kjS8KRfhBG', 'width': 4032}]",ChIJV2WedaPbJIgRyC7yW1sGg0Q,"{'compound_code': 'HX2C+5P Sterling Heights, MI, USA', 'global_code': '86JRHX2C+5P'}",1.0,3.5,ChIJV2WedaPbJIgRyC7yW1sGg0Q,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",546.0,"34918 Van Dyke Avenue, Sterling Heights",
OPERATIONAL,"{'location': {'lat': 42.5944454, 'lng': -83.0288104}, 'viewport': {'northeast': {'lat': 42.5957747802915, 'lng': -83.0275610197085}, 'southwest': {'lat': 42.5930768197085, 'lng': -83.0302589802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jimmy John's,{'open_now': True},"[{'height': 3530, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115158791794775017038"">Debbie Kopich</a>'], 'photo_reference': 'AW30NDwzcLesRupQAjN8_KxOVwI1vnXYrOkuSSqiURgJNRs9VBVtZVrM0V2h_EpXILktW7plNWciwLfJ-cuCAdpJf1honA1198j5rAMdY9zbPC_9WhbI3fecAxGVVKfDpMIbNXCo4lSALHTdO-HM1uiJYX3-OJz45r6jpxb2W16JU2GU2Vom', 'width': 2755}]",ChIJpQRQ-l3cJIgRrDDinbpOTys,"{'compound_code': 'HXVC+QF Sterling Heights, MI, USA', 'global_code': '86JRHXVC+QF'}",1.0,3.4,ChIJpQRQ-l3cJIgRrDDinbpOTys,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",132.0,"40846 Van Dyke Avenue, Sterling Heights",
CLOSED_TEMPORARILY,"{'location': {'lat': 42.5557926, 'lng': -83.0321597}, 'viewport': {'northeast': {'lat': 42.5570186302915, 'lng': -83.02800350000001}, 'southwest': {'lat': 42.5543206697085, 'lng': -83.0335451}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113678194113268701718"">Zoran “Zee” Zdravkovic</a>'], 'photo_reference': 'AW30NDwZ0eKRej5AGOtiNpP__8opZNUfQoHD6iFvla_DO1xqiycPmQ1UMg93flGPr0Gv9rLf8sYro6tvJ52zfe0Ib4M_TvC432KxXYdpLs00Ca9mKfPgID6JOZHz7e1ToJF4z3MKl1vFo1S9GeNbtEW_AC8Vfr5SEoirxkxMt7lXJTPRnwyU', 'width': 3024}]",ChIJlSmHpJ_bJIgRmhiDnfJuH1U,"{'compound_code': 'HX49+84 Sterling Heights, MI, USA', 'global_code': '86JRHX49+84'}",1.0,2.6,ChIJlSmHpJ_bJIgRmhiDnfJuH1U,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",62.0,"35777 Van Dyke Avenue, Sterling Heights",True
OPERATIONAL,"{'location': {'lat': 42.5646394, 'lng': -83.030154}, 'viewport': {'northeast': {'lat': 42.5659093302915, 'lng': -83.0288380697085}, 'southwest': {'lat': 42.5632113697085, 'lng': -83.0315360302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Gator Jake's Bar & Grill,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112285013037813998253"">Gator Jake&#39;s Bar &amp; Grill</a>'], 'photo_reference': 'AW30NDzP3ogfYSTsCpmXl7uj751NaUI2FTmRqk3ZVaB7p8E7TEl5zyRovEnfp4exBLafUonXKUBUtspkgpKukCgFb4IbCBhOG0TjT7Nt2bmC1jO-_iyOiwtfAYt8O7_mNGWJo_Si1rRlrLCJgwwVfeRTJdMIDYb7lWK_yNLW5KRvqCPdYb8t', 'width': 3024}]",ChIJ6e65roTbJIgRBGvB-tCgjq8,"{'compound_code': 'HX79+VW Sterling Heights, MI, USA', 'global_code': '86JRHX79+VW'}",2.0,4.3,ChIJ6e65roTbJIgRBGvB-tCgjq8,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1331.0,"36863 Van Dyke Avenue, Sterling Heights",
OPERATIONAL,"{'location': {'lat': 42.57169, 'lng': -83.02803399999999}, 'viewport': {'northeast': {'lat': 42.57310593029149, 'lng': -83.02685671970849}, 'southwest': {'lat': 42.5704079697085, 'lng': -83.02955468029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Shogun,{'open_now': True},"[{'height': 1971, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113369004777732547579"">Samantha Hodges</a>'], 'photo_reference': 'AW30NDySbb2rswbvDdkMIauqBoc270m047AOifYlMg7MbSuOv6es7ezSEEQRAskejXBCB5Qtgb4zGoXWSTNo6493fe1YOXVoNmrs2wYbdsigubGdpQ9LbUcG8jvITS6BxA3gfK2_76g2BnvtISj_xcL1uaEFC0UWgzuQkma0WudqfqlQ37My', 'width': 3000}]",ChIJLwm2IIfbJIgRuklCKJvIhwg,"{'compound_code': 'HXCC+MQ Sterling Heights, MI, USA', 'global_code': '86JRHXCC+MQ'}",2.0,4.0,ChIJLwm2IIfbJIgRuklCKJvIhwg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",781.0,"37750 Van Dyke Avenue, Sterling Heights",
OPERATIONAL,"{'location': {'lat': 42.55183, 'lng': -83.0492694}, 'viewport': {'northeast': {'lat': 42.5531299802915, 'lng': -83.0479158697085}, 'southwest': {'lat': 42.5504320197085, 'lng': -83.05061383029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hardee's,{'open_now': False},"[{'height': 270, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110522478322998672725"">Hardee&#39;s</a>'], 'photo_reference': 'AW30NDzcv10XC9646iizoPUC_ooPA4AqSOXZJnVfdw5BfkCL32wufhh1hPM16aoyqTZ9JnW4IUnPhZEF8q0gynePi8koT6ZpQoHl27PUm5Wo4TrR4CNCGvA83hhLgykF5RiB1AL4un5kBOWSDFatIrHkADxoc2sxaOg8QoI60610wl62ExI0', 'width': 480}]",ChIJhccGNhLbJIgRmLl2mkq5vnY,"{'compound_code': 'HX22+P7 Sterling Heights, MI, USA', 'global_code': '86JRHX22+P7'}",1.0,4.0,ChIJhccGNhLbJIgRmLl2mkq5vnY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1324.0,"35155 Mound Road, Sterling Heights",
OPERATIONAL,"{'location': {'lat': 42.5532861, 'lng': -83.0101}, 'viewport': {'northeast': {'lat': 42.5545820302915, 'lng': -83.0086962697085}, 'southwest': {'lat': 42.5518840697085, 'lng': -83.0113942302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Ventimiglia Italian Foods,{'open_now': False},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102067076215896862041"">DETROIT BLACKQUEEN</a>'], 'photo_reference': 'AW30NDxQZpkBLSPPdmpkYJs7TVP7pjXFDl_EvOsst3Iqk9855qIWNYX4ki-ztg50tlDOBBWbrx89O8-ih498H8Xnazb5-RwtvUT0LiVQ-4F5CSP9QHltQRiqDu03dlLguLTkN697vZcIXPCTMCuxrLXmdWowiGsnh4csn6cnKM0GW_Ri8qaj', 'width': 3120}]",ChIJbSSv4sHbJIgRvobSVQEYztE,"{'compound_code': 'HX3Q+8X Sterling Heights, MI, USA', 'global_code': '86JRHX3Q+8X'}",,4.8,ChIJbSSv4sHbJIgRvobSVQEYztE,GOOGLE,"['grocery_or_supermarket', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",1193.0,"35197 Dodge Park Road, Sterling Heights",
