business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,permanently_closed,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours
CLOSED_TEMPORARILY,"{'location': {'lat': 37.9988092, 'lng': -121.31261}, 'viewport': {'northeast': {'lat': 37.99998618029149, 'lng': -121.3112016697085}, 'southwest': {'lat': 37.9972882197085, 'lng': -121.3138996302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,True,"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110339574247301655099"">Subway</a>'], 'photo_reference': 'AW30NDwxBWdd4AXvUCkWcGJN5Un0VikBf3ZrWbH8o_8uziXNrGr-WCzNF0WDzGjpgu13QsyxnY7zifsTlxIcVdSDSrmIyNC4VSxuG3v6HUBV3KcUfTVylAsu62Y5xYszfiNKO830YtZO6UoyI8UKqxU5ycF4QiIfu355u5klGmQna9ma6tFl', 'width': 1763}]",ChIJDduSNlcMkIARnMHEP1Qsexo,"{'compound_code': 'XMXP+GX Stockton, CA, USA', 'global_code': '849WXMXP+GX'}",1.0,4.1,ChIJDduSNlcMkIARnMHEP1Qsexo,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",74,"5308 Pacific Avenue Space 92, Stockton",
CLOSED_TEMPORARILY,"{'location': {'lat': 37.99859319999999, 'lng': -121.312832}, 'viewport': {'northeast': {'lat': 37.9998596302915, 'lng': -121.3112339697085}, 'southwest': {'lat': 37.9971616697085, 'lng': -121.3139319302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chinese Gourmet Express,True,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106048594040559266687"">B W</a>'], 'photo_reference': 'AW30NDwuRUBcxIJ11FrgJq0rfygWl7tJMaCzhVP2NAcTRBhYRSZusS1HwoAUn30k1f9m_eq5Wk6p1YmjGsKzenLC_jhTNKp44C6ss7f-iR4QGW8LVM27iO9YEN5uuDYRWgGVh_XYjlH86KkJhFQWY9iJa_mZVnTGQ4fCwButMgR9tEXHcbtJ', 'width': 4032}]",ChIJDduSNlcMkIARwn4Hw61_I2U,"{'compound_code': 'XMXP+CV Stockton, CA, USA', 'global_code': '849WXMXP+CV'}",1.0,4.2,ChIJDduSNlcMkIARwn4Hw61_I2U,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",17,"5308 Pacific Avenue #98, Stockton",
OPERATIONAL,"{'location': {'lat': 37.9548834, 'lng': -121.2895268}, 'viewport': {'northeast': {'lat': 37.9561332802915, 'lng': -121.2883144197085}, 'southwest': {'lat': 37.9534353197085, 'lng': -121.2910123802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Misaki Sushi & Bar,,"[{'height': 853, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110352208458012383927"">Son Mai, G Tour Photos</a>'], 'photo_reference': 'AW30NDzc9f9iJALUHnPK-aVuWjCR4gB-6qlIjw-IsY-Uw958lvW24qDwyqJOtQFeW53Py2Gi5kTWb00gt8myQckHKpYBnzafwr5yUHcdR1f8Zd1qDdM3T35aGOdxhSV58bVkAt3YLKuuAuNyiI1RxqF2AJCIeauKllHwqqK8YHf_aE9rmI6W', 'width': 1280}]",ChIJF777x54SkIARwerHxXCkJQs,"{'compound_code': 'XP36+X5 Stockton, CA, USA', 'global_code': '849WXP36+X5'}",2.0,4.5,ChIJF777x54SkIARwerHxXCkJQs,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1007,"222 North El Dorado Street M, Stockton",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 37.9946689, 'lng': -121.3134374}, 'viewport': {'northeast': {'lat': 37.9959546302915, 'lng': -121.3119206197085}, 'southwest': {'lat': 37.9932566697085, 'lng': -121.3146185802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chipotle Mexican Grill,,"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108775656896541008506"">Tammy Altes</a>'], 'photo_reference': 'AW30NDx1EYw4DAkMNR6p6fFWQAJdyGtTt1COfkXaKG6ST5Yoq5bG2Pgn_DOJdGLTsHR4dp5jhU3pwIxAm6Rxo4HnSSlVK8ckYJ343Ub1FfdML1IFMwbZlZpQWBKopU3XyluJ_-ruH-cTHROF0E09UK04IOfhQpMXyvggAmJn1HJ2v8BzqTdz', 'width': 3096}]",ChIJp_58U1EMkIARgOkjxUfGbzo,"{'compound_code': 'XMVP+VJ Stockton, CA, USA', 'global_code': '849WXMVP+VJ'}",1.0,4.0,ChIJp_58U1EMkIARgOkjxUfGbzo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",928,"4940 Pacific Avenue, Stockton",{'open_now': True}
CLOSED_TEMPORARILY,"{'location': {'lat': 37.9725486, 'lng': -121.301435}, 'viewport': {'northeast': {'lat': 37.97394748029149, 'lng': -121.2999639697085}, 'southwest': {'lat': 37.97124951970849, 'lng': -121.3026619302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,True,"[{'height': 940, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101324377386139846271"">Subway</a>'], 'photo_reference': 'AW30NDzLxZCmCpByNSEp8C8XqhPXi8kaFSdywtVhM_VWOo6qRBD5IQOINdWh1K6twKgak35GoG592zhZnoJyOQ-aZVIMQS1Yxq8Lw5uJvDb-EGhX4ipFuxgmLi0S7GBVtEVrTZj2YUSReoXUSaPRCgRCftcsujraANcAEY7gmsHzOqLtrhUG', 'width': 940}]",ChIJE7-en3MNkIAROZRNZnzRw4Y,"{'compound_code': 'XMFX+2C Stockton, CA, USA', 'global_code': '849WXMFX+2C'}",1.0,3.7,ChIJE7-en3MNkIAROZRNZnzRw4Y,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",84,"2353 Pacific Avenue Suite C, Stockton",
OPERATIONAL,"{'location': {'lat': 37.9847144, 'lng': -121.3472386}, 'viewport': {'northeast': {'lat': 37.98601388029149, 'lng': -121.3457426697085}, 'southwest': {'lat': 37.9833159197085, 'lng': -121.3484406302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Habit Burger Grill,,"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114177327713804401016"">Sheila Mcclain</a>'], 'photo_reference': 'AW30NDxEmIci8bY-bjpBbvqkwybKGQlM_WlWQcDPWg6uouoym9bJp1y1gS1Cr4-qJMTvpIshESFNdh6cibsrPpZTlsiNRuqCCf3dkV99qBCWNZ0CKi3_H8jlkDpasTtkTXgjUhjtJmPSzLX1dt_lQYDm1nCsUJkKbqrs_aXWY1ZT2jfIUfXI', 'width': 5312}]",ChIJE7tZFiwMkIARs1X_um0jGFc,"{'compound_code': 'XMM3+V4 Stockton, CA, USA', 'global_code': '849WXMM3+V4'}",1.0,4.3,ChIJE7tZFiwMkIARs1X_um0jGFc,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1647,"2829 West March Lane STE C-1, Stockton",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 37.9542489, 'lng': -121.2859335}, 'viewport': {'northeast': {'lat': 37.9555609802915, 'lng': -121.2846691697085}, 'southwest': {'lat': 37.9528630197085, 'lng': -121.2873671302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100776900163969348914"">Subway</a>'], 'photo_reference': 'AW30NDz9rHHkV8t-7kJcnWpG2MnJENw_Pd2M2I3YkDpQs7vX7of1hYCftV-cq7XTRptvbEWKoh9IBIH7mh6dUlCPOc4tsHOtZ0O8Cp0yhoIsu0WLaJM4W-SD9TTpBZZ43Yhpa-ckB4s5uYKlEHBwR31mJlgEBwFkxN3B48ecd07NAzA1Ijvf', 'width': 1763}]",ChIJ52M3mZgSkIAREELNWFiLbJ4,"{'compound_code': 'XP37+MJ Stockton, CA, USA', 'global_code': '849WXP37+MJ'}",1.0,4.3,ChIJ52M3mZgSkIAREELNWFiLbJ4,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",134,"46 North Sutter Street, Stockton",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 37.9854289, 'lng': -121.3425923}, 'viewport': {'northeast': {'lat': 37.9868140802915, 'lng': -121.3411215197085}, 'southwest': {'lat': 37.9841161197085, 'lng': -121.3438194802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,,"[{'height': 498, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114845562968737730055"">Eric Neitzel</a>'], 'photo_reference': 'AW30NDzQJ0be-dv7K54bh8tmdIIzGEH3B1K_drDJKNZck_goDubOn1ZNfExD1BIke1X52aF-WDGM9-X8631yYkuVSlKUyS_awlHmMWEAqdN8ffegbd5WJUwkcCePaSZFmqvQXnnJZZnwqv8iJiQ4ApOz8fQG68E-8HKHVaH5RsUUaeDCueMj', 'width': 774}]",ChIJ-VXodTIMkIAR3KLYh0Ic7fY,"{'compound_code': 'XMP4+5X Stockton, CA, USA', 'global_code': '849WXMP4+5X'}",2.0,4.3,ChIJ-VXodTIMkIAR3KLYh0Ic7fY,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2495,"2671 West March Lane, Stockton",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 37.9852709, 'lng': -121.3467471}, 'viewport': {'northeast': {'lat': 37.9864762802915, 'lng': -121.3454134197085}, 'southwest': {'lat': 37.9837783197085, 'lng': -121.3481113802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Round Table Pizza,,"[{'height': 2534, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109849026903893201606"">Jayasimha Nuggehalli</a>'], 'photo_reference': 'AW30NDxvynqTVgAhvM7PoMKp1QvI0pA_R5H2wBLICSBz-_InKZi1-RaOXYCW3XSzWepj7ydBykHZOWhCSk0lkUzYixwnvYm_xDkC3zljda9xKhaBfNn6q2qetAUTiL7zEds2Gawpvb6AaRa0PwaJUAg85OWnRsMBAKHvKT9yH39X9BRJZgIj', 'width': 3800}]",ChIJU8vxJCwMkIARNAvZFsy-8mc,"{'compound_code': 'XMP3+48 Stockton, CA, USA', 'global_code': '849WXMP3+48'}",2.0,3.6,ChIJU8vxJCwMkIARNAvZFsy-8mc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",195,"2819 West March Lane A-5, Stockton",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 37.98394, 'lng': -121.346553}, 'viewport': {'northeast': {'lat': 37.9853558802915, 'lng': -121.3452303697085}, 'southwest': {'lat': 37.9826579197085, 'lng': -121.3479283302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,,"[{'height': 2723, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109849026903893201606"">Jayasimha Nuggehalli</a>'], 'photo_reference': 'AW30NDy5WB59yoku7AI1earx-eg4AS_prdC-cKdp3RNvMSWpPkEXp4zWU_OG42XMkl05bS3Vo4sIyFewcsrkec75o2kI5MCGta1uyQN9IrtjYXYSeV4lGzh3XT_LkoPxwHqR7E11NuKzQBrlWqh9DJuoXl-ELQzd2YnQE8VLtOtqM2x2sRQl', 'width': 4032}]",ChIJa2iqXCwMkIARZXAiqeyiimk,"{'compound_code': 'XMM3+H9 Stockton, CA, USA', 'global_code': '849WXMM3+H9'}",2.0,4.2,ChIJa2iqXCwMkIARZXAiqeyiimk,GOOGLE,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",826,"2866 West March Lane, Stockton",{'open_now': True}
