business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 37.376177, 'lng': -122.030136}, 'viewport': {'northeast': {'lat': 37.37756383029149, 'lng': -122.0288891197085}, 'southwest': {'lat': 37.37486586970849, 'lng': -122.0315870802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dishdash Middle Eastern Cuisine,{'open_now': True},"[{'height': 2176, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104235809428165174892"">Ganesh K</a>'], 'photo_reference': 'AW30NDzhL4xjXo9uA1f7GsGMwVP-wp-wdTgqB-5uTu9B3Kh21ouQfGsoDR44BtN3g_Lw1bXZdOlV8PW0iyJa6LQ9NFjSRJ3fvDJO3RHN_h-0Fa9629MD4JX_3_UeHq0Hvpv6CZmz6mlFzebRDt60ZXcydj-zOMvoAV2ir0kPsNk3oSkzFn75', 'width': 4608}]",ChIJS-AArV22j4AR1rJD3ENugCU,"{'compound_code': '9XG9+FW Sunnyvale, CA, USA', 'global_code': '849V9XG9+FW'}",2.0,4.6,ChIJS-AArV22j4AR1rJD3ENugCU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",5232.0,"190 South Murphy Avenue, Sunnyvale",
OPERATIONAL,"{'location': {'lat': 37.3825627, 'lng': -121.9953639}, 'viewport': {'northeast': {'lat': 37.3839246802915, 'lng': -121.9937621697085}, 'southwest': {'lat': 37.3812267197085, 'lng': -121.9964601302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,St. John's Bar & Grill,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109013947771483713211"">Michael Han</a>'], 'photo_reference': 'AW30NDzLyt6UajIdTrkBmib4q2VxnP57wk5-CyvuwnYuzLRD1Fnat9_aO0YTHAr9IjUNhzuTTLh1nQC_i_ln6ptyRy3qts8Yi1A-a_5w5oOtZlzaFO60nBHBcry13V5AUp9Jg3_m_8uL5Bef-uUUSMZE54B6izlRof0wDsRyZ40Y0riA_1E', 'width': 4032}]",ChIJySYS8p-1j4ARZCT6mFLkO9E,"{'compound_code': '92M3+2V Sunnyvale, CA, USA', 'global_code': '849W92M3+2V'}",2.0,4.5,ChIJySYS8p-1j4ARZCT6mFLkO9E,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3082.0,"510 Lawrence Expressway, Sunnyvale",
OPERATIONAL,"{'location': {'lat': 37.387637, 'lng': -121.9924988}, 'viewport': {'northeast': {'lat': 37.38889633029149, 'lng': -121.9911208197085}, 'southwest': {'lat': 37.3861983697085, 'lng': -121.9938187802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Faultline Brewing Company Sunnyvale,{'open_now': True},"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115556351723864449582"">Faultline Brewing Company Sunnyvale</a>'], 'photo_reference': 'AW30NDyUaeGVfNWhZrSTNQjTeF55sAej0uaiSMovJdXKOQzc8zJCcwk3OLgg7cjsDiDCAOvoGfD0kIPTgC0O4qClUkjQKLKlu4zZXK2Emo8N_Y8rBN3jU1Mg38OJK2nednXCFupLQMhZAZhbig40W9-bekza5T9ads1JNrbBoXXnHoZzs0W0', 'width': 2400}]",ChIJvQFJjt_Jj4ARBdSOaKE_wGo,"{'compound_code': '92Q5+32 Sunnyvale, CA, USA', 'global_code': '849W92Q5+32'}",2.0,4.1,ChIJvQFJjt_Jj4ARBdSOaKE_wGo,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1021.0,"1235 Oakmead Parkway, Sunnyvale",
OPERATIONAL,"{'location': {'lat': 37.3955388, 'lng': -122.0280205}, 'viewport': {'northeast': {'lat': 37.3969765302915, 'lng': -122.0267965197085}, 'southwest': {'lat': 37.3942785697085, 'lng': -122.0294944802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hobee's,{'open_now': False},"[{'height': 315, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102812440369192328274"">Hobee&#39;s</a>'], 'photo_reference': 'AW30NDwe6EHqeT1GgRj1nfzBf_VWwS0HCeqhPIhOtSBlXvn_R8uA1QOdBfJ-zyBdk3skgcrlP_AMA_HIErw-EJqhhVtm6A7Uw1b_y4Vr796VvPqchYXqG2IIy1sVwXaxVCYR_pgh-tNElTIlDGuuzhu7zeRNx9mF2WUvrfQ0k0s3HDqPncVl', 'width': 500}]",ChIJA__sba23j4AR-ZY9YZj_DbY,"{'compound_code': '9XWC+6Q Sunnyvale, CA, USA', 'global_code': '849V9XWC+6Q'}",2.0,4.3,ChIJA__sba23j4AR-ZY9YZj_DbY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1492.0,"800 West Ahwanee Avenue, Sunnyvale",
OPERATIONAL,"{'location': {'lat': 37.388266, 'lng': -122.0303206}, 'viewport': {'northeast': {'lat': 37.3897100802915, 'lng': -122.0289519197085}, 'southwest': {'lat': 37.3870121197085, 'lng': -122.0316498802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116207669875373816117"">Wilson Pang</a>'], 'photo_reference': 'AW30NDzxft7y4NIc_qyrz1himFNs9VRZAzn4QlVChvNpLaNcXhZhhzntL9GVIeqE-nZXvy20lbPrfiq0kh9Gf3yPg5vbNACNtnKiOSCd3Wd5dSi4N-NMgDq0LULJXvqkbhVe42utCG5_SgRE0vMbgcynhpPgY-Ufk6oAsQUkzut58Yl5QFC8', 'width': 4032}]",ChIJXZOffVG2j4ARDIOkl-a4OqY,"{'compound_code': '9XQ9+8V Sunnyvale, CA, USA', 'global_code': '849V9XQ9+8V'}",2.0,3.9,ChIJXZOffVG2j4ARDIOkl-a4OqY,GOOGLE,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",734.0,"460 North Mathilda Avenue, Sunnyvale",
OPERATIONAL,"{'location': {'lat': 37.3764562, 'lng': -122.0304191}, 'viewport': {'northeast': {'lat': 37.3777844302915, 'lng': -122.0290026697085}, 'southwest': {'lat': 37.3750864697085, 'lng': -122.0317006302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tao Tao,{'open_now': False},"[{'height': 2176, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104235809428165174892"">Ganesh K</a>'], 'photo_reference': 'AW30NDyLbnmKsocG07VNwoVIpLV4GpDOPzQgPDyLXkgWAVVca-2UBjPwZLGekJl-mCxadF4pfh6YYLgc35AiVdG83hqj_TYsQwWd9lSjLL4biSw1pSa2VPzKXvhtUVqVt9mvyfezNmeOR1pQEMxR6sYdJjM02FuTfKfZyD2UNwQ5oyURA8LC', 'width': 4608}]",ChIJ2zODUly2j4ARarCCkZ4qYSE,"{'compound_code': '9XG9+HR Sunnyvale, CA, USA', 'global_code': '849V9XG9+HR'}",2.0,4.1,ChIJ2zODUly2j4ARarCCkZ4qYSE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",471.0,"175 South Murphy Avenue, Sunnyvale",
OPERATIONAL,"{'location': {'lat': 37.390196, 'lng': -122.0141218}, 'viewport': {'northeast': {'lat': 37.3915889302915, 'lng': -122.0127736197085}, 'southwest': {'lat': 37.3888909697085, 'lng': -122.0154715802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Chavez Supermarket,{'open_now': True},"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102096716415919974027"">E. David Romero</a>'], 'photo_reference': 'AW30NDyx62mUyg4UP7KIRZpWI0W4ZWD4fp-XRjgQTl7uLKdDe_aAWBycMfkdL0kTCGKV2JMBpYG0vGinKylUUPDJR_VAZ_CROiXs1O74T_bPH4NoDjnjdSWDf42_GKwUMo4GBpBoO2cT2Bhw-yE0-OuOF8omDeHbddav7BfUjGH8kB1bktWe', 'width': 2448}]",ChIJoelnuDe2j4AR6Pkcx2OLqfY,"{'compound_code': '9XRP+39 Sunnyvale, CA, USA', 'global_code': '849V9XRP+39'}",,4.1,ChIJoelnuDe2j4AR6Pkcx2OLqfY,GOOGLE,"['restaurant', 'grocery_or_supermarket', 'food', 'store', 'finance', 'point_of_interest', 'establishment']",1753.0,"666 North Fair Oaks Avenue, Sunnyvale",
OPERATIONAL,"{'location': {'lat': 37.3787688, 'lng': -121.9953385}, 'viewport': {'northeast': {'lat': 37.38021188029149, 'lng': -121.9940804197085}, 'southwest': {'lat': 37.3775139197085, 'lng': -121.9967783802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Quarter Note Bar & Grill,{'open_now': False},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107850667982314523001"">MAC S</a>'], 'photo_reference': 'AW30NDxidgZkx1cGhhPKxgoIewpO4qlTDFZl9QtEIJkTcqfQ2Ru0X-yk9QpxQiS508lIlEXOKaBnhwpkeMv1VU49W7dl7hg_u0yTr8iHhsx4NwTNI4xlt3XIfCdcP5MeiwpBUNlUa6MDcdYgtrhp7SXKBOBGV-d9VnBBgSMaP8NWR5qb8IyQ', 'width': 4160}]",ChIJbdQi0h22j4ARhEaYM2ENgXI,"{'compound_code': '92H3+GV Sunnyvale, CA, USA', 'global_code': '849W92H3+GV'}",1.0,4.3,ChIJbdQi0h22j4ARhEaYM2ENgXI,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",324.0,"1214 Apollo Way, Sunnyvale",
OPERATIONAL,"{'location': {'lat': 37.38064499999999, 'lng': -122.007696}, 'viewport': {'northeast': {'lat': 37.3819696802915, 'lng': -122.0062033697085}, 'southwest': {'lat': 37.37927171970851, 'lng': -122.0089013302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sri Ananda Bhavan - Sunnyvale,{'open_now': True},"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115312823793908149422"">Sri Ananda Bhavan - Sunnyvale</a>'], 'photo_reference': 'AW30NDx6GCmAmVt7DJEgPlwA6sC6iQgamqdBNqxnnGEldzAKgCqjUVtaegrEcfhYMjO7N2hMs7OUBLL-4svWipsdf1NZ4ybfV9gLNXk37zblf-G-xIEIMCOJvC0SACC2BfmQ1LZEpAGTYJkPpk4nG3fGX1YJ9V-zwnsML1HYbrBtRNwm68Bt', 'width': 1042}]",ChIJaycRKRa2j4AR83NNzfgnGYw,"{'compound_code': '9XJR+7W Sunnyvale, CA, USA', 'global_code': '849V9XJR+7W'}",2.0,3.8,ChIJaycRKRa2j4AR83NNzfgnGYw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1401.0,"920 East Arques Avenue, Sunnyvale",
OPERATIONAL,"{'location': {'lat': 37.3834238, 'lng': -121.9954578}, 'viewport': {'northeast': {'lat': 37.38466988029149, 'lng': -121.9939400197085}, 'southwest': {'lat': 37.3819719197085, 'lng': -121.9966379802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tasty Subs & Pizza,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113521337049060101910"">Divya Agrawal</a>'], 'photo_reference': 'AW30NDzw1qO25p7FxAboyGq8g6ksO-uJ28w7W2AO3tq9SKJWXC6i1DIxa7WYFzrlqZs7td1xLBuAACWcZ2iloPCmEPnaovtguJRNouBLomQbnhwZzSP_VE8mMKFHXd_sz-WR5EPYGRxIjjRq9lAd1gr1TqSIx2zjS6cNkFp5UB7SlcONpbGD', 'width': 4032}]",ChIJ9YoEpR-2j4ARO_aEnQAFS70,"{'compound_code': '92M3+9R Sunnyvale, CA, USA', 'global_code': '849W92M3+9R'}",1.0,4.2,ChIJ9YoEpR-2j4ARO_aEnQAFS70,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1999.0,"528 Lawrence Expressway, Sunnyvale",
