business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.638331, 'lng': -112.412288}, 'viewport': {'northeast': {'lat': 33.6396626302915, 'lng': -112.4110591197085}, 'southwest': {'lat': 33.63696466970851, 'lng': -112.4137570802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Babbo Italian Eatery,{'open_now': True},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109428677685714361867"">Chris Hancock</a>'], 'photo_reference': 'AW30NDyF6syxujH-kYHw0m2ONCRskA51mT6f6Y3pgQdngOeAH5SSOnLUtt-7wIAj_hBQ6zjO8rpQ9VTtUO5odAcW0xRnCt4uBLq5ZNZ1Iazx5bJAoMdGj_xGoNptrXVdvkO9Osa5NnCZNY1M791vWRka9aDGUCUajSjKoyxqQl5mr3ZNnE2r', 'width': 3840}]",ChIJR8xpmspaK4cRImjAarKFUX0,"{'compound_code': 'JHQQ+83 Surprise, AZ, USA', 'global_code': '8559JHQQ+83'}",2.0,4.2,ChIJR8xpmspaK4cRImjAarKFUX0,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",1472,"16433 West Bell Road, Surprise",
OPERATIONAL,"{'location': {'lat': 33.607844, 'lng': -112.392608}, 'viewport': {'northeast': {'lat': 33.6092412802915, 'lng': -112.3913724197085}, 'southwest': {'lat': 33.6065433197085, 'lng': -112.3940703802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Vogue Bistro,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108832072754658544743"">David Thomas</a>'], 'photo_reference': 'AW30NDy6wH-u38B3M4AfUD5En0ZleiGm0pKQQwWJIW_OT-9iSbQUgvxJvdOJ3ii5pc-2UvJDZ9bIoO3BUrPaMHjhqyteH9uG_4j3sJx7_-KjBh7WodMOP6K7SMlUssSaR7wdCZBny80T8N-Xvn_rCeIqd_RJaW1Dl3RJihr1RS7bz1mUYQQn', 'width': 3024}]",ChIJERztjhpFK4cR-lcq_Bw4F7c,"{'compound_code': 'JJ54+4X Surprise, AZ, USA', 'global_code': '8559JJ54+4X'}",3.0,4.3,ChIJERztjhpFK4cR-lcq_Bw4F7c,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",1011,"15411 West Waddell Road, Surprise",
OPERATIONAL,"{'location': {'lat': 33.6534674, 'lng': -112.3713658}, 'viewport': {'northeast': {'lat': 33.6547156802915, 'lng': -112.3699199697085}, 'southwest': {'lat': 33.6520177197085, 'lng': -112.3726179302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117183698180592058334"">Matt McLean</a>'], 'photo_reference': 'AW30NDxM6UA8Axwps4kXhDfheSQ7Soq4_OTaEh5nj6wM-oOk7M5Ggf2GZVaLogY_GgRLnGy05s97EWa2t4M4xsEupr-xW8Wixcc9bQWfqBpwRERfpWIrGjJwUCaevkE9aS-y-_sDVdf2VIAXQ37Drz2I8PrKFq0jvb0smoJ8ZpIP4Ja_R-U', 'width': 4000}]",ChIJMexxXCVbK4cRdOdrQfPoBqQ,"{'compound_code': 'MJ3H+9F Surprise, AZ, USA', 'global_code': '8559MJ3H+9F'}",1.0,3.9,ChIJMexxXCVbK4cRdOdrQfPoBqQ,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",94,"14455 West Grand Avenue Suite 100, Surprise",
OPERATIONAL,"{'location': {'lat': 33.6237497, 'lng': -112.4248394}, 'viewport': {'northeast': {'lat': 33.6250153302915, 'lng': -112.4235264197085}, 'southwest': {'lat': 33.6223173697085, 'lng': -112.4262243802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101987640776434030993"">Mike Diefendorf</a>'], 'photo_reference': 'AW30NDwmZkBz3pttKHJhSEaaaIJ9KkDqkQ9MTDE4SDk3P5D0jbbWnYGf7zoQaYZeoB5oKfjb6n2Aq0xPEElDkoXblhmfEyw8BL5csa-xRjL3embgtMUGk86R8QWpmGGIui_FWs0i6xyTDsssNzQSs_weUdbZRzfeVC5-fb1gpjzjzuhmbDeu', 'width': 1080}]",ChIJbcf4FldFK4cRLA9aX7Dpx-0,"{'compound_code': 'JHFG+F3 Surprise, AZ, USA', 'global_code': '8559JHFG+F3'}",1.0,3.7,ChIJbcf4FldFK4cRLA9aX7Dpx-0,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",252,"17019 West Greenway Road Suite 113, Surprise",
OPERATIONAL,"{'location': {'lat': 33.638155, 'lng': -112.3685252}, 'viewport': {'northeast': {'lat': 33.63956273029149, 'lng': -112.3671613697085}, 'southwest': {'lat': 33.6368647697085, 'lng': -112.3698593302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,In-N-Out Burger,{'open_now': True},"[{'height': 250, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113353569207161776769"">In-N-Out Burger</a>'], 'photo_reference': 'AW30NDyMzzQ4MZhjlUlH-e_S4GSD-aU2X4fUsNddOSY8yEAcbLYjdtYUXeXaObg_Vjj-brqkx-lXMLRhATojR3qI3mx16D9s9c4OvAs8QjcF2PsigWUdQG2BeOcl836LyjFLdd1UG_hIkhgKYMnEESEjIU4InR18BvgXm97MB-nOWt7gDK0p', 'width': 250}]",ChIJdwGTVDtV24ARh_TMvycG0sk,"{'compound_code': 'JJQJ+7H Surprise, AZ, USA', 'global_code': '8559JJQJ+7H'}",1.0,4.6,ChIJdwGTVDtV24ARh_TMvycG0sk,GOOGLE,"['restaurant', 'point_of_interest', 'food', 'establishment']",4805,"14321 West Bell Road, Surprise",
OPERATIONAL,"{'location': {'lat': 33.655317, 'lng': -112.375384}, 'viewport': {'northeast': {'lat': 33.6567450302915, 'lng': -112.3739943697085}, 'southwest': {'lat': 33.6540470697085, 'lng': -112.3766923302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Ray's Pizza,{'open_now': True},"[{'height': 3500, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116228841962289313297"">Ray&#39;s Pizza</a>'], 'photo_reference': 'AW30NDzdrooXnGOEfWi6sLSmV6n7sFlyqlFMHViq7zFChHjvUMAlEwG_3UrpEO3wrRSaabMp6pEy4DzhSYv88yppX3zJOdTBBoWb4EBFbXpUkyJnzYe0tCTJ24umjHVnYgW-jbvX5y-MCop8xqGbbWzbAHcQO1xOBEibxQzTXdNC3CZWtyhU', 'width': 5250}]",ChIJA85snZ9EK4cRKZXlCRFMXLo,"{'compound_code': 'MJ4F+4R Surprise, AZ, USA', 'global_code': '8559MJ4F+4R'}",2.0,4.5,ChIJA85snZ9EK4cRKZXlCRFMXLo,GOOGLE,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",541,"14545 West Grand Avenue #110, Surprise",
OPERATIONAL,"{'location': {'lat': 33.6367837, 'lng': -112.3587853}, 'viewport': {'northeast': {'lat': 33.6382381302915, 'lng': -112.3575277197085}, 'southwest': {'lat': 33.6355401697085, 'lng': -112.3602256802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Irish Wolfhound Restaurant & Pub,{'open_now': True},"[{'height': 1188, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105427528154588252317"">Irish Wolfhound Restaurant &amp; Pub</a>'], 'photo_reference': 'AW30NDx5GooctvV45fMsnVxAp0ljFDu7Zl10b08t21SZ1iypoNQ0zYr26dIIZd0Fy51sJbfl_A83pwXTL8mPcIE5F4WJ8XBeLG_Cyg9jbXpOEYSIt9_pVkhoJhRZ1cROCKfpswzHuW36eHvUtwCkBNHgSh7cDdWidVQtODIvC52m9TrlH3dW', 'width': 1773}]",ChIJTd0ZSchEK4cR4yPiCcXqKks,"{'compound_code': 'JJPR+PF Surprise, AZ, USA', 'global_code': '8559JJPR+PF'}",2.0,4.3,ChIJTd0ZSchEK4cR4yPiCcXqKks,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",2673,"16811 North Litchfield Road #102, Surprise",
OPERATIONAL,"{'location': {'lat': 33.638232, 'lng': -112.3954398}, 'viewport': {'northeast': {'lat': 33.6396088802915, 'lng': -112.3942191197085}, 'southwest': {'lat': 33.6369109197085, 'lng': -112.3969170802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Macayo's Mexican Food,{'open_now': True},"[{'height': 3344, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107551236012135838970"">Macayo&#39;s Mexican Food</a>'], 'photo_reference': 'AW30NDylKoi67d0yWRiYUxaGcGTdVh3PjTeoO8eQ031X9YInHXb_OdofNFBid_G5ip0TjLNl2JYk9gAbuvfcDA74N3bIcGXXjJfBeG1Cpot-ARqUDQMDf-RzSBGPT7eFe6Xd15owYY85Xyw8Tfpzy3KF8aA4XVF6DqvqLiCIN3qnXBrzcNIO', 'width': 5016}]",ChIJqx05zjJFK4cR-FnxeKu4oTE,"{'compound_code': 'JJQ3+7R Surprise, AZ, USA', 'global_code': '8559JJQ3+7R'}",2.0,3.9,ChIJqx05zjJFK4cR-FnxeKu4oTE,GOOGLE,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",2207,"15565 West Bell Road, Surprise",
OPERATIONAL,"{'location': {'lat': 33.6391425, 'lng': -112.3590635}, 'viewport': {'northeast': {'lat': 33.6405258302915, 'lng': -112.3575691697085}, 'southwest': {'lat': 33.6378278697085, 'lng': -112.3602671302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Buffalo Wild Wings,{'open_now': True},"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116770646739852870844"">Ekki</a>'], 'photo_reference': 'AW30NDxVAaDszF4ZLbl2PkzIXgEyoRGvlNxXuklqZMPjlEYNLe6G1xUmFUJ5dy2AKnWI2HhvrtVcZTg92d3_Ku2VoGmP5U9qfa29P6XcKQthmLM3C1j1SVT8foVsQWvEo7cxGBAzCCsGIsN3Nx0-vR0TfmbvnAF5KQ2f-CJjnOS-Fd5ZyL78', 'width': 2048}]",ChIJaZabwMlEK4cR9vzaibz58aE,"{'compound_code': 'JJQR+M9 Surprise, AZ, USA', 'global_code': '8559JJQR+M9'}",2.0,3.7,ChIJaZabwMlEK4cR9vzaibz58aE,GOOGLE,"['bar', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",1697,"13882 West Bell Road, Surprise",
OPERATIONAL,"{'location': {'lat': 33.63823420000001, 'lng': -112.3652811}, 'viewport': {'northeast': {'lat': 33.6395525302915, 'lng': -112.3640117197085}, 'southwest': {'lat': 33.6368545697085, 'lng': -112.3667096802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pei Wei Asian Kitchen,{'open_now': True},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111891874125961775292"">Lord John</a>'], 'photo_reference': 'AW30NDxl4FdVkFm7hYnzjNMpXbKarlv3_QbyUOy3a5DdXBRvXPzE4o5bA8kEpPNEBhQCy7ctaKkLH9WVSFCsyIUv2az4KiHaXQoAoWeDoXYFyBfG-XaF__Y2qiJnp39PGDr9XPbV6y8qmk4CqaLlf83uXmNvqUawR6r0oxG4DmptcvfEqgI', 'width': 4032}]",ChIJLQ7jZOlCK4cRB7VyRIi_BOo,"{'compound_code': 'JJQM+7V Surprise, AZ, USA', 'global_code': '8559JJQM+7V'}",2.0,3.4,ChIJLQ7jZOlCK4cRB7VyRIi_BOo,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",542,"14155 West Bell Road, Surprise",
