business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 43.0464172, 'lng': -76.13539879999999}, 'viewport': {'northeast': {'lat': 43.0478319802915, 'lng': -76.13413491970849}, 'southwest': {'lat': 43.0451340197085, 'lng': -76.1368328802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,"Collegian Hotel & Suites, Trademark Collection by Wyndham",{'open_now': True},"[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100850734738657404193"">Solas Studios Photography</a>'], 'photo_reference': 'AW30NDxfkggUaL2O38a6-sDKhQqVK1IYI-DZxJeSO2FQHSaRBMBvvFRbAfzio1tWkBknkf1KBuFiiT-qW-6N4jAaul4dtiNIuWBPlaQOYZX5aUFuE4W2LULMdocjn_iZqpXAOUnWpPMDPB0zAsdO9CRc6xVyX0t-P7Z_BSqj2USB2Ku7vW-z', 'width': 5760}]",ChIJbXjR46bz2YkRONbKfknxgnE,"{'compound_code': '2VW7+HR Syracuse, NY, USA', 'global_code': '87M52VW7+HR'}",4.0,ChIJbXjR46bz2YkRONbKfknxgnE,GOOGLE,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",1016.0,"1060 East Genesee Street, Syracuse",,
OPERATIONAL,"{'location': {'lat': 43.04672, 'lng': -76.13756699999999}, 'viewport': {'northeast': {'lat': 43.0480367302915, 'lng': -76.1363070697085}, 'southwest': {'lat': 43.0453387697085, 'lng': -76.13900503029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Phoebe's Restaurant & Coffee Lounge,{'open_now': False},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116794142480052692210"">Phoebe&#39;s Restaurant &amp; Coffee Lounge</a>'], 'photo_reference': 'AW30NDyIdP_SGHyr2rKorV0ycxejRCwWqXZuIcS-8OGKyxciZArwwORM2z76DMglM1Xj6sqDOLe6QocKdT1Z91RNR6m2PRZYn6MVxWTB9G299CioQhWb_HO3IBDAHd2XinENvISu1eQiDkGVDqbjkN2nMY9SsBKOGu3Hd1Qvr4rBRemS8SLE', 'width': 1440}]",ChIJ4XPPn6bz2YkRKrZtWuXTaA0,"{'compound_code': '2VW6+MX Syracuse, NY, USA', 'global_code': '87M52VW6+MX'}",4.6,ChIJ4XPPn6bz2YkRKrZtWuXTaA0,GOOGLE,"['meal_takeaway', 'cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",623.0,"900 East Genesee Street, Syracuse",2.0,
OPERATIONAL,"{'location': {'lat': 43.0479752, 'lng': -76.13765099999999}, 'viewport': {'northeast': {'lat': 43.0494430802915, 'lng': -76.1363158697085}, 'southwest': {'lat': 43.0467451197085, 'lng': -76.1390138302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Strong Hearts,{'open_now': True},"[{'height': 555, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101970231781677702885"">Strong Hearts</a>'], 'photo_reference': 'AW30NDyVXLlVleenTKZeF9oHtdReB3xxCqQasiPdyOlw8LkcLeUH7pDqRG76doEYJ3TfgvzWmzgnagtkW-sXNlMPJugz6AYK2ndNH79QzrcwPhPgHmKVj0rE41DIqN_vGjURXt3Ob61GqaJVbMXChSTX_vj1r1XMvAn2CNdlSr4gBV2Ac1Qd', 'width': 984}]",ChIJTRF-X6Tz2YkRu33OOPT4VcU,"{'compound_code': '2VX6+5W Syracuse, NY, USA', 'global_code': '87M52VX6+5W'}",4.6,ChIJTRF-X6Tz2YkRu33OOPT4VcU,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",1473.0,"315 Irving Avenue, Syracuse",2.0,
OPERATIONAL,"{'location': {'lat': 43.0418336, 'lng': -76.1358542}, 'viewport': {'northeast': {'lat': 43.04307888029149, 'lng': -76.1345097197085}, 'southwest': {'lat': 43.0403809197085, 'lng': -76.13720768029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chipotle Mexican Grill,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102735218077833488460"">World B Free</a>'], 'photo_reference': 'AW30NDwyXZwH9IMvjnyq1hgz7LeVbhqTnkNKBXcXboO_Uj9rSkgdS3Oa7-jt67PBwOmZCbMK6G0lWUihUtCuibMzU7NHeYR7FktbIs0iCXHa_vTfx3yTuVKpfyLEPtTvWjWfwuU2Qs-UYSTbys8yaas9M2KLo7dvqQwysm5FK8AJhVCn4UAa', 'width': 4160}]",ChIJ4dSQxqHz2YkR5mol6GUNmRI,"{'compound_code': '2VR7+PM Syracuse, NY, USA', 'global_code': '87M52VR7+PM'}",3.6,ChIJ4dSQxqHz2YkR5mol6GUNmRI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",586.0,"129 Marshall Street, Syracuse",1.0,
OPERATIONAL,"{'location': {'lat': 43.0411427, 'lng': -76.11955960000002}, 'viewport': {'northeast': {'lat': 43.0425173302915, 'lng': -76.1180888197085}, 'southwest': {'lat': 43.0398193697085, 'lng': -76.12078678029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Alto Cinco,{'open_now': False},"[{'height': 6936, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104970780425592537106"">Aaron Schantz</a>'], 'photo_reference': 'AW30NDw86hR-EzLLNLg-XAlCriLiq9xa_cHyCyUynTi7rg5gAcJbfDjkWgnS_nUh0zzN6rkYAvPZpPFrtBXCJfNQ47BeRd7rNl3t4Ayz6Mbp6LPitxSyOfnwah9TBH3IMPuw_yy6mx4aWkx1MLQqYm4zgV8adMLPfdW3zrs0u5L0uSfMuLyU', 'width': 9248}]",ChIJD74eYhLz2YkRI69kOhvpXL4,"{'compound_code': '2VRJ+F5 Syracuse, NY, USA', 'global_code': '87M52VRJ+F5'}",4.3,ChIJD74eYhLz2YkRI69kOhvpXL4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1261.0,"526 Westcott Street, Syracuse",2.0,
OPERATIONAL,"{'location': {'lat': 43.0418639, 'lng': -76.13684169999999}, 'viewport': {'northeast': {'lat': 43.04321178029149, 'lng': -76.13539986970851}, 'southwest': {'lat': 43.04051381970849, 'lng': -76.13809783029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Faegan's Cafe & Pub,{'open_now': False},"[{'height': 1210, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108084176728678728835"">Faegan&#39;s Cafe &amp; Pub</a>'], 'photo_reference': 'AW30NDyE65RIM3BvaW7_EEdBjv-9VmpUpIT3s4Lc490FCY0OFpAnRhHHIpZ-4rQ6RKg-9zjDFZJqvPFSyMCgF-asYeAPYANecom-gQ7myF_G6jqI-q01ljnUe7msJwaxP2Jdf9djU43K1e1BbW9fs6iscU6Msd3S8t8RIPLnVtTTY8Cn3w2V', 'width': 2600}]",ChIJn5r_W5_z2YkR67VB2u5qyRw,"{'compound_code': '2VR7+P7 Syracuse, NY, USA', 'global_code': '87M52VR7+P7'}",4.2,ChIJn5r_W5_z2YkR67VB2u5qyRw,GOOGLE,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",448.0,"734 South Crouse Avenue, Syracuse",2.0,
OPERATIONAL,"{'location': {'lat': 43.0414004, 'lng': -76.1187526}, 'viewport': {'northeast': {'lat': 43.0428144802915, 'lng': -76.1174187697085}, 'southwest': {'lat': 43.0401165197085, 'lng': -76.12011673029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Recess Coffee,{'open_now': True},"[{'height': 667, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104719792380757143758"">Recess Coffee</a>'], 'photo_reference': 'AW30NDyNCU2IolaOnZt7_UdLFP-KGykhQ7-I1zZgmgMX2tyBeogd1-R8bRxCawPlUU4XPnIUulCcc8z1hfULKzbOpkJQVj39QzUkFL-UHLLoOFZ5kYU1FHneifnx776s3rFy-VE6KTNShPR5EssBX7bb9OY9PeSvBXRYwHlj-a8xZvAXwu1o', 'width': 1000}]",ChIJMSHSXRLz2YkRbe-YmqMxoN0,"{'compound_code': '2VRJ+HF Syracuse, NY, USA', 'global_code': '87M52VRJ+HF'}",4.6,ChIJMSHSXRLz2YkRbe-YmqMxoN0,GOOGLE,"['meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",922.0,"110 Harvard Place, Syracuse",1.0,
OPERATIONAL,"{'location': {'lat': 43.04472319999999, 'lng': -76.1467421}, 'viewport': {'northeast': {'lat': 43.04590423029151, 'lng': -76.14532076970849}, 'southwest': {'lat': 43.04320626970851, 'lng': -76.14801873029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/museum_pinlet,Everson Museum of Art,{'open_now': False},"[{'height': 2304, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110935507911889739065"">Everson Museum of Art</a>'], 'photo_reference': 'AW30NDyFum7k0WqLCEtPLa8hja2XX5cLE7qKaqKJzOmjkDG3wf_XwXbIObik6Y1c0LRM393yRUExbnnqSUW9EbVmZdaYyrN9WqQ8udw_G_8xv4tb0U7hzYWrFX-L0MBRLj0B1rXyiq5gM4M5UitvmmES0f55Zcb3rBvhdalUFH5B6ISpEYFU', 'width': 3072}]",ChIJpa2Zs73z2YkR7SyYgMbW_-0,"{'compound_code': '2VV3+V8 Syracuse, NY, USA', 'global_code': '87M52VV3+V8'}",4.5,ChIJpa2Zs73z2YkR7SyYgMbW_-0,GOOGLE,"['tourist_attraction', 'museum', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",499.0,"401 Harrison Street, Syracuse",,
OPERATIONAL,"{'location': {'lat': 43.0472757, 'lng': -76.15063719999999}, 'viewport': {'northeast': {'lat': 43.04862303029149, 'lng': -76.14938626970849}, 'southwest': {'lat': 43.0459250697085, 'lng': -76.1520842302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103763594766934821046"">Muhammed Ali (Ali Karayath)</a>'], 'photo_reference': 'AW30NDyENy7ZbmkTfOGiRCUr-p_mEJoDSIpkW9viPOtRppEiZyhJD6mF6ELRpG2Gi_CRdRGt89S2WSOeaQYPmYkxWQZ6QkQW4XHlFh-4Stmk4N6uQ9xzq4wnSsGy0Iz6Wn5COMftj0r9IpddkGLK-Bzae_Bc47z7nQh9AO4EmzuZabtPHDXm', 'width': 4032}]",ChIJ-5xPtb7z2YkRKBKL3Pk7pXo,"{'compound_code': '2RWX+WP Syracuse, NY, USA', 'global_code': '87M52RWX+WP'}",3.9,ChIJ-5xPtb7z2YkRKBKL3Pk7pXo,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",198.0,"357 South Warren Street Suite 15, Syracuse",1.0,
OPERATIONAL,"{'location': {'lat': 43.041652, 'lng': -76.1368591}, 'viewport': {'northeast': {'lat': 43.04300913029149, 'lng': -76.1354107197085}, 'southwest': {'lat': 43.0403111697085, 'lng': -76.13810868029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Dunkin',{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109810061360867197750"">Tiffany Allington</a>'], 'photo_reference': 'AW30NDwv4KJxyult8iDN0frbAVg_qEYAx2LwIyJswM94OW2cYbwriZ7GG7AdnFeoQnlQly3THzwcNnsvryMQ-ujwFH0KocZEsyEWVugeY3IJw0V3R6RrdIX991NMB47n3LBpyiFHcl_RSc38IPPkWSgmjQYw9fKLubG7QBoUeMbxBboy3Tui', 'width': 3024}]",ChIJjdIZ7qHz2YkRJhpUAy86ZxY,"{'compound_code': '2VR7+M7 Syracuse, NY, USA', 'global_code': '87M52VR7+M7'}",3.8,ChIJjdIZ7qHz2YkRJhpUAy86ZxY,GOOGLE,"['meal_takeaway', 'bakery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",232.0,"746 South Crouse Avenue, Syracuse",1.0,
