business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 47.2307279, 'lng': -122.4313898}, 'viewport': {'northeast': {'lat': 47.2320803802915, 'lng': -122.4297844197085}, 'southwest': {'lat': 47.2293824197085, 'lng': -122.4324823802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Stanley & Seafort's,{'open_now': True},"[{'height': 420, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113890424093895923469"">Stanley &amp; Seafort&#39;s</a>'], 'photo_reference': 'AW30NDzhT2eRK_iJiUjfFS5z64bmv6g_fBOPU9mv2lrfOgfD9tvHZMtz4GLYnByAkhbYAlJYv6T1KfMmziRZlbXOFarMdqsrEUSaRDMo_f9hcqWDjEguycb_o_nQvYqHqMfxU58QSKFTB1Mz_GmR2b89cfM9YbxGfG3211aVhvJwcLtXSCVp', 'width': 700}]",ChIJiRNVe4j_kFQRGTdGxMPGF6Y,"{'compound_code': '6HJ9+7C Tacoma, WA, USA', 'global_code': '84VV6HJ9+7C'}",3.0,4.2,ChIJiRNVe4j_kFQRGTdGxMPGF6Y,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2485,"115 East 34th Street, Tacoma",
OPERATIONAL,"{'location': {'lat': 47.2797352, 'lng': -122.4747478}, 'viewport': {'northeast': {'lat': 47.2808776802915, 'lng': -122.4736912697085}, 'southwest': {'lat': 47.2781797197085, 'lng': -122.4763892302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,RAM Restaurant & Brewery,{'open_now': True},"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111864909467980623236"">angela liao</a>'], 'photo_reference': 'AW30NDxB8jmUXtJnVYytORayZ7afG0QxtMip-dbTb6Mc-gO-zp7MiNLhobBkLKt9oYu5ml0Ord8HdPMY2zb3obqZo090vFwBKQFAwAynaF8fY05Zv8-RVP7Tw7xuU8uXurwQK9TWPMqlRz9rcr5yRAAqPcjqCujHhYCJMs3cT2wzHtKALHW-', 'width': 4096}]",ChIJ4YLV-vVUkFQRMuhYvHycVz0,"{'compound_code': '7GHG+V4 Tacoma, WA, USA', 'global_code': '84VV7GHG+V4'}",2.0,4.1,ChIJ4YLV-vVUkFQRMuhYvHycVz0,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",3208,"3001 Ruston Way, Tacoma",
OPERATIONAL,"{'location': {'lat': 47.251631, 'lng': -122.438421}, 'viewport': {'northeast': {'lat': 47.25308768029151, 'lng': -122.4372747697085}, 'southwest': {'lat': 47.25038971970851, 'lng': -122.4399727302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Old Spaghetti Factory,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110449176201718892465"">Poima Fuimaono</a>'], 'photo_reference': 'AW30NDwbdDlr-dc1Z_B6vCue2o-kvYHYsNu3l8jYFOilrAnhprTwkI2Ft5VN3Nd02L_520FVetNBad1URXxwi7n6dmiGLUsUyRqYgsmmPdwfuvXnFRwo35cjwB75AoZ5hncc6icMLTljsQhKzUeJUtSF6mPNQy1ebBh0nERAkYOXgNy40nvH', 'width': 4032}]",ChIJ8bKkuXZVkFQRBcxPJf-n91E,"{'compound_code': '7H26+MJ Tacoma, WA, USA', 'global_code': '84VV7H26+MJ'}",2.0,4.3,ChIJ8bKkuXZVkFQRBcxPJf-n91E,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3965,"1250 Pacific Avenue Suite 101, Tacoma",
OPERATIONAL,"{'location': {'lat': 47.2454859, 'lng': -122.433913}, 'viewport': {'northeast': {'lat': 47.24686148029151, 'lng': -122.4327487697085}, 'southwest': {'lat': 47.24416351970851, 'lng': -122.4354467302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Museum Cafe Inc,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103129620384807927522"">Jeng Yu Shie</a>'], 'photo_reference': 'AW30NDzOB2ZNrudgEY7HEfd4NxUiUnRQw_X5Rw3ZpWJsJBqypYaq2HraYXQQDmSCTuIuTlV25HugmpDz38BCZTDEbnFrIMB7SGZu8XILvJDWJALz9BHJqZFc9Rg5G_FMyixXCIw7FWpBI1cvM2Nt4LNHeqD8-SQ2C0MzaeqAIh4GfLYx7OO7', 'width': 4032}]",ChIJGTMDr3dVkFQRHhQ3iEUr-Io,"{'compound_code': '6HW8+5C Tacoma, WA, USA', 'global_code': '84VV6HW8+5C'}",,4.7,ChIJGTMDr3dVkFQRHhQ3iEUr-Io,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",6,"1801 Dock Street, Tacoma",
OPERATIONAL,"{'location': {'lat': 47.2436559, 'lng': -122.4367085}, 'viewport': {'northeast': {'lat': 47.2449812802915, 'lng': -122.4352500697085}, 'southwest': {'lat': 47.2422833197085, 'lng': -122.4379480302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Harmon Pac Ave,{'open_now': False},"[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107657743558733002565"">Harmon Pac Ave</a>'], 'photo_reference': 'AW30NDwLC3ky52jzCyH5QbBGWNntMkheK5sl4pTKE1d9EOFXmfxrqhx8pBuZKZnN-RCea-kXDLWaZPn3Y86xeJsSV8uawS-FM6WfIqYgVQlYUOFlo8cp8VS1-KOtVzn9W1nqDjn5tZQ0N6o5n72sV3DbXN3-LdlMRBlog1RXV5ePb49edlSv', 'width': 5760}]",ChIJo2OJNndVkFQRu95XmfsWtBo,"{'compound_code': '6HV7+F8 Tacoma, WA, USA', 'global_code': '84VV6HV7+F8'}",2.0,3.9,ChIJo2OJNndVkFQRu95XmfsWtBo,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",716,"1938 Pacific Avenue, Tacoma",
OPERATIONAL,"{'location': {'lat': 47.25591379999999, 'lng': -122.4734024}, 'viewport': {'northeast': {'lat': 47.2572301802915, 'lng': -122.4721709697085}, 'southwest': {'lat': 47.2545322197085, 'lng': -122.4748689302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,E9 Firehouse & Gastropub,{'open_now': True},"[{'height': 2722, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103225737018898268719"">E9 Firehouse &amp; Gastropub</a>'], 'photo_reference': 'AW30NDxgSYQck91pUhVsSVhlwnNDpvlWiJWoX4XmBxDJZF5GkZlMwMduHLtvIsIVlYr2ZJDW9V3ujLxoxUECZa2Dm3maRMA94k9w8b_f6-gpy3lYGOeFnAp3x8dWgj5Qn_17jmWUtQfmWSWo2ZE0rRi97oa1ZPqKeYW1o-3bVKspHm2aqinQ', 'width': 4048}]",ChIJT1KKbhlVkFQRSzWQ7_m95vQ,"{'compound_code': '7G4G+9J Tacoma, WA, USA', 'global_code': '84VV7G4G+9J'}",2.0,4.3,ChIJT1KKbhlVkFQRSzWQ7_m95vQ,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",877,"611 North Pine Street, Tacoma",
OPERATIONAL,"{'location': {'lat': 47.2555501, 'lng': -122.4727398}, 'viewport': {'northeast': {'lat': 47.2568438802915, 'lng': -122.4713911697085}, 'southwest': {'lat': 47.2541459197085, 'lng': -122.4740891302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Jazzbones,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113754846332287178598"">Jazzbones</a>'], 'photo_reference': 'AW30NDzpRTAz3SVFEhhJSzoVZb_h_NSC0vPk-MQdpKIk7D17M8vjKiLhPGTaKDy-lLI5F7o0ED3ZRzddQAltSRi3TDgPRe8uT4FV8SxLA8Ll3IyLz2xClNPsrPnJ5s0UXDRcPW6EmG279MUJdc92CrPZl5IGMt8uvXT6yrj_hzV3bUf98b4R', 'width': 3024}]",ChIJRZ_JdRlVkFQRKzrU1VmvzNs,"{'compound_code': '7G4G+6W Tacoma, WA, USA', 'global_code': '84VV7G4G+6W'}",2.0,4.2,ChIJRZ_JdRlVkFQRKzrU1VmvzNs,GOOGLE,"['night_club', 'restaurant', 'food', 'point_of_interest', 'establishment']",826,"2803 6th Avenue, Tacoma",
OPERATIONAL,"{'location': {'lat': 47.24243500000001, 'lng': -122.435659}, 'viewport': {'northeast': {'lat': 47.2437569802915, 'lng': -122.4345120197085}, 'southwest': {'lat': 47.2410590197085, 'lng': -122.4372099802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,El Gaucho Tacoma,{'open_now': False},"[{'height': 479, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114854606968975928750"">El Gaucho Tacoma</a>'], 'photo_reference': 'AW30NDzQ77mqAOWHPFFpFcQrQBgMS9ABbUaSf9qAtAPHtpcgw7CYDpnfAwqxgBuM5zNMpokBVZXK1sOHXLYlzJSmLD0_lYHZDXVuXOmA9LavJicorzOiYfUuhVFf_DAD0TWOeqqkrPbYULsuSM0w_0Te1Q1PwyeswS6YzOFd817sO130MFvP', 'width': 720}]",ChIJU8xNAHpVkFQRFcVNm69EvCY,"{'compound_code': '6HR7+XP Tacoma, WA, USA', 'global_code': '84VV6HR7+XP'}",4.0,4.7,ChIJU8xNAHpVkFQRFcVNm69EvCY,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1532,"2119 Pacific Avenue, Tacoma",
OPERATIONAL,"{'location': {'lat': 47.2397034, 'lng': -122.4132044}, 'viewport': {'northeast': {'lat': 47.2411701802915, 'lng': -122.4119282197085}, 'southwest': {'lat': 47.2384722197085, 'lng': -122.4146261802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111071418940207984948"">Kent Bolden</a>'], 'photo_reference': 'AW30NDztiyT98aZGb5iDpivBJR26txQyiL156wxiUkm1nd21gmU6wi4n9zjFxJOwGeqq7-NI9eUXrd9kPF-micC1BPtx4afWaiy0QTyVw84iLx0DxDHY2_1dHyytVCuQMRWaGdqZAmQVbRkkhyb_m4XT4uSefHQ598tOB3SLjjAjyZtugV9u', 'width': 4032}]",ChIJR1Jx1X5VkFQRo3SD_qWjMpU,"{'compound_code': '6HQP+VP Tacoma, WA, USA', 'global_code': '84VV6HQP+VP'}",1.0,3.9,ChIJR1Jx1X5VkFQRo3SD_qWjMpU,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",139,"2615 East N Street, Tacoma",
OPERATIONAL,"{'location': {'lat': 47.24229399999999, 'lng': -122.4356441}, 'viewport': {'northeast': {'lat': 47.2436006802915, 'lng': -122.4344914197085}, 'southwest': {'lat': 47.2409027197085, 'lng': -122.4371893802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Melting Pot - Tacoma,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111217637397915229233"">Sam Shults</a>'], 'photo_reference': 'AW30NDwKzutJhR50BrguDiSN1aIx4K9lTqcOrM2WxshXnnBhakbr5xeIPmqnTET_q_Bxm2QLSCkIMHw9blYUmy2b5DDAx0fI9NkqgMB9uTUUBNsHPmbC0ov5LfssafGcwfqpoo2vdP_gn_gTx1uB9m337lHUdEuBrpRru9p9V1DLVPY2fAQr', 'width': 4032}]",ChIJC1t7AXpVkFQRSRRLXXQ1-ds,"{'compound_code': '6HR7+WP Tacoma, WA, USA', 'global_code': '84VV6HR7+WP'}",3.0,4.2,ChIJC1t7AXpVkFQRSRRLXXQ1-ds,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1575,"2121 Pacific Avenue, Tacoma",
