business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 27.9628309, 'lng': -82.47381209999999}, 'viewport': {'northeast': {'lat': 27.9641689802915, 'lng': -82.47233891970849}, 'southwest': {'lat': 27.9614710197085, 'lng': -82.47503688029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Rick's on the River,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113831293840559004923"">Marie Lough</a>'], 'photo_reference': 'AW30NDwvpCBJAB8ZG44iudWeGB_Y32-I-V-QdIpp-WzNVq3dbtppFcexKkDejFExwDJthZEhQyUm0Pm1Vky_iqWzx8L9JftFsqwoGw1uuRUVr_nNOM4ddfyPP6Xde2vuVUrHfV1JgKb7z7GEafp2RZ-EtFbWnUeO7AQHc-ru_JyHHBX2JzoX', 'width': 4032}]",ChIJVdT9P3jEwogRaJV9QTenmCg,"{'compound_code': 'XG7G+4F Tampa, FL, USA', 'global_code': '76VVXG7G+4F'}",1.0,4.2,ChIJVdT9P3jEwogRaJV9QTenmCg,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",4809.0,"2305 North Willow Avenue, Tampa",
OPERATIONAL,"{'location': {'lat': 27.948694, 'lng': -82.45821889999999}, 'viewport': {'northeast': {'lat': 27.9500119802915, 'lng': -82.45692056970849}, 'southwest': {'lat': 27.9473140197085, 'lng': -82.45961853029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Taco Bus Downtown Tampa,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102530774747534755490"">Latha Pamarthi</a>'], 'photo_reference': 'AW30NDze_P-velVWxALY0adtDeVS2SHUc7jQbjw4yLxJOzJiDgcEjYoMZi7H8iFtImmcBLc1ZuO420zl4MWDu6xxJ0TYCI0M8VBKvdWY-vlcss-SsJu6imdVfdBwzVXT_FK3F6YTUMRlAbgrvT73zHPXRb2-nuIeNKoarTaO-TekMoORu32Q', 'width': 4032}]",ChIJ4z_YxIvEwogRhthGrTrqrdY,"{'compound_code': 'WGXR+FP Tampa, FL, USA', 'global_code': '76VVWGXR+FP'}",1.0,3.5,ChIJ4z_YxIvEwogRhthGrTrqrdY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1213.0,"505 North Franklin Street, Tampa",
OPERATIONAL,"{'location': {'lat': 27.9489363, 'lng': -82.45885109999999}, 'viewport': {'northeast': {'lat': 27.9503552802915, 'lng': -82.45752966970849}, 'southwest': {'lat': 27.9476573197085, 'lng': -82.4602276302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jimmy John's,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106413449204822932726"">Roger Cox</a>'], 'photo_reference': 'AW30NDwWNykdCucKdAogv-GuWpRxNf8AUaG7KD6Df0b2IrKy6Wd8__7ubT2yovHVPINwZMZsY-GAeiY4J0647TCj9ea1jLtmEi7Ed6bUzArCwLH1PKNPpyQJq7rtQwsSjp6HRtnXOSjGpgBz9Yox6dJuE-DttI5UjupI3hhcde-LrXfzcWv8', 'width': 3264}]",ChIJWQ712IvEwogRLRQ0jm8pOpI,"{'compound_code': 'WGXR+HF Tampa, FL, USA', 'global_code': '76VVWGXR+HF'}",1.0,3.6,ChIJWQ712IvEwogRLRQ0jm8pOpI,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",168.0,"514 North Franklin Street STE 103, Tampa",
OPERATIONAL,"{'location': {'lat': 27.9489438, 'lng': -82.4586083}, 'viewport': {'northeast': {'lat': 27.9503132302915, 'lng': -82.4572227697085}, 'southwest': {'lat': 27.9476152697085, 'lng': -82.45992073029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bavaro's Pizza Napoletana & Pastaria,{'open_now': True},"[{'height': 3916, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110770807333354465236"">Bavaro&#39;s Pizza Napoletana &amp; Pastaria</a>'], 'photo_reference': 'AW30NDz4cbmekikbgcve7y-U8lVIoOVXZFM2OnPAeUe-tFA6BmWiTG_mkTJkdgURLwzmUd-H_-MwCPSyvCIK6cuP6MqGr1iVEGr6qTre9CoZUNUyrzKpISkNnm9ytDgVI6MF8rIXn_bH34Hl30piGUV-KW5d3jnKrkbrLkqKaa12s24z8etF', 'width': 5756}]",ChIJWQ712IvEwogRE0ttihJf_Jc,"{'compound_code': 'WGXR+HH Tampa, FL, USA', 'global_code': '76VVWGXR+HH'}",2.0,4.4,ChIJWQ712IvEwogRE0ttihJf_Jc,GOOGLE,"['restaurant', 'food', 'store', 'point_of_interest', 'establishment']",930.0,"514 North Franklin Street #101, Tampa",
OPERATIONAL,"{'location': {'lat': 27.9500125, 'lng': -82.46066920000001}, 'viewport': {'northeast': {'lat': 27.9513816302915, 'lng': -82.4593524197085}, 'southwest': {'lat': 27.9486836697085, 'lng': -82.4620503802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Taps Restaurant Bar & Lounge,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101763676431673363945"">Taps Restaurant Bar &amp; Lounge</a>'], 'photo_reference': 'AW30NDy2jVdCJhX7z4xnlc_h38WEWueQFGVqDJ8XJZm81hgh_Bq1WJpsV27-lX-KGyRQ5UJWfr52VmnirLbRQxtjJ_G3esfPlbQjFq-11nUff5VkHGafIo9QOObTIHWRBcSWmqJxHnEPL7nTDR9JDD-MB2Xn34Kxb3RQ7QgDWCayLKY1Km0', 'width': 4032}]",ChIJCzJTnonEwogRc9J0WsqUMsc,"{'compound_code': 'XG2Q+2P Tampa, FL, USA', 'global_code': '76VVXG2Q+2P'}",2.0,4.2,ChIJCzJTnonEwogRc9J0WsqUMsc,GOOGLE,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",762.0,"777 North Ashley Drive, Tampa",
OPERATIONAL,"{'location': {'lat': 27.9448659, 'lng': -82.4569758}, 'viewport': {'northeast': {'lat': 27.9462448302915, 'lng': -82.45551921970849}, 'southwest': {'lat': 27.9435468697085, 'lng': -82.45821718029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hattricks,{'open_now': True},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113263233308500580940"">Alejandro Jatib</a>'], 'photo_reference': 'AW30NDwqz2bIjmUDEMkRc_CQFy_zooixTOYEZ-TF-NTPGyOEcOhshMwtZ2Ua1VkG5mqNnIWAPeQju5qi87TC8URHhkJIqePksBJcjhQPjdJQ1LrSF0vWCOjgVuD-tkeBLwa2Kp8sGpU82Hivt2yMtdgzR9BTNfhqXcyI2egiQTlqF22od21h', 'width': 3840}]",ChIJB1L_XIzEwogR1Eslu42A1NQ,"{'compound_code': 'WGVV+W6 Tampa, FL, USA', 'global_code': '76VVWGVV+W6'}",2.0,4.4,ChIJB1L_XIzEwogR1Eslu42A1NQ,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3156.0,"107 South Franklin Street, Tampa",
OPERATIONAL,"{'location': {'lat': 27.9470311, 'lng': -82.4606125}, 'viewport': {'northeast': {'lat': 27.9482869802915, 'lng': -82.4591535197085}, 'southwest': {'lat': 27.9455890197085, 'lng': -82.4618514802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Malio's,{'open_now': True},"[{'height': 657, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113760737808449507373"">Malio&#39;s</a>'], 'photo_reference': 'AW30NDyKOtlyrFuf_IVzBhgcA7l7sM4MMXlGt8mswiyTcoGf0z2IEhouHVxlbeRgvGPNWiI0-R7AbzIWsJtALAsxt-2kDmeeTjTy1jquWrO2nLbr5nEWZH15omtLmLfLWymu3L2Bb9StdPuDOP1L9qUg1Vr9HPPTiFfeu5yf_FiqTzA7QWa2', 'width': 986}]",ChIJfUWpN4nEwogRN7P8m628hvQ,"{'compound_code': 'WGWQ+RQ Tampa, FL, USA', 'global_code': '76VVWGWQ+RQ'}",4.0,4.5,ChIJfUWpN4nEwogRN7P8m628hvQ,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1000.0,"400 North Ashley Drive, Tampa",
OPERATIONAL,"{'location': {'lat': 27.9605773, 'lng': -82.44157059999999}, 'viewport': {'northeast': {'lat': 27.9624932802915, 'lng': -82.44029991970851}, 'southwest': {'lat': 27.9597953197085, 'lng': -82.44299788029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Tampa Bay Brewing Company,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117018645030357132495"">Jennifer Muente</a>'], 'photo_reference': 'AW30NDynhvdCInMQmQwJ5YW04zph3TeAv_uxjK5i1uFWQmjeVBtFyANoTtaCjfA8akiK3FO2EC8L78wBJyYoNFf5qRqtRCv0QZFWH-X3dhv_p7sNyv5oP5oDw_34SZRsbkdPs-6Q9AHmWnk_anBUndjJE5JXtRmuhjPqh2wflUoT227dpbw0', 'width': 4032}]",ChIJgVXfQFDEwogRW-6mIk_NnEo,"{'compound_code': 'XH65+69 Tampa, FL, USA', 'global_code': '76VVXH65+69'}",2.0,4.4,ChIJgVXfQFDEwogRW-6mIk_NnEo,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1138.0,"1600 East 8th Avenue, Tampa",
OPERATIONAL,"{'location': {'lat': 27.9497275, 'lng': -82.4600248}, 'viewport': {'northeast': {'lat': 27.9513317302915, 'lng': -82.4587314197085}, 'southwest': {'lat': 27.9486337697085, 'lng': -82.4614293802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tampa Pizza Company,{'open_now': True},"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112064682053414387816"">Tampa Pizza Company</a>'], 'photo_reference': 'AW30NDx8RrVqMmQ0vBLdFBAQ-CA7hj-srk8QNlmsJVX4k60w4NCWaKX4nmLoKrCeb75D-9fMtMHTiXCY3fXw7OpJdd6vrunfyZLKdW7oDI2s3otbIFGXQyHrEWBHdfOToLxrLMuT51lMEr7Lx-_G6CYftmjpHBJk0lkQfZlAcnkbAJYabyRk', 'width': 2048}]",ChIJzTl_n4nEwogR55Y4veUD31Q,"{'compound_code': 'WGXQ+VX Tampa, FL, USA', 'global_code': '76VVWGXQ+VX'}",2.0,4.4,ChIJzTl_n4nEwogR55Y4veUD31Q,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1541.0,"777 North Ashley Drive STE C, Tampa",
OPERATIONAL,"{'location': {'lat': 27.9447376, 'lng': -82.46528599999999}, 'viewport': {'northeast': {'lat': 27.94614178029151, 'lng': -82.46383631970849}, 'southwest': {'lat': 27.9434438197085, 'lng': -82.4665342802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mise en Place,{'open_now': False},"[{'height': 2080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109236564338622828187"">Mise en Place</a>'], 'photo_reference': 'AW30NDyNirT-UYxE-Q_FbAc_fa1m8TIYOpDnQtWod9CqVbusiqTX2SEHSRY6yagr3QlbgeD9WhXDBJoefhAYCiosiwrrac37t3UdaKrHe4QMLkgtiyh8Jlbj4CZsK5vp_ejEL5Ke4xWd5h0Xjneu3AV2nsn0gNZgG9Ret-FGt66lI9wlg_I', 'width': 3120}]",ChIJ08ZCkIXEwogRjvTfGfUb6Pk,"{'compound_code': 'WGVM+VV Tampa, FL, USA', 'global_code': '76VVWGVM+VV'}",3.0,4.6,ChIJ08ZCkIXEwogRjvTfGfUb6Pk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",714.0,"442 West Grand Central Avenue, Tampa",
