business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.4935651, 'lng': -117.148439}, 'viewport': {'northeast': {'lat': 33.4949340302915, 'lng': -117.1471445197085}, 'southwest': {'lat': 33.4922360697085, 'lng': -117.1498424802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Public House,{'open_now': True},"[{'height': 1408, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111583255508687001732"">Public House</a>'], 'photo_reference': 'AW30NDzW-jsBt1_FUmFer_Qy60IOmTvqOwiMY02BNEFmWbAq-Spo6yK6r_A7DmEGo849MHotR_dPrbGHFU4Cpx46camaRmJ4LNFU7s47-AFWMy-LvpRULDRQu-Z9qN8g9PqJmk1D7Nglq9vxXfNCIhPT4bfBRCYZ6n6w9dOguyXTugQGqaDm', 'width': 1439}]",ChIJ0dMsy7h_24ARVZKKVbKtklw,"{'compound_code': 'FVV2+CJ Temecula, CA, USA', 'global_code': '8554FVV2+CJ'}",2.0,4.3,ChIJ0dMsy7h_24ARVZKKVbKtklw,GOOGLE,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",865.0,"41971 Main Street, Temecula",
OPERATIONAL,"{'location': {'lat': 33.5195556, 'lng': -117.152697}, 'viewport': {'northeast': {'lat': 33.5208058302915, 'lng': -117.1513079197085}, 'southwest': {'lat': 33.5181078697085, 'lng': -117.1540058802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102789716137552115897"">Joseph Morabito</a>'], 'photo_reference': 'AW30NDxPFBZ5vRk4jzc4arVpVtUojzHXJT1HinjdAIdZyacOE8tdcYtxSxHL7-UOqJwEY89IjctDbQs0oebwosVD3Jx2_Byeuc7XgfQPK59pSolb64QdAUtMzB4ofW52GX20OW96wgRqe0Rafi62ov3lo-_2G2jfQBnUKC1fXnqnrQejhVQE', 'width': 4032}]",ChIJnYF5Njh-24ARjjyUNQiy07Q,"{'compound_code': 'GR9W+RW Temecula, CA, USA', 'global_code': '8554GR9W+RW'}",2.0,4.4,ChIJnYF5Njh-24ARjjyUNQiy07Q,GOOGLE,"['bar', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2797.0,"29025 Overland Drive, Temecula",
OPERATIONAL,"{'location': {'lat': 33.50453539999999, 'lng': -117.1514293}, 'viewport': {'northeast': {'lat': 33.5058989302915, 'lng': -117.1499513697085}, 'southwest': {'lat': 33.5032009697085, 'lng': -117.1526493302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Gourmet Italia,{'open_now': False},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110079904911230966256"">Gourmet Italia</a>'], 'photo_reference': 'AW30NDzINCIvgGjiHut-8qSNlmPHs6-9y0skHQwIoGqzGgubPaVqElumNOOHEyPTajh4lcHCirnvqxNDtqBcCr8PjH_aFxjBHWanHXD6rO73i_c5ohmTi691nOmF8Cly--k4BgYdwbET3SGR5GU6A4C6DBJr9tvGH7BwQQxoa7LVmxpJDAad', 'width': 5184}]",ChIJGfaca8p_24ARGIljPv6vCJM,"{'compound_code': 'GR3X+RC Temecula, CA, USA', 'global_code': '8554GR3X+RC'}",2.0,4.3,ChIJGfaca8p_24ARGIljPv6vCJM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",925.0,"27499 Ynez Road, Temecula",
OPERATIONAL,"{'location': {'lat': 33.4916654, 'lng': -117.1471849}, 'viewport': {'northeast': {'lat': 33.4931102802915, 'lng': -117.1458489197085}, 'southwest': {'lat': 33.4904123197085, 'lng': -117.1485468802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Temecula Stampede,{'open_now': False},"[{'height': 3854, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102106617906117817899"">Mark Loftin</a>'], 'photo_reference': 'AW30NDzkylhAH4GulAi1FeL54g1sNTKSXXv26jWxNnJahXzQysln7SNrplXDEBZeBnQFe7DijQFSXUsVKDHf2daJZ8MVzReikqbkqkZodipfYQSmmbNoXkhYj0dcAL-XDY7ueBVbfVe9jGGqaggV6DRl4msTwNlLfAG_tJ5paYlMQOcR4B1W', 'width': 2890}]",ChIJn-yS-75_24AR0ywOxEjD-lc,"{'compound_code': 'FVR3+M4 Temecula, CA, USA', 'global_code': '8554FVR3+M4'}",2.0,3.4,ChIJn-yS-75_24AR0ywOxEjD-lc,GOOGLE,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",168.0,"28721 Old Town Front Street, Temecula",
OPERATIONAL,"{'location': {'lat': 33.478811, 'lng': -117.1012931}, 'viewport': {'northeast': {'lat': 33.4802123802915, 'lng': -117.1000173197085}, 'southwest': {'lat': 33.47751441970851, 'lng': -117.1027152802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117323403849724002638"">Антон Булгаков</a>'], 'photo_reference': 'AW30NDzzRCRXif7wMlDnC4hX3zFH7upgDJCx37pFmYuvZ7yLz5ZAiU7MturgRoTcenbtG8JZigGOxVPRjAN5ll9W3oLTgriUJ0rMw6fjYTDPLtC54DzGCYJtTdiQ-u_8h48o1hbbkLfxmbjYRhgpQlu0Zt8JgkSEv5HbYPyUFD6cXWkIIKpn', 'width': 4608}]",ChIJjcKn3F9_24AR7pKQIJ0aJMk,"{'compound_code': 'FVHX+GF Temecula, CA, USA', 'global_code': '8554FVHX+GF'}",1.0,3.9,ChIJjcKn3F9_24AR7pKQIJ0aJMk,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",116.0,"31829 California 79 Suite B-1, Temecula",
OPERATIONAL,"{'location': {'lat': 33.4788537, 'lng': -117.138954}, 'viewport': {'northeast': {'lat': 33.4802768802915, 'lng': -117.1375273697085}, 'southwest': {'lat': 33.4775789197085, 'lng': -117.1402253302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Temecula Pizza Co,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107500142434455074878"">Jim McPherson</a>'], 'photo_reference': 'AW30NDxV7HOSERRI04oB9p0_E5mUa8M8vuHXt17rKHmFUB-WYMPuyL-8M-ikeipwCl9UIarga-7tl_HMnIi8VyaMr7UuHjWub1pkzPMy-J1q3SuuCWrSvdSbyg2EjuwVg7XsQGRgg7YxThVoOswUdNZVyhkn6-KQ8Gtn6C_HeMQFpS_vtwiV', 'width': 4032}]",ChIJue3Xio9_24ARBBWElDBPoZ8,"{'compound_code': 'FVH6+GC Temecula, CA, USA', 'global_code': '8554FVH6+GC'}",2.0,4.6,ChIJue3Xio9_24ARBBWElDBPoZ8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",478.0,"44535 Bedford Court, Temecula",
OPERATIONAL,"{'location': {'lat': 33.5062589, 'lng': -117.144951}, 'viewport': {'northeast': {'lat': 33.5076547302915, 'lng': -117.1437615697085}, 'southwest': {'lat': 33.5049567697085, 'lng': -117.1464595302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 1936, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113761262223952230673"">Courtney Grimshaw</a>'], 'photo_reference': 'AW30NDxALTKbMh5lgzAfVc8TLyY3_vHdXK2_4Pnt7kxDhB398HeZF2ot1d_cE_9E0ZIBWhFVJp1hETBQQO8-dKEVh9W42KpctIdMcmNPhOnT0-J6G_fkm8P5bfhQsliU722LVmXtIR2SmWWSJjnPKOY1WC1-IcetZTz0QHK0JqRlCC_Mef7o', 'width': 2592}]",ChIJhxgLb7R_24ARF5PwasIjn6g,"{'compound_code': 'GV44+G2 Temecula, CA, USA', 'global_code': '8554GV44+G2'}",1.0,3.1,ChIJhxgLb7R_24ARF5PwasIjn6g,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",220.0,"29700 Rancho California Road STE G3, Temecula",
OPERATIONAL,"{'location': {'lat': 33.4957939, 'lng': -117.1515085}, 'viewport': {'northeast': {'lat': 33.4971780302915, 'lng': -117.1499922197085}, 'southwest': {'lat': 33.4944800697085, 'lng': -117.1526901802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Soro's Mediterranean Grill,{'open_now': False},"[{'height': 2576, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101711752292071591082"">EDGAR CAMAS</a>'], 'photo_reference': 'AW30NDzYAUBf_heBSw0bfxbjRbyXydgQFIV3XM0z-wrnGTa59VohHzK3xXBun9tVdrDsIYwgLusybKub2l8mMh-lsOOEMgZu5sNyggcezcrytil5nW8ihjz7Roi4Kjy2eaX8C91XFMuPCS9-dSvqyY9zS1PdAe6EOt3_nkewekPELvHK0uou', 'width': 1932}]",ChIJfV5tmMd_24ARZNV-rEok91w,"{'compound_code': 'FRWX+89 Temecula, CA, USA', 'global_code': '8554FRWX+89'}",2.0,4.4,ChIJfV5tmMd_24ARZNV-rEok91w,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",575.0,"28464 Old Town Front Street, Temecula",
OPERATIONAL,"{'location': {'lat': 33.49431079999999, 'lng': -117.1509404}, 'viewport': {'northeast': {'lat': 33.49555083029149, 'lng': -117.1493806197085}, 'southwest': {'lat': 33.49285286970849, 'lng': -117.1520785802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Gambling Cowboy,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103542457299578879431"">Jayshell Abbott</a>'], 'photo_reference': 'AW30NDzWJjs5-aHlWov_e6CtXt06o1fFBqdDvz4-SdcXYRlLm_jaMbNDFD06SCgjWTOGrLI-wzgg-ayGma48AECcp_dGe8iMPlVqvttIFfO7z90ZTQQivNHaN_i1OkUK_f49bpUPjifOl3FCCxIYGJa8hZOWu3Q8XtfIZhK1dkXPQ2BYta14', 'width': 4032}]",ChIJubPAQsd_24ARZtBQpCId91g,"{'compound_code': 'FRVX+PJ Temecula, CA, USA', 'global_code': '8554FRVX+PJ'}",3.0,4.5,ChIJubPAQsd_24ARZtBQpCId91g,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1466.0,"42072 5th Street, Temecula",
OPERATIONAL,"{'location': {'lat': 33.4828898, 'lng': -117.0963611}, 'viewport': {'northeast': {'lat': 33.48409658029149, 'lng': -117.0949894197085}, 'southwest': {'lat': 33.48139861970849, 'lng': -117.0976873802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Richie's Real American Diner,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117323403849724002638"">Антон Булгаков</a>'], 'photo_reference': 'AW30NDyn26tmvMF46ShnUNsstmOXl0N91FEOQfRKeR6tuwjnLvbG22vrieuOjN5Kd6k7ASzx1-Os2DUG-syGg-ixHqxv77aaMx1TarR1-fUGu68KRz4x_T6otStxlFg6MoshgJzrVKWdftH9R7XJH7wZnXovdNwSF-T6jZPNzYxpTleS-KhJ', 'width': 4608}]",ChIJo5rSwlh_24ARYXLdrsbKRu8,"{'compound_code': 'FWM3+5F Temecula, CA, USA', 'global_code': '8554FWM3+5F'}",2.0,4.5,ChIJo5rSwlh_24ARYXLdrsbKRu8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1796.0,"32150 Temecula Parkway, Temecula",
