business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.3932882, 'lng': -111.9267715}, 'viewport': {'northeast': {'lat': 33.3947409302915, 'lng': -111.9253272697085}, 'southwest': {'lat': 33.3920429697085, 'lng': -111.9280252302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jimmy John's,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100604399403547011711"">MINETTE</a>'], 'photo_reference': 'AW30NDzz-0M-RHeBEKjfPhw2HZwy-Yb0DobCeYnNkOwP4J0Wcti2CO64lbmJdTpz3nvbtOhB0Ir6rR8c6HdzxZDKuwuWl8MHQdovY225A1G5zU38Sw0-dJA9hvpj6_oxowjphcywVbkr95IUTdVzIrvrATF5amOdH1WyeTA5__iqC9ShmezW', 'width': 1920}]",ChIJ21YZ85gIK4cR6XRmLbEgHxQ,"{'compound_code': '93VF+87 Tempe, AZ, USA', 'global_code': '855C93VF+87'}",1.0,3.5,ChIJ21YZ85gIK4cR6XRmLbEgHxQ,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",218.0,"840 East Southern Avenue Ste. 104, Tempe",
OPERATIONAL,"{'location': {'lat': 33.394825, 'lng': -111.939329}, 'viewport': {'northeast': {'lat': 33.3960744302915, 'lng': -111.9379625197085}, 'southwest': {'lat': 33.3933764697085, 'lng': -111.9406604802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Kyoto Bowl,{'open_now': True},"[{'height': 770, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104767318671015172182"">Kyoto Bowl</a>'], 'photo_reference': 'AW30NDzrguyQldH0FuHFixoju5OSVOLziEsh52ceaAGC78-hxP5xYqs3bY7KZnConqsUUCOcUIKMxCCxbvOcT-yx0zVQ6QKyE7HxUVRs7JByWMbVYEfLbWwkBs88ZfuQFCW7cI40ZuMW6keB2yA010Zj60CL2QRQBYsOMBUl8eeSDieZovQ', 'width': 1024}]",ChIJHad8hboIK4cRUOYVOdCKkyA,"{'compound_code': '93V6+W7 Tempe, AZ, USA', 'global_code': '855C93V6+W7'}",1.0,4.0,ChIJHad8hboIK4cRUOYVOdCKkyA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",308.0,"3101 South Mill Avenue, Tempe",
OPERATIONAL,"{'location': {'lat': 33.394785, 'lng': -111.941126}, 'viewport': {'northeast': {'lat': 33.3960599302915, 'lng': -111.9397042197085}, 'southwest': {'lat': 33.3933619697085, 'lng': -111.9424021802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Casa Reynoso,{'open_now': False},"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112996020875214771972"">Cheryl Dilgard</a>'], 'photo_reference': 'AW30NDzL4CFtkuXbw6bhxE7mLuAMrX-0ikbjfndENREnp0evS64H0wInNT9AQhSuKuMY5aOh58LP5AAiWJBqkbj4QMbStgNPHlQ8PUpgHDdiHWMZ0uXt2yjot8FXBAMEmtqhPZtj-_aiF8zd1bTWWgE7_e0f0yAR9vdsoidf14oO4uxRVswO', 'width': 2160}]",ChIJ8fLFmboIK4cRfiDGmlXu0Ag,"{'compound_code': '93V5+WG Tempe, AZ, USA', 'global_code': '855C93V5+WG'}",1.0,4.5,ChIJ8fLFmboIK4cRfiDGmlXu0Ag,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1306.0,"3138 South Mill Avenue, Tempe",
OPERATIONAL,"{'location': {'lat': 33.3779176, 'lng': -111.929085}, 'viewport': {'northeast': {'lat': 33.3791563302915, 'lng': -111.9277236697085}, 'southwest': {'lat': 33.3764583697085, 'lng': -111.9304216302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chipotle Mexican Grill,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106034956993201541188"">Gloria B</a>'], 'photo_reference': 'AW30NDxif52MxQVhhC-NMlx0hO40VFppX4T55CNn6IN4aXMvW9kh5uQcgFPK6yEdUIWNrnTKqfodR5P8i1G-92lWfI5opYTrr3jY-ibRPaE7R04XrNdpoUu5TUUR9X1-196QPZv3nN0T5aKaD0934AsC9oGK_GRMTqeWCdmpzVM8Kvm_Mhwq', 'width': 4000}]",ChIJ-abykxgGK4cRs8P8BsKZJWM,"{'compound_code': '93HC+59 Tempe, AZ, USA', 'global_code': '855C93HC+59'}",1.0,4.1,ChIJ-abykxgGK4cRs8P8BsKZJWM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1241.0,"815 East Baseline Road Ste 118, Tempe",
OPERATIONAL,"{'location': {'lat': 33.3926526, 'lng': -111.9405375}, 'viewport': {'northeast': {'lat': 33.3938895302915, 'lng': -111.9391756697085}, 'southwest': {'lat': 33.3911915697085, 'lng': -111.9418736302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Yucca Tap Room,{'open_now': True},"[{'height': 520, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116900379699197199675"">Yucca Tap Room</a>'], 'photo_reference': 'AW30NDyQphwRQ7Qv9FpKfy57FffZEnSJGH0gEJbx5wHOJpmwU0G8WFyePd7r0n2amnqjyH5FzcUgEkDFWW-djAbvmvDkR3EwMV81t5sWp5HY8OPbD058ZIlou66A8kvyQYYlkL8v89YyEnH4hxNXE82eYc9RMuwB4ssNYIGwBGIAgkOV3wlV', 'width': 745}]",ChIJVeTUiq8IK4cRIFDl-z99g84,"{'compound_code': '93V5+3Q Tempe, AZ, USA', 'global_code': '855C93V5+3Q'}",1.0,4.5,ChIJVeTUiq8IK4cRIFDl-z99g84,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1171.0,"29 West Southern Avenue, Tempe",
CLOSED_TEMPORARILY,"{'location': {'lat': 33.3778876, 'lng': -111.9292949}, 'viewport': {'northeast': {'lat': 33.3791428802915, 'lng': -111.9279153197085}, 'southwest': {'lat': 33.3764449197085, 'lng': -111.9306132802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115995462702932116408"">Lyden L</a>'], 'photo_reference': 'AW30NDydawXDIsi1OaIfu61mxt1u5YjslxKIP4hlOFkaBOtajyiX_l6Wk-zwGNlHGSyJ12YbJNDSCItwch1Xn3Kbo7HdoE6RzAm8aPlCzbFHS_MIzNJJbnprU3kd8qOqqytW-2xp9knC0-c4enq57ov0vk-grJwEtZH3vZHwO3InurGFryEA', 'width': 4160}]",ChIJpZ5vYmAPK4cR2DKafh7jCQw,"{'compound_code': '93HC+57 Tempe, AZ, USA', 'global_code': '855C93HC+57'}",1.0,4.0,ChIJpZ5vYmAPK4cR2DKafh7jCQw,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",161.0,"815 East Baseline Road Suite 109, Tempe",True
OPERATIONAL,"{'location': {'lat': 33.3772125, 'lng': -111.9514735}, 'viewport': {'northeast': {'lat': 33.3786596302915, 'lng': -111.9501449197085}, 'southwest': {'lat': 33.3759616697085, 'lng': -111.9528428802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114685066740035191170"">Subway</a>'], 'photo_reference': 'AW30NDwv73_kiEheE1YgDBtmkAuZ4Ngoif3P_u6Ot4l0m5vtw8uPMBilCsS9frMXewCUdcq4xY7vCZgrGtaakhVMs6-XJI_8gEZJ0buowNl-z7HjM2VvMJETp0hLnNZQqGqCgKw9p6d9eJ1dW4wyBpWepzsV675B-5644XEB4rG9ZgZsR_Xw', 'width': 1763}]",ChIJpVWilwAGK4cR_5s7V4hTTzM,"{'compound_code': '92GX+VC Tempe, AZ, USA', 'global_code': '855C92GX+VC'}",1.0,3.7,ChIJpVWilwAGK4cR_5s7V4hTTzM,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",99.0,"805 West Baseline Road Suite 3, Tempe",
OPERATIONAL,"{'location': {'lat': 33.3785707, 'lng': -111.929485}, 'viewport': {'northeast': {'lat': 33.38016793029151, 'lng': -111.9279170197085}, 'southwest': {'lat': 33.37746996970851, 'lng': -111.9306149802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108389227036631699715"">Tejas Moola</a>'], 'photo_reference': 'AW30NDy2SkWqqc-kDoNQfFnauwzpoftObc7QRt8-wazKkTP7IrnSLqRhJyKdF_Xck8QcH1Wz0ts8wow0JpQfUGk-gNCq__Amkzx9586Mlv1sKCaR-pU4WvEfNU6nVuY3x4nYr-4rQXNf7_BW-sPZ3NouTroD-vi_n5S506Khc7_FQdzhaZqJ', 'width': 4032}]",ChIJOfcWnBgGK4cRC7XW9Obr00w,"{'compound_code': '93HC+C6 Tempe, AZ, USA', 'global_code': '855C93HC+C6'}",2.0,4.1,ChIJOfcWnBgGK4cRC7XW9Obr00w,GOOGLE,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",419.0,"630 West Baseline Road, Tempe",
CLOSED_TEMPORARILY,"{'location': {'lat': 33.39188670000001, 'lng': -111.9400378}, 'viewport': {'northeast': {'lat': 33.39320498029151, 'lng': -111.9386098697085}, 'southwest': {'lat': 33.39050701970851, 'lng': -111.9413078302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Byblos Restaurant,,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101841040760369714514"">Jason Miszuk</a>'], 'photo_reference': 'AW30NDzwPmVP18HGW8Q9SbP9EQIln_0Ea9ijfzAPeRk32i5HfID4o9Aq-fOW7OZ93sVJjT5npniHAftZgGQdWUh9Xs6kq76tfl6nQoM4b4FyMCHy4-HfgkSWiIRZ19R9Po6PqoLtsUfmUmVbSe1mR9MQtjl_MGaNeJucKRCBsNmBLddd0hC2', 'width': 4608}]",ChIJ2wlbi68IK4cRf5DEhaZ9_Ag,"{'compound_code': '93R5+QX Tempe, AZ, USA', 'global_code': '855C93R5+QX'}",2.0,4.6,ChIJ2wlbi68IK4cRf5DEhaZ9_Ag,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",246.0,"3332 South Mill Avenue, Tempe",True
OPERATIONAL,"{'location': {'lat': 33.393621, 'lng': -111.938547}, 'viewport': {'northeast': {'lat': 33.3949679302915, 'lng': -111.9373028697085}, 'southwest': {'lat': 33.3922699697085, 'lng': -111.9400008302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Monkey Pants Bar & Grill,{'open_now': True},"[{'height': 1271, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116189713986117833649"">Monkey Pants Bar &amp; Grill</a>'], 'photo_reference': 'AW30NDxGsMEshWbhcTRblZpw3BvNz1XoiTUWffmRKLMIEA9F4sXD2NY3hYrJAv96prj9sgBu5pQyNA6MbV6k6QKjUxyTL0bM3OS_DZZEi8cZ3vuviC1pTq_k6z4Y5mMx8LvRds-2q7MbMuqmdky_Zk3wOHxuNF92_Yv56WZGftkD970hAcDM', 'width': 1080}]",ChIJWby9Q6UIK4cRJcNVgxSy0fI,"{'compound_code': '93V6+CH Tempe, AZ, USA', 'global_code': '855C93V6+CH'}",1.0,4.1,ChIJWby9Q6UIK4cRJcNVgxSy0fI,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1148.0,"3223 South Mill Avenue, Tempe",
