business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 39.9144252, 'lng': -104.9729001}, 'viewport': {'northeast': {'lat': 39.9157024302915, 'lng': -104.9717304197085}, 'southwest': {'lat': 39.9130044697085, 'lng': -104.9744283802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 9000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106134220850436155130"">Dan Cottrell</a>'], 'photo_reference': 'AW30NDwEwGHxnO9Aj6ftTAuvsxsF8UELzjTeTOrUIg1sPn9GZ_e5wkzEogfaSC5xw1jq-EX78U8ogw-jCNDlYP3KZN2-VzBWYeHmr6UiUiwfqSgWDVo08p8q48kORkVIst2CtceP5GdGtad_FKxdFOKB7kzXc60bUOiHdCTo70G_vYT6AK0g', 'width': 12000}]",ChIJz-I6bjp0bIcRc1gOohhsiAM,"{'compound_code': 'W27G+QR Thornton, CO, USA', 'global_code': '85FQW27G+QR'}",2.0,4.2,ChIJz-I6bjp0bIcRc1gOohhsiAM,GOOGLE,"['bar', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",3183,"1151 East 120th Avenue, Thornton",
OPERATIONAL,"{'location': {'lat': 39.8985478, 'lng': -104.9659692}, 'viewport': {'northeast': {'lat': 39.8998380302915, 'lng': -104.9646447197085}, 'southwest': {'lat': 39.8971400697085, 'lng': -104.9673426802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,The Glenn Bar & Grill,{'open_now': True},"[{'height': 1512, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104597136550883440425"">The Glenn Bar &amp; Grill</a>'], 'photo_reference': 'AW30NDyF06MomIFBlpD6ATvRzRi2a1L2PHhsC-CI1GJ5WqIQZOZkE2At-iKc8jSDJyn8E6TTQe6TD8XASUVk-Zk2q9G_FfciSKfQcz4JrWIwQOkpygReu3TwPXh8-ghBT9sYxvyHNEHBztL5_UzJnBoG9aRf3cbFAA1R5GqMfYntEvScFWfs', 'width': 2016}]",ChIJe8aH6J52bIcR7ksC2csYrec,"{'compound_code': 'V2XM+CJ Northglenn, CO, USA', 'global_code': '85FQV2XM+CJ'}",2.0,4.4,ChIJe8aH6J52bIcR7ksC2csYrec,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1423,"11140 Irma Drive, Northglenn",
OPERATIONAL,"{'location': {'lat': 39.92792769999999, 'lng': -104.9386982}, 'viewport': {'northeast': {'lat': 39.92929248029149, 'lng': -104.9374393197085}, 'southwest': {'lat': 39.92659451970849, 'lng': -104.9401372802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,United Chinese Restaurant + Sushi,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101997843770708388524"">United Chinese Restaurant + Sushi</a>'], 'photo_reference': 'AW30NDzBfjxzvdHbR2_q1UDzFaOWOqNgJ2Om_dSb9gv0QDW3G6frUdOi743Nadv-59mrs5FZ9O9DG8Kfiuvkg8teUSgmqfL-YQbWgZw5ZJXFUClhAcDFGyeBw-N2K2DRuKtY9OGKUQcHk3gsN7JuHiV4dxceYYTZE-Fre9Qi8K5UQoT2IRLP', 'width': 6000}]",ChIJF-G1g4pzbIcRd3j9o7l3lUY,"{'compound_code': 'W3H6+5G Thornton, CO, USA', 'global_code': '85FQW3H6+5G'}",2.0,4.3,ChIJF-G1g4pzbIcRd3j9o7l3lUY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1066,"4150 East 128th Avenue, Thornton",
OPERATIONAL,"{'location': {'lat': 39.91459079999999, 'lng': -104.9740122}, 'viewport': {'northeast': {'lat': 39.91603173029149, 'lng': -104.9727924697085}, 'southwest': {'lat': 39.9133337697085, 'lng': -104.9754904302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Krispy Kreme,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101181177933688742794"">milehi dad</a>'], 'photo_reference': 'AW30NDzpDsrzw8ONE7K_ULV5YhmkpRtREm0lYka8k40u1v5PB__fjwGAT_DJYeFRKmSs_b-0oSvzRO9a4JLgwi9psdhN95ooxe2FiXWzsomZpwlg1xPQD6NNLVo6UFaTXJNgGYMAWluSPIfiSNOy985Kx08VKeYs67Cz2Epbtimx_e2hA1jS', 'width': 4032}]",ChIJ54-ZnjB0bIcRJMneRLJnE5U,"{'compound_code': 'W27G+R9 Thornton, CO, USA', 'global_code': '85FQW27G+R9'}",1.0,3.9,ChIJ54-ZnjB0bIcRJMneRLJnE5U,GOOGLE,"['cafe', 'bakery', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",1759,"1051 East 120th Avenue, Thornton",
OPERATIONAL,"{'location': {'lat': 39.9146477, 'lng': -104.982041}, 'viewport': {'northeast': {'lat': 39.91589723029151, 'lng': -104.9805704197085}, 'southwest': {'lat': 39.91319926970851, 'lng': -104.9832683802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Outback Steakhouse,{'open_now': True},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113619471720179989915"">m pagi</a>'], 'photo_reference': 'AW30NDzLL34wXCjgsN5w4NdINa1WgubeoexAqUfvItovo6O_ktlIe_spktqQ6ETc8FRT1AViTJ-GTvdNNgFiDeaktku-CA20mT-V9aNh7q52xqggtaoquQDy3LukJw-FpsOkB7sz_Ea9sYZNsoIeLXTtAfUst-gmfGqYrdj6Rleb-uvLwaRy', 'width': 4032}]",ChIJg92thTN0bIcRAP9dV_qT0p4,"{'compound_code': 'W279+V5 Thornton, CO, USA', 'global_code': '85FQW279+V5'}",2.0,4.0,ChIJg92thTN0bIcRAP9dV_qT0p4,GOOGLE,"['bar', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2021,"497 East 120th Avenue, Thornton",
OPERATIONAL,"{'location': {'lat': 39.88432299999999, 'lng': -104.9418618}, 'viewport': {'northeast': {'lat': 39.88573988029149, 'lng': -104.9404644197085}, 'southwest': {'lat': 39.8830419197085, 'lng': -104.9431623802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 683, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107609860796376885819"">Pizza Hut</a>'], 'photo_reference': 'AW30NDw2APcPgkIhcAsSCyJglGlQnkoBToGIdkz8FPTfPiq1b4U2EKrQEMFveukSIgRhUeoQfzxq53T9TA1I_Cle1jUyN96V2koOXq8T2itIzxDbErBfi5m_KeVmNC_eAYd6_dv9XTJeK1Foqjas7bRII3TCwMwQKjNLTjn-zPHPXV9uNr85', 'width': 1025}]",ChIJ2dwXirV2bIcRGMc4WOqpjnU,"{'compound_code': 'V3M5+P7 Thornton, CO, USA', 'global_code': '85FQV3M5+P7'}",1.0,2.7,ChIJ2dwXirV2bIcRGMc4WOqpjnU,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",476,"3880 East 104th Avenue, Thornton",
OPERATIONAL,"{'location': {'lat': 39.915018, 'lng': -104.9542414}, 'viewport': {'northeast': {'lat': 39.9162771802915, 'lng': -104.9528556697085}, 'southwest': {'lat': 39.9135792197085, 'lng': -104.9555536302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 812, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117125699885803393211"">Papa Johns Pizza</a>'], 'photo_reference': 'AW30NDzVkTvjsAF5RiUspaHeRrfjxqnOz_ihVYQQNO11bNd7am1ohsbF7nM9tAxcMjtsGdYdwavxcaP-spsaLXYJ4yPmi6us-Q3VtD38g128C6wq6bkcpnV1rBbbbIKLqgCtu0O4nqLBLt8AS_B-fuk6qmLW1KPm33M6czrVNDSNMhZwH1SK', 'width': 1444}]",ChIJXadfbhd0bIcR-I6NLDTkUmQ,"{'compound_code': 'W28W+28 Denver, CO, USA', 'global_code': '85FQW28W+28'}",1.0,3.3,ChIJXadfbhd0bIcR-I6NLDTkUmQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",198,"2683 East 120th Avenue B-3, Denver",
OPERATIONAL,"{'location': {'lat': 39.912887, 'lng': -104.9774137}, 'viewport': {'northeast': {'lat': 39.9140749302915, 'lng': -104.9760669697085}, 'southwest': {'lat': 39.9113769697085, 'lng': -104.9787649302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109447370763403888591"">Ken</a>'], 'photo_reference': 'AW30NDy9xLL3SZTTNu-9rXHYvwBJbpcJGxyML1bzEzeY3K9obN1LNeM5Sd-KKnI8bmxgHnVJLvlQt7x0VKvNolPoo1JvHPR00XbhKc2J7lwZzvxAd9CHOZo9C-mLQpryrFcFY_4CdlsULRepTNCuEqZUr1evLk_qDMCOhBDTjky_eNX0Q3QO', 'width': 5312}]",ChIJYZ_8pjF0bIcRxQZZTSjPv2c,"{'compound_code': 'W27F+52 Northglenn, CO, USA', 'global_code': '85FQW27F+52'}",1.0,3.0,ChIJYZ_8pjF0bIcRxQZZTSjPv2c,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",240,"11920 Washington Street, Northglenn",
OPERATIONAL,"{'location': {'lat': 39.88548799999999, 'lng': -104.9388233}, 'viewport': {'northeast': {'lat': 39.88673148029149, 'lng': -104.9374829697085}, 'southwest': {'lat': 39.8840335197085, 'lng': -104.9401809302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Carl's Jr.,{'open_now': True},"[{'height': 694, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115387143007804730399"">Carl&#39;s Jr.</a>'], 'photo_reference': 'AW30NDziO136XfJNVwecmz78onY74ZV4YiqBAg7cmiBdAY5zuX5hmPnJ-9gGjJxpAs3kcAZc27sDKk0ElHc2dPA_ZYMEpGJkK0BTCsOWAAhrJgOTlIWizknB18Bhf7JNtGTEN2wPXs95dHUahy9OwshSxO_lTOLljILfGSa-YM87HluuPK1n', 'width': 1234}]",ChIJqxNqUjVxbIcRPFUbrGzrBOU,"{'compound_code': 'V3P6+5F Thornton, CO, USA', 'global_code': '85FQV3P6+5F'}",1.0,3.9,ChIJqxNqUjVxbIcRPFUbrGzrBOU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",911,"4211 East 104th Avenue, Thornton",
OPERATIONAL,"{'location': {'lat': 39.89965979999999, 'lng': -104.9416861}, 'viewport': {'northeast': {'lat': 39.9010110302915, 'lng': -104.9402886697085}, 'southwest': {'lat': 39.8983130697085, 'lng': -104.9429866302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Anthony's II Pizza and Italian Food,{'open_now': True},"[{'height': 3500, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116543197195074944795"">Anthony&#39;s II Pizza and Italian Food</a>'], 'photo_reference': 'AW30NDxvBAjEVmCVAb1xVYQg2MQAh4ZACL1dsq4Vz-cXEVR8AeHQ8DrjGkOXIouQ-HEG4pS1Qn9Rj-_rvk0S3uBx5hODYpoveeO4kEJ_aKc3z_fxweb6-JnTQjL5r4xZLr4XkKpCRkDwdc9YANjqJApzOtBrzPciVf8sxLhRjMV1PsY3s9fY', 'width': 5250}]",ChIJe1AIiKx2bIcRicVZFMS_W2Q,"{'compound_code': 'V3X5+V8 Thornton, CO, USA', 'global_code': '85FQV3X5+V8'}",2.0,4.0,ChIJe1AIiKx2bIcRicVZFMS_W2Q,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",850,"3901 East 112th Avenue, Thornton",
