business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 34.1487205, 'lng': -118.8152128}, 'viewport': {'northeast': {'lat': 34.14968553029151, 'lng': -118.8142114197085}, 'southwest': {'lat': 34.14698756970851, 'lng': -118.8169093802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Westlake Village Inn,{'open_now': True},"[{'height': 650, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104970026836622190504"">Westlake Village Inn</a>'], 'photo_reference': 'AW30NDwnqyWZe9WDpIz-zN_SRCCSbcbfMFB_wexiS4Jj5RsTBqM39JZ6M02GlmKDO4l6H64sRJszpw8FOcqHz-N0sgoy1IGpCf0TX-O-14KUhD0kLE7MHEo8KuwQsnTKCqHMGq9mdilt21Z0A1Tb_bB6zwSyBnc91D0bRhxmJM5jeCdGV4dj', 'width': 1000}]",ChIJKy7erQAk6IARi8GMjo8sZ3g,"{'compound_code': '45XM+FW Westlake Village, CA, USA', 'global_code': '856345XM+FW'}",4.6,ChIJKy7erQAk6IARi8GMjo8sZ3g,GOOGLE,"['spa', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",846.0,"31943 Agoura Road, Westlake Village",,
OPERATIONAL,"{'location': {'lat': 34.1839107, 'lng': -118.8877217}, 'viewport': {'northeast': {'lat': 34.1856933, 'lng': -118.8859639}, 'southwest': {'lat': 34.1813045, 'lng': -118.8891603}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,The Oaks,{'open_now': True},"[{'height': 1192, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105463441605691419647"">The Oaks</a>'], 'photo_reference': 'AW30NDxS5KiAgi4rZLbkYUE3NPTN_pwLPhJ9EBVoq4WZbu1GY4C1JUCiZCBz3EwrLFi3RRkFiBTm9Ne9hDbTB0lZ7vfwMDlGuc341UcR9sVpvBIc1uzbsI6xQygGe6LJyPVSOfAMlj2NXAnY4cDHZIVceVFVZTZdjMBcOaHulUPzhu3mAI-O', 'width': 2119}]",ChIJW-HEppk66IAROxVcuGyw_VM,"{'compound_code': '54M6+HW Thousand Oaks, CA, USA', 'global_code': '856354M6+HW'}",4.5,ChIJW-HEppk66IAROxVcuGyw_VM,GOOGLE,"['shopping_mall', 'clothing_store', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",5203.0,"350 West Hillcrest Drive, Thousand Oaks",,
OPERATIONAL,"{'location': {'lat': 34.158172, 'lng': -118.8226624}, 'viewport': {'northeast': {'lat': 34.15970683029149, 'lng': -118.8214808197085}, 'southwest': {'lat': 34.15700886970849, 'lng': -118.8241787802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Fresh Brothers Pizza Westlake Village,{'open_now': True},"[{'height': 750, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107597732422139675365"">Fresh Brothers Pizza Westlake Village</a>'], 'photo_reference': 'AW30NDwNbslfWf1olwiBqfw5F0mF5fjOCiLLJ-Z11VTKFC7o4YVgInUWGq2d1D4nAiIYmIAjk47ibmTgqoVPil-huPKp0eU_ud1zfPu_zQ4eOaJ6fBUChuAggeg9UtG7R6VKnROb8ZShO5g3lGBcmo1vt5TnYwsk9hA1EP15-oSjJI44uWI', 'width': 750}]",ChIJFSJS6fok6IAR0TBil8RhNPg,"{'compound_code': '555G+7W Thousand Oaks, CA, USA', 'global_code': '8563555G+7W'}",4.2,ChIJFSJS6fok6IAR0TBil8RhNPg,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",103.0,"180 Promenade Way, Thousand Oaks",2.0,
OPERATIONAL,"{'location': {'lat': 34.2598671, 'lng': -118.8198082}, 'viewport': {'northeast': {'lat': 34.2610502302915, 'lng': -118.8180863197085}, 'southwest': {'lat': 34.2583522697085, 'lng': -118.8207842802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Reagan Country Cafe,{'open_now': False},"[{'height': 363, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103854644464088427170"">Reagan Country Cafe</a>'], 'photo_reference': 'AW30NDzVce4eKrgzYWdAlrlrUm2tEbju1L9sC6Q-FipaOtOiyx1GREl0FUfaF_pDP4-MkO4x0eTjBrN30mOH3_ThxenCV3UudZU-Z5xb8OqnJKN6Icw7ohMg4KC9pPb0o9MguSeyWdb02IDaShFsOvK5Ww8Bmu5IvDHzAGkz3wCs6XoLuyMB', 'width': 767}]",ChIJyV4dq1Au6IAR2uwYNFVe-bg,"{'compound_code': '755J+W3 Simi Valley, CA, USA', 'global_code': '8563755J+W3'}",4.0,ChIJyV4dq1Au6IAR2uwYNFVe-bg,GOOGLE,"['cafe', 'museum', 'restaurant', 'food', 'point_of_interest', 'establishment']",21.0,"40 Presidential Drive, Simi Valley",1.0,
OPERATIONAL,"{'location': {'lat': 34.148839, 'lng': -118.8183762}, 'viewport': {'northeast': {'lat': 34.1497621302915, 'lng': -118.8166236697085}, 'southwest': {'lat': 34.1470641697085, 'lng': -118.8193216302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Stonehaus,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110124151394978266513"">Scott Dee</a>'], 'photo_reference': 'AW30NDwFLSFzRl37JSDPHQdMcpvmTb1tDDuxj9XVOa5p-f4wrp9narKx3nlmZETSIlO4sfsLxisqF_W8Qm_BXypZYtZN3THZdiNZ5oMUN4tvhChSnkI4gF685IAngi4-MmU7fnKNrzGI64nalVt5_gsACDivZoT4iYEso3xyZeGnsS-ME91L', 'width': 4032}]",ChIJ9Ri4Mosk6IAR0w3_lj0XwJ0,"{'compound_code': '45XJ+GJ Westlake Village, CA, USA', 'global_code': '856345XJ+GJ'}",4.5,ChIJ9Ri4Mosk6IAR0w3_lj0XwJ0,GOOGLE,"['cafe', 'bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",674.0,"32039 Agoura Road, Westlake Village",2.0,
OPERATIONAL,"{'location': {'lat': 34.1539833, 'lng': -118.8248306}, 'viewport': {'northeast': {'lat': 34.1552996802915, 'lng': -118.8233427697085}, 'southwest': {'lat': 34.1526017197085, 'lng': -118.8260407302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Brent's Delicatessen & Restaurant,{'open_now': False},"[{'height': 1598, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110272484025442251513"">Roger Weeks</a>'], 'photo_reference': 'AW30NDxlbX5tjuSiFf3RDVQopDG-vcxF4x518LWOqwOqxLuNU_wVaJRth1QLlb-WxtX2Y5jhHADBCmtTwJ2isG7ZEDOU09euxc0YfYMQvQWFfiT0TaJaLtVZP1R3UZIsZdJaHhyO20rMdShCoeUFX04LM78uFsECA47w0lACX9NtdcWyZXa2', 'width': 3264}]",ChIJt4eg1e8k6IARSI-66JDDUfM,"{'compound_code': '553G+H3 Westlake Village, CA, USA', 'global_code': '8563553G+H3'}",4.5,ChIJt4eg1e8k6IARSI-66JDDUfM,GOOGLE,"['bakery', 'bar', 'meal_takeaway', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",1711.0,"2799 Townsgate Road, Westlake Village",2.0,
OPERATIONAL,"{'location': {'lat': 34.1799797, 'lng': -118.88058}, 'viewport': {'northeast': {'lat': 34.1813816802915, 'lng': -118.8792114697085}, 'southwest': {'lat': 34.1786837197085, 'lng': -118.8819094302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,MarcelloRistorante,{'open_now': True},"[{'height': 1152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104117244641691720350"">MarcelloRistorante</a>'], 'photo_reference': 'AW30NDysH1U8YKOaQa5UMA9xjB_ZnthDl6-mhWsB_O3AuOLzP893HMQWSaagfk7zUL0GaoneLSk2Ayx9omaIclU6095hHVuKpUc4_CiAO8T4lBTmeMfbWNFQvh5Jr11SnqDPXKT3FO1Kivk0OjbGbTHozoI2rVNgJYpZEKQM9wqAtJ5v11FG', 'width': 2048}]",ChIJOSc2Urw66IAR8IGGFdKRVH0,"{'compound_code': '54H9+XQ Thousand Oaks, CA, USA', 'global_code': '856354H9+XQ'}",4.6,ChIJOSc2Urw66IAR8IGGFdKRVH0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",160.0,"140 West Hillcrest Drive, Thousand Oaks",3.0,
OPERATIONAL,"{'location': {'lat': 34.13916669999999, 'lng': -118.8233333}, 'viewport': {'northeast': {'lat': 34.14056533029149, 'lng': -118.8218599197085}, 'southwest': {'lat': 34.13786736970849, 'lng': -118.8245578802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Zin Bistro Americana,{'open_now': True},"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111497294724793768364"">Zin Bistro Americana</a>'], 'photo_reference': 'AW30NDzv2WvSjUuCCHbWJQ3mhVTGBJcOmdK_imBlCYaoCP3gy2Y2ow_aFswlu83fFN4bnWgHRw3RLoW2U7ap4Jbx90aluM32ZHtLlccCzXgxDJw3L1gjZy1htzs30iJ9CCw7Bgk6h7ojEXP5jCz6lCM5AY2ZMNScIEHIUAMSowxP-K-03VHF', 'width': 1080}]",ChIJT9uJNo4k6IARx-zdct5vVkk,"{'compound_code': '45QG+MM Westlake Village, CA, USA', 'global_code': '856345QG+MM'}",4.3,ChIJT9uJNo4k6IARx-zdct5vVkk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",531.0,"32131 Lindero Canyon Road #111, Westlake Village",3.0,
OPERATIONAL,"{'location': {'lat': 34.1638474, 'lng': -118.8261321}, 'viewport': {'northeast': {'lat': 34.1651137802915, 'lng': -118.8247367197085}, 'southwest': {'lat': 34.1624158197085, 'lng': -118.8274346802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Thousand Oaks Fish & Chips,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114435801571412770716"">Ray Gonzales State Farm Agent</a>'], 'photo_reference': 'AW30NDzCC9gffXSMKom266v0_4YT41Qo6JnCRLk0CYm5R_ftHawZRsDbPGnqbQlvP9N2TSVzqfVm6yAJ_Ueq4WUI1BEudD_itDfVgIBzbOkiqBUoIovFwfSc4CSqztMNLfQ8OY4sMazEGtSQrlbbIweSeSoOesniBpDkMFJJIY8S1U3_W_eN', 'width': 3024}]",ChIJoUBlzfwk6IAREze0AC96X3g,"{'compound_code': '557F+GG Westlake Village, CA, USA', 'global_code': '8563557F+GG'}",4.5,ChIJoUBlzfwk6IAREze0AC96X3g,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",342.0,"3825 Thousand Oaks Boulevard H, Westlake Village",1.0,
OPERATIONAL,"{'location': {'lat': 34.17591109999999, 'lng': -118.8475375}, 'viewport': {'northeast': {'lat': 34.17710578029149, 'lng': -118.8462113197085}, 'southwest': {'lat': 34.17440781970849, 'lng': -118.8489092802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mastro's Steakhouse,{'open_now': True},"[{'height': 1152, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113136963118812598093"">Mastro&#39;s Steakhouse</a>'], 'photo_reference': 'AW30NDyt75PFHLuyYYTNFuHaTrrbIHpZSCr48B2ADvsd4A3gp3DiL3qrlpMweddUIT5rARazgCBqss05TnuTbZJ-vitnXISDcfG1XuMxVPmhPkKajnbayMIqqLOg7vI6YarAJsckvLJ8UUlUW-7_qp96kMgNlorFRU92mYov1Ia5Le-MUSOj', 'width': 2048}]",ChIJ526QAjol6IARA06lcfLC1UY,"{'compound_code': '55G2+9X Thousand Oaks, CA, USA', 'global_code': '856355G2+9X'}",4.5,ChIJ526QAjol6IARA06lcfLC1UY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",842.0,"2087 East Thousand Oaks Boulevard, Thousand Oaks",4.0,
