business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 41.6921671, 'lng': -83.5650799}, 'viewport': {'northeast': {'lat': 41.6934989302915, 'lng': -83.56359836970849}, 'southwest': {'lat': 41.6908009697085, 'lng': -83.5662963302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mancy's Steakhouse,{'open_now': True},"[{'height': 1908, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118383542870742366014"">Tod Bowen</a>'], 'photo_reference': 'AW30NDz3BmYmkEY2dRo0WZ-9JBjkvUyR9ixXH3FaQufvtHVvvn13Zvx61-b_tC3zrT1a8htds13KntsGpjpQVAszzoJ8mkrDpgv5eRzbd9uLWNsWwsFDfo090dsW6tVj5KEIViYWjS7GDKCj-5fNUMzumLvdCJdHioJq4H9hTLcugG5NAetl', 'width': 3982}]",ChIJk5dRg_GAO4gR7pdNhb1qYZ4,"{'compound_code': 'MCRM+VX Toledo, OH, USA', 'global_code': '86HRMCRM+VX'}",3.0,4.7,ChIJk5dRg_GAO4gR7pdNhb1qYZ4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2132.0,"953 Phillips Avenue, Toledo",
OPERATIONAL,"{'location': {'lat': 41.677907, 'lng': -83.598721}, 'viewport': {'northeast': {'lat': 41.6793399302915, 'lng': -83.59730161970849}, 'southwest': {'lat': 41.6766419697085, 'lng': -83.5999995802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 766, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107820620675835735445"">Subway</a>'], 'photo_reference': 'AW30NDyDDBx_mEKKnDgW3UrDvJRDeDknGk8U-OxxqrM6Mz8ODXaR5InWT9wECf19pnKKSLuCnMLU3Q6roJ7W-fFlPj1_9ffKMs8poq76apz-T_AqDmyErkIZDNEssQtXa9ILh7a_W_VrUL9a5cge5_T3WENdg5olJ6s_zYEqlgRr4ett6dUs', 'width': 766}]",ChIJGcl-alx_PIgRZ-76o5Z2r3s,"{'compound_code': 'MCH2+5G Toledo, OH, USA', 'global_code': '86HRMCH2+5G'}",1.0,4.2,ChIJGcl-alx_PIgRZ-76o5Z2r3s,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",420.0,"4011 Monroe Street, Toledo",
OPERATIONAL,"{'location': {'lat': 41.6815, 'lng': -83.6224696}, 'viewport': {'northeast': {'lat': 41.6827854302915, 'lng': -83.62114241970849}, 'southwest': {'lat': 41.6800874697085, 'lng': -83.6238403802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104431874051519977727"">Jay Kloosterman</a>'], 'photo_reference': 'AW30NDxfumeATet8huuSAFl28B_sr2C7erZ_V-9khZghn6Qrw9V2PZbyCqI4-zMYQzH2JVbrA76u0ruq9pUf-Y7pMtNAoxlwp4ruBGp2XpIzf4GM8-87sAKoUdRtsb1UuViEAUCeYHbNNQWNW-ViyO_bQobaFd9ZmmyEVjQzRfeU2C_ooiz9', 'width': 3072}]",ChIJterrFz1_PIgRffM_NPU17Qg,"{'compound_code': 'M9JH+H2 Toledo, OH, USA', 'global_code': '86HRM9JH+H2'}",1.0,4.1,ChIJterrFz1_PIgRffM_NPU17Qg,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",118.0,"3324 Secor Road Suites 15 & 16, Toledo",
OPERATIONAL,"{'location': {'lat': 41.68193, 'lng': -83.624591}, 'viewport': {'northeast': {'lat': 41.6834072802915, 'lng': -83.62310766970849}, 'southwest': {'lat': 41.6807093197085, 'lng': -83.62580563029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,ZaZa Wood Fired Pizza &Mediterranean Cuisine,{'open_now': True},"[{'height': 1000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117962010193530646734"">ZaZa Wood Fired Pizza &amp;Mediterranean Cuisine</a>'], 'photo_reference': 'AW30NDyN_KQRd2j-1DZE7NURPm4RD5BmrO_5Sk-s_IGJMFBdLPcSHLj3J7wLEDSnCx2LQkH0vdJ7eznHh369lMPdwREuqz1f1sr6M1L6jGc6i0yjET7DMTB4V5Ndi3QyoNVetaFfhXGiIAbPddELClP5ev6OrSlIbBX_B-k2K9Agz-qi6rLK', 'width': 1500}]",ChIJga_ETj1_PIgRM1BnryM2SI0,"{'compound_code': 'M9JG+Q5 Toledo, OH, USA', 'global_code': '86HRM9JG+Q5'}",1.0,4.3,ChIJga_ETj1_PIgRM1BnryM2SI0,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",538.0,"3550 Executive Parkway, Toledo",
OPERATIONAL,"{'location': {'lat': 41.6547582, 'lng': -83.62223519999999}, 'viewport': {'northeast': {'lat': 41.6561328302915, 'lng': -83.62101826970849}, 'southwest': {'lat': 41.6534348697085, 'lng': -83.62371623029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111703852390300400680"">Theo Bacon</a>'], 'photo_reference': 'AW30NDyxGni06LXS82devamELGlbl0m74VTuhiXu9V_ILh7iGkCn7MagFgO93IAen4TR0LpmEx7byntxeXTjoAnd0msGehi_73ZTVgQpsfzHYG-dbdLS7ow4l-fs1ZXECjIyE20Cl6gfh84FWFADC6JCN-7tY9XHEe23TvFTsr4_30gV4m7F', 'width': 1920}]",ChIJ-f46os94PIgR8sVmQ1dqJy0,"{'compound_code': 'M93H+W4 Toledo, OH, USA', 'global_code': '86HRM93H+W4'}",1.0,4.0,ChIJ-f46os94PIgR8sVmQ1dqJy0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",127.0,"1465 Secor Road, Toledo",
OPERATIONAL,"{'location': {'lat': 41.6924671, 'lng': -83.5645055}, 'viewport': {'northeast': {'lat': 41.6937701302915, 'lng': -83.5630895697085}, 'southwest': {'lat': 41.6910721697085, 'lng': -83.5657875302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117760204521828560509"">Henry Sylvester</a>'], 'photo_reference': 'AW30NDxSwul0enJArY0Ohf_8q-WiCnCbZMDWxYRpFuVA0oYBOYNP8Ktgqx6jMCxzTXIBRJPqTl2QGUJdKWNMT2chQQA6X8j3i__zojnjV1ftTHtt4alZSyQ4zhbgAML1zhkldXUsdU2WRhUZ3cxBdAmVXEGJkkUDbAYzY-QL3-XXw9sULCjI', 'width': 4160}]",ChIJaSHpnvGAO4gRJhxDXAYGhH4,"{'compound_code': 'MCRP+X5 Toledo, OH, USA', 'global_code': '86HRMCRP+X5'}",1.0,3.9,ChIJaSHpnvGAO4gRJhxDXAYGhH4,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",229.0,"942 Phillips Avenue, Toledo",
OPERATIONAL,"{'location': {'lat': 41.6765331, 'lng': -83.6233443}, 'viewport': {'northeast': {'lat': 41.6778848302915, 'lng': -83.62206406970849}, 'southwest': {'lat': 41.6751868697085, 'lng': -83.6247620302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chipotle Mexican Grill,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103703446109922881416"">Ash</a>'], 'photo_reference': 'AW30NDxg6b2pu7076rPyTPOL0rwifA_SAANHm0lr0OEkHkJp_t1jJ18Vear59phevYDcelWybNqkSmH8ntBt8REyVUmgR4nUQViApmUE_8hbmSiU40haRqqg3CE7P5YoyKMaYFRcNC_DgshcL7MmbCTK_smkOQjhTdaUO9GHjlQDAfwoifFC', 'width': 3024}]",ChIJg8ZCajt_PIgRZrwJuurECN8,"{'compound_code': 'M9GG+JM Toledo, OH, USA', 'global_code': '86HRM9GG+JM'}",1.0,3.7,ChIJg8ZCajt_PIgRZrwJuurECN8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1171.0,"3305 Central Avenue Unit A2-60, Toledo",
OPERATIONAL,"{'location': {'lat': 41.647452, 'lng': -83.539146}, 'viewport': {'northeast': {'lat': 41.6488882302915, 'lng': -83.5379214697085}, 'southwest': {'lat': 41.64619026970851, 'lng': -83.5406194302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Packo's at the Park,{'open_now': True},"[{'height': 6000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114163573547446376049"">Packo&#39;s at the Park</a>'], 'photo_reference': 'AW30NDxMrpTwNLDXccelHhZfd-2Vn1Z6hDXj3TGSaZPYWTX1TEZs74pDAHEVCk2ijSTfm_1SI-IUHlojrSO0ndwHm-Ncpe1atTuPoCQBqZYiR-pzPxYkvqCXgqjhuFFKM0dCuFTvZEzE2vz_e8jkfmI31hjanEzbNNAyH6V3ft_2eOOw6JIL', 'width': 4000}]",ChIJzbKAydqGO4gR94mJLWp6IUQ,"{'compound_code': 'JFW6+X8 Toledo, OH, USA', 'global_code': '86HRJFW6+X8'}",2.0,4.3,ChIJzbKAydqGO4gR94mJLWp6IUQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1379.0,"7 South Superior Street, Toledo",
OPERATIONAL,"{'location': {'lat': 41.6575944, 'lng': -83.5437979}, 'viewport': {'northeast': {'lat': 41.6588825802915, 'lng': -83.5425167197085}, 'southwest': {'lat': 41.6561846197085, 'lng': -83.54521468029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Manhattan's Pub 'n Cheer,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100893075427924829384"">mark zellers</a>'], 'photo_reference': 'AW30NDwH4ETBg1NpZi716jgaepdUA-VmLueJW0ejO-sdhCxldJHt-OtEZXbd21OklvJ96_JsV5BYiJY9Hy29Qgu-Z0akJGg3O3eLSl3hS46nA1VarH22Hohj9fMHQolgYNZqYWZ59ArWm8UEBgZSuLhR6V7aazcnP0f00NtiivJqKUhn2lw2', 'width': 4032}]",ChIJ7f--ZtOGO4gRO3ay0UwS9q0,"{'compound_code': 'MF54+2F Toledo, OH, USA', 'global_code': '86HRMF54+2F'}",2.0,4.5,ChIJ7f--ZtOGO4gRO3ay0UwS9q0,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1206.0,"1516 Adams Street, Toledo",
OPERATIONAL,"{'location': {'lat': 41.6494767, 'lng': -83.538949}, 'viewport': {'northeast': {'lat': 41.6508830802915, 'lng': -83.5375247697085}, 'southwest': {'lat': 41.6481851197085, 'lng': -83.5402227302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,PizzaPapalis,{'open_now': False},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108646709660861685733"">Halfmoons Picks</a>'], 'photo_reference': 'AW30NDzCdg07RBwuiCFEgieLgUjpDuFuXahE4RgI1QYCnfMxhmkfpRn-y0CKRAOCCIp9I_V-bPKF7McHGk6cMQy9Kfz9W91LPXjjix3NAXcB7EOMdsWYwRCnWOJdqxxi86LPg5MBtlrPWHpL9CvM8MiV0hMoT5tF5KSdVdlAgBC6i4at1UK-', 'width': 3264}]",ChIJbZF7_c-GO4gRPRUVopJJGS8,"{'compound_code': 'JFX6+QC Toledo, OH, USA', 'global_code': '86HRJFX6+QC'}",2.0,4.4,ChIJbZF7_c-GO4gRPRUVopJJGS8,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1759.0,"519 Monroe Street, Toledo",
