business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 39.0431137, 'lng': -95.75904}, 'viewport': {'northeast': {'lat': 39.0443607802915, 'lng': -95.75771101970851}, 'southwest': {'lat': 39.0416628197085, 'lng': -95.76040898029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Roadhouse,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110148108554548720639"">Juan Martínez</a>'], 'photo_reference': 'AW30NDzJiBIaV5ueMteTp3unETBNtB3U_GSgsOD8_hZVmta0hI6_bFiaF5Pr1jsdM5c38hwfpEJ9OIzYgfhy4dwzZZYl-DJk70mDJ6jY5Ab2ELZgKskUHln5vk_sy6jcV7w9oPPWptDqf9fza4U2-yNmNlFFv2Nh5bOZaXfU7j-cP4PCxrz0', 'width': 4000}]",ChIJa9SULRD9vocRBy-A13gvXtU,"{'compound_code': '26VR+69 Topeka, KS, USA', 'global_code': '86F626VR+69'}",2.0,4.4,ChIJa9SULRD9vocRBy-A13gvXtU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3822.0,"5901 Southwest Huntoon Street, Topeka",
OPERATIONAL,"{'location': {'lat': 39.00029579999999, 'lng': -95.6846674}, 'viewport': {'northeast': {'lat': 39.0015840302915, 'lng': -95.68295136970848}, 'southwest': {'lat': 38.9988860697085, 'lng': -95.6856493302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Blind Tiger Brewery & Restaurant,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102925056233675801106"">Alex Passini</a>'], 'photo_reference': 'AW30NDyfPg4AzWnV6VCKbc4tdEVbFyI6YGtxZr_p_InIRqHY5XrwoY2zn-lDEznDnkefNWZVB0NlQYAm6CcQaZvO_XQ1OUmdRtcE26_EXB-JyRzvU7cjODf7tAr4pJsaueDkQ7vzD3XejjcaDz1bmgmdJb8K6p24uvkF1RluVN7xR3EDg7Mk', 'width': 4032}]",ChIJJ03HMtkcv4cRLE5u9O3Ptws,"{'compound_code': '2828+44 Topeka, KS, USA', 'global_code': '86F62828+44'}",2.0,4.3,ChIJJ03HMtkcv4cRLE5u9O3Ptws,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3027.0,"417 Southwest 37th Street, Topeka",
CLOSED_TEMPORARILY,"{'location': {'lat': 39.037207, 'lng': -95.709419}, 'viewport': {'northeast': {'lat': 39.03855128029149, 'lng': -95.7081290197085}, 'southwest': {'lat': 39.03585331970849, 'lng': -95.7108269802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102066886328659258549"">Luke Franzen</a>'], 'photo_reference': 'AW30NDxI9KXYvVm0jtaiYP1i5PAo80BBSZqloy5T4gwX71AQCsK5vYTPomGDyUyotGPWfWvr3PhudiYlbFi8-RhcH1KZwRXx13DPyCdJsOkxQLzL-jqVgrr6o2ixjtsROFCU1uhUVQj6uBLUlOAWavHDzX7ske0HWobqWOOri-4vywq-SybT', 'width': 4032}]",ChIJoTHrNpUCv4cRLUbr9lFvdgg,"{'compound_code': '27PR+V6 Topeka, KS, USA', 'global_code': '86F627PR+V6'}",1.0,4.4,ChIJoTHrNpUCv4cRLUbr9lFvdgg,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",116.0,"2518 Southwest 17th Street, Topeka",True
OPERATIONAL,"{'location': {'lat': 39.0471363, 'lng': -95.7250346}, 'viewport': {'northeast': {'lat': 39.04848243029149, 'lng': -95.72366021970849}, 'southwest': {'lat': 39.0457844697085, 'lng': -95.7263581802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103257338324253205666"">Roger Haubold</a>'], 'photo_reference': 'AW30NDww7b2NrKk2T-jILmyye8YR9bitVEn_biOU1XbtAwcaAqW_RXy6ogd_Jzf8DywDyE2yN9IIKKTuXvzEMJ9qBijpb2XATosau2ZeEscBqERgOac4ucjQcLf8YAeJBFQP5Tg2eS2ZkaUynjsmiupk8a-QMeEtrBPEabXLERU9S8a4wS1h', 'width': 1920}]",ChIJbYr2B4QCv4cRDtT6wlVLM90,"{'compound_code': '27WF+VX Topeka, KS, USA', 'global_code': '86F627WF+VX'}",1.0,3.8,ChIJbYr2B4QCv4cRDtT6wlVLM90,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",351.0,"1151 Southwest Gage Boulevard, Topeka",
OPERATIONAL,"{'location': {'lat': 39.0932851, 'lng': -95.6723098}, 'viewport': {'northeast': {'lat': 39.0945881802915, 'lng': -95.67054186970849}, 'southwest': {'lat': 39.0918902197085, 'lng': -95.6732398302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113363088381394890360"">Bhautik Chaudhari</a>'], 'photo_reference': 'AW30NDwN5W9AE7Zl7vPFDVt_WHHyqqzDeCZWHNXXaDxOluTjhNbW2WGpgJ86TyuROgkuWyfEf71YbZW_G-zY589y0pSqYxDWZQynedbrMRnqH19Glgqf7HeWfjUM1JFdQ4AatUiyJ0YUXP84O8Aq33MwRZy73UwDllvXNuhW2t2C1V7IzREj', 'width': 3024}]",ChIJwYkcmtsDv4cRzFmnUVpD1sE,"{'compound_code': '38VH+83 Topeka, KS, USA', 'global_code': '86F638VH+83'}",1.0,4.2,ChIJwYkcmtsDv4cRzFmnUVpD1sE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",206.0,"2600 Northwest Rochester Road, Topeka",
OPERATIONAL,"{'location': {'lat': 39.0312736, 'lng': -95.76282839999999}, 'viewport': {'northeast': {'lat': 39.03264668029149, 'lng': -95.7613261697085}, 'southwest': {'lat': 39.02994871970849, 'lng': -95.7640241302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 1224, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107229803175175627145"">Ryan Purcell</a>'], 'photo_reference': 'AW30NDxHyKWwZ2l476ItrneRroFk-iuZ4TjUD31KuiCvXH4qY487X-rovVZ8wNA_6DhL9wZ_2aWhGnga21Zl1rSzo6sbgmgXuwl8haeqEg7UDxfqfdi2OuKhVPVse_V2Tz0u5eL7KkKT7cp1qT5lXxdcPni_f07xsVerGf3QkK_CEB_JlAh7', 'width': 1632}]",ChIJYwfewiL9vocRMkF3kOK0TaM,"{'compound_code': '26JP+GV Topeka, KS, USA', 'global_code': '86F626JP+GV'}",2.0,4.3,ChIJYwfewiL9vocRMkF3kOK0TaM,GOOGLE,"['bar', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2090.0,"1925 Southwest Wanamaker Road, Topeka",
OPERATIONAL,"{'location': {'lat': 39.0289322, 'lng': -95.7475303}, 'viewport': {'northeast': {'lat': 39.0303220302915, 'lng': -95.74618081970848}, 'southwest': {'lat': 39.0276240697085, 'lng': -95.7488787802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106809790605186853073"">LXL KXNG</a>'], 'photo_reference': 'AW30NDzMt1xVv5S3SEPJ70bz2TIbvxMIT8dpAA-zpUUPYRD-bIhBtJWQvHDNONejxpSAQrZ7jnCp-FHnUikuHAwEWalR1wElDLQOVlFZzrnUJY1DpXqRUzBp97n0zdoOvlMT5OPC7VrvgZMwNufboZi3pj2hKiwhKIi5mKKgPN1HNyhzenSq', 'width': 2448}]",ChIJfVfFTkH9vocRQRkLmAfg-hE,"{'compound_code': '27H2+HX Topeka, KS, USA', 'global_code': '86F627H2+HX'}",1.0,3.5,ChIJfVfFTkH9vocRQRkLmAfg-hE,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",349.0,"5421 Southwest 21st Street, Topeka",
OPERATIONAL,"{'location': {'lat': 39.0149997, 'lng': -95.7642382}, 'viewport': {'northeast': {'lat': 39.0163132802915, 'lng': -95.76273341970848}, 'southwest': {'lat': 39.0136153197085, 'lng': -95.76543138029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114194762933303414317"">Shauna Wake</a>'], 'photo_reference': 'AW30NDxi0-ZdYujdT4__6tNaY6DHeGWDdp1y4T1ldLGcZSL8uaAD_R_OS56aA44dsYkeerkaSjMPjncckcw-ekwVL7hQHICP3Su85grQekEPoCT3ttAfJzbO2jsDUalZE8OLW9ojIFNnmNAmMIQN4Q0-0aeqbGKBTjQoVbK0Msq8HiibVBDP', 'width': 1080}]",ChIJF23rsy39vocRPwLHxvgcInw,"{'compound_code': '267P+X8 Topeka, KS, USA', 'global_code': '86F6267P+X8'}",1.0,3.9,ChIJF23rsy39vocRPwLHxvgcInw,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",114.0,"6020 Southwest 29th Street, Topeka",
OPERATIONAL,"{'location': {'lat': 39.03660649999999, 'lng': -95.6964308}, 'viewport': {'northeast': {'lat': 39.03805403029149, 'lng': -95.69497171970849}, 'southwest': {'lat': 39.03535606970849, 'lng': -95.69766968029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 6000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112596596788543823097"">Paul Votaw</a>'], 'photo_reference': 'AW30NDyUllMmAD88j57MeMrRh3fR0JVQMdvkMthYIbd6yG9mUNNn0zAhuXrkLaxzkX-GQ3H-dcU7i9Dear76AXFWB7Y_CMjOUhP-wvQF1rPxZqdV_ViDxRh2MCHuMV5uVoGtHZWuR1ybc-L2-vjtDhogXg_28t9crP7uYQfr7w6Nxumi8r9P', 'width': 4000}]",ChIJGZcAhucCv4cRH-ydUr-uTqs,"{'compound_code': '28P3+JC Topeka, KS, USA', 'global_code': '86F628P3+JC'}",1.0,3.8,ChIJGZcAhucCv4cRH-ydUr-uTqs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",232.0,"1700 Southwest Washburn Avenue Ste B, Topeka",
OPERATIONAL,"{'location': {'lat': 39.0295192, 'lng': -95.7611797}, 'viewport': {'northeast': {'lat': 39.0308513802915, 'lng': -95.7599845697085}, 'southwest': {'lat': 39.0281534197085, 'lng': -95.76268253029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chipotle Mexican Grill,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107435779451984523747"">Trent Hodges</a>'], 'photo_reference': 'AW30NDxLb4oz0R1eFbFjQXnaLeqbzCS9nfx7fJPoooH6pe-k2QsY9Nxt4xxIwUPZJ1MokbMCGiR3xIUTjzBS0sWgS3TL-2E2itYI7ngJS078DnoO73mGawMAXCxBlMUrGryVFPmzOM_IS3UfkuSA4dPB59ZyRh49Btj6A5F8tEvrHXwoc9Jb', 'width': 1920}]",ChIJn8ylLyP9vocRXF1Z_RD27V4,"{'compound_code': '26HQ+RG Topeka, KS, USA', 'global_code': '86F626HQ+RG'}",1.0,3.9,ChIJn8ylLyP9vocRXF1Z_RD27V4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1214.0,"2040 Southwest Wanamaker Road Ste 103, Topeka",
