business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.8326464, 'lng': -118.3482696}, 'viewport': {'northeast': {'lat': 33.8338025302915, 'lng': -118.3469486197085}, 'southwest': {'lat': 33.8311045697085, 'lng': -118.3496465802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Mitsuwa Marketplace - Torrance Del Amo,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118113969931634497616"">Yosuke Sato (MKTunited)</a>'], 'photo_reference': 'AW30NDwDEbPb8XsB4tAyO4kqYWO72JHEJOPo5WWLctUtlm6c2sXhAYUGlTF359RmtVre7PVfqoVHGpRqlhOui79ilUelXP4Pt_HFmKIpW5_dHS6eCK9kuneEAXGTzU4nZvAtm-Jsm3K4vaSfoxe88F_TznIuCO9DiZs2l52NJkaXtPRbaKFQ', 'width': 4032}]",ChIJMZJb5KRK3YARu4cpeq-zu-Y,"{'compound_code': 'RMM2+3M Torrance, CA, USA', 'global_code': '8553RMM2+3M'}",4.5,ChIJMZJb5KRK3YARu4cpeq-zu-Y,GOOGLE,"['supermarket', 'grocery_or_supermarket', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",3770.0,"3525 West Carson Street Suite 164, Torrance",,
OPERATIONAL,"{'location': {'lat': 33.8309781, 'lng': -118.3495684}, 'viewport': {'northeast': {'lat': 33.83242063029149, 'lng': -118.3481081697085}, 'southwest': {'lat': 33.8297226697085, 'lng': -118.3508061302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Panda Express,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111918224264842942785"">Judy E Kikuchi</a>'], 'photo_reference': 'AW30NDzBtVsffWEEyk1ezBCnrrY_E-bAxsijKu7bM6sNqMh4hTQBGh-YwxDDJE520nkwejT6pheIkK8_C1d3MYgu2yyi6HnsiDU9lnmeinhI8nVgXb2qXhfgzkw2hCWwCd0s1ILXLUqjquX6_4xoJOf_ZOpi9ETSwpMYcSFTSYNK8PrLlD44', 'width': 4032}]",ChIJM4CaASxL3YAR2kQJl8KjYeo,"{'compound_code': 'RMJ2+95 Torrance, CA, USA', 'global_code': '8553RMJ2+95'}",3.6,ChIJM4CaASxL3YAR2kQJl8KjYeo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",160.0,"3525 West Carson Street, Torrance",1.0,
OPERATIONAL,"{'location': {'lat': 33.8228902, 'lng': -118.3349124}, 'viewport': {'northeast': {'lat': 33.8243824802915, 'lng': -118.3336180697085}, 'southwest': {'lat': 33.8216845197085, 'lng': -118.3363160302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,King's Hawaiian Bakery & Restaurant,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104564935611853693792"">Amanda H Chow</a>'], 'photo_reference': 'AW30NDyd-jrTGciQ_YgfuUl-4Ifo-mMwjJ3xnCypiHcirhvDthq0HYjOKmUU3f0n7N4SCO0mgqhU3kqWot1vHqSu9E6j6uNvzvSg-9A5puv9Od5PLRD-vt5TsP3RffVQE_LVj4k4Cu6r9xRSDHWiEolFxzrBuoj1dp2klckvPKKxratpfrDF', 'width': 4032}]",ChIJNYPY0NxK3YARlYmHWz-DQWM,"{'compound_code': 'RMF8+52 Torrance, CA, USA', 'global_code': '8553RMF8+52'}",4.6,ChIJNYPY0NxK3YARlYmHWz-DQWM,GOOGLE,"['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",3629.0,"2808 Sepulveda Boulevard, Torrance",2.0,
OPERATIONAL,"{'location': {'lat': 33.8345389, 'lng': -118.3543504}, 'viewport': {'northeast': {'lat': 33.83578448029149, 'lng': -118.3531208697085}, 'southwest': {'lat': 33.83308651970849, 'lng': -118.3558188302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Andre's Restaurant/Vintage Lounge Bar,{'open_now': True},"[{'height': 921, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101285491124083477341"">Andre&#39;s Restaurant/Vintage Lounge Bar</a>'], 'photo_reference': 'AW30NDzmuJlOhA4DB1rI0Ce4rr3VDkLdNdRPw-sPECYSkGtso3EQksDchUc8Na0uKXOPSBvJWb36NNlY50f1O2rJf4A6XTtJY7t5uVKQyI2RFFTnP1O6YfLH2cBpUKl9OGWCrZ_IaJD0-Op54jG5bC67OkITjGKlNLCrWjupA7jyehZBeCat', 'width': 1154}]",ChIJsXQf0CxL3YARbSDFZAPjE_A,"{'compound_code': 'RJMW+R7 Torrance, CA, USA', 'global_code': '8553RJMW+R7'}",4.3,ChIJsXQf0CxL3YARbSDFZAPjE_A,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",46.0,"21333 Hawthorne Boulevard, Torrance",2.0,
OPERATIONAL,"{'location': {'lat': 33.8324762, 'lng': -118.3475649}, 'viewport': {'northeast': {'lat': 33.8337124802915, 'lng': -118.3460776197085}, 'southwest': {'lat': 33.8310145197085, 'lng': -118.3487755802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Vegas Seafood Buffet,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103199138380088604193"">sunadda saravatpuntudis</a>'], 'photo_reference': 'AW30NDwJm6JGMoL91iF7teyZ2l9b9VHhUQlJ9B_9jKiZ8VLxcJvfbaGQEPnAjMy09yanazv5hXYH7Qd4z-FPPEP6lYYdcqhvQKMa005w4DYUHFE6UArv5xI3aiLINFZgjifN1QmrXoNTCNoger-gp7WSMwii8BLozGLjABrfV0lPBbxUd7NB', 'width': 3024}]",ChIJGRNIRypL3YARfKTwoMkKPRU,"{'compound_code': 'RMJ2+XX Torrance, CA, USA', 'global_code': '8553RMJ2+XX'}",4.0,ChIJGRNIRypL3YARfKTwoMkKPRU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2279.0,"3525 West Carson Street Suite 170, Torrance",2.0,
OPERATIONAL,"{'location': {'lat': 33.83459499999999, 'lng': -118.355841}, 'viewport': {'northeast': {'lat': 33.83603858029151, 'lng': -118.3546191197085}, 'southwest': {'lat': 33.83334061970851, 'lng': -118.3573170802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Benihana,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113587118803383947024"">M Q</a>'], 'photo_reference': 'AW30NDxPPif6VpJ7TQRqsCGtr-OOhWwqH1XwogCwp__3ThkGsfQ5RcoPl-dVvfHOi1CcX-ks-yUJ3LtpINANrJphxyY2g2ydeVW2pl3_2gMkU6coSuB_vwOPNuAJLVwWircFsTmcVOv2bGSrLwq2m7YjBXkATffzSJ0UxX3kf_aq1nQZPOw5', 'width': 4032}]",ChIJj8WFMy1L3YARXXUPuTsXjSU,"{'compound_code': 'RJMV+RM Torrance, CA, USA', 'global_code': '8553RJMV+RM'}",4.1,ChIJj8WFMy1L3YARXXUPuTsXjSU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2221.0,"21327 Hawthorne Boulevard, Torrance",3.0,
OPERATIONAL,"{'location': {'lat': 33.8327987, 'lng': -118.3512271}, 'viewport': {'northeast': {'lat': 33.8339706302915, 'lng': -118.3499235197085}, 'southwest': {'lat': 33.8312726697085, 'lng': -118.3526214802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Lucille's Smokehouse Bar-B-Que,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117498242302932872693"">Andrew Morales</a>'], 'photo_reference': 'AW30NDwuaFZr_FYI7G70C-obgvMRcCkKghhHvvbO38Ufpc0Aa_YSheRcd21CxgmI6SVYarG79kvuHtnH9qngyfXYmhFKwH2-B7z7Za8hb7lSO7kRyUb5V5HLEWZFlXED0qs2X2GeZtHjG0-LTadnXEIOy2Ml66ZPlm4u-fN2qJh6VhhE15Te', 'width': 4000}]",ChIJc1tIWilL3YAR7yAq3aIh4kw,"{'compound_code': 'RJMX+4G Torrance, CA, USA', 'global_code': '8553RJMX+4G'}",4.3,ChIJc1tIWilL3YAR7yAq3aIh4kw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2184.0,"Del Amo Fashion Center, 21540 Hawthorne Boulevard #401B, Torrance",2.0,
OPERATIONAL,"{'location': {'lat': 33.83247840000001, 'lng': -118.3471995}, 'viewport': {'northeast': {'lat': 33.8337009802915, 'lng': -118.3459169197085}, 'southwest': {'lat': 33.8310030197085, 'lng': -118.3486148802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,BJ's Restaurant & Brewhouse,{'open_now': True},"[{'height': 423, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117734783810902551798"">BJ&#39;s Restaurant &amp; Brewhouse</a>'], 'photo_reference': 'AW30NDyHpl52jVBDZOlbsMYPR2zzPPO_4A8mZ7CXoFZf_PIr48LhkXLAjtM6OPMvBUG4SERlx3KbwKv2jnq80HwQYjVROrLy8jb6UcZUvKO5kZX_l4l-5BBO3Vkb5BtmnjcNVRuYxjn7eb8z5BdnPrWAsuS3uBrImnQL-N0t0_XUUytQunGQ', 'width': 343}]",ChIJGRNIRypL3YARhORMAIqOJXQ,"{'compound_code': 'RMJ3+X4 Torrance, CA, USA', 'global_code': '8553RMJ3+X4'}",4.0,ChIJGRNIRypL3YARhORMAIqOJXQ,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1383.0,"3525 West Carson Street Suite 168, Torrance",2.0,
CLOSED_TEMPORARILY,"{'location': {'lat': 33.8377616, 'lng': -118.3483183}, 'viewport': {'northeast': {'lat': 33.8391163802915, 'lng': -118.3470547697085}, 'southwest': {'lat': 33.83641841970851, 'lng': -118.3497527302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105463446060002861667"">Subway</a>'], 'photo_reference': 'AW30NDy3FSyv_mVWeJ9QCcD3WMGCtJ6gXjL5MWiYh9Bq-1lOTLPOihXZfZJ5omB1WsUICaAzlcjgYmMKmQdz5ByFrlNMV96N1yKEEVS7Sn3DmRmvT-qcV9GCw269d5M9x3D9yFE1IvyYwml-kXBX4tiIj4p782bqzzuLMsU1e2omkDAiLvlL', 'width': 1763}]",ChIJSdlKGNW0woARUNG-RryoTHE,"{'compound_code': 'RMQ2+4M Torrance, CA, USA', 'global_code': '8553RMQ2+4M'}",4.0,ChIJSdlKGNW0woARUNG-RryoTHE,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",135.0,"3535 Torrance Blvd Suite 1 & 2, Torrance Boulevard #1&2, Torrance",1.0,True
OPERATIONAL,"{'location': {'lat': 33.8333902, 'lng': -118.3476904}, 'viewport': {'northeast': {'lat': 33.8346276802915, 'lng': -118.3468243197085}, 'southwest': {'lat': 33.8319297197085, 'lng': -118.3495222802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Outback Steakhouse,{'open_now': True},"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106837158466563776590"">Mark Barrett</a>'], 'photo_reference': 'AW30NDzoWN3jxR7IrOlaDVIx380kdoSncQ4KbzCrZZ-jnk0ey52cdWlEwAJcHG6yXji-P4dP_RAFaBwDKWN3Umhvczy5osp3812nt8QG3vehaYp1G4ND08ONnlnd9R73NlKnhAypvrKR0oK9Pp9aX4KDmPv73mVvYIx79_f5M9XvrOMPtHS4', 'width': 4080}]",ChIJs4sQtS5L3YARibK8aPeh7PU,"{'compound_code': 'RMM2+9W Torrance, CA, USA', 'global_code': '8553RMM2+9W'}",3.8,ChIJs4sQtS5L3YARibK8aPeh7PU,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1008.0,"3525 West Carson Street #159, Torrance",2.0,
