business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 32.2181873, 'lng': -110.8653252}, 'viewport': {'northeast': {'lat': 32.2193287302915, 'lng': -110.8640984697085}, 'southwest': {'lat': 32.2166307697085, 'lng': -110.8667964302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Panda Express,{'open_now': True},"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110618649854581570416"">Roger Harrison</a>'], 'photo_reference': 'AW30NDyDI5pzpyXb72rbVhappOgUSdoKa_s_XVdggV5meTw_z_CnM1CD1vkOj4dfiP5izWQZ4tNEF78GpGJcq0CdymFG1j4Qx0y0fzOTqs7A3j0hh-7Vvzqyt6KEusiBpqHrgleqky4UhoUzfxw6_jrHxQqDvbrcAQ6OH2PLNWYc5iXHd6HF', 'width': 4048}]",ChIJ5xb9aZhv1oYRyHq_KeewVPE,"{'compound_code': '649M+7V Tucson, AZ, USA', 'global_code': '854F649M+7V'}",1.0,3.8,ChIJ5xb9aZhv1oYRyHq_KeewVPE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",342.0,"5870 East Broadway Boulevard, Tucson",
OPERATIONAL,"{'location': {'lat': 32.2247939, 'lng': -110.9163267}, 'viewport': {'northeast': {'lat': 32.2262937802915, 'lng': -110.9152839197085}, 'southwest': {'lat': 32.22359581970851, 'lng': -110.9179818802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Century 20 El Con and XD,,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111779922846456858282"">Angelica Villaseñor</a>'], 'photo_reference': 'AW30NDz65-d0qCnuQk6-guCck67p7V7rI9RPVZSETT-1i9lxq3PXjKyg3x5jWslkjWpbhqdtLI1HsLcGfS7AA7NNpb5yrhnhdjZgacjKC6mkdY2sSa0Z_cF9-nJj-s_iRfiTzCuEBWyIrncyKaNOv4zIgwdKir3MGZwnS5mQFiuA75qE55g3', 'width': 3264}]",ChIJlVyPMzBw1oYR-naPSqhsYfA,"{'compound_code': '63FM+WF Tucson, AZ, USA', 'global_code': '854F63FM+WF'}",,4.3,ChIJlVyPMzBw1oYR-naPSqhsYfA,GOOGLE,"['movie_theater', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",7986.0,"3601 East Broadway Boulevard, Tucson",
OPERATIONAL,"{'location': {'lat': 32.2186074, 'lng': -110.8659393}, 'viewport': {'northeast': {'lat': 32.22001418029149, 'lng': -110.8648487697085}, 'southwest': {'lat': 32.2173162197085, 'lng': -110.8675467302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Century Park Place 20 and XD,,"[{'height': 12000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117494162589157673339"">arizonamatt1</a>'], 'photo_reference': 'AW30NDwmn8tHIN7uYe3oU9bGSQEKaVDCMJcH8OEmPGlz7Eg2W3MHqytaymBcqHEz0Pqq6jLMyzi2Qz3of1lkiq6LtQEj6Qrn6RjqgFD31z7OroaBZ7DqdCoLB8ik4oTmpjZooDLbJDc8Oaxad0nbR4PQe4Y1JTOWeXFcJtCF2kU_Hsh-6t0g', 'width': 9000}]",ChIJxcC_o6Jv1oYRvmBQdEyv9to,"{'compound_code': '649M+CJ Tucson, AZ, USA', 'global_code': '854F649M+CJ'}",,4.5,ChIJxcC_o6Jv1oYRvmBQdEyv9to,GOOGLE,"['movie_theater', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2313.0,"5870 East Broadway Boulevard Suite #3006, Tucson",
OPERATIONAL,"{'location': {'lat': 32.17834399999999, 'lng': -110.943096}, 'viewport': {'northeast': {'lat': 32.1797800802915, 'lng': -110.9414207197085}, 'southwest': {'lat': 32.17708211970851, 'lng': -110.9441186802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,In-N-Out Burger,{'open_now': True},"[{'height': 752, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104032455454814002885"">In-N-Out Burger</a>'], 'photo_reference': 'AW30NDxoIb-_AmW-_BUv6FtbTkLIuALKkPhKwT1lE6lrB9FEAb_pkGTgujAAO-VUX1-lxCv9jCQ7v9ajUTkuQqJtivB9tx7ouf9CxReO0vA6sFnWdhPnSie8cu3OQtPShtRGrjIPLU6h9zS9kllczkqWHX4gNw_3PxrT-XYJDXD5xhIihMkl', 'width': 1337}]",ChIJJ3f8bYR61oYRSD__lclpYT0,"{'compound_code': '53H4+8Q Tucson, AZ, USA', 'global_code': '854F53H4+8Q'}",1.0,4.6,ChIJJ3f8bYR61oYRSD__lclpYT0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",8479.0,"1978 East Ajo Way, Tucson",
OPERATIONAL,"{'location': {'lat': 32.2305605, 'lng': -110.8404372}, 'viewport': {'northeast': {'lat': 32.23205488029149, 'lng': -110.8390967697085}, 'southwest': {'lat': 32.22935691970849, 'lng': -110.8417947302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,"Guadalajara Grill Fiesta, Tucson's Best Mexican Restaurant",{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117400827996991169242"">Guadalajara Grill Fiesta, Tucson&#39;s Best Mexican Restaurant</a>'], 'photo_reference': 'AW30NDxuEPW93jUM5weGIXjIy_coBh5sPe0U2PrnYNHHhVLQVCRC17lkWqzjFtty_JqywLBT_quwLon-da49UqBGfydnyAY-rbWpnIrPqRfFanvmxIglV3b1z4Ev_4A3-PAqDHI4JWCBPPWZz8sJ3lkHXL1-W6NgpBIfiVuppWcX0jSZXGYR', 'width': 4032}]",ChIJuTjqnxFv1oYRHklxa4VNmM8,"{'compound_code': '65J5+6R Tucson, AZ, USA', 'global_code': '854F65J5+6R'}",2.0,4.7,ChIJuTjqnxFv1oYRHklxa4VNmM8,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",7947.0,"750 North Kolb Road, Tucson",
OPERATIONAL,"{'location': {'lat': 32.2065097, 'lng': -110.8991421}, 'viewport': {'northeast': {'lat': 32.20784803029149, 'lng': -110.8979598697085}, 'southwest': {'lat': 32.2051500697085, 'lng': -110.9006578302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Golden Corral Buffet & Grill,{'open_now': True},"[{'height': 721, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101284569539095449123"">Golden Corral Buffet &amp; Grill</a>'], 'photo_reference': 'AW30NDyX2gS1RnhYly2-Ml5BvE7GSitdbeVolZMa60sp2P-ReNU9rzmgD_2UVuVt4SAEqkrSd88Nkf8F54ZGuycUI7Q5f8KJ-U24wBVvRgPXGBSsZNqb_BLLFfH-FLGJLcHJNrz7urcJ8XOwSb6JUbmNLpZJnkqcZ7c_Lf9nM1vRpppiujgv', 'width': 960}]",ChIJOZQguONv1oYRxVJa_wZboYk,"{'compound_code': '6442+J8 Tucson, AZ, USA', 'global_code': '854F6442+J8'}",2.0,4.0,ChIJOZQguONv1oYRxVJa_wZboYk,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",3983.0,"4380 East 22nd Street, Tucson",
CLOSED_TEMPORARILY,"{'location': {'lat': 32.22113899999999, 'lng': -110.859837}, 'viewport': {'northeast': {'lat': 32.22235928029149, 'lng': -110.8584257197085}, 'southwest': {'lat': 32.21966131970849, 'lng': -110.8611236802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sweet Tomatoes,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100454402434256524235"">John C.</a>'], 'photo_reference': 'AW30NDx-Erkk4pkrn2IhIb1ZKdvEv7QKGeLRMddoMbALRDgyEkhch7_probZ7HEnrlRUMzWvza63VIc9tPYrzF0n8W_Uzc34U5r_Dl76yQjDJ_BgsbfNUI6j0o0JYImkr8ySq_hhLH0ICiyknLnkRUD6s2TtKv_pspNo9QhhDsDOoOvjG8Tw', 'width': 4032}]",ChIJp_KH6KFv1oYRtDeS24YqC2E,"{'compound_code': '64CR+F3 Tucson, AZ, USA', 'global_code': '854F64CR+F3'}",2.0,4.4,ChIJp_KH6KFv1oYRtDeS24YqC2E,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2060.0,"6202 East Broadway Boulevard, Tucson",True
OPERATIONAL,"{'location': {'lat': 32.2212288, 'lng': -110.8767419}, 'viewport': {'northeast': {'lat': 32.22257758029149, 'lng': -110.8752894197085}, 'southwest': {'lat': 32.21987961970849, 'lng': -110.8779873802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104114234308478946742"">Shawneen Arvicio</a>'], 'photo_reference': 'AW30NDyvK-l_DIr8NON2fnldgXlc90ScnHPaLKCdth6ok8T-SDVUO9vI3VHqf0pjYBfzZtKnMzw0gQk2hTle2-GtQA5TCzy2GXnYcb_tL-w7XFe4t6BcIeosRfJGpTr5-Z0M9YqGC8tCqAS13Z-Jy3Wh3HvOKXyICQkwE8qNgIVpaVF4yAQi', 'width': 1920}]",ChIJSYE9HL9v1oYRhbfRTiFbehU,"{'compound_code': '64CF+F8 Tucson, AZ, USA', 'global_code': '854F64CF+F8'}",2.0,4.3,ChIJSYE9HL9v1oYRhbfRTiFbehU,GOOGLE,"['bar', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",3551.0,"5410 East Broadway Boulevard, Tucson",
OPERATIONAL,"{'location': {'lat': 32.2211961, 'lng': -110.8747104}, 'viewport': {'northeast': {'lat': 32.2226048302915, 'lng': -110.8732033197085}, 'southwest': {'lat': 32.2199068697085, 'lng': -110.8759012802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,BJ's Restaurant & Brewhouse,{'open_now': True},"[{'height': 1619, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101440109283484098591"">BJ&#39;s Restaurant &amp; Brewhouse</a>'], 'photo_reference': 'AW30NDzbxjsmuLht4m86Moi4RWF7mLd7pYCT_93ts_RYAN-FwpjW-iiv53ApmCquin6rk1uuQva3zGLL_vf5DzYhdx16csBm3WzvVLnYQUkflDer6OaBlpm9yLzb_IP3iG3ixtgq5BA93aRhkAJOQ19wJXX3yxHkkMYfwWvxuVipb0yreYE_', 'width': 3841}]",ChIJCwWskr5v1oYRup51h9uSJCU,"{'compound_code': '64CG+F4 Tucson, AZ, USA', 'global_code': '854F64CG+F4'}",2.0,4.2,ChIJCwWskr5v1oYRup51h9uSJCU,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",2463.0,"5510 East Broadway Boulevard, Tucson",
OPERATIONAL,"{'location': {'lat': 32.22065909999999, 'lng': -110.8378404}, 'viewport': {'northeast': {'lat': 32.2220369802915, 'lng': -110.8367054697085}, 'southwest': {'lat': 32.2193390197085, 'lng': -110.8394034302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hooters,{'open_now': True},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110377680318636264033"">Rick Berg</a>'], 'photo_reference': 'AW30NDzQNYcjPxCUh4goD5Gl0xAaosDhlpTLWTBUfx-w_jiOmV3Lvzv9Q3FxMzejYTcGsRYWSR6Anf-HHwsJGfgfAD5Mkm6Gk08wT3oTB9NiGsBRWxHlBQYMjYHcOHPoqDarzYGr3-ms1xV4qGzz6iNsCpE0EU9GEZjyUHnXad6qMrl8hZuO', 'width': 3264}]",ChIJ68AdCVVu1oYRDvznSIYX5Yg,"{'compound_code': '65C6+7V Tucson, AZ, USA', 'global_code': '854F65C6+7V'}",2.0,4.2,ChIJ68AdCVVu1oYRDvznSIYX5Yg,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1826.0,"7280 East Broadway Boulevard, Tucson",
