business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 36.103478, 'lng': -95.9071048}, 'viewport': {'northeast': {'lat': 36.1049556302915, 'lng': -95.9057758697085}, 'southwest': {'lat': 36.1022576697085, 'lng': -95.90847383029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Buffalo Wild Wings,{'open_now': True},"[{'height': 900, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112644492275673996426"">Derick “The Bain Boy&#39;s” Bain</a>'], 'photo_reference': 'AW30NDytLhmSBAPmPU2xFMDQ-UCJMhsNwSQ9GJvuQdKRCBQzH1EhM8Iu2FfgZ7Dp3GU3K-EvLbyiLo2FSt53YDwl-FPPuEPahee2VM-xnl0G41coS8q-pdbsd3P5AMrfGexX8Idfk1yIkQL-kvfpLxM25xpLRXEXKDm1BaJbi_FeGKRYWU-T', 'width': 1600}]",ChIJhxs_2aSStocRZxQVgVoPmVM,"{'compound_code': '433V+95 Tulsa, OK, USA', 'global_code': '8686433V+95'}",2.0,3.8,ChIJhxs_2aSStocRZxQVgVoPmVM,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2469.0,"6222 East 41st Street, Tulsa",
OPERATIONAL,"{'location': {'lat': 36.117263, 'lng': -95.88929999999999}, 'viewport': {'northeast': {'lat': 36.11834868029149, 'lng': -95.8878360697085}, 'southwest': {'lat': 36.1156507197085, 'lng': -95.89053403029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Ruby Tuesday,{'open_now': True},"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109009134092857999650"">Bonnie Brill</a>'], 'photo_reference': 'AW30NDxQY43Z6qabGKBV23PsBPch6P0ES7bbRHH9Ggs5fRizFvNn0UB3pFmaSOasc6mjhbwLd4rkZU0vvsC0t99D1SLL5J_FbqlsaVg1994mPpAC-XunOdV-GggH-_2Ia9iiYVqQ0KSmFqO26pCTscfioGFMsykr7iy8brD7GPLOPMQwZsFz', 'width': 1920}]",ChIJA35hwFKNtocRi3jEZavphcQ,"{'compound_code': '4486+W7 Tulsa, OK, USA', 'global_code': '86864486+W7'}",2.0,3.9,ChIJA35hwFKNtocRi3jEZavphcQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1450.0,"7806 East Skelly Drive, Tulsa",
OPERATIONAL,"{'location': {'lat': 36.11823729999999, 'lng': -95.8879068}, 'viewport': {'northeast': {'lat': 36.1196287302915, 'lng': -95.88714456970848}, 'southwest': {'lat': 36.1169307697085, 'lng': -95.88984253029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cracker Barrel Old Country Store,{'open_now': True},"[{'height': 608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116789787570545856019"">Cracker Barrel Old Country Store</a>'], 'photo_reference': 'AW30NDxagiwE1wwJm1K0roemDeoWJR4ZK4LL7aGefK0Uegl7daQ2hjLJurP0JfiUEksgbZ8zwMgcLYvF8Tcv2qUgndq43poxZWbj1l_1soAdgRetmK686rN_nTu1kPHS_1Z-G6L7KNs0SmvxxwQfIg7s_Cy2-c-zFwy1vNdj84dUtARXE5gE', 'width': 1080}]",ChIJfYTtqVKNtocRP0RPp2Tc_PY,"{'compound_code': '4496+7R Tulsa, OK, USA', 'global_code': '86864496+7R'}",2.0,4.1,ChIJfYTtqVKNtocRP0RPp2Tc_PY,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",4104.0,"8008 East 31st Street, Tulsa",
OPERATIONAL,"{'location': {'lat': 36.1328926, 'lng': -95.88376620000001}, 'viewport': {'northeast': {'lat': 36.1341227802915, 'lng': -95.8824762697085}, 'southwest': {'lat': 36.1314248197085, 'lng': -95.88517423029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Golden Corral Buffet & Grill,{'open_now': True},"[{'height': 721, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114182651711183084810"">Golden Corral Buffet &amp; Grill</a>'], 'photo_reference': 'AW30NDw3CsRmHZfLFzhkEGQNDRPicMVOHl_fddv0arKWTbKhj1geYJeMqokPFBLMEXEWv8CsuOTBOzIleCapb7AVBKj01RQjV74PjApjI-_bSBOXvNQLb5CiRsZaFTvKctar-11Hqtxu9ftYYO18qq4jVMDAbgZIOGZonMZQ6tcC9OQiiqSo', 'width': 960}]",ChIJF-1co7vytocRYXEoq2XXnUA,"{'compound_code': '44M8+5F Tulsa, OK, USA', 'global_code': '868644M8+5F'}",2.0,4.1,ChIJF-1co7vytocRYXEoq2XXnUA,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",4740.0,"8144 East 21st Street, Tulsa",
OPERATIONAL,"{'location': {'lat': 36.1038202, 'lng': -95.9154252}, 'viewport': {'northeast': {'lat': 36.10531428029149, 'lng': -95.91407861970849}, 'southwest': {'lat': 36.1026163197085, 'lng': -95.9167765802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,On The Border Mexican Grill & Cantina - Promenade,{'open_now': True},"[{'height': 841, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104308973400482462280"">On The Border Mexican Grill &amp; Cantina - Promenade</a>'], 'photo_reference': 'AW30NDxHAZYYtUQy_o4Jzy3UcrYMl3GiXfVa-T0niG2AzKSRE8bZBwrZMzJGGquVjMkhYO9vJ6u9hivjR1XxvR23qmgw7mV9dj8EuIHKrpX7IQFCavsLARZxZwhb8F0CuTLPNo-npsu0gPjRs52Mq-rPUuE0SgUvcuDqz_DJNglhMUgFlCoA', 'width': 1496}]",ChIJ-zpCpbmStocR-b57g5t3Udc,"{'compound_code': '433M+GR Tulsa, OK, USA', 'global_code': '8686433M+GR'}",2.0,4.1,ChIJ-zpCpbmStocR-b57g5t3Udc,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1770.0,"5340 East 41st Street South, Tulsa",
OPERATIONAL,"{'location': {'lat': 36.0912, 'lng': -95.902974}, 'viewport': {'northeast': {'lat': 36.0925327302915, 'lng': -95.9017903197085}, 'southwest': {'lat': 36.0898347697085, 'lng': -95.9044882802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Spudder,{'open_now': True},"[{'height': 3464, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109652963609039915794"">Colby</a>'], 'photo_reference': 'AW30NDyFdb2NwtXPabSAIWIalmhnYNcd6xbGGtSV49VUPVZ6-30MkMRt-DT-y4B6ecsYc_Dm_T3J6vyoo_dUL8v5eCzajSBp6mQm6od3u_3Pf69-qqSCwJNuVPt3Aayj58en6sSlH1jog5amn_pUlhdtjtoeFKPUCZsvQPBY6dmY1USj3aQD', 'width': 4618}]",ChIJA7pVrp6StocRXQKmasO1YJA,"{'compound_code': '33RW+FR Tulsa, OK, USA', 'global_code': '868633RW+FR'}",3.0,4.5,ChIJA7pVrp6StocRXQKmasO1YJA,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",966.0,"6536 East 50th Street, Tulsa",
OPERATIONAL,"{'location': {'lat': 36.13594049999999, 'lng': -95.92175929999999}, 'viewport': {'northeast': {'lat': 36.13729118029149, 'lng': -95.92064076970848}, 'southwest': {'lat': 36.13459321970849, 'lng': -95.92333873029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 766, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108622918295738615288"">Subway</a>'], 'photo_reference': 'AW30NDz8sAHMw1u5IaDhrSSEjNQoMr_W-rMJGeQ6QQuFHFS-YlHpm9yl67RDRcMk2fq_Ui1A7v8ul_6dRCR_6WX0ffqBqvp_pHzvnbdqN8wxWSeFlUK4fCgBN37T1E_d40HUNRUnSN46eTqU4OXg8KS8VfQ--IB0Ap6hawmzJzk5B7KrIP7R', 'width': 766}]",ChIJbyQ_AD_ttocRKzUMZb5KT7s,"{'compound_code': '43PH+97 Tulsa, OK, USA', 'global_code': '868643PH+97'}",1.0,3.8,ChIJbyQ_AD_ttocRKzUMZb5KT7s,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",167.0,"1911 South Yale Avenue, Tulsa",
OPERATIONAL,"{'location': {'lat': 36.11804, 'lng': -95.887185}, 'viewport': {'northeast': {'lat': 36.1193653802915, 'lng': -95.88558136970849}, 'southwest': {'lat': 36.11666741970851, 'lng': -95.8882793302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,IHOP,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114368133017630568536"">Eric Jablonski</a>'], 'photo_reference': 'AW30NDxxoY3EMNBFG4h9amrBrJ7hUHupb2zEup5cPGL6Tr5iwSSCi6eAFGXzJ_D6oF23iaBQF1RuIOWkK0yTC15W0HTi86LZUA9EA96WbYyRBrx7b2qagR4xrWbk74awzM3iUMJ6f3-je7Pja2OvrcDfksCYgNYLsCsQPJERsbboWDTUpdb9', 'width': 1920}]",ChIJ68ggOE2NtocROneIpK1rlCo,"{'compound_code': '4497+64 Tulsa, OK, USA', 'global_code': '86864497+64'}",1.0,3.8,ChIJ68ggOE2NtocROneIpK1rlCo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3645.0,"3130 South Memorial Drive, Tulsa",
CLOSED_TEMPORARILY,"{'location': {'lat': 36.1331054, 'lng': -95.8871343}, 'viewport': {'northeast': {'lat': 36.1344464302915, 'lng': -95.88567766970849}, 'southwest': {'lat': 36.1317484697085, 'lng': -95.8883756302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116139133512257088228"">Darla Schwark</a>'], 'photo_reference': 'AW30NDxtEzAFwds7-HA1GeWndVY9EDSyhgbeOzRwo679yu7-UIGF0GNDmyI7YOwbkJ7Lb4tPmGhDT1kociGSzFO8ej1MAzQyjH27letKI0Xrs8SL-mWe1jrBTbbMtTYyRa0BlzT4A8I5LbEoH3v2oYti-Uc88UFpTKlpfbzRAUs1vrzY7U8F', 'width': 3456}]",ChIJ6RL0PLvytocR1Q262hvtU6M,"{'compound_code': '44M7+64 Tulsa, OK, USA', 'global_code': '868644M7+64'}",1.0,3.8,ChIJ6RL0PLvytocR1Q262hvtU6M,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",87.0,"2108 South Memorial Drive, Tulsa",True
OPERATIONAL,"{'location': {'lat': 36.10004199999999, 'lng': -95.8860243}, 'viewport': {'northeast': {'lat': 36.10138978029149, 'lng': -95.88476576970848}, 'southwest': {'lat': 36.0986918197085, 'lng': -95.8874637302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 1840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107856818425590797331"">Jehad Asad</a>'], 'photo_reference': 'AW30NDxdz3L_QJgEPeq2kY7PKwPr7kawIyQXj_gYQJrOeQjR6Yi9flJsYDi8g9I6lYLjDXSntUqA2MrJEqfxyyGU_A1Djfhj263s1UMnEYnbOEluUpjk3-dSzEXKCAKg5Tg3A2tZacXOZkhrNW-30QoG1KLQBaZPeRIoXtvoch0JBZ88lBx2', 'width': 3264}]",ChIJZWCH8EKNtocRNktvhYRI0BU,"{'compound_code': '4427+2H Tulsa, OK, USA', 'global_code': '86864427+2H'}",1.0,3.6,ChIJZWCH8EKNtocRNktvhYRI0BU,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",51.0,"4343 South Memorial Drive Suite B, Tulsa",
