business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.2249311, 'lng': -87.5427146}, 'viewport': {'northeast': {'lat': 33.2269008302915, 'lng': -87.5415894197085}, 'southwest': {'lat': 33.2242028697085, 'lng': -87.54428738029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Cypress Inn Pavilion,{'open_now': True},"[{'height': 989, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106843580142022959061"">Cypress Inn Pavilion</a>'], 'photo_reference': 'AW30NDzmIrqQunKDXzXLpDQx14MKPJbeOfeZpSKMYvlWyPpdUM8AqweYMhjGyEjp4LoZBtkOJr0740wNuNQ_AbiFEej-IO3dB3uenmPIsc7YtVjQTw0dBPlKWdF-35NyrGWBPTqsdUlGIlUTES_jmI5qu7FDQc12ChBSs_mkOvBahElgznIu', 'width': 2641}]",ChIJR3ogWKgChogRRapB_2H6bfs,"{'compound_code': '6FF4+XW Tuscaloosa, AL, USA', 'global_code': '865J6FF4+XW'}",2.0,4.0,ChIJR3ogWKgChogRRapB_2H6bfs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",633.0,"601 Rice Mine North Road, Tuscaloosa",
OPERATIONAL,"{'location': {'lat': 33.1564994, 'lng': -87.5166685}, 'viewport': {'northeast': {'lat': 33.1578392802915, 'lng': -87.5154808197085}, 'southwest': {'lat': 33.1551413197085, 'lng': -87.5181787802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dreamland BBQ,{'open_now': True},"[{'height': 1768, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102517601208643554941"">Dreamland BBQ</a>'], 'photo_reference': 'AW30NDxp-MqGBm6xb3NRD_iFxf1ny5lkuY41-oNLI5prdniQ-uLMVa7940I0j1xd86G4b-7nCzUCQ9h-slQgXW2F6u-eNlV5GXUXckHx9bvLL-p1VrJ314lsXviRUmy28ZLnN8B0E4qGQN9s4HVWkpWLOvFrtMeSbvrv7GKkuY7alog3BM51', 'width': 2932}]",ChIJC0kLbJKpiIgRmj5S3_uvWbQ,"{'compound_code': '5F4M+H8 Tuscaloosa, AL, USA', 'global_code': '865J5F4M+H8'}",2.0,4.5,ChIJC0kLbJKpiIgRmj5S3_uvWbQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1518.0,"5535 15th Avenue East, Tuscaloosa",
OPERATIONAL,"{'location': {'lat': 33.16524099999999, 'lng': -87.5185473}, 'viewport': {'northeast': {'lat': 33.1669140802915, 'lng': -87.5174658697085}, 'southwest': {'lat': 33.1642161197085, 'lng': -87.52016383029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117293037422621558645"">Juan Carlos</a>'], 'photo_reference': 'AW30NDwEl9Jx_5fLjizUChCYmbtYnHKEbW7nNJygiyn38Mdue44a0StI3nS-ErHGoQ1-Lb5IYHYeBS_7AOohuNiAi8b9MEYAZ-H-tfma6_PWvU5OBd-9ORP5VDY2iKQ8JRKx0T1Ph5n_9oQaEkfSzaEcR49sJ0vS4ytS5QdR9oqH2uzmS2sk', 'width': 2448}]",ChIJ2wU7i7-piIgRmXopO5TE8iE,"{'compound_code': '5F8J+3H Tuscaloosa, AL, USA', 'global_code': '865J5F8J+3H'}",1.0,3.7,ChIJ2wU7i7-piIgRmXopO5TE8iE,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",37.0,"1501 Skyland East Boulevard, Tuscaloosa",
OPERATIONAL,"{'location': {'lat': 33.2112985, 'lng': -87.5544568}, 'viewport': {'northeast': {'lat': 33.21261158029149, 'lng': -87.55323401970848}, 'southwest': {'lat': 33.2099136197085, 'lng': -87.55593198029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,The Houndstooth,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106171447256066182354"">Nicholas Hardy</a>'], 'photo_reference': 'AW30NDyb6XyKoXCUtBSiy4TYUQObksX508n89vYE1eeal6pvrOkBXJiKnmvQpZ2G_CFrYMQyuA6Z_x23No6J_alBq-BeCBdJiEZV2c_0rKyPAUnruCUc2neDrzynSisGrzQrgeo-euciLnty_bObL9jOGodXToRpvPayiNPaAW_W3YpgQ89P', 'width': 4608}]",ChIJf3l8CpYChogREaBuZZj6Vvo,"{'compound_code': '6C6W+G6 Tuscaloosa, AL, USA', 'global_code': '865J6C6W+G6'}",1.0,4.6,ChIJf3l8CpYChogREaBuZZj6Vvo,GOOGLE,"['bar', 'night_club', 'restaurant', 'food', 'point_of_interest', 'establishment']",286.0,"1300 University Boulevard, Tuscaloosa",
OPERATIONAL,"{'location': {'lat': 33.1733934, 'lng': -87.47871710000001}, 'viewport': {'northeast': {'lat': 33.1748259302915, 'lng': -87.47733181970851}, 'southwest': {'lat': 33.1721279697085, 'lng': -87.48002978029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107866715675056139487"">C Porter</a>'], 'photo_reference': 'AW30NDwoJbAMck8SpJZNjEEJP2t79FmcIVqilyIt9lMGCbEO7zzrF_OyJi5VM8-UtBLrG9uSP0pYIqmrchUMmQHCEbv6p-nUziwCFiuM0pUefn0JsSu2Nk3EimbGySKjBGHVI9zloO744U1dHKYsJnyphNkOYcPogv0wOsyNyurkU4Nq3MHJ', 'width': 1920}]",ChIJEXFxlD2piIgRlVatl6EAwFI,"{'compound_code': '5GFC+9G Tuscaloosa, AL, USA', 'global_code': '865J5GFC+9G'}",1.0,3.9,ChIJEXFxlD2piIgRlVatl6EAwFI,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",428.0,"4416 Skyland East Boulevard, Tuscaloosa",
OPERATIONAL,"{'location': {'lat': 33.1669218, 'lng': -87.5525054}, 'viewport': {'northeast': {'lat': 33.1683416802915, 'lng': -87.5510938197085}, 'southwest': {'lat': 33.16564371970851, 'lng': -87.55379178029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Outback Steakhouse,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104685414395898194886"">Skip Rowland</a>'], 'photo_reference': 'AW30NDzm5r66mTfkIFqj93jZY2XAhMd842hWkM6A0LuKYiVRVCjq7GLSGmIuPHeiJU6o9prqQIwCWvvgMfrR8aVre82O_CM-FX6i96DcXaqaydqHUDn8pti4_TmZbPAXIaLxDo-XRB32BF5Whjb0HulYqdievCLwnwwEuMQdGX2KCPyGaGIi', 'width': 4032}]",ChIJgZYOLhMChogRs6B33ewtjXE,"{'compound_code': '5C8W+QX Tuscaloosa, AL, USA', 'global_code': '865J5C8W+QX'}",2.0,4.2,ChIJgZYOLhMChogRs6B33ewtjXE,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1867.0,"5001 Oscar Baxter Drive, Tuscaloosa",
OPERATIONAL,"{'location': {'lat': 33.21046400000001, 'lng': -87.5672397}, 'viewport': {'northeast': {'lat': 33.2118414302915, 'lng': -87.56579251970848}, 'southwest': {'lat': 33.20914346970851, 'lng': -87.5684904802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,DePalma's Italian Cafe,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109133780808856726495"">Sheila Barnes</a>'], 'photo_reference': 'AW30NDzXcIo3NWD_XxYEHM7wlHsVuGL6JsAaqkrxKpdTnNQJas7DyJKGNhL8UOJb_D9Mg6c4EGZRpD3CSztVOChcpyxEhJdZv2kRYFGHG77hC3C8bJRtbbG4OdBOVLUss0Ns65PchCVb44-tUXCsxEh21WtdNvjQK7IWpQbR3faYEf4qqMsZ', 'width': 3024}]",ChIJmzLHU-gChogRM75vZrraUho,"{'compound_code': '6C6M+54 Tuscaloosa, AL, USA', 'global_code': '865J6C6M+54'}",2.0,4.5,ChIJmzLHU-gChogRM75vZrraUho,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",930.0,"2300 University Boulevard, Tuscaloosa",
OPERATIONAL,"{'location': {'lat': 33.1670629, 'lng': -87.5498993}, 'viewport': {'northeast': {'lat': 33.16852018029149, 'lng': -87.5485718197085}, 'southwest': {'lat': 33.1658222197085, 'lng': -87.55126978029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Baumhower's Victory Grille,{'open_now': True},"[{'height': 1500, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106292985073895291984"">Baumhower&#39;s Victory Grille</a>'], 'photo_reference': 'AW30NDyyTXE2ljtipWGqHmcbli8YRqQcOdUVj9vezk99vk9SupdFOEv5Cof_fkV4eRPJbgcnVjGjLt_1wFhRu1XWt_UjrKCCJUXNF70za0rm3xsdMo7gCNDEBGzhS3Mq2JUfeb78GtTKE24_VIpcBeCmXFf2CsazbysqjgmBFZAwJNkwtwtS', 'width': 2000}]",ChIJpRET7hWoiIgRn1DhraSwx_k,"{'compound_code': '5F82+R2 Tuscaloosa, AL, USA', 'global_code': '865J5F82+R2'}",2.0,4.2,ChIJpRET7hWoiIgRn1DhraSwx_k,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1729.0,"4251 Courtney Drive, Tuscaloosa",
OPERATIONAL,"{'location': {'lat': 33.2373636, 'lng': -87.5551593}, 'viewport': {'northeast': {'lat': 33.2387045802915, 'lng': -87.55371111970848}, 'southwest': {'lat': 33.2360066197085, 'lng': -87.5564090802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Biscuit Shop Company,{'open_now': False},"[{'height': 12000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106171706069874628571"">Jennifer Wells</a>'], 'photo_reference': 'AW30NDyFMxxvrbY9zVc6JeHGPv4BdFNQGRGHM5h38XOKlyXQllDbOfaYdtvhhX0452uBbbmo8bSvdccNoFmK8eor7Se92qHgEy7SWhSo7euCwQqEeG-3ysU4pS3zhKSmqaL_wwOz4MnfiuaIf6-ZqOEjDNqDZVUecaxJwLv03Weg4-E5INC4', 'width': 9000}]",ChIJIzrOysschogRiNfIZF1Wvm0,"{'compound_code': '6CPV+WW Northport, AL, USA', 'global_code': '865J6CPV+WW'}",2.0,4.5,ChIJIzrOysschogRiNfIZF1Wvm0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",35.0,"80 McFarland Boulevard Suite 1, Northport",
OPERATIONAL,"{'location': {'lat': 33.2180672, 'lng': -87.5784607}, 'viewport': {'northeast': {'lat': 33.2194340802915, 'lng': -87.57697276970849}, 'southwest': {'lat': 33.21673611970851, 'lng': -87.5796707302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,City Cafe,{'open_now': False},"[{'height': 9248, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115828630162622679508"">David Adams</a>'], 'photo_reference': 'AW30NDzle_cebRx5Atwuf5ELWwnMwVjFn2eN_hHank0LtsWtRa6QUcaXVCHlj5wuAexSiyfkvByO3doPv2_-ggU2T7RlUwiK2VitqRlOzLhfS7QiUW8t6PCYIBMt2V0HFUGfnqMHzxyuz7fNPnDpOqAcdlpatrhoSW639-qZ8hxku71aPalk', 'width': 6936}]",ChIJdajUU98ChogRwM_kqRNslaE,"{'compound_code': '6C9C+6J Northport, AL, USA', 'global_code': '865J6C9C+6J'}",1.0,4.6,ChIJdajUU98ChogRwM_kqRNslaE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1512.0,"408 Main Avenue, Northport",
