business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 32.30980900000001, 'lng': -95.27515799999999}, 'viewport': {'northeast': {'lat': 32.3111348802915, 'lng': -95.27382251970849}, 'southwest': {'lat': 32.30843691970851, 'lng': -95.2765204802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Roadhouse,{'open_now': True},"[{'height': 1611, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112602198938637729596"">Allison Cambre</a>'], 'photo_reference': 'AW30NDzb3WCdeDCvOX-1KcRziXv-U6ZhF0B9W4WDhYNdSAVGq6-e4uE19sDo9-38AgH0qcToQltcRRQtk1Z67AaWtPfYrjZqQsPSAFRLedKPvv7r6sE6JBWsBNRUEebmhxMDyeJwMw93pemleXUCew9cfNYshImducnz7siLZKo7LHC8EWSh', 'width': 3472}]",ChIJSZoIHkPMSYYRnO-wrb9G7gE,"{'compound_code': '8P5F+WW Tyler, TX, USA', 'global_code': '86468P5F+WW'}",2.0,4.5,ChIJSZoIHkPMSYYRnO-wrb9G7gE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",4584.0,"2101 East Southeast Loop 323, Tyler",
OPERATIONAL,"{'location': {'lat': 32.2958793, 'lng': -95.30228609999999}, 'viewport': {'northeast': {'lat': 32.29713158029149, 'lng': -95.30094126970849}, 'southwest': {'lat': 32.2944336197085, 'lng': -95.3036392302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jason's Deli,{'open_now': True},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105592749622149431233"">LaDonna Stearns</a>'], 'photo_reference': 'AW30NDzYRq41kjaqMs-KsSpZFAenuejIQBr9HXZIpgGqe5l8y4ncY8EmcqcG8wT42lsfpuP597_xzEUFf7WgKgZ0Ti-773UabZJFoBUq7qMdIOTcAEOTiHSRhxYnyKi4TkkCdNzB7KstQUkL7cNGKUXG-Y6Ytf_MSMglAA5A5eZOFir5jCVV', 'width': 4032}]",ChIJXwuUm3zMSYYRUD8AnRryp3k,"{'compound_code': '7MWX+93 Tyler, TX, USA', 'global_code': '86467MWX+93'}",2.0,4.4,ChIJXwuUm3zMSYYRUD8AnRryp3k,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1477.0,"4913 South Broadway Avenue, Tyler",
OPERATIONAL,"{'location': {'lat': 32.2925427, 'lng': -95.3047623}, 'viewport': {'northeast': {'lat': 32.2940368802915, 'lng': -95.3033188197085}, 'southwest': {'lat': 32.2913389197085, 'lng': -95.30601678029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Times Square Grand Slam,{'open_now': True},"[{'height': 682, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103442603217326685044"">Times Square Grand Slam</a>'], 'photo_reference': 'AW30NDyDgkzzmUWvI55gunlwgGEYQO-yf0fvdSCQv-OlYq2WumkixgQJT9A54ByzBJKVRTaB8gAgxR_bvXSYMRynguXso38uVkTD_X_lSOivV0Vz1wR0UkhP2ELUFiJUwxEZP-5sMNizQQEnztXh_XBJHOKpN2eFI7Zi8FPyveARZMEmUc81', 'width': 1024}]",ChIJmV59un3MSYYRVNd-bXJaBUY,"{'compound_code': '7MVW+23 Tyler, TX, USA', 'global_code': '86467MVW+23'}",,4.5,ChIJmV59un3MSYYRVNd-bXJaBUY,GOOGLE,"['movie_theater', 'bowling_alley', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3408.0,"5201 South Broadway Avenue #170, Tyler",
OPERATIONAL,"{'location': {'lat': 32.3441196, 'lng': -95.29405899999999}, 'viewport': {'northeast': {'lat': 32.3456509802915, 'lng': -95.29269496970849}, 'southwest': {'lat': 32.3429530197085, 'lng': -95.29539293029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Stanley's Famous Pit Barbecue,{'open_now': True},"[{'height': 427, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117005827108936320134"">Stanley&#39;s Famous Pit Barbecue</a>'], 'photo_reference': 'AW30NDx3rkJQQUNAIHxdW5lRskXXlc6flmWRN6J7fxxuAMBNjpIdRsZ0i-5msMV5CsRIYOVpWCofMYEIuDZ5RYOmnK5THKQ0w7pgjlGH3m93Bds1YGXDYbjv4pu8MnFXETep7coRgCbw4RPLcyO73evwiuRelLBJolcxQgyXmnLBRzvAPI1o', 'width': 640}]",ChIJweyxhKPOSYYRxBhiBrWH5p8,"{'compound_code': '8PV4+J9 Tyler, TX, USA', 'global_code': '86468PV4+J9'}",2.0,4.6,ChIJweyxhKPOSYYRxBhiBrWH5p8,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3950.0,"525 South Beckham Avenue, Tyler",
OPERATIONAL,"{'location': {'lat': 32.28845279999999, 'lng': -95.30287229999999}, 'viewport': {'northeast': {'lat': 32.2896937302915, 'lng': -95.30163201970849}, 'southwest': {'lat': 32.2869957697085, 'lng': -95.3043299802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108398291757246184877"">Mikey G</a>'], 'photo_reference': 'AW30NDyrHeV3XRkiIxhttjx-Z2A4vlgvuWeE-O_w0ElXbaGqkTokCRKEFLm5rVKLXhqH4jTTSecqFxrPMWj9gCwDmma6f3gPHWx5uvDs34rmfhLdmbdvlZVHd_AE9lISzSROTyezOqYzJvJJroaT3M3zLIKbzlV3-1ESDgL6-ymyH9jTbEad', 'width': 4032}]",ChIJv0xEDofMSYYRk99IfNSBdng,"{'compound_code': '7MQW+9V Tyler, TX, USA', 'global_code': '86467MQW+9V'}",2.0,4.4,ChIJv0xEDofMSYYRk99IfNSBdng,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3193.0,"5520 South Broadway Avenue, Tyler",
OPERATIONAL,"{'location': {'lat': 32.30289219999999, 'lng': -95.32936649999999}, 'viewport': {'northeast': {'lat': 32.30456883029149, 'lng': -95.32797526970849}, 'southwest': {'lat': 32.30187086970849, 'lng': -95.3306732302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mercado's,{'open_now': True},"[{'height': 259, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103074843065830283344"">Mercado&#39;s</a>'], 'photo_reference': 'AW30NDzMTGBJAIWMaBTwR_c8rqsXkDBvXEItgo4pve6QOS2JVCKXG639abXypwR7zK_7KGD6t90TxucUsYLWe7NQ9weBKdTk4PYNBnh1_eh0M02cx-qXTP_OIgpuWHJOI9LUjiUtNzfWT7UpvQzO3DkAkbdD50E260HY6wF_cs8i23qKlRk_', 'width': 633}]",ChIJnbzmWZbLSYYRwyMmQjx36Js,"{'compound_code': '8M3C+57 Tyler, TX, USA', 'global_code': '86468M3C+57'}",2.0,4.3,ChIJnbzmWZbLSYYRwyMmQjx36Js,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3071.0,"2214 West Southwest Loop 323, Tyler",
OPERATIONAL,"{'location': {'lat': 32.3131234, 'lng': -95.2723794}, 'viewport': {'northeast': {'lat': 32.3143919802915, 'lng': -95.27103026970849}, 'southwest': {'lat': 32.3116940197085, 'lng': -95.27372823029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Potpourri House,{'open_now': False},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113058956771490788300"">Pedro Adrover</a>'], 'photo_reference': 'AW30NDxLmFy9tWEUCKspJSIDuJGmLp8PxoWn2LScQC9vOEEyBli8vsnARNL-jiH17zEGnnVhjpSiut822VJTwTVqD4oAmdb1b5RaXI6HhFKykmZNR0jlidNnmBT0O9rew7b3k1Mq50kpf0ZK0ZsP35hkh3vQ83I8aKeyvmX2g3MHxgmZ5uEB', 'width': 4160}]",ChIJs1NMPUrMSYYRtn9ify9nndQ,"{'compound_code': '8P7H+62 Tyler, TX, USA', 'global_code': '86468P7H+62'}",2.0,4.5,ChIJs1NMPUrMSYYRtn9ify9nndQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",519.0,"3320 Troup Highway Ste. 300, Tyler",
OPERATIONAL,"{'location': {'lat': 32.3022821, 'lng': -95.3013885}, 'viewport': {'northeast': {'lat': 32.3036710302915, 'lng': -95.2998708197085}, 'southwest': {'lat': 32.3009730697085, 'lng': -95.30256878029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,On The Border Mexican Grill & Cantina - Tyler,{'open_now': True},"[{'height': 895, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112920606039050084651"">On The Border Mexican Grill &amp; Cantina - Tyler</a>'], 'photo_reference': 'AW30NDwXaqtAElhuQDq21QdVygF2gTwzpmAGjYTXG7X1lR--zfGANngRbGJIW6q3LvonGzO5PypHGHSaQWliWRywntY-abOHcDbkXpf21mO2lv-3hfkBojZpQuzpwNtwIL1w7hOfjE7VZT7RlB-XOPXeIzzUSoNXC12kxmqKpacJ2BdMvayD', 'width': 1592}]",ChIJ9Q4TcnDMSYYRac5QM53jglQ,"{'compound_code': '8M2X+WC Tyler, TX, USA', 'global_code': '86468M2X+WC'}",2.0,3.9,ChIJ9Q4TcnDMSYYRac5QM53jglQ,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1854.0,"4301 South Broadway Avenue, Tyler",
OPERATIONAL,"{'location': {'lat': 32.32922790000001, 'lng': -95.30102939999999}, 'viewport': {'northeast': {'lat': 32.3306965302915, 'lng': -95.29950041970848}, 'southwest': {'lat': 32.32799856970851, 'lng': -95.3021983802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115879455118955050211"">Sam Bak</a>'], 'photo_reference': 'AW30NDwZHzUmrn8rBhGLX1kJgREuFPy1Cahvse4hcFw-9Jn59gV9ew-DFSU6ix_ZU05iBJ4JeErcskThwPx6zHgBP3pt-Xq96o5E3_gBLdK2mH2axlQ24N6dBgw0gTyec89X6buoIIVtFHkRYGR4seXIINtg-n-DQ2aDrZW1_D4MvoO6ACTH', 'width': 4032}]",ChIJU11SvQTMSYYR4Cxrs_Llk50,"{'compound_code': '8MHX+MH Tyler, TX, USA', 'global_code': '86468MHX+MH'}",1.0,3.7,ChIJU11SvQTMSYYR4Cxrs_Llk50,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",522.0,"1817 South Broadway Avenue #2, Tyler",
OPERATIONAL,"{'location': {'lat': 32.2764801, 'lng': -95.3073227}, 'viewport': {'northeast': {'lat': 32.2778197302915, 'lng': -95.3058139697085}, 'southwest': {'lat': 32.2751217697085, 'lng': -95.30851193029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cheddar's Scratch Kitchen,{'open_now': True},"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100327107500349201623"">JP Acree</a>'], 'photo_reference': 'AW30NDxR0bpQegbqynxMAsjHbDllzeGkbE1ECQHCep0Yv7Ji6DHxRRfRjmIQhtm_fTR_TeQYlDJYoqvB0lYMxcwWKMQ9rkNW6lBSWQABYiPXryow8gbXCmez_Vt2e7Yj9WnhTECrJ_rKBUGgvytq3rHlU7yNf0FUMsWjE_Wl4zQ9s6Wv-y_u', 'width': 4000}]",ChIJ0zb37pzMSYYRP3He_Hj4sH0,"{'compound_code': '7MGV+H3 Tyler, TX, USA', 'global_code': '86467MGV+H3'}",2.0,4.0,ChIJ0zb37pzMSYYRP3He_Hj4sH0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2149.0,"6701 South Broadway Avenue, Tyler",
