business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 38.3688977, 'lng': -121.9576918}, 'viewport': {'northeast': {'lat': 38.37014028029149, 'lng': -121.9561958197085}, 'southwest': {'lat': 38.36744231970849, 'lng': -121.9588937802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 6936, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103962592157727062055"">Kim</a>'], 'photo_reference': 'AW30NDx4pQYqPexjJFoZhzIjkhKdB2hi1jB7FYA8TkysY-qcd48HXuBBF-d6YKDWqBr1RAp5Mzzf2RK58yEX50Z_v5cD2b4Lo4cGpBnVSX0k5HbR6pBlpe3fc8YfyOw-FzxPnBSvKA-PtqUZ0kTH_6Ftu28y0DjzlPctVz3QYsKxgGL58-mK', 'width': 9248}]",ChIJe0-JES09hYARb4SR2Rj_eK8,"{'compound_code': '929R+HW Vacaville, CA, USA', 'global_code': '84CW929R+HW'}",2.0,4.2,ChIJe0-JES09hYARb4SR2Rj_eK8,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2286.0,"100 Nut Tree Parkway, Vacaville",
OPERATIONAL,"{'location': {'lat': 38.36183740000001, 'lng': -121.9660474}, 'viewport': {'northeast': {'lat': 38.3632726802915, 'lng': -121.9645925197085}, 'southwest': {'lat': 38.36057471970851, 'lng': -121.9672904802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,BJ's Restaurant & Brewhouse,{'open_now': True},"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106561172356301657770"">BJ&#39;s Restaurant &amp; Brewhouse</a>'], 'photo_reference': 'AW30NDzqZkXADE997HVWs0HQjLoB2RzKTySnrxU1yurvxVTB1QN8D8km-Vs5jdLDq2MLodf41pMqI-n_3cplkmuVFpCjJgWkfBW90MJAsX5hoFN4lYb-XuwS-2uAdAWYhvEnBN1MCbdp2IzQQ8s7MUvhPGFsQVs2z3APhUM_4G7CxVuzJt0A', 'width': 1280}]",ChIJoZ2EmDY9hYARkoIKB1QPXJM,"{'compound_code': '926M+PH Vacaville, CA, USA', 'global_code': '84CW926M+PH'}",2.0,4.0,ChIJoZ2EmDY9hYARkoIKB1QPXJM,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1791.0,"190 Nut Tree Parkway, Vacaville",
OPERATIONAL,"{'location': {'lat': 38.3506361, 'lng': -121.9521215}, 'viewport': {'northeast': {'lat': 38.3521067802915, 'lng': -121.9509019197085}, 'southwest': {'lat': 38.3494088197085, 'lng': -121.9535998802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110440564235721070419"">Mic</a>'], 'photo_reference': 'AW30NDzxOmXiGcmFohegu2k1Mwcong_Cp7Z71GLasuDyM0Wj4JO0ofgb05BwTZC74hV7EivaJSIlI2jWVmatxOD4f87q782oDigtm7t4FY102gm6GfTi_aXEGP9zXdtMRZYly8N7TAh5DTu0wpaduZYYfIfFFKRNaZgcsIirUjnWo5waXv3G', 'width': 4032}]",ChIJF1lXsxg9hYARj-cQzZGQKQ0,"{'compound_code': '922X+75 Vacaville, CA, USA', 'global_code': '84CW922X+75'}",1.0,3.3,ChIJF1lXsxg9hYARj-cQzZGQKQ0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",47.0,"2038 Nut Tree Road, Vacaville",
OPERATIONAL,"{'location': {'lat': 38.366253, 'lng': -121.96695}, 'viewport': {'northeast': {'lat': 38.3674512302915, 'lng': -121.9660333197085}, 'southwest': {'lat': 38.3647532697085, 'lng': -121.9687312802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bowlero Vacaville,,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114472842483251848236"">Peteris Bigun</a>'], 'photo_reference': 'AW30NDziu5rSdu6kdn_2E4dEUZwgBCrzJmaV109YuIJDwEyfp1cBnScD3lYbiBu78g40392x4MSMb9u-urrtYDKoFUIPpQ7TirQWB0innLfh7pLWKF_UIzha3gCe-5xrAXC987i8b-gsBl-mjl_tDheCbEblcjPvCX97mKBbHD07HS1MMcea', 'width': 4032}]",ChIJ9TVDLDU9hYAR8zwgBLt3dm4,"{'compound_code': '928M+G6 Vacaville, CA, USA', 'global_code': '84CW928M+G6'}",,4.1,ChIJ9TVDLDU9hYAR8zwgBLt3dm4,GOOGLE,"['bowling_alley', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1438.0,"155 Browns Valley Parkway, Vacaville",
OPERATIONAL,"{'location': {'lat': 38.3376015, 'lng': -121.9697538}, 'viewport': {'northeast': {'lat': 38.3388867802915, 'lng': -121.9684235697085}, 'southwest': {'lat': 38.3361888197085, 'lng': -121.9711215302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108821701052427432960"">McLitt VEVO</a>'], 'photo_reference': 'AW30NDzOKf8qr3MaaFdlIaBb7sa-CLQ7Vol4EC8OGvIz_Oa-YFb_c4fQpIZgbj8qW8yk06I4AhTCxVhKTwHkJJJX7oNLmMGQNjIkrcrjc4NLGOEzTY6IyAAQCzXmRKkaCKYc_kCKBcQ20ybCcpKwQtnNnoTSC2XDr1U0K2OJ2QhYpXc-lEqZ', 'width': 3024}]",ChIJxYBCrBI9hYARWUOMX5SsgyE,"{'compound_code': '82QJ+23 Vacaville, CA, USA', 'global_code': '84CW82QJ+23'}",1.0,3.7,ChIJxYBCrBI9hYARWUOMX5SsgyE,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",83.0,"1909 Peabody Road Suite 5, Vacaville",
OPERATIONAL,"{'location': {'lat': 38.3433992, 'lng': -121.9950417}, 'viewport': {'northeast': {'lat': 38.3448192302915, 'lng': -121.9936059197085}, 'southwest': {'lat': 38.3421212697085, 'lng': -121.9963038802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106266267387866497814"">Dorena G.</a>'], 'photo_reference': 'AW30NDyJKBhAo09vO5S2OLWoQSyVdc5ohrdPEkS5b2raoltAQKtRXAbod2l5-g6CHKXXPU8arS9SwmGgf534cpFKlsbeMrsXBjk_fFjYYQY1adRb4GiWv5wxx8W2rgjlm5-bSa4dVdu1jjS8gH7DRtBDP17dwkF0TRm1tNgnoLIKhYw3II6S', 'width': 4080}]",ChIJSU_oM-MXhYARm5QK_mos6zs,"{'compound_code': '82V3+9X Vacaville, CA, USA', 'global_code': '84CW82V3+9X'}",1.0,3.1,ChIJSU_oM-MXhYARm5QK_mos6zs,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",82.0,"1045 Alamo Drive, Vacaville",
OPERATIONAL,"{'location': {'lat': 38.289624, 'lng': -122.034869}, 'viewport': {'northeast': {'lat': 38.2909152302915, 'lng': -122.0335050197085}, 'southwest': {'lat': 38.2882172697085, 'lng': -122.0362029802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Roadhouse,{'open_now': True},"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108940768559879205722"">Patrick Desjardins</a>'], 'photo_reference': 'AW30NDwG6cU7FQ31Glhx9q3nW4tabZj5f92Gn7_W8BC9nSUHtEFdsDbp6_2I2fLiog7RWFlw-FnX7nhmh7IhrTB5jAjPWwG414Qb2SgY7Qke0pftRXFukg2tYhV1Fvdzi0IsBlOF3A7Xm0oH1t7J1_IrIeFXNxEQ4YCztJc8B9TT5rWHRmXT', 'width': 4080}]",ChIJT60_MF4WhYARg5-gmG8RsPA,"{'compound_code': '7XQ8+R3 Fairfield, CA, USA', 'global_code': '84CV7XQ8+R3'}",2.0,4.3,ChIJT60_MF4WhYARg5-gmG8RsPA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",4993.0,"3333 North Texas Street, Fairfield",
OPERATIONAL,"{'location': {'lat': 38.377922, 'lng': -121.9461898}, 'viewport': {'northeast': {'lat': 38.37920743029149, 'lng': -121.9447704697085}, 'southwest': {'lat': 38.3765094697085, 'lng': -121.9474684302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Kings Buffet,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110919738961672796569"">Young Kim</a>'], 'photo_reference': 'AW30NDyE3uoCLwTg75UD8nJ4gl15ySudzYBQrlzt3WtdErMvs4k0u6n6l4J1X4Da3RtXcobVpydW8nyexzPLwoPKggR9Ld9o9v1JptE3VV7Q7QMo9pHRRSe9wGH9BprGd4DG6ABLjaaaoXKerfwpqshFL7ZHthgSaFffoYlmKRFctrz2qhFc', 'width': 4032}]",ChIJ27isjSkjhYARsl2iAuDOEeU,"{'compound_code': '93H3+5G Vacaville, CA, USA', 'global_code': '84CW93H3+5G'}",2.0,3.5,ChIJ27isjSkjhYARsl2iAuDOEeU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",991.0,"601 Orange Drive ste j, Vacaville",
OPERATIONAL,"{'location': {'lat': 38.3557699, 'lng': -121.9886081}, 'viewport': {'northeast': {'lat': 38.3572014802915, 'lng': -121.9871620697085}, 'southwest': {'lat': 38.3545035197085, 'lng': -121.9898600302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Merchant & Main Grill & Bar,{'open_now': True},"[{'height': 6936, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108268825497462745101"">Marcelino Vargas</a>'], 'photo_reference': 'AW30NDwOjWO2wwjzlLwL7SHe7zKugacg62pXVUfxIoyQYSAEJ_XJeW5I2nOJH3uRlZCusnUkmze07jiFB1VLeVWThoI_sDaUCrqV1iCOQc0j5MP2n7LLQN00BMDK8EqXEov61zZgqhkOKU-U_kzEJvHpTvHKhuBrgtaxm7xjxYzn00LBp-Y9', 'width': 9248}]",ChIJufJYIlQ9hYARLmAO3gD6CGo,"{'compound_code': '9246+8H Vacaville, CA, USA', 'global_code': '84CW9246+8H'}",2.0,4.4,ChIJufJYIlQ9hYARLmAO3gD6CGo,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",839.0,"349 Merchant Street, Vacaville",
OPERATIONAL,"{'location': {'lat': 38.350697, 'lng': -121.952436}, 'viewport': {'northeast': {'lat': 38.35213968029149, 'lng': -121.9510606197085}, 'southwest': {'lat': 38.3494417197085, 'lng': -121.9537585802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Napoli Pizzeria Vacaville,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100278023753137641047"">Jae Marzan</a>'], 'photo_reference': 'AW30NDz1Bh65Tc0zE-1sPIkmThQNz_y5d3FcWA35R9cuJB6-2hBRoHG14R2WHa3YIDkntkYpWw3NTrklzHPHQEFzvikqC7HaFh4hE_01lAGOktkSQNZHrIbu4NnN9cOuT3w346cjcESPNG0QVmH5rw-gGjj26g6KgqfSPiwP26kmw0CS0hJ3', 'width': 3000}]",ChIJXVFPsxg9hYARPifb9i6wD4I,"{'compound_code': '922X+72 Vacaville, CA, USA', 'global_code': '84CW922X+72'}",2.0,4.4,ChIJXVFPsxg9hYARPifb9i6wD4I,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",298.0,"2030 Nut Tree Road, Vacaville",
