business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 38.1222249, 'lng': -122.253209}, 'viewport': {'northeast': {'lat': 38.12364943029149, 'lng': -122.2518549197085}, 'southwest': {'lat': 38.12095146970849, 'lng': -122.2545528802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110277995528763522446"">Celi Ramos</a>'], 'photo_reference': 'AW30NDyrRduUWbJmyTF0S-P0rVoEv94sarvbJVYVsM8orVGoMkWAUyXGegFHvUUbGFjPAHjG6Im1mnVWu577qC8iq-vvCGn7Ycnh0-E8Eomg3AV8tE6S7U2GY_1TlKe5rLPoEZz6tzx6vu6LflW2rMoYo_vS9OoPbZ6fj8dWLl2BnWLPFNBR', 'width': 3024}]",ChIJ93vECE5zhYARz2oZ7PjLYxo,"{'compound_code': '4PCW+VP Vallejo, CA, USA', 'global_code': '84CV4PCW+VP'}",1.0,3.8,ChIJ93vECE5zhYARz2oZ7PjLYxo,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",138.0,"879 Redwood Street, Vallejo",
OPERATIONAL,"{'location': {'lat': 38.1012891, 'lng': -122.2577501}, 'viewport': {'northeast': {'lat': 38.1025621802915, 'lng': -122.2564046697085}, 'southwest': {'lat': 38.0998642197085, 'lng': -122.2591026302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Good Day Cafe,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118124535011602032409"">Good Day Cafe</a>'], 'photo_reference': 'AW30NDxq0SYJPXlnQiqIoQVXHAcS1MCb8hcbCsCbh7Im8nKP6nJ21lmnTSMtHiuXi_f9dkkMrwUgkaZx4rudIsuuhreKQBMN5nFP8TvlPyDJokDxeTOUPDc8zCg6cKdOp_oiOYIQT23txQc3PgbAM7rSDKAXFcPXr4yDLHmQyErXkRL3MVIT', 'width': 4032}]",ChIJz_VgOGRzhYARL7I144k7np4,"{'compound_code': '4P2R+GV Vallejo, CA, USA', 'global_code': '84CV4P2R+GV'}",2.0,4.5,ChIJz_VgOGRzhYARL7I144k7np4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",879.0,"314 Georgia Street, Vallejo",
OPERATIONAL,"{'location': {'lat': 38.11025619999999, 'lng': -122.2606125}, 'viewport': {'northeast': {'lat': 38.1115190302915, 'lng': -122.2592979197085}, 'southwest': {'lat': 38.1088210697085, 'lng': -122.2619958802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Napoli Pizzeria & Italian Food,{'open_now': True},"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117293516123986023866"">Napoli Pizzeria &amp; Italian Food</a>'], 'photo_reference': 'AW30NDxxs03D8RJKMsipx2IVjxUleS_8aJ0E_DQCx-H4puesCrUEN4ElIyvNbs646IOO2lydOwWBzEHppffxZvcmu900iUccvtzXuqp1VNOORe2JrbbvARQbxhoaR4YM-DRWai2e-CHcawlUUusyEhLdrw3SRKeJvfxCYpiarsYxMdDl9v5X', 'width': 3872}]",ChIJJWGAuV5zhYAR2LbP_gFb0kc,"{'compound_code': '4P6Q+4Q Vallejo, CA, USA', 'global_code': '84CV4P6Q+4Q'}",2.0,4.6,ChIJJWGAuV5zhYAR2LbP_gFb0kc,GOOGLE,"['restaurant', 'food', 'store', 'point_of_interest', 'establishment']",1152.0,"124 Tennessee Street, Vallejo",
OPERATIONAL,"{'location': {'lat': 38.11535879999999, 'lng': -122.2486776}, 'viewport': {'northeast': {'lat': 38.11673513029149, 'lng': -122.2472379697085}, 'southwest': {'lat': 38.1140371697085, 'lng': -122.2499359302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 683, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109250135162002271026"">Pizza Hut</a>'], 'photo_reference': 'AW30NDwHHerXkutZ2HCU2svS4BNjhvk9u7UXnmaOcVtGEGNea05SdzTYofgd_jkFRp2cijCF7OoIZGzeXjXBl9Q2djUzVOuTyT53ZkNSOtgTZYWqL2NdYmgt0m9d1Elgz9X6D4ICymFO8IQmTmSIUY_By2sNpxZxqDF_LNZ6-ue19r49YuOR', 'width': 1025}]",ChIJn8n6p0ZzhYAR2I0oPH3Wr5A,"{'compound_code': '4Q82+4G Vallejo, CA, USA', 'global_code': '84CV4Q82+4G'}",1.0,3.6,ChIJn8n6p0ZzhYAR2I0oPH3Wr5A,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",269.0,"905 Broadway, Vallejo",
OPERATIONAL,"{'location': {'lat': 38.0952914, 'lng': -122.2293073}, 'viewport': {'northeast': {'lat': 38.0966287802915, 'lng': -122.2280943197085}, 'southwest': {'lat': 38.0939308197085, 'lng': -122.2307922802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,McDonald's,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102420782430832911487"">Kurt Kondrad</a>'], 'photo_reference': 'AW30NDz2VPf7O2WyaF-aBjBq_E9LzG0Ityl8OGc7QpwEhN6oMqlyHhFjZr2xbcPCcfdta7Tbiiw1sIxDeObehfpWth2-rgRBH9Nt4gG954Ng_sQu2OG-7EbJn5NimKNqQgSzSLRNeK70J9cWq86ZbfBtd0I9cf24meRcsftHFf2VklWtkAfI', 'width': 1920}]",ChIJq-C2RahzhYAR1mh2jgKd3K8,"{'compound_code': '3QWC+47 Vallejo, CA, USA', 'global_code': '84CV3QWC+47'}",1.0,3.6,ChIJq-C2RahzhYAR1mh2jgKd3K8,GOOGLE,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",1198.0,"416 Lincoln Road East, Vallejo",
OPERATIONAL,"{'location': {'lat': 38.084217, 'lng': -122.234254}, 'viewport': {'northeast': {'lat': 38.0857558302915, 'lng': -122.2328697197085}, 'southwest': {'lat': 38.0830578697085, 'lng': -122.2355676802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107690574160127526526"">veronika</a>'], 'photo_reference': 'AW30NDxqr8YBs3cfCDS7vOvpdZW_q7SYRU0VR9e0MKBc5Trbs8U6Ae0iB4P-xAWPnsSmwonnFScMHF6abeGo3aPm1C2xtPxw5qY9quyqW-Wc4jdCbEckS6txkVmAfygZ_rt9ohgTsXeFFUZlRkWWstga2Z0QxFFdlHn9bGza_5A_qdm-kA5c', 'width': 3024}]",ChIJwbKYHbtzhYARet218g9y2W4,"{'compound_code': '3QM8+M7 Vallejo, CA, USA', 'global_code': '84CV3QM8+M7'}",2.0,4.2,ChIJwbKYHbtzhYARet218g9y2W4,GOOGLE,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",543.0,"Convenience Center, 199 Lincoln Road West, Vallejo",
OPERATIONAL,"{'location': {'lat': 38.1224406, 'lng': -122.2580777}, 'viewport': {'northeast': {'lat': 38.12390723029149, 'lng': -122.2564956697085}, 'southwest': {'lat': 38.12120926970849, 'lng': -122.2591936302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Seafood City Supermarket,{'open_now': True},"[{'height': 2112, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103276435499636235610"">Imon Olgado</a>'], 'photo_reference': 'AW30NDw_jWyJLpWitOUiAwmuM5YQ5OgCTy_VVZzwy2I5lVWFrSVs1zzs7StMFaHHaEtTOTiz4cH7pVbEabQv4Y6ScLp55VQHjWC4kqfp9aTUlymVcJta2wEBqEwhZmKyZ8CzvVH4WL4Q9tBfsXfim1bNsIOjOxP9YsNGylYrwdxu1yhuGb1w', 'width': 4608}]",ChIJa-359FFzhYAR6UyYw8nmlFo,"{'compound_code': '4PCR+XQ Vallejo, CA, USA', 'global_code': '84CV4PCR+XQ'}",,4.0,ChIJa-359FFzhYAR6UyYw8nmlFo,GOOGLE,"['bakery', 'restaurant', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",1358.0,"3495 Sonoma Boulevard, Vallejo",
OPERATIONAL,"{'location': {'lat': 38.0839369, 'lng': -122.2340821}, 'viewport': {'northeast': {'lat': 38.08534643029149, 'lng': -122.2327724197085}, 'southwest': {'lat': 38.0826484697085, 'lng': -122.2354703802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110949983152614101061"">Andrew H.</a>'], 'photo_reference': 'AW30NDy0VeAx1t1KrQGNvCyr7PhXPFonujLeMICERIf3WCRDr72sFUl5GWX1u8OzWV689hnkgeWJzCU7bdZd9QtcDKlsCdnUF0Hif6fcQdgIPYPpRytj1mdJm4ktRdCDYFr-KKHd8uOlBrLdu8PpD4zx2q3uJBB0KVplkuw_nimzSnqWBqQR', 'width': 1080}]",ChIJQ0Zd4bpzhYAR4imMXDMbZV0,"{'compound_code': '3QM8+H9 Vallejo, CA, USA', 'global_code': '84CV3QM8+H9'}",1.0,3.5,ChIJQ0Zd4bpzhYAR4imMXDMbZV0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",68.0,"199 Lincoln Road West Building C, Vallejo",
OPERATIONAL,"{'location': {'lat': 38.1237371, 'lng': -122.2547865}, 'viewport': {'northeast': {'lat': 38.1251870302915, 'lng': -122.2533955197085}, 'southwest': {'lat': 38.1224890697085, 'lng': -122.2560934802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Burger King,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112262613473881801241"">Antonio P. Galvan</a>'], 'photo_reference': 'AW30NDxTaglm5aNcUlI8QlshPIV19pJoG6peGuGylwZDyB1s9nBJIzipwZqBnPE0ze0tmfYok39djoSUzDrTMVXsZ56o8dxKc5hGkOHCjpvdy8w_QFt8pQJs6fG31JwVhNTN-p1w9actvWliIhFojY-FpcXBlvMjzdaHw84FYke8xWg4aooV', 'width': 1080}]",ChIJ7ZTPblJzhYARVH4qtuLyL0A,"{'compound_code': '4PFW+F3 Vallejo, CA, USA', 'global_code': '84CV4PFW+F3'}",1.0,3.6,ChIJ7ZTPblJzhYARVH4qtuLyL0A,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",296.0,"3606 Sonoma Boulevard, Vallejo",
OPERATIONAL,"{'location': {'lat': 38.123075, 'lng': -122.227176}, 'viewport': {'northeast': {'lat': 38.1245044802915, 'lng': -122.2257858197085}, 'southwest': {'lat': 38.1218065197085, 'lng': -122.2284837802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104617148794338509079"">Hector V</a>'], 'photo_reference': 'AW30NDwwdjIgZCToWQqKw1rSK_PJR379-cCpjBQjB9TA0zKHXNWQvl2fmRQmshK_Bi1it1lieGtKVf0ioz39DJrxW-9-Be3_-QvYgTLqzCNkQPiFA51SLnl4yhZLcsP-S2qxXJ8fepY-GlpFYN9gpnuxOUUAk9RL2nf_d-rO9HBHwfTEDS2g', 'width': 1920}]",ChIJW38FSiRzhYAR1Ew-PlZwHu0,"{'compound_code': '4QFF+64 Vallejo, CA, USA', 'global_code': '84CV4QFF+64'}",1.0,3.2,ChIJW38FSiRzhYAR1Ew-PlZwHu0,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",765.0,"2813 Redwood Parkway, Vallejo",
