business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 45.6582139, 'lng': -122.5834986}, 'viewport': {'northeast': {'lat': 45.6597851802915, 'lng': -122.5822648697085}, 'southwest': {'lat': 45.65708721970851, 'lng': -122.5849628302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,Auntie Anne's,{'open_now': True},"[{'height': 1000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117770998751289014095"">Auntie Anne&#39;s</a>'], 'photo_reference': 'AW30NDyG9vl_9TKF4gloh8h_5i9gCexLDHQNfAkAzjIS3mIZEIxJrS6o2Pz8dQ0hq-lmc1quDJSDORhjGw7Cn69YHjPNYUgZUDN4A43Thv3VtiR5bvgWzErekAGAGX3oAofYGxG1Jq-P3JcrGYgswRXUkh0YHPl6iPD4knYAS_QxSZ0fPlxT', 'width': 1000}]",ChIJ0c6lfemvlVQRsdAxSayegxk,"{'compound_code': 'MC58+7J Vancouver, WA, USA', 'global_code': '84QVMC58+7J'}",1.0,4.3,ChIJ0c6lfemvlVQRsdAxSayegxk,GOOGLE,"['cafe', 'bakery', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",36.0,"8700 Northeast Vancouver Mall Drive Space K9011, Vancouver",
OPERATIONAL,"{'location': {'lat': 45.6214557, 'lng': -122.5628843}, 'viewport': {'northeast': {'lat': 45.62281068029149, 'lng': -122.5616238697085}, 'southwest': {'lat': 45.62011271970849, 'lng': -122.5643218302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Arby's,{'open_now': True},"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104256324347237641019"">C Yager</a>'], 'photo_reference': 'AW30NDzP2wy0Hc27EpN0ib3SnNI3g4JyRXfvWxGXULwLdaQmsk_jZ54zPaX2q48f13TH2nqTTWLyenKMjR00PRxf73o12vaDIGQpvMM8WB9n3ishDV1NovuwUlYoP4r1be6iSXfDZGBW60fw_QbbHhDCLUOo44doAdcphoyBy4NY67bN7fm3', 'width': 3456}]",ChIJc-2-3Q2llVQRW5ZU1ZmuFVo,"{'compound_code': 'JCCP+HR Vancouver, WA, USA', 'global_code': '84QVJCCP+HR'}",1.0,4.0,ChIJc-2-3Q2llVQRW5ZU1ZmuFVo,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",871.0,"221 Northeast 104th Avenue, Vancouver",
OPERATIONAL,"{'location': {'lat': 45.6555466, 'lng': -122.5892466}, 'viewport': {'northeast': {'lat': 45.65678388029149, 'lng': -122.5879002697085}, 'southwest': {'lat': 45.6540859197085, 'lng': -122.5905982302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105482080654585114094"">Bogdan Lendel</a>'], 'photo_reference': 'AW30NDyYaE1_RCJ3J_M3eSyducDE7H0KcZ-eLX8ep2wtYuuPyhu2HnOvLA3ydlxqqcY1Dny8wtRRNuTkAzYfifVFiDkAM9K_rLq88nP32MFh_J6NUsVGyS_XrvkVFFPJUfwgA7OPyBrCU_rNydFikaRtDRhOtfftSFY9V0N9-rcjgnBLROYz', 'width': 4000}]",ChIJK_WTgJOvlVQRl_PaqFobpfE,"{'compound_code': 'MC46+68 Vancouver, WA, USA', 'global_code': '84QVMC46+68'}",2.0,4.2,ChIJK_WTgJOvlVQRl_PaqFobpfE,GOOGLE,"['bar', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",3120.0,"8101 Northeast Parkway Drive, Vancouver",
OPERATIONAL,"{'location': {'lat': 45.6008911, 'lng': -122.6246032}, 'viewport': {'northeast': {'lat': 45.6021520802915, 'lng': -122.6231970197085}, 'southwest': {'lat': 45.5994541197085, 'lng': -122.6258949802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Salty's on the Columbia River,{'open_now': True},"[{'height': 2278, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114906741905825798223"">Salty&#39;s on the Columbia River</a>'], 'photo_reference': 'AW30NDzC4-9VxX-tBsShF7_ljKkykqrVsKAqMF7Fy8dWle5T3i_qKucWe2X_zxviSnODkB7QWVLBlbeooE9jubKKBcqWPwkxCaDqYwaY4qZcDqtXxFcJ63a7R86R5VtXsoCLitKYbjCGjZGrnzNBvrZB_e1fCw9rUvR14xTGww7m6UnQMn1I', 'width': 3716}]",ChIJh9y2IHamlVQRtYXoYQcRp_M,"{'compound_code': 'J92G+95 Portland, OR, USA', 'global_code': '84QVJ92G+95'}",3.0,4.6,ChIJh9y2IHamlVQRtYXoYQcRp_M,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",4139.0,"3839 Northeast Marine Drive, Portland",
OPERATIONAL,"{'location': {'lat': 45.6204246, 'lng': -122.5433231}, 'viewport': {'northeast': {'lat': 45.6216522802915, 'lng': -122.5420415197085}, 'southwest': {'lat': 45.6189543197085, 'lng': -122.5447394802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mc Grath's Fish House,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101369501588270820183"">Bryan Preas</a>'], 'photo_reference': 'AW30NDw_dCjGTyJJFdRNmlho1DzQyewmGCmGQpa0zMs5Mfi0VVI0QqVpTGjAqyBNpYNOm20pIxpTL4GJO8kPc0BDxCmXsFpH3BS_F9Zua6qnXGw3UDkO96uhwGRl0YMdGg-wbeEzJR1HSpMupRTOO8j5VKFTv1aQ6UJX_-JPECB8kAkVlv9S', 'width': 4032}]",ChIJxWYE-BillVQRO1yv3y7AbUA,"{'compound_code': 'JFC4+5M Vancouver, WA, USA', 'global_code': '84QVJFC4+5M'}",2.0,4.1,ChIJxWYE-BillVQRO1yv3y7AbUA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2327.0,"12501 Southeast 2nd Circle, Vancouver",
OPERATIONAL,"{'location': {'lat': 45.6535531, 'lng': -122.5919047}, 'viewport': {'northeast': {'lat': 45.6547828802915, 'lng': -122.5907741697085}, 'southwest': {'lat': 45.6520849197085, 'lng': -122.5934721302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Hudson's Bar and Grill,{'open_now': True},"[{'height': 1333, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101393123160155516764"">Hudson&#39;s Bar and Grill</a>'], 'photo_reference': 'AW30NDzhhq15c65aJLHAIbVSfA372lznoFvCN2BbZP8SHtwxS8CeVc2QWU5i56XvjKxE5avAIk5XxOByZEaNdJChLtBDvVRM0es0urv_dl6Zd7P8wrTkcsF8-wh0ZjZfaF3oqfeg7mnS2Dt0MEdfHg2XszkNwQ9BB0rW4fsUZ-0TZckHpIDw', 'width': 2000}]",ChIJp2j1V5GvlVQR2cHDXRYBghA,"{'compound_code': 'MC35+C6 Vancouver, WA, USA', 'global_code': '84QVMC35+C6'}",2.0,4.4,ChIJp2j1V5GvlVQR2cHDXRYBghA,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1248.0,"7805 Northeast Greenwood Drive, Vancouver",
OPERATIONAL,"{'location': {'lat': 45.66747729999999, 'lng': -122.6025103}, 'viewport': {'northeast': {'lat': 45.66882768029149, 'lng': -122.6010454197085}, 'southwest': {'lat': 45.6661297197085, 'lng': -122.6037433802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110020868944584201118"">Talalelei Kaneen</a>'], 'photo_reference': 'AW30NDxFhpcBG95iFcRQ03EIvAlhnohAVG-ZNnMmk3EZqEnt3jD9TQIc5MoZo2jv8wyk0OS0MIPdxD0bZc-eH5dMZ6jmV4XIKYzChfjfyj1iCZceUo8toP0qwmBCHV7OdrB6Xk4XOqzexYWv3A2RHCihEXLNsDBCo3oBShGh8sFYDbNYIsXt', 'width': 1920}]",ChIJqRNMkbevlVQRlaNo9wXk2j8,"{'compound_code': 'M98W+XX Vancouver, WA, USA', 'global_code': '84QVM98W+XX'}",1.0,3.5,ChIJqRNMkbevlVQRlaNo9wXk2j8,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",151.0,"6715 Northeast 63rd Street Suite B108, Vancouver",
OPERATIONAL,"{'location': {'lat': 45.61873, 'lng': -122.5535687}, 'viewport': {'northeast': {'lat': 45.6201766302915, 'lng': -122.5521564197085}, 'southwest': {'lat': 45.6174786697085, 'lng': -122.5548543802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jimmy John's,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106274819900606289294"">Willis Anderson</a>'], 'photo_reference': 'AW30NDywBQTzaIApomSsZqhJJw2LjakE7xsg7B-tqMY7Uw5V87bblL4LvAYeWh8Vl3YAHPUpJOMg90G0F69c74BlkYde4xLlo5QXjvaheDRf-jhGEmfuTOe-6G0BpAKPauXaPNDomThleccNpwKgpsKOl5YseLZT0VqmcN1oND-A4JCm4Vm_', 'width': 4032}]",ChIJSdmYgxqllVQRF7jnNvqvo_o,"{'compound_code': 'JC9W+FH Vancouver, WA, USA', 'global_code': '84QVJC9W+FH'}",1.0,3.2,ChIJSdmYgxqllVQRF7jnNvqvo_o,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",121.0,"305 Southeast Chkalov Drive #107, Vancouver",
OPERATIONAL,"{'location': {'lat': 45.65646, 'lng': -122.588455}, 'viewport': {'northeast': {'lat': 45.65770463029151, 'lng': -122.5870747697085}, 'southwest': {'lat': 45.65500666970851, 'lng': -122.5897727302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Red Lobster,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101369501588270820183"">Bryan Preas</a>'], 'photo_reference': 'AW30NDxPjy2l6M1njtn93Cc4l-dxiFUGDPll2g5QmXrll7TGu_ORrM6rs_Oc1drlRgpY7-Fe1eB7da-1PDpWoml9KaIK3PMCMGhNV0pNYW32H-Q9oh0LteYFQZah0Jy9U_CMX7dDMmNPeLpiiAbTTKIr1G9lDJ73b_9hO3vYx88_zHFTEfA5', 'width': 4032}]",ChIJiRoIo5SvlVQRgwzrky-_bgI,"{'compound_code': 'MC46+HJ Vancouver, WA, USA', 'global_code': '84QVMC46+HJ'}",2.0,4.2,ChIJiRoIo5SvlVQRgwzrky-_bgI,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2408.0,"8219 Northeast Vancouver Mall Drive, Vancouver",
OPERATIONAL,"{'location': {'lat': 45.6421081, 'lng': -122.5557774}, 'viewport': {'northeast': {'lat': 45.64344198029151, 'lng': -122.5545472697085}, 'southwest': {'lat': 45.64074401970851, 'lng': -122.5572452302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 9000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105590028055753820696"">Bro-D Mendoza</a>'], 'photo_reference': 'AW30NDyq32IteZybCPIrZroKaFfkP-yGPILQDfMDn_X-6XyOvXBR6DL--feMEGojMJ5KvD_PEIvENYuYimVN58ehYC1bi1p6TzawVrGSy2Ihh-JKAh_zgJJxwzjRninWqXZZ78WsfOgPmaY8usGiWYnBPVzWSeJxbGHrro-7UVWQW7unW7AJ', 'width': 12000}]",ChIJaSnVD1ullVQRPJKkcAjft-Q,"{'compound_code': 'JCRV+RM Vancouver, WA, USA', 'global_code': '84QVJCRV+RM'}",1.0,4.0,ChIJaSnVD1ullVQRPJKkcAjft-Q,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",272.0,"11409 Northeast 28th Street Bldg J, Suite 1, Vancouver",
