business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 34.2671216, 'lng': -119.2487089}, 'viewport': {'northeast': {'lat': 34.2683931802915, 'lng': -119.2473705197085}, 'southwest': {'lat': 34.2656952197085, 'lng': -119.2500684802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,California Pizza Kitchen at Ventura,{'open_now': True},"[{'height': 1759, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102949790711419149355"">D S</a>'], 'photo_reference': 'AW30NDxLuZ5cwa2u1Zkes3LG-xAKNSgpfer-G8dLPa5biLJL53KFdcSNGLnFnxwVj7TALf5-m8S_eTSX-kpGNXkxXY-fBaiztvgrRO2-9bXk5c-pW4OPh6UnXVcQzCRKRRuKvgRxM-oYBnVgRImRpWCUIp3eo4BF8SuqNWIW3lHG1SNvJFX_', 'width': 2187}]",ChIJX4tJJk-t6YARMIBjLGANQ_I,"{'compound_code': '7Q82+RG Ventura, CA, USA', 'global_code': '85627Q82+RG'}",2.0,4.2,ChIJX4tJJk-t6YARMIBjLGANQ_I,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",509.0,"3301 East Main Street, Ventura",
OPERATIONAL,"{'location': {'lat': 34.2671949, 'lng': -119.2485616}, 'viewport': {'northeast': {'lat': 34.2684031802915, 'lng': -119.2474266697085}, 'southwest': {'lat': 34.2657052197085, 'lng': -119.2501246302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Panda Express,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104255405528295400028"">Francisco Mendez</a>'], 'photo_reference': 'AW30NDwbw7c0GOQB-bG8Z3hRRNEEnsv2td2-FV4KRUA7vrxDwD0lc83e8WsTtkslrk4GQQRpinOdJZ9VVv_yyo7Gj_m7DJxSUcrOGedsGS2oHGvOj75hODLUUyEAO3ZZF3SKZs3Q4vkxEbkDxBdPYi5-gbym5fg-4JmwD-HgX10wbDeRzyH_', 'width': 4032}]",ChIJX4tJJk-t6YARw4yevTM232A,"{'compound_code': '7Q82+VH Ventura, CA, USA', 'global_code': '85627Q82+VH'}",1.0,3.8,ChIJX4tJJk-t6YARw4yevTM232A,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",134.0,"3301 East Main Street, Ventura",
OPERATIONAL,"{'location': {'lat': 34.2799809, 'lng': -119.292808}, 'viewport': {'northeast': {'lat': 34.28132493029149, 'lng': -119.2916138197085}, 'southwest': {'lat': 34.2786269697085, 'lng': -119.2943117802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cafe Fiore,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108245460403796851795"">D.R.E. VALDIVIA</a>'], 'photo_reference': 'AW30NDwHeVC4uIVKXFWxy6HkzniRRohsLk__bwCd06RZtbvh4BeM0Hg9aUJGLz7VEQnhhY1nIBpdJjowKZ6R0FIqfa0BXjDY_vKTzat0KY2vEIrb0hXaum8Qj3FhFd7pH_jlv3_xLocxap_POMf40OX6sVcfyxd3IWpv9bDNRLHsgOCvU2KS', 'width': 3024}]",ChIJ8TiRLPCs6YAR2aE68_PzSjU,"{'compound_code': '7PH4+XV Ventura, CA, USA', 'global_code': '85627PH4+XV'}",2.0,4.4,ChIJ8TiRLPCs6YAR2aE68_PzSjU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",882.0,"66 South California Street, Ventura",
OPERATIONAL,"{'location': {'lat': 34.268505, 'lng': -119.248604}, 'viewport': {'northeast': {'lat': 34.2703640302915, 'lng': -119.2471006197085}, 'southwest': {'lat': 34.2676660697085, 'lng': -119.2497985802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Sbarro,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114048853121583905040"">Sbarro</a>'], 'photo_reference': 'AW30NDwxMUUwMUkY6pRRGo2erjTJ1F1KhiSb1XsI9Wdx3evS1lU7a0fNH3GA_WPRffJmdCMLMmYNRNBhseW4ajHxGXbqvZeicZDNJ0CzGRSHqViDWj1DWa1WSrwpexDvVG7CLuXFwT_rlAaNdd7hDPNFdtAkbGYCf0GLPExWChmAAcMP320g', 'width': 1920}]",ChIJOe2yJ0-t6YARCL1ZJuhaf-o,"{'compound_code': '7Q92+CH Ventura, CA, USA', 'global_code': '85627Q92+CH'}",1.0,3.7,ChIJOe2yJ0-t6YARCL1ZJuhaf-o,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",18.0,"3301-2521 East Main Street, Ventura",
OPERATIONAL,"{'location': {'lat': 34.2402233, 'lng': -119.1758312}, 'viewport': {'northeast': {'lat': 34.2414424802915, 'lng': -119.1743817197085}, 'southwest': {'lat': 34.2387445197085, 'lng': -119.1770796802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Yard House,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115861501175167786770"">SJ</a>'], 'photo_reference': 'AW30NDzyVfyvh5BxjMDKMVZp3-FHTRmfKfG5dY_MdWQhvkMMDpytmwg9ifUbpXlkFSzFi9aVlbz0CYnwUFrw1by7ZVGbRtrqLzr2-sqa2ah-CxTg37r9XOg2GH3jTH0dEL8oA31SNLfRfxMw54a_QXlZ92IoESfzi4XqQSZAHyVZJhr87PrB', 'width': 4032}]",ChIJaRvt9_hM6IARrKefU5G88MA,"{'compound_code': '6RRF+3M Oxnard, CA, USA', 'global_code': '85626RRF+3M'}",2.0,4.3,ChIJaRvt9_hM6IARrKefU5G88MA,GOOGLE,"['bar', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1732.0,"501 Collection Boulevard Ste # 4130, Oxnard",
OPERATIONAL,"{'location': {'lat': 34.2365049, 'lng': -119.1800829}, 'viewport': {'northeast': {'lat': 34.2379228802915, 'lng': -119.1785300197085}, 'southwest': {'lat': 34.2352249197085, 'lng': -119.1812279802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,BJ's Restaurant & Brewhouse,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111604482039856986109"">G J</a>'], 'photo_reference': 'AW30NDwdcbFAZw87oJuQyUEYuizj8dmAnE7w2N9_2p60GcZvkCeuLblxuoEijkhCJMU__J-if077IoucZnErthGqF0IVvBZeH16WBr_KTvg71P6WwQpYywzxSB9Z7SbHW50b3nNg1Y7iczf_P3Rn8lJdLcaETzNnzjUDktits7A50XoS2HSw', 'width': 4160}]",ChIJU2DrBlBM6IAREjzZkx0koNo,"{'compound_code': '6RP9+JX Oxnard, CA, USA', 'global_code': '85626RP9+JX'}",2.0,4.1,ChIJU2DrBlBM6IAREjzZkx0koNo,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1370.0,"461 West Esplanade Drive, Oxnard",
OPERATIONAL,"{'location': {'lat': 34.258239, 'lng': -119.2345084}, 'viewport': {'northeast': {'lat': 34.25962028029151, 'lng': -119.2332607697085}, 'southwest': {'lat': 34.25692231970851, 'lng': -119.2359587302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113647676059359185215"">Doug REID</a>'], 'photo_reference': 'AW30NDyknHmyl15J0k-HwJHgFU7F-NRz-nZyqXPPo7b65mEi8kGBS0LdETXAOxjg1uVX6iAAzx0IKkH8nF20U4TV7a_akcRXFQW9uLWfPwdSAohtxSxC8KZhX4FZjf01OTy339o5uPdGzi9q9M3_sFZA6CXk0gvIb9u5aFJWYNQq8ld4jCxt', 'width': 3024}]",ChIJq6wnmKlS6IARKSm373x6-eI,"{'compound_code': '7Q58+75 Ventura, CA, USA', 'global_code': '85627Q58+75'}",1.0,4.2,ChIJq6wnmKlS6IARKSm373x6-eI,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",97.0,"4624 Telephone Road Unit A, Ventura",
OPERATIONAL,"{'location': {'lat': 34.2785339, 'lng': -119.2923813}, 'viewport': {'northeast': {'lat': 34.2797560302915, 'lng': -119.2911034197085}, 'southwest': {'lat': 34.2770580697085, 'lng': -119.2938013802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Barrelhouse 101,{'open_now': True},"[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105538918855575037636"">Barrelhouse 101</a>'], 'photo_reference': 'AW30NDztsQBXuuUUNPBJcZLKwjIGncag9gmGYgtKSV0uVB5JIOiYufilENODWliAqk5zK8feJdSfPNm8jS5DIvP6mwEVsIx84dpcLYsRdq3k_rzcS9CCPnYmJUacNukvsHDAa3kCwS2DODvF_60mOJvQPXpvNDFTkD6aA7Fg1UrSsVAq-f13', 'width': 5760}]",ChIJ3-EBt--s6YAReisNfE8RWO4,"{'compound_code': '7PH5+C2 Ventura, CA, USA', 'global_code': '85627PH5+C2'}",2.0,4.5,ChIJ3-EBt--s6YAReisNfE8RWO4,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1435.0,"545 East Thompson Boulevard, Ventura",
OPERATIONAL,"{'location': {'lat': 34.2821052, 'lng': -119.3012835}, 'viewport': {'northeast': {'lat': 34.28339143029151, 'lng': -119.2999508197085}, 'southwest': {'lat': 34.28069346970851, 'lng': -119.3026487802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115078468380186820576"">Subway</a>'], 'photo_reference': 'AW30NDxulj_OpddXfz_0aL_LsD9kiO21LgmGwSacAOTr_WH0e6YL0AA3a9FHlMlAOvPE7SFYHckX1evxR78sZehuG1z9tsJe7sarFzv1elmDo0Zx69_mTqYUNEusUwdawF6nAjZeEuzNQkZMryw7O52ctdKVAy-oRp5WjmigK6r4UaLgI3sm', 'width': 1763}]",ChIJUY2BSvOs6YARzNqcOsve2zE,"{'compound_code': '7MJX+RF Ventura, CA, USA', 'global_code': '85627MJX+RF'}",1.0,4.1,ChIJUY2BSvOs6YARzNqcOsve2zE,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",152.0,"51 West Main Street Suite C, Ventura",
OPERATIONAL,"{'location': {'lat': 34.24067120000001, 'lng': -119.263941}, 'viewport': {'northeast': {'lat': 34.24199803029151, 'lng': -119.2624837197085}, 'southwest': {'lat': 34.23930006970851, 'lng': -119.2651816802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Brophy Bros.,{'open_now': True},"[{'height': 999, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112852456340463878875"">Brophy Bros.</a>'], 'photo_reference': 'AW30NDzSCcH3F27goak6uYHx2-p7z11anlA7DiXkYjmkD4DXCd-v-hIUijwEpG4fRHvWRGqlHE-vpZJ8ikVrc7ha-v5VXrLUAZE8IwwRh1buGLlO17Ibcyn0nIUK-ZKDsIHA5VN_PaW2gu58pV_Ky9Us_KAe8thzFz3z2RaS60LrZC_E54H9', 'width': 1500}]",ChIJmSrPpsRS6IARgFTezKQApe0,"{'compound_code': '6PRP+7C Ventura, CA, USA', 'global_code': '85626PRP+7C'}",2.0,4.5,ChIJmSrPpsRS6IARgFTezKQApe0,GOOGLE,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2004.0,"1559 Spinnaker Drive, Ventura",
