business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 34.473739, 'lng': -117.3472043}, 'viewport': {'northeast': {'lat': 34.47538608029149, 'lng': -117.3454941197085}, 'southwest': {'lat': 34.47268811970849, 'lng': -117.3481920802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,The Mall of Victor Valley,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113687053237029818647"">Maria Sanchez</a>'], 'photo_reference': 'AW30NDy5k2CQPiOMaMCHzv8g65XzJGqL5TM1cz5EU9l9PACUz7m_clCjHe60mOgG75Og3q_D9IZzQniOK_8W_FKuJKor_t2A8IGFyAvMEV1SXhF5k6IQntaGgJAEZCYm1cB5mMb1FElIIpUwg6iRTKKEck8z-PH2lO338LxjcRKX2g_I4kRc', 'width': 1920}]",ChIJ8ejZyRdmw4AR87-On9Ds8zc,"{'compound_code': 'FMF3+F4 Victorville, CA, USA', 'global_code': '8564FMF3+F4'}",4.1,ChIJ8ejZyRdmw4AR87-On9Ds8zc,GOOGLE,"['shopping_mall', 'clothing_store', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",9491.0,"14400 Bear Valley Road Ste 735, Victorville",,
OPERATIONAL,"{'location': {'lat': 34.5065971, 'lng': -117.3298325}, 'viewport': {'northeast': {'lat': 34.5079359302915, 'lng': -117.3283896697085}, 'southwest': {'lat': 34.5052379697085, 'lng': -117.3310876302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100234183818947150586"">Christie Martin 24/7 Headline News</a>'], 'photo_reference': 'AW30NDzJA6R2lylxu3iGxU29sLO3YZfnd2OjJBem0nlLPncjKnXu0ur_ypAYLkpvYQeq8vaLZGC2q1eAJwDxYhJGAhwa1JbT1mWBzhW1uXGbzDjN3pqooAhATxWJ728aYVDS4wUyl_ipGGefQygGxrCgjbsKIMyEqh3_5UWdwRQC1-fsFPaO', 'width': 4160}]",ChIJUyUOKdtlw4ARjstPi1kNdW4,"{'compound_code': 'GM4C+J3 Victorville, CA, USA', 'global_code': '8564GM4C+J3'}",4.1,ChIJUyUOKdtlw4ARjstPi1kNdW4,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",309.0,"15319 B, Palmdale Road, Victorville",1.0,
OPERATIONAL,"{'location': {'lat': 34.5202527, 'lng': -117.3324474}, 'viewport': {'northeast': {'lat': 34.5217168302915, 'lng': -117.3310890197085}, 'southwest': {'lat': 34.5190188697085, 'lng': -117.3337869802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103887936579219309428"">Kbizzle_143</a>'], 'photo_reference': 'AW30NDw9CBlt2j1SXYBOCqsSa-fA_hYHUm-tn5pSp4Y4mqLMBcbBMlhCueaXtcltb9ISzyBzpLbJQelYIulRQYP1BP04PZr8OJVuCrxTQChHblPSGutB6kZbroQ_HUiV4dGx1cf9Oa_WUUbL7ByOVS4Og2oWSgpZXZDiEibSLqxQ_o3lqj2Z', 'width': 3024}]",ChIJFxJRzb5lw4ARX3Ae0T9RmAY,"{'compound_code': 'GMC9+42 Victorville, CA, USA', 'global_code': '8564GMC9+42'}",4.0,ChIJFxJRzb5lw4ARX3Ae0T9RmAY,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",215.0,"15207 Hook Boulevard Suite 6, Victorville",1.0,
OPERATIONAL,"{'location': {'lat': 34.51199599999999, 'lng': -117.3195962}, 'viewport': {'northeast': {'lat': 34.51340798029149, 'lng': -117.3183214197085}, 'southwest': {'lat': 34.51071001970849, 'lng': -117.3210193802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mariscos Las Islas Marías,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105488173010699076090"">Edward Simms</a>'], 'photo_reference': 'AW30NDz1K-AFYmItGFhjOTvFhDx8PGhWio1r76mIypQ1FiRgcW5tkGkF8sWG5wGiHp_jSm7SalFAW_eF1BbHA_g_ziZzqxmrzS2IP6zK-Cfnt3fKll6okcf9BhbrVt86p579ysFuagCFnzrCHPeDgXKBX_bv3XMlgGZH4K_sLnrmJNxLMs4L', 'width': 4500}]",ChIJqz2Tt31nw4ARPhLkMOvzGZo,"{'compound_code': 'GM6J+Q5 Victorville, CA, USA', 'global_code': '8564GM6J+Q5'}",4.0,ChIJqz2Tt31nw4ARPhLkMOvzGZo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",611.0,"14366 Atstar Street, Victorville",2.0,
OPERATIONAL,"{'location': {'lat': 34.521205, 'lng': -117.3243953}, 'viewport': {'northeast': {'lat': 34.52245138029151, 'lng': -117.3231222197085}, 'southwest': {'lat': 34.51975341970851, 'lng': -117.3258201802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117339452080746329507"">Karol Marian</a>'], 'photo_reference': 'AW30NDw_CaXe_crnNr6_ItjpL_MmC2eIcxYjHmjkE9_XySidjEfVhEgtQ3F13iOZYsrsL5Z9dKo3E4uWv6bhAyZd2EIvnequfJ9eWyu9tJ2f3pY2LtDFACLF3TpCnKcNuplK-Tc5lLFmXv0QKZxkmNJc3GTOXZARq-6ssYb-Z7AipXDVYM1C', 'width': 3024}]",ChIJsTvzZ7Zlw4ARf1bPTHtcLRw,"{'compound_code': 'GMCG+F6 Victorville, CA, USA', 'global_code': '8564GMCG+F6'}",3.8,ChIJsTvzZ7Zlw4ARf1bPTHtcLRw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",246.0,"15683 Roy Rogers Drive, Victorville",1.0,
OPERATIONAL,"{'location': {'lat': 34.4741065, 'lng': -117.3476756}, 'viewport': {'northeast': {'lat': 34.47566503029149, 'lng': -117.3462551697085}, 'southwest': {'lat': 34.4729670697085, 'lng': -117.3489531302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Panda Express,{'open_now': True},"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114995052337807643081"">daniel eke</a>'], 'photo_reference': 'AW30NDz93GyaTjhVOM76VNRfAlRXZCOe7kb23dU-R5ARrMsCOs-NOGL1tqB8p_fGOjhkjrxCHFM_9EEyDoHH1G0esSW-6-3ewDTu_CXndI8mlZqKHa5JBcUDpE0PKtoPBoVZ33rTy5xdcrWYL261oYjpXdhNPLa6h9G82dHIs71sED-LKUPK', 'width': 1600}]",ChIJa_WIwBdmw4ARSk1A_qqEFCs,"{'compound_code': 'FMF2+JW Victorville, CA, USA', 'global_code': '8564FMF2+JW'}",3.9,ChIJa_WIwBdmw4ARSk1A_qqEFCs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",205.0,"14400 Bear Valley Road, Victorville",1.0,
OPERATIONAL,"{'location': {'lat': 34.47435199999999, 'lng': -117.3481404}, 'viewport': {'northeast': {'lat': 34.4757394302915, 'lng': -117.3469461697085}, 'southwest': {'lat': 34.47304146970851, 'lng': -117.3496441302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Cinemark Victorville 16 and XD,,"[{'height': 1690, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103021586801704575901"">Cinemark Victorville 16 and XD</a>'], 'photo_reference': 'AW30NDzON3xs5zz7rL5giqohgTqNr56kK2SZcuvqN9G8pp2P3rks1FOqsSbKIC706tjxNqvV6K1ddrgdrBZE3idThaJfTjJYVs5M6F9eZiy0IL1-2nDBoZD5uPm4Jj-5EZiS2sfEJV2sdTkwfqKbnKoQRgYBloWhqjFe5Dm1d8TtmvxFzWLs', 'width': 1347}]",ChIJmY_ixxdmw4ARQwg8RdH1GeE,"{'compound_code': 'FMF2+PP Victorville, CA, USA', 'global_code': '8564FMF2+PP'}",4.4,ChIJmY_ixxdmw4ARQwg8RdH1GeE,GOOGLE,"['movie_theater', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2325.0,"14470 Bear Valley Road, Victorville",,
OPERATIONAL,"{'location': {'lat': 34.4739873, 'lng': -117.3476133}, 'viewport': {'northeast': {'lat': 34.4756054302915, 'lng': -117.3462428197085}, 'southwest': {'lat': 34.4729074697085, 'lng': -117.3489407802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1763, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109316662362816606303"">Subway</a>'], 'photo_reference': 'AW30NDxo5UO7TJfLhLi6Y9oEiwdOciqZSF9uVGcDdLzfYmgq8w81v-aBCEr0_zIR6LoQTeBkyDlRRqA_YChYyjv96mb_sn5lM5PxTDiBSed2hg2NB3KRivGZ1swQJFu7yKXCMUHIz3nMaXW-ITWGSR3AzRoZFUeLE9h4C7SL0P3PDO8KZyGL', 'width': 1763}]",ChIJa_WIwBdmw4ARrCzHE-7TZBs,"{'compound_code': 'FMF2+HX Victorville, CA, USA', 'global_code': '8564FMF2+HX'}",4.3,ChIJa_WIwBdmw4ARrCzHE-7TZBs,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",44.0,"14400 Bear Valley Road #705, Victorville",1.0,
OPERATIONAL,"{'location': {'lat': 34.50735719999999, 'lng': -117.3999626}, 'viewport': {'northeast': {'lat': 34.50872083029149, 'lng': -117.3987360197085}, 'southwest': {'lat': 34.50602286970849, 'lng': -117.4014339802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100234183818947150586"">Christie Martin 24/7 Headline News</a>'], 'photo_reference': 'AW30NDxgxW_l2984VdXgmCgZgwaRMxMMBOjOXGDPcZCWr7I07LuTln1yWSRusrJYb9GFF1B1ozH57R1Z_hfdoFLHyFonxNMX78p5H2XTdvpkGjOotjQO-onbfe0tDaPQvEXK7AI9rziiXCtRrJMN5A82pDLm6WPPedZ6mi8om2vu98edw7Xy', 'width': 4160}]",ChIJa-qE2Rpvw4ARJT655vm0oFc,"{'compound_code': 'GJ42+W2 Adelanto, CA, USA', 'global_code': '8564GJ42+W2'}",4.1,ChIJa-qE2Rpvw4ARJT655vm0oFc,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",178.0,"14148 Hwy 395 Suite 3A, Adelanto",1.0,
OPERATIONAL,"{'location': {'lat': 34.507065, 'lng': -117.3449385}, 'viewport': {'northeast': {'lat': 34.5084014802915, 'lng': -117.3436993197085}, 'southwest': {'lat': 34.5057035197085, 'lng': -117.3463972802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 683, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109414917002086750741"">Pizza Hut</a>'], 'photo_reference': 'AW30NDyyOU_ACFguqBdtdpxqMGArtYXhHclYiBYEuNhJZiuUwtDsYJIzCm0a5kF_Lc5f0Vj0TLDoCNSCX7cXLwiq-MIw6SDwB9N2aIYE1CEt2EiIaJitsiLYsugv70WU5rMbzC6ZYzpWKjjAEJnh8Ziqc8I_-jKsSxQoOzONyC5mHND6Ol8j', 'width': 1025}]",ChIJl1VVw8Jlw4ARGX109ghPsRQ,"{'compound_code': 'GM44+R2 Victorville, CA, USA', 'global_code': '8564GM44+R2'}",3.6,ChIJl1VVw8Jlw4ARGX109ghPsRQ,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",536.0,"14582 Palmdale Road, Victorville",1.0,
