business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 36.81836099999999, 'lng': -76.0710896}, 'viewport': {'northeast': {'lat': 36.8197256302915, 'lng': -76.06984506970849}, 'southwest': {'lat': 36.8170276697085, 'lng': -76.07254303029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dave & Buster's,{'open_now': True},"[{'height': 3744, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117434293505605257990"">Dave &amp; Buster&#39;s</a>'], 'photo_reference': 'AW30NDw_8XyPYYysz0jTkCEgdX0kjUWrM9hiRETDMJweDbfZv66mzSgPwKigiFxgmb2qsAxalkKdx0wcG0934JsWlHQyQecsbFrl3Wwsk_SyqmskyXZCXFWcsV9Fe24UoOFZxKOm9s7JdOmQKGRFxsM0kNH80uQ2P1o1z4y6E7CfCGLBevEZ', 'width': 5616}]",ChIJV1ERwqbquokRyobVvdm6Z48,"{'compound_code': 'RW9H+8H Virginia Beach, VA, USA', 'global_code': '8785RW9H+8H'}",2.0,4.0,ChIJV1ERwqbquokRyobVvdm6Z48,GOOGLE,"['restaurant', 'bowling_alley', 'bar', 'food', 'point_of_interest', 'establishment']",5191.0,"701 Lynnhaven Parkway Suite G19, Virginia Beach",
OPERATIONAL,"{'location': {'lat': 36.7732712, 'lng': -76.0863153}, 'viewport': {'northeast': {'lat': 36.7746911302915, 'lng': -76.08485806970849}, 'southwest': {'lat': 36.7719931697085, 'lng': -76.08755603029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Buffalo Wild Wings,{'open_now': True},"[{'height': 1176, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112473479014042851595"">Drew Petzold</a>'], 'photo_reference': 'AW30NDxR4AjGmVljHUuL5IQ-ARXDLuLFRMy_4HG660QKwgNNAORqXEFfhkNFI-ngtvC7sIRb88EcYfg0PUIgErybuUM7e9zS7CYU_BxKfoM5kV401Q999SzcGjfGOQLnYJwIz8upj6p6iBpoRdS1m83G-qqFSwRFrqhAHPgZxJRSTQ89AxAt', 'width': 2048}]",ChIJtU3Rz3-_uokRfg-V2a5depI,"{'compound_code': 'QWF7+8F Virginia Beach, VA, USA', 'global_code': '8785QWF7+8F'}",2.0,3.8,ChIJtU3Rz3-_uokRfg-V2a5depI,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1287.0,"3300 Princess Anne Road Suite 755, Virginia Beach",
OPERATIONAL,"{'location': {'lat': 36.847648, 'lng': -76.0357004}, 'viewport': {'northeast': {'lat': 36.8487479802915, 'lng': -76.03431765}, 'southwest': {'lat': 36.8460500197085, 'lng': -76.03757544999999}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Captain George's Seafood Restaurant,{'open_now': True},"[{'height': 9000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115162078080159613649"">Terry Troyer</a>'], 'photo_reference': 'AW30NDxugMvCDMe2vD3_q_q1zTPAfLzIZzw1XSUyx1zqp4exUf8Nv2xbMosWGnCHo-CHt_1M2VUcTUGn61QjDcV7SEYBbq7RhlePFjFztxSM8qqx82hw9mszrdAjd8eugOjaiBAh4VGgE7IC1v7vgJi1S9Dk3Qj-7oH9EI6dG0ZOwRszyI_d', 'width': 12000}]",ChIJdxIXKlTquokRNKdv87ygyNc,"{'compound_code': 'RXX7+3P Virginia Beach, VA, USA', 'global_code': '8785RXX7+3P'}",3.0,4.5,ChIJdxIXKlTquokRNKdv87ygyNc,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",10776.0,"1956 Laskin Road, Virginia Beach",
OPERATIONAL,"{'location': {'lat': 36.81747089999999, 'lng': -76.06736459999999}, 'viewport': {'northeast': {'lat': 36.8187480302915, 'lng': -76.06602706970848}, 'southwest': {'lat': 36.8160500697085, 'lng': -76.0687250302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Carrabba's Italian Grill,{'open_now': True},"[{'height': 9000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115162078080159613649"">Terry Troyer</a>'], 'photo_reference': 'AW30NDx0U2M_R7j8FwN1xVGP2FUw3YVKIWitxKO4vZPEGL8SNmVJ8gG-Wraq9gaqHXvuJvONjoM3ZJQu-11VK0JGPHBKIITS16N1rInacCtQ84VYIZSb75OpW84CqW4Ft3zRAxjWMiqnvt_jBT5ddmkON2IGEd_T5ziT0gVyvSrE4Jajp8cI', 'width': 12000}]",ChIJ_0G2Jb28uokRHc7RxEmTd28,"{'compound_code': 'RW8M+X3 Virginia Beach, VA, USA', 'global_code': '8785RW8M+X3'}",2.0,4.2,ChIJ_0G2Jb28uokRHc7RxEmTd28,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1698.0,"739 Lynnhaven Parkway Suite 100, Virginia Beach",
OPERATIONAL,"{'location': {'lat': 36.8220462, 'lng': -76.0676264}, 'viewport': {'northeast': {'lat': 36.82340318029149, 'lng': -76.0661304197085}, 'southwest': {'lat': 36.82070521970849, 'lng': -76.0688283802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108278387821815253017"">Elizabeth Murphy</a>'], 'photo_reference': 'AW30NDyyiw6gyUZffPXn-Jqrg59_Np8RDbbuGIXIXa0hF2te4C5WZuErVIrfnnxY3-_TXRUP6h6AZItjJTIqFHqpgRyceGDoIAIhudMZmIV62fMm6sj8Efbe6vd7NZK-ELcK-9O9MUhiOe3ZCjFjBGoViTUCKo1FHE0KIr9N9MFxegxgSea_', 'width': 4032}]",ChIJ7QYdhKPquokRa8c7Tt9aY_Y,"{'compound_code': 'RWCJ+RW Virginia Beach, VA, USA', 'global_code': '8785RWCJ+RW'}",2.0,4.2,ChIJ7QYdhKPquokRa8c7Tt9aY_Y,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3245.0,"683 Lynnhaven Parkway, Virginia Beach",
OPERATIONAL,"{'location': {'lat': 36.8432133, 'lng': -76.1341502}, 'viewport': {'northeast': {'lat': 36.84461353029149, 'lng': -76.1326447197085}, 'southwest': {'lat': 36.84191556970849, 'lng': -76.1353426802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Cheesecake Factory,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105787812237923938427"">M. Hale</a>'], 'photo_reference': 'AW30NDzWW6sl15XEIT0slVH0ylLuTXeBijOmZYafKelVuIEh8NxCOzn8dApP_IGHVcv6rIdf67SHP7a7N4nhumfQn17aVvzDBPgtVNVi2Yz0CJlajppS3Ji8AqwhFIggD4jEs9xG5VequVbwBEwFwRx6R1jcUTjsH2bBlbvvxG_p2sQij1ye', 'width': 3024}]",ChIJEQNFj5-VuokR4mFlXlwqP1I,"{'compound_code': 'RVV8+78 Virginia Beach, VA, USA', 'global_code': '8785RVV8+78'}",2.0,4.2,ChIJEQNFj5-VuokR4mFlXlwqP1I,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",4933.0,"265 Central Park Avenue, Virginia Beach",
OPERATIONAL,"{'location': {'lat': 36.845825, 'lng': -76.0495068}, 'viewport': {'northeast': {'lat': 36.8474484802915, 'lng': -76.0479827697085}, 'southwest': {'lat': 36.84475051970851, 'lng': -76.0506807302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Brothers Pizza - Great Neck,{'open_now': True},"[{'height': 1125, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106274400127362276941"">Brothers Pizza - Great Neck</a>'], 'photo_reference': 'AW30NDyy-J-JPJPStkqhilTgty426wxV54OEzabNeEPk6HzekClTKCXi8jJzDps-tayr6r4x1sVPjtRIbNbTx6wvI45ppGroe6Q293jjdAuaxEJSSqVVHPdlbEKCiGGr12vVOoqDQGIufLFc_qZnUCY7anzVt23-ltzXj1-Z7EE3mC6OcjU', 'width': 1500}]",ChIJ_R2d8vrquokR_FYihVNza3U,"{'compound_code': 'RXW2+85 Virginia Beach, VA, USA', 'global_code': '8785RXW2+85'}",1.0,4.1,ChIJ_R2d8vrquokR_FYihVNza3U,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",712.0,"401 North Great Neck Road Suite 117, Virginia Beach",
OPERATIONAL,"{'location': {'lat': 36.8336716, 'lng': -75.97059270000001}, 'viewport': {'northeast': {'lat': 36.8350106802915, 'lng': -75.9693157197085}, 'southwest': {'lat': 36.8323127197085, 'lng': -75.97201368029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Waterman's Surfside Grille,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114351730899175722817"">Uliana Kolinko</a>'], 'photo_reference': 'AW30NDxhMDKaZ9L67QNc0V-vBb2ymFMWHm9oyqNcYr7T7VThyU6D7x3ArndH7cPpIozBRv-cA-rn2Vc-QL4UGMK6gWono1X3L5rcJHHfP76_H7RyVSUjUN7AvRkyhQBTjv8-dZG9iz2HIumdY_c7WIVQ9whhl9g7kCq2uOkR-KyAkicSvr3e', 'width': 3024}]",ChIJLXX27pfpuokRC9mtIk9_yWc,"{'compound_code': 'R2MH+FQ Virginia Beach, VA, USA', 'global_code': '8786R2MH+FQ'}",2.0,4.5,ChIJLXX27pfpuokRC9mtIk9_yWc,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",8635.0,"415 Atlantic Avenue, Virginia Beach",
OPERATIONAL,"{'location': {'lat': 36.84161189999999, 'lng': -76.136342}, 'viewport': {'northeast': {'lat': 36.84306813029149, 'lng': -76.13499916970851}, 'southwest': {'lat': 36.84037016970849, 'lng': -76.13769713029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Yard House,{'open_now': True},"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117896860070068032531"">Dwayne Blackwell</a>'], 'photo_reference': 'AW30NDyYGMjJSBaXRt1J5k9sEtwjXqpABRF0l4o-AWT5q5LRgxeuq5hYL4oG-B1nBCafXIr6q2VDLI_0F1ngg6WXMzHpqhh6U0R0WmLnBPyN-Zg1iSaNMisa8rgSqpNkzmEUToo8xzndjlEaG2KiSpKDE9oZGPX1feAZ-7Yt7ySJxciplXvZ', 'width': 2789}]",ChIJwUpiEJ-VuokRfrxSdst2KNw,"{'compound_code': 'RVR7+JF Virginia Beach, VA, USA', 'global_code': '8785RVR7+JF'}",2.0,4.4,ChIJwUpiEJ-VuokRfrxSdst2KNw,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3855.0,"4549 Commerce Street, Virginia Beach",
OPERATIONAL,"{'location': {'lat': 36.849861, 'lng': -76.03049299999999}, 'viewport': {'northeast': {'lat': 36.8511589302915, 'lng': -76.02913601970849}, 'southwest': {'lat': 36.8484609697085, 'lng': -76.03183398029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Aldo's Ristorante,{'open_now': True},"[{'height': 385, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116212916920503101536"">Aldo&#39;s Ristorante</a>'], 'photo_reference': 'AW30NDyZPRJ0-h5ojAMYUK-99_ePMmYJ4Bb6Qvvg_y8oSmaAQ-MXJnZofevMr3t5RpBZNratwyZP2D_dT7q6GEMfPQPYM7BP1u6DACCtll_A8sHvNJC2DEQVSA04zFZr-R1QGgyO4oiBuGt5MMSce4J9stt9j1YlFw8BIJj1fdmZBzB0gsJJ', 'width': 864}]",ChIJQZ5qB1PquokRxis2q-BSaJI,"{'compound_code': 'RXX9+WR Virginia Beach, VA, USA', 'global_code': '8785RXX9+WR'}",2.0,4.6,ChIJQZ5qB1PquokRxis2q-BSaJI,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",962.0,"1860 Laskin Road, Virginia Beach",
