business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 36.2979839, 'lng': -119.3172717}, 'viewport': {'northeast': {'lat': 36.2994323302915, 'lng': -119.3159181697085}, 'southwest': {'lat': 36.2967343697085, 'lng': -119.3186161302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109759804190876715586"">christopher vercruse</a>'], 'photo_reference': 'AW30NDzWTerEfmBLVhAB8hDkoBTJeOzT8Rg9QWBJiDiQ2Ns4Ffy2ic6Y8p96stqdOBA2wWaPKtAA0DuxEk-aMk_mVfxCfHPwQicBXWWApvq8dZtj2-6biNVeb1o0ePfRpXvCW87YlYJQU_mFr6DRWqlnhRBgfkckOMoe3qCrkMb2TrZnTgrv', 'width': 1920}]",ChIJXwDV8S4vlYAR1WvRnrqzMAY,"{'compound_code': '7MXM+53 Visalia, CA, USA', 'global_code': '85827MXM+53'}",1.0,3.8,ChIJXwDV8S4vlYAR1WvRnrqzMAY,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",543.0,"2417 West Caldwell Avenue, Visalia",
OPERATIONAL,"{'location': {'lat': 36.3149108, 'lng': -119.3144226}, 'viewport': {'northeast': {'lat': 36.31625983029149, 'lng': -119.3130593197085}, 'southwest': {'lat': 36.31356186970849, 'lng': -119.3157572802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103847217887820523067"">Norm Fazekas</a>'], 'photo_reference': 'AW30NDwl9D-C_CAbEnNv5V6T76cM7Iw72eLLx-S6dpQruB3w9muN0oIfZ28-N9azH873-jDccVmPZvk_eHgCCrqGkPZXXYzbNwZRKi1A8olQThkPaxc89nHDhAv-iejZ6FFsultqPafsU4fbqDT8pMJvIJgszpyy4VcpkHUAy30WSJQT8a48', 'width': 3024}]",ChIJCyfHhUgvlYARiaNT3ktNf_Q,"{'compound_code': '8M7P+X6 Visalia, CA, USA', 'global_code': '85828M7P+X6'}",1.0,4.0,ChIJCyfHhUgvlYARiaNT3ktNf_Q,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",247.0,"1813 South Mooney Boulevard, Visalia",
OPERATIONAL,"{'location': {'lat': 36.3258772, 'lng': -119.3393127}, 'viewport': {'northeast': {'lat': 36.3273512302915, 'lng': -119.3379372697085}, 'southwest': {'lat': 36.3246532697085, 'lng': -119.3406352302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chuck E. Cheese,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102922055270264180344"">LKD Animatronics</a>'], 'photo_reference': 'AW30NDx_0zKhkoKGN-iDK8ZQ2IovpC0InrmKT9c8fgggGMJ2WnfPeVQwSKN2wlLK8nPrBU1Whb3GMGV3yrXiHdV3RODu036PksH-uAUZ4PPhLWMTXstgYCxSyDH5dBJpA6C2LbN8iglvL0WcrVRj8ORbXOgbYw-72sUebKJclek62LdYxMmD', 'width': 6000}]",ChIJoxT-dB0mlYAR3B0haOYZ3R8,"{'compound_code': '8MG6+97 Visalia, CA, USA', 'global_code': '85828MG6+97'}",2.0,3.9,ChIJoxT-dB0mlYAR3B0haOYZ3R8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1079.0,"4345 West Noble Avenue, Visalia",
OPERATIONAL,"{'location': {'lat': 36.3004958, 'lng': -119.3130884}, 'viewport': {'northeast': {'lat': 36.3017973302915, 'lng': -119.3117432697085}, 'southwest': {'lat': 36.2990993697085, 'lng': -119.3144412302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Carl's Jr.,{'open_now': True},"[{'height': 694, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105162044832250765483"">Carl&#39;s Jr.</a>'], 'photo_reference': 'AW30NDyUozUW47_-5udTkIh1-no05u3jyi3-xiA62sefpm_E38KB3EjTSvdUtZQq4ltWDfPz4yMEQujDwnNAU8FfIXw_fzQdgTGIVtenh7ejJ9lSEW9AFWXiNAvVMgvWYRmRxq8hxbG4Tm1mDnoVehWQvTmUiAYhYO87M0OQRAJ-rzOTk8N_', 'width': 1234}]",ChIJ_X3bgC8vlYART3dBPEahs_8,"{'compound_code': '8M2P+5Q Visalia, CA, USA', 'global_code': '85828M2P+5Q'}",1.0,3.8,ChIJ_X3bgC8vlYART3dBPEahs_8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",478.0,"3350 South Mooney Boulevard, Visalia",
OPERATIONAL,"{'location': {'lat': 36.3303942, 'lng': -119.292692}, 'viewport': {'northeast': {'lat': 36.33162933029151, 'lng': -119.2913320197085}, 'southwest': {'lat': 36.32893136970851, 'lng': -119.2940299802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103805566300624935423"">espresso</a>'], 'photo_reference': 'AW30NDyvIVkxzD9Tg5Wy5MrPpz1m7MQGud4l1F7zCApB3v87dGs-WdrM0meelnNSMJVYLUFczruvsWspm2VOgM0jVqv0UW2VgQ8ChmlRD5zmZ2w_58U_M0JkNUQphHnXhXTueThkisoTGb8iytHajkGs9iVZ7foGBw4x5duBaJbN2rRxCAdy', 'width': 4032}]",ChIJ_Sug_mQvlYAR2F5ROVFkWuI,"{'compound_code': '8PJ4+5W Visalia, CA, USA', 'global_code': '85828PJ4+5W'}",1.0,3.9,ChIJ_Sug_mQvlYAR2F5ROVFkWuI,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",72.0,"110 West Main Street F, Visalia",
OPERATIONAL,"{'location': {'lat': 36.3254797, 'lng': -119.3516168}, 'viewport': {'northeast': {'lat': 36.32691458029149, 'lng': -119.3502749697085}, 'southwest': {'lat': 36.32421661970849, 'lng': -119.3529729302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108678619375399963152"">Amanda Chandler</a>'], 'photo_reference': 'AW30NDxOoZF9INIWtiwhc3jZ448xW3wSTPx_8fzZFmYIm3pDtokDMLELqTJIdwSjL9chFmFiptCU-lWbCRMbTZKD6XaONkcyRUwsNKymP7GmYSuWlOVLboSQftmi_FEcnnCJ1-8ACBlKZ371EidZQODZN2knzJPHeTJwt0PZ4uQdrGdk67Fp', 'width': 3024}]",ChIJKcc5CSEmlYARXB7WMbaLI7s,"{'compound_code': '8JGX+59 Visalia, CA, USA', 'global_code': '85828JGX+59'}",1.0,4.1,ChIJKcc5CSEmlYARXB7WMbaLI7s,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",275.0,"5430 West Cypress Avenue, Visalia",
OPERATIONAL,"{'location': {'lat': 36.3241477, 'lng': -119.2768393}, 'viewport': {'northeast': {'lat': 36.3254268802915, 'lng': -119.2756547197085}, 'southwest': {'lat': 36.3227289197085, 'lng': -119.2783526802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100353470273600646703"">Jason Hou</a>'], 'photo_reference': 'AW30NDx5iMUlU2k6pClmZ6AVbqrHC4DL9FYk0ClqNuNBGbYuJo0a1QeawG6raf-bi9mHNGkFcfsbzRqQSho3AWrCdTtBKCxZw3uULs720hnJp7G5B19Dw_SaYLfImnRd3Ouo8Px76p4XXE-Ufc_BklYgerLOgsgGuk7hRMiQDFySsKb2VGv3', 'width': 4032}]",ChIJh_efW54vlYARnKbziCFUjqQ,"{'compound_code': '8PFF+M7 Visalia, CA, USA', 'global_code': '85828PFF+M7'}",1.0,3.5,ChIJh_efW54vlYARnKbziCFUjqQ,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",197.0,"1439 East Noble Avenue, Visalia",
OPERATIONAL,"{'location': {'lat': 36.331501, 'lng': -119.2975159}, 'viewport': {'northeast': {'lat': 36.3328142302915, 'lng': -119.2962630697085}, 'southwest': {'lat': 36.3301162697085, 'lng': -119.2989610302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Vintage Press Restaurante,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105120994075162428068"">John Clements</a>'], 'photo_reference': 'AW30NDzlJjTdwc7YUfx7ItNAOakb2aNMLWnK9FmkGv2lTUsjHc_PbBJIw1TN3QgdEf1iwNVAs4S-3Ou8hcIxQUg1OpjYHhFatMN2rFJ8hc7EnXP_8PvjCxKy9yF5pXIcYQJsxOXuc6TxDrev2wbCIHDs-CC83zzz3KQC1Ck_a_v5586svfsw', 'width': 4032}]",ChIJJ9lLy2YvlYARgff5ZBIJYJQ,"{'compound_code': '8PJ2+JX Visalia, CA, USA', 'global_code': '85828PJ2+JX'}",4.0,4.6,ChIJJ9lLy2YvlYARgff5ZBIJYJQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",685.0,"216 North Willis Street, Visalia",
OPERATIONAL,"{'location': {'lat': 36.32989810000001, 'lng': -119.2906706}, 'viewport': {'northeast': {'lat': 36.33138708029151, 'lng': -119.2893235197085}, 'southwest': {'lat': 36.32868911970851, 'lng': -119.2920214802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Brewbakers Brewing Co,{'open_now': True},"[{'height': 2906, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100484191363538571735"">Craig Baker</a>'], 'photo_reference': 'AW30NDxmAmdpKhJuy7TsZIuk2GvJkR8sV5yj9L_0nk6QB2nw1FNkVRMylzAiOrKWEvz-rGZzn_kbSHy171UItps78-7TjnZRuvAQYg1usXwZXfiimAqFDqhTDl078fuQEW9pRElGeCqtvi4J8WbjAyXaq7e0ZfgFyGdO3g7pwQTkA4S40kKL', 'width': 3874}]",ChIJxf4zLmUvlYARqqEfyrw4lFc,"{'compound_code': '8PH5+XP Visalia, CA, USA', 'global_code': '85828PH5+XP'}",2.0,4.5,ChIJxf4zLmUvlYARqqEfyrw4lFc,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",552.0,"219 East Main Street, Visalia",
OPERATIONAL,"{'location': {'lat': 36.2979501, 'lng': -119.3346414}, 'viewport': {'northeast': {'lat': 36.2992963302915, 'lng': -119.3334177197085}, 'southwest': {'lat': 36.29659836970851, 'lng': -119.3361156802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106887999800545506023"">Luis Herrera</a>'], 'photo_reference': 'AW30NDxPHaQL2V-dyFwaISGz-8dKeU0oshnE2kwLenrmawUCwVLLkwa-_zllfUeFnLEHNMx4Vkg4NCJnMz85BRJpmy6xWUu4OraNCLvsyqaT8hObVNZeQajGKXdjZ1GdqHYoqujNM5lN69xdxXp29hfUhVFiqTLLNNz_e3AD9vx2BTs1GP0x', 'width': 4032}]",ChIJxU1qS84olYAREUwX3r-mhzM,"{'compound_code': '7MX8+54 Visalia, CA, USA', 'global_code': '85827MX8+54'}",1.0,4.6,ChIJxU1qS84olYAREUwX3r-mhzM,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",60.0,"3927 West Caldwell Avenue, Visalia",
