business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity
OPERATIONAL,"{'location': {'lat': 31.582255, 'lng': -97.173936}, 'viewport': {'northeast': {'lat': 31.5834926302915, 'lng': -97.17269146970851}, 'southwest': {'lat': 31.5807946697085, 'lng': -97.17538943029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107212638671711695311"">JR WaCo (R.J. WaCo)</a>'], 'photo_reference': 'AW30NDx2qP214qyfuuecT37U0LghA0sOS26zdArmwdoCFaFQJXDZNmPBB-yM7vIUCQlKLxE_HVoCPAjZtV6WXpSWymmAMgFhFQFI4rlLQENf-aMG9t6E8QZ-vWNvpzTh_vHIMwz1neguwEtmPqtQIHlt8RoSIJd8RyiR6q6pykembUtEh6z7', 'width': 2560}]",ChIJvaFgSGGDT4YRd9OpsEbD7kg,"{'compound_code': 'HRJG+WC Waco, TX, USA', 'global_code': '8634HRJG+WC'}",1.0,4.2,ChIJvaFgSGGDT4YRd9OpsEbD7kg,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",200.0,"4001 North 19th Street, Waco"
OPERATIONAL,"{'location': {'lat': 31.5272395, 'lng': -97.1694718}, 'viewport': {'northeast': {'lat': 31.5285418802915, 'lng': -97.16826206970849}, 'southwest': {'lat': 31.5258439197085, 'lng': -97.17096003029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jason's Deli,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102903128403515402575"">Adam Voight</a>'], 'photo_reference': 'AW30NDwdSOEMpzJ7DB7lEztDHiKbTY-tCXDvm6oJByIyqW42GSA-SK2coLnCfh7AHckks2jdFW2ubkEpH155-OSj-mensSvfebmF-_UNtSTv5Ddx7ek_olhmsrNuhCwU0ThyBJY-YyU1CiH7r0R42w_-nyZMiAUDD1zEuZYYepegQXdH8w-3', 'width': 4000}]",ChIJFdJSUfqDT4YR8BAJMWPWLVg,"{'compound_code': 'GRGJ+V6 Waco, TX, USA', 'global_code': '8634GRGJ+V6'}",2.0,4.4,ChIJFdJSUfqDT4YR8BAJMWPWLVg,GOOGLE,"['restaurant', 'food', 'store', 'point_of_interest', 'establishment']",1119.0,"4302 West Waco Drive, Waco"
OPERATIONAL,"{'location': {'lat': 31.5337929, 'lng': -97.1906168}, 'viewport': {'northeast': {'lat': 31.5352221302915, 'lng': -97.18929961970849}, 'southwest': {'lat': 31.5325241697085, 'lng': -97.19199758029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101462883022424607577"">J C</a>'], 'photo_reference': 'AW30NDx0LCnrGPWeHbtXJpmJjfJKt_Ic05NC9OtHLCTI-RP0_QW8oyhlN7cj-AShIl7SN-62X2iHVHq7IQbOKB1gW_pDh5NdBdeKjPFNFqTQ7i5M11FwszhTWrCphdmR4XHY9wP93CRicrvX7LEfO2mD-bXM00wLiHsJzOJrw-5pCpZ-g8Rs', 'width': 4032}]",ChIJUzJx7hGET4YRpqe9jeP2sps,"{'compound_code': 'GRM5+GQ Waco, TX, USA', 'global_code': '8634GRM5+GQ'}",2.0,4.2,ChIJUzJx7hGET4YRpqe9jeP2sps,GOOGLE,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",775.0,"1428 Wooded Acres Drive, Lake Air Drive, Waco"
OPERATIONAL,"{'location': {'lat': 31.53170450000001, 'lng': -97.1933152}, 'viewport': {'northeast': {'lat': 31.5330672802915, 'lng': -97.19177731970848}, 'southwest': {'lat': 31.53036931970851, 'lng': -97.19447528029148}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118119405563730753263"">Joe Sanchez</a>'], 'photo_reference': 'AW30NDw1zajRLLU5eTjUz4_ZvICucl9a9ktjEMJ_MFM6dsFwKP9rxaWL_kFiEyyhZ0ITm0ddCnazBb4mw7Hd-FK7zG1sZT-VxLXLzvSulgmLw5bnnIoNg58UdjPFEv9ahMsN38-qpgG0puzVWhzoxljKhE_SZjqaE_U0sVAzaTN4WEk8hdOr', 'width': 3024}]",ChIJa3-9FhGET4YRpQnyfRsoop0,"{'compound_code': 'GRJ4+MM Waco, TX, USA', 'global_code': '8634GRJ4+MM'}",1.0,4.2,ChIJa3-9FhGET4YRpQnyfRsoop0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",507.0,"5530 Bosque Boulevard, Waco"
OPERATIONAL,"{'location': {'lat': 31.5298794, 'lng': -97.18626719999999}, 'viewport': {'northeast': {'lat': 31.5312594802915, 'lng': -97.18509986970848}, 'southwest': {'lat': 31.5285615197085, 'lng': -97.1877978302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Uncle Dan's BBQ & Ribhouse,{'open_now': True},"[{'height': 432, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107673071062104593952"">Uncle Dan&#39;s BBQ &amp; Ribhouse</a>'], 'photo_reference': 'AW30NDzz2j1UA1I4KznSbBFR8Ai5-aPpH1JCL1KSB1Tiw8KL-CX8PRz-EjTLmk1QrtmHEyXdmMWfLdm-U_e7PwSgu2nBharQoeOe7oYwbW_3kWLJIXq1nusgES2d6KhvqBuwTgS8U8YZeV9gcl4Ox9iZLI-Oza-YahfqdjlyjOmigW6ZO0bS', 'width': 432}]",ChIJ9YSkZw-ET4YRXaTeus6XmG8,"{'compound_code': 'GRH7+XF Waco, TX, USA', 'global_code': '8634GRH7+XF'}",2.0,4.2,ChIJ9YSkZw-ET4YRXaTeus6XmG8,GOOGLE,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",810.0,"1001 Lake Air Drive, Waco"
OPERATIONAL,"{'location': {'lat': 31.5252052, 'lng': -97.1639024}, 'viewport': {'northeast': {'lat': 31.52666278029149, 'lng': -97.16266751970849}, 'southwest': {'lat': 31.52396481970849, 'lng': -97.1653654802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cheddar's Scratch Kitchen,{'open_now': True},"[{'height': 2912, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102903128403515402575"">Adam Voight</a>'], 'photo_reference': 'AW30NDwf54vE0Q9QIGF2Y4_JfZhsFok_YF0JJcDhX8bJ4lsfCP99vDStUDou8kY2bhj-n-5DHWvKnZzcgh_l6OlW4IRE0_8hz8G4HwvlhCkUqwfGno-89xMgM7nXxeDiouAf7tjHgouc8j9ITneGwJpQSttfuVKAfm-5PHpUDaLnbjesFHfS', 'width': 3883}]",ChIJDVigDuSDT4YR2moq-MUtZUM,"{'compound_code': 'GRGP+3C Waco, TX, USA', 'global_code': '8634GRGP+3C'}",2.0,4.0,ChIJDVigDuSDT4YR2moq-MUtZUM,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2584.0,"4208 Franklin Avenue, Waco"
OPERATIONAL,"{'location': {'lat': 31.52988099999999, 'lng': -97.17699499999999}, 'viewport': {'northeast': {'lat': 31.5310390302915, 'lng': -97.1756270697085}, 'southwest': {'lat': 31.5283410697085, 'lng': -97.1783250302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Poppa Rollo's Pizza,{'open_now': True},"[{'height': 2400, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111319013344079934621"">Poppa Rollo&#39;s Pizza</a>'], 'photo_reference': 'AW30NDxys842CYGk1V2Px9qoPXHxcTaymsyOQJb9qvXY45WG-qbsBl2m7GrIysBuxHsgZqbhfs0K8Tl95SdsYY75FUf9kHHypCF3R4ZTrV00LyF7SwLGbceCg0Ipfyz-p0AmWmItbmecXYDSd6kGA69AmuLeZf5p_V1CcoJBmd5nZS_E5GLZ', 'width': 3600}]",ChIJozoeJ_iDT4YRuMS5Qwi_Ibw,"{'compound_code': 'GRHF+X6 Waco, TX, USA', 'global_code': '8634GRHF+X6'}",2.0,4.4,ChIJozoeJ_iDT4YRuMS5Qwi_Ibw,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1802.0,"703 North Valley Mills Drive, Waco"
OPERATIONAL,"{'location': {'lat': 31.5297208, 'lng': -97.1819319}, 'viewport': {'northeast': {'lat': 31.5311952802915, 'lng': -97.18053756970848}, 'southwest': {'lat': 31.5284973197085, 'lng': -97.1832355302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Baris,{'open_now': False},"[{'height': 2692, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103512813020041271737"">Jason Kelling</a>'], 'photo_reference': 'AW30NDwawERzgH1HUB2CrhW9mEhbeXKvPtJjRifYpNQBX5aACZFK5aRVmIl-B66drqbFcwgOU0rRCQEmnIKstrdNArmItrZ9HGkir19YEcFMd371yobcptZWiQlz4X9IfkWRPnz9c9o1FZJGcgu1RmaSYnAvNSAr96gCcNAKYCeCSL63QNa9', 'width': 5942}]",ChIJd1MXgQiET4YRQNCnf0jGNHk,"{'compound_code': 'GRH9+V6 Waco, TX, USA', 'global_code': '8634GRH9+V6'}",1.0,4.6,ChIJd1MXgQiET4YRQNCnf0jGNHk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1746.0,"904 North Valley Mills Drive, Waco"
OPERATIONAL,"{'location': {'lat': 31.5560764, 'lng': -97.1331496}, 'viewport': {'northeast': {'lat': 31.5575827302915, 'lng': -97.1319140197085}, 'southwest': {'lat': 31.5548847697085, 'lng': -97.13461198029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Cafe Cappuccino,{'open_now': False},"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115622473235800033596"">Angel Gonzalez</a>'], 'photo_reference': 'AW30NDyS9W8DY6J2KpXkU7_PwK2na75wgyidgl1gKIu27onRdD0VeWibM_wWI0Q7AUE4_EI9Ii56PwrVhtvXvhOC45L4gfVQZdpQkZ-oHEBpRBEDeLDHDXckWz7Qp_27yoDDt4dAXECD_sWFdV51MLuXxxDhn7-aXDDlf24ywu08Zdq1gEYp', 'width': 2560}]",ChIJ_XkeYVKCT4YRToifiKXwv0w,"{'compound_code': 'HV48+CP Waco, TX, USA', 'global_code': '8634HV48+CP'}",2.0,4.1,ChIJ_XkeYVKCT4YRToifiKXwv0w,GOOGLE,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",587.0,"100 North 6th Street #101, Waco"
OPERATIONAL,"{'location': {'lat': 31.5243053, 'lng': -97.178276}, 'viewport': {'northeast': {'lat': 31.5255405302915, 'lng': -97.17711576970848}, 'southwest': {'lat': 31.5228425697085, 'lng': -97.1798137302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Skate Waco,{'open_now': False},"[{'height': 2269, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105692332666432070925"">Skate Waco</a>'], 'photo_reference': 'AW30NDwQ7Zcdx_k_Mjrma770RPtJ0NQncApxLg4jHOcoooxCPX6LQmGJWd7yi_9GpsshNgEGvG4KY65Kumrt9HQ3M8aRnGX4_kqsDUgOS0rmWVERuFMm5Q2Wzj53B21nPYdHKiTvUo_kaNNrj47PLzSN6FlIaBQBaZkuVMcABh67U4lMLO05', 'width': 4032}]",ChIJ624hsfiDT4YRfElT-1o1yv0,"{'compound_code': 'GRFC+PM Waco, TX, USA', 'global_code': '8634GRFC+PM'}",,4.1,ChIJ624hsfiDT4YRfElT-1o1yv0,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",462.0,"401 Towne Oaks Drive, Waco"
