business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 42.51855219999999, 'lng': -83.02798539999999}, 'viewport': {'northeast': {'lat': 42.5199851802915, 'lng': -83.02671051970849}, 'southwest': {'lat': 42.5172872197085, 'lng': -83.02940848029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115516996546500572372"">Armita</a>'], 'photo_reference': 'AW30NDxedlXyJD1Qln5l3kExDXT8_PpivOAL018ZwR92EwN4nM6_yjO8QfdXh5wG207_u70wL5tJ2FRKfdz6UefjKggL1yYhSWSwm82j0yri6Ux-rWKcJhoiBDafa30jHtuS2KO3DhtXIfOIFh8VlIIUNkM4WXSOIfXEpdBvBARUzut2u87q', 'width': 3024}]",ChIJK0h38VzaJIgRUQ6FBcOqYH8,"{'compound_code': 'GX9C+CR Warren, MI, USA', 'global_code': '86JRGX9C+CR'}",2.0,3.9,ChIJK0h38VzaJIgRUQ6FBcOqYH8,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3567.0,"30600 Van Dyke Avenue, Warren",
OPERATIONAL,"{'location': {'lat': 42.4908992, 'lng': -83.0071979}, 'viewport': {'northeast': {'lat': 42.4923509302915, 'lng': -83.00583516970849}, 'southwest': {'lat': 42.4896529697085, 'lng': -83.0085331302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tim Hortons,{'open_now': True},"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103061497852606330821"">Alosani</a>'], 'photo_reference': 'AW30NDwf9jaAJyVuo1V2HKN8gcyM5OHUY2z6eIyavmX_ex9lzWuL6NH60eXn2yH49oKtTp6jbOObqnLnQLFZ3k31F12B_1u0pvWsBs4q3yE3S3hL5Aj1Q53-OcyuK4L6ZVoOzUnJ-YuerSPftjgTC7o8YCU_VuAbrEainHd5EG4P5Q7nPq2M', 'width': 4000}]",ChIJnZEI86bQJIgRoAE552GR-yY,"{'compound_code': 'FXRV+94 Warren, MI, USA', 'global_code': '86JRFXRV+94'}",1.0,3.7,ChIJnZEI86bQJIgRoAE552GR-yY,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",621.0,"26807 Hoover Road, Warren",
OPERATIONAL,"{'location': {'lat': 42.482403, 'lng': -83.00672}, 'viewport': {'northeast': {'lat': 42.4837500302915, 'lng': -83.00529091970849}, 'southwest': {'lat': 42.4810520697085, 'lng': -83.00798888029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104637221464530474200"">Thomal A</a>'], 'photo_reference': 'AW30NDyJmQg4gj8zG9s2dBJNnrxA507-STnpSsChN74JK_DPkAXSzjWuldaRkCcSTCEhwjgqq0Na80jB4xaELrDATej6-Srw-rOx1zS0y23PrGYELM-viYMK2ubnt8int6CJZcrOZWHZgak14fkXNDFhNK4316hJhYdxA4qdcz9lyaUCoLB6', 'width': 4032}]",ChIJ1flo06XQJIgRE8_Q4tq0Wmg,"{'compound_code': 'FXJV+X8 Warren, MI, USA', 'global_code': '86JRFXJV+X8'}",1.0,3.6,ChIJ1flo06XQJIgRE8_Q4tq0Wmg,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",1164.0,"25515 Hoover Road, Warren",
OPERATIONAL,"{'location': {'lat': 42.5062732, 'lng': -83.02790189999999}, 'viewport': {'northeast': {'lat': 42.5075915302915, 'lng': -83.0266282197085}, 'southwest': {'lat': 42.5048935697085, 'lng': -83.0293261802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113035218087382063021"">Anonymous Uddin</a>'], 'photo_reference': 'AW30NDzhhAHVqqGX8Wso_DwwLAXvgaDbL5m6ErdGy6_SQPVVlYFrlgZR7CyNa-Hg-e2Ta2FV32VkEPw8Q4GQqEtEL0upt7KLCxmkXwb2ZnPMh1ZSjP31c6_X7xrjh54sjuTeqBQBD6m4vMaWXLFx7GjpJQWJFY8fvVojqVQE2PaEiyLprFo_', 'width': 6000}]",ChIJsZYZ2WTaJIgR_GV0XBi2h3g,"{'compound_code': 'GX4C+GR Warren, MI, USA', 'global_code': '86JRGX4C+GR'}",1.0,3.3,ChIJsZYZ2WTaJIgR_GV0XBi2h3g,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",330.0,"28950 Van Dyke Avenue, Warren",
OPERATIONAL,"{'location': {'lat': 42.5077188, 'lng': -83.04748219999999}, 'viewport': {'northeast': {'lat': 42.5091165302915, 'lng': -83.04598691970848}, 'southwest': {'lat': 42.5064185697085, 'lng': -83.04868488029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Buffalo Wild Wings,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117215273427348083279"">Danny Bannigan</a>'], 'photo_reference': 'AW30NDxK1R8X8B1WEoGwsBChaP5fjpz81poj5ciQhIb-POCuydWj64SrUMwTvuG4II7WSadCoV9VHwnViRUkCWru9YAJj3crXidV94hUcCcw3qTiBnzPGDVGxpZ5vK9nJIE3klN51sMfU5690-SxauzgjzqJuCR_DbG8HTng7J3hQnQXQxtg', 'width': 4032}]",ChIJ9zBqbpDaJIgRXy2sQ6SH5S4,"{'compound_code': 'GX53+32 Warren, MI, USA', 'global_code': '86JRGX53+32'}",2.0,3.9,ChIJ9zBqbpDaJIgRXy2sQ6SH5S4,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2271.0,"29287 Mound Road, Warren",
OPERATIONAL,"{'location': {'lat': 42.4632579, 'lng': -83.03062129999999}, 'viewport': {'northeast': {'lat': 42.4644680802915, 'lng': -83.0292205697085}, 'southwest': {'lat': 42.4617701197085, 'lng': -83.0319185302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2992, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110897018232689814664"">Jermaine Walker</a>'], 'photo_reference': 'AW30NDyJCe9EfrU96Hn3P-ok8EYsGfUEX01DUoBrpPJAHEspXf-Zv8y5_ivBoBG4DAeqJTXjejQ1jc3YjRe-JaEdfvzvByo_TEAHy10HvJyiW1qf_2x8x4VAOmDYNbHADhiWjscxOp7XZFdYmt8ZEg37XiJziw9gdET0LigPHv79p9Yx6BlA', 'width': 2992}]",ChIJXZ1q3fvQJIgRCGbF4QLIW9o,"{'compound_code': 'FX79+8Q Warren, MI, USA', 'global_code': '86JRFX79+8Q'}",1.0,3.6,ChIJXZ1q3fvQJIgRCGbF4QLIW9o,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",217.0,"7221 East 9 Mile Road, Warren",
OPERATIONAL,"{'location': {'lat': 42.5082061, 'lng': -83.0063211}, 'viewport': {'northeast': {'lat': 42.50955228029151, 'lng': -83.00509411970849}, 'southwest': {'lat': 42.50685431970851, 'lng': -83.0077920802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hungry Howie's Pizza,{'open_now': True},"[{'height': 917, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104522485829406837933"">Hungry Howie&#39;s Pizza</a>'], 'photo_reference': 'AW30NDxjIjO1IJ9hwAWOG5GuQ9utBuOq1aAGc40SqfezpAwG6oPliHzJ65rEkRc-bN5epjDRlftpEnXmUlyZR2tNe34GzYmU-CbTdvKcN7opWju-iwods7WAoEv66fmnCCSy87etZoPxHeqkRyvi82mV7mmqQaHwTBKbAlcScTO5CIl_pBBa', 'width': 1614}]",ChIJgc2mJhHaJIgRTGjSCxyM1Q0,"{'compound_code': 'GX5V+7F Warren, MI, USA', 'global_code': '86JRGX5V+7F'}",1.0,4.2,ChIJgc2mJhHaJIgRTGjSCxyM1Q0,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",276.0,"29142 Hoover Road, Warren",
OPERATIONAL,"{'location': {'lat': 42.50662870000001, 'lng': -83.00855659999999}, 'viewport': {'northeast': {'lat': 42.5081872802915, 'lng': -83.00735241970848}, 'southwest': {'lat': 42.50548931970851, 'lng': -83.01005038029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Amarin Thai Cuisine,{'open_now': True},"[{'height': 2000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104043933642690255760"">Amarin Thai Cuisine</a>'], 'photo_reference': 'AW30NDz3P5Wh3Qq7trbx6QyCgpY6RtKvMDMbafUgosnR_YfzA7ldEIb0b19P4yyWytuyf8RnU0iM9KYp0ebSQ2Vgq1lr_sAiflSK_ACPI2gWtXsrDHFfIQ63WHx82vUAzM_U_e9vX2g9_lxpLrEFcLxtsvn-8KuJuW6d7aQ0sKs9SXpiQ-Zd', 'width': 3000}]",ChIJsbDVdhHaJIgR_rzsq8xjsB8,"{'compound_code': 'GX4R+MH Warren, MI, USA', 'global_code': '86JRGX4R+MH'}",1.0,4.5,ChIJsbDVdhHaJIgR_rzsq8xjsB8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",765.0,"11528 Twelve Mile Road, Warren",
OPERATIONAL,"{'location': {'lat': 42.513919, 'lng': -83.0258087}, 'viewport': {'northeast': {'lat': 42.5151316802915, 'lng': -83.0243972697085}, 'southwest': {'lat': 42.5124337197085, 'lng': -83.02709523029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Picasso's At Four Points,,,ChIJh7Nf52faJIgR4Kcgx9r1bns,"{'compound_code': 'GX7F+HM Warren, MI, USA', 'global_code': '86JRGX7F+HM'}",,2.7,ChIJh7Nf52faJIgR4Kcgx9r1bns,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3.0,"30000 Van Dyke Avenue Fl 1, Warren",
OPERATIONAL,"{'location': {'lat': 42.5062104, 'lng': -82.987901}, 'viewport': {'northeast': {'lat': 42.5076359802915, 'lng': -82.9865326697085}, 'southwest': {'lat': 42.5049380197085, 'lng': -82.9892306302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tim Hortons,{'open_now': True},"[{'height': 1192, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112488154875001959812"">Tim Hortons</a>'], 'photo_reference': 'AW30NDxiQI6n5949fKF09BsaUS6K_jsCv7Qua0DInG89CRVrPwarb7QvrEdm5k6oh8rF5rN6dhH_kJZVFeqpn7w9HjjoFDH8PGWXp42Tk9MLXIhNewmPk0Shb2Iy0qEZZOP90Jz_ZFEYLsfkTwghMbEDm6VuMhOzhG276XfsJ2ZoLEmfrzye', 'width': 2120}]",ChIJKegqLvHZJIgRwz6itIeDCk4,"{'compound_code': 'G246+FR Warren, MI, USA', 'global_code': '86JVG246+FR'}",1.0,3.6,ChIJKegqLvHZJIgRwz6itIeDCk4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",613.0,"28877 Schoenherr Road, Warren",
