business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 38.89713190000001, 'lng': -77.009338}, 'viewport': {'northeast': {'lat': 38.8984857302915, 'lng': -77.00786641970849}, 'southwest': {'lat': 38.8957877697085, 'lng': -77.0105643802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Phoenix Park Hotel,{'open_now': True},"[{'height': 3722, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109390776492073043229"">Phoenix Park Hotel</a>'], 'photo_reference': 'AW30NDw1-w6lHymUOcaMCFRbQGFE2izxxjhS_bskm5SvBICY0mBHq_Xxownnel1yFd6ZafHO8UWWORpVbJVuafr9kHa2CgjwDyiLo8rtQ9Hz-VrDr1Wu_ngXIDmbYojAB6acfi8ioxp6whREpaZS1pNx9ujmKnF8t6K8Xe21hhsIBudDps8', 'width': 6223}]",ChIJgUBIQSe4t4kRK8imvFUZbYs,"{'compound_code': 'VXWR+V7 Washington, DC, USA', 'global_code': '87C4VXWR+V7'}",4.4,ChIJgUBIQSe4t4kRK8imvFUZbYs,GOOGLE,"['lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1533.0,"520 North Capitol Street Northwest, Washington",,
OPERATIONAL,"{'location': {'lat': 38.89885599999999, 'lng': -77.0236458}, 'viewport': {'northeast': {'lat': 38.8999992302915, 'lng': -77.0223520697085}, 'southwest': {'lat': 38.8973012697085, 'lng': -77.02505003029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Zaytinya by José Andrés,{'open_now': True},"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118429381734607593042"">Zaytinya by José Andrés</a>'], 'photo_reference': 'AW30NDzlo_KuN-x_refd5EkpkpIe4wsB6UvM2f73XGJj9UzZVp3TpqtWUWq-MEDq2hM3IfoByy1yFdD3UaJjS0Nyd4Y8AeU0SxJX0FVMbxkl5BfKaNHLP2oojxyl1DhBmeaxhB3P1B-Z5v3TSDQQBAiRKWInb6psfGu-_PSSmzcGC0QSqout', 'width': 1600}]",ChIJ3_mSkpG3t4kRDEWpol01OrI,"{'compound_code': 'VXXG+GG Washington, DC, USA', 'global_code': '87C4VXXG+GG'}",4.5,ChIJ3_mSkpG3t4kRDEWpol01OrI,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",5780.0,"701 9th Street Northwest, Washington",3.0,
OPERATIONAL,"{'location': {'lat': 38.8949111, 'lng': -77.0212804}, 'viewport': {'northeast': {'lat': 38.8962023802915, 'lng': -77.01993726970849}, 'southwest': {'lat': 38.8935044197085, 'lng': -77.0226352302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Rasika,{'open_now': True},"[{'height': 1868, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110836547999879663565"">RDS</a>'], 'photo_reference': 'AW30NDyhYBTygwB9You6OUDTqGMcibui44JfSxCpUUK7sAf0H6JXdt3pTF3X2-_96KSbRXRY-t33CfsssQVg3GZ04tBTbxdPHuZNTWxIPdTigN4eLBqZWjMLKd9WJS6WitpI6k5h9xbC9OIIaqXUBhnRFLsQrnVLzrT1LbLKQiniWvuLJfOh', 'width': 4000}]",ChIJJbjP-o-3t4kRpnr_gpNc4pE,"{'compound_code': 'VXVH+XF Washington, DC, USA', 'global_code': '87C4VXVH+XF'}",4.4,ChIJJbjP-o-3t4kRpnr_gpNc4pE,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2700.0,"633 D Street Northwest, Washington",3.0,
OPERATIONAL,"{'location': {'lat': 38.8950104, 'lng': -77.0217449}, 'viewport': {'northeast': {'lat': 38.8963609302915, 'lng': -77.0204767197085}, 'southwest': {'lat': 38.8936629697085, 'lng': -77.02317468029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Oyamel Cocina Mexicana,{'open_now': True},"[{'height': 522, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103459731693070022566"">Oyamel Cocina Mexicana</a>'], 'photo_reference': 'AW30NDxVMvvU18nWuwpMfQgGotPxJZ7edBg92bMXqnexdaMLlVECEdr0Z50MiEA8eD8K_8nsoenUdJCET_Gyi8nOiAFCcg7lgpNUnoCY_6BLdTyt9EVUfQqvMFUqV-nBNrYfWLs_KVBhcddHpiwRaa97hxEXYmT95P2ZC0VT1QJda_rEj_o-', 'width': 800}]",ChIJvfdr_Y-3t4kRN-8elI5NN6g,"{'compound_code': 'VXWH+28 Washington, DC, USA', 'global_code': '87C4VXWH+28'}",4.4,ChIJvfdr_Y-3t4kRN-8elI5NN6g,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",4490.0,"401 7th Street Northwest, Washington",2.0,
OPERATIONAL,"{'location': {'lat': 38.9004018, 'lng': -77.0216149}, 'viewport': {'northeast': {'lat': 38.90175128029151, 'lng': -77.0204200197085}, 'southwest': {'lat': 38.89905331970851, 'lng': -77.0231179802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Nando's PERi-PERi,{'open_now': True},"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104209948980934307827"">Nando&#39;s PERi-PERi</a>'], 'photo_reference': 'AW30NDwilI0x2to1Gj9Y8GTytanvPX8LheZ2_OcVhOQfi0xYWl0bUWmXukyn-lmLRDr-SdpAvQPbVKsH5szBZ2EYz39br_gQRo1Dy-655jd9BJ5GMzhBH9W63Ro0OHbjPqVrVELboBhB9LcBKEXlDegtmHWKRpEG8YX6sHJsIcQAWcgYc7DT', 'width': 1084}]",ChIJ2Utk9o23t4kRyA8iO6xEUOA,"{'compound_code': 'WX2H+59 Washington, DC, USA', 'global_code': '87C4WX2H+59'}",4.4,ChIJ2Utk9o23t4kRyA8iO6xEUOA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2191.0,"819 7th Street Northwest, Washington",2.0,
OPERATIONAL,"{'location': {'lat': 38.8951186, 'lng': -77.02207779999999}, 'viewport': {'northeast': {'lat': 38.8964684802915, 'lng': -77.02064611970849}, 'southwest': {'lat': 38.8937705197085, 'lng': -77.0233440802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hill Country Barbecue Market,{'open_now': True},"[{'height': 1800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109148342215376533937"">Hill Country Barbecue Market</a>'], 'photo_reference': 'AW30NDzFBqxLRW0vIKhmZfA_KrIvzvhnMa3Bmu9o39n3nebUAUuNUqGUR-2HkAcloPQ147H0YhvouOY1fgtl3IaF79oZL5lKtLoQIanYATWHrhG-zMXMiRwAb2PP5Pm1Ij_C4TPm77sNcYDOZDHDizPVuohC6ThVXvp_Tw85r3li5WGJ1758', 'width': 2700}]",ChIJe5MLHZC3t4kR2vSRI_7F0vw,"{'compound_code': 'VXWH+25 Washington, DC, USA', 'global_code': '87C4VXWH+25'}",4.2,ChIJe5MLHZC3t4kR2vSRI_7F0vw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3386.0,"410 7th Street Northwest, Washington",2.0,
OPERATIONAL,"{'location': {'lat': 38.90223710000001, 'lng': -77.0180877}, 'viewport': {'northeast': {'lat': 38.9037319302915, 'lng': -77.0167385697085}, 'southwest': {'lat': 38.9010339697085, 'lng': -77.0194365302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Busboys and Poets,{'open_now': True},"[{'height': 451, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117895531671394765322"">Busboys and Poets</a>'], 'photo_reference': 'AW30NDxQoHaloEV8o3-wEigUzi1cHjtyUEYm9BJvdxtWgxksAcav1j7Nl4InmUnt7aBdO2VI2qhx9xmxTBvHlGe2WwBwvn4RpFsKysWJG91hqlynT6z9yWBieq9CboSHVNrCQjEhlAp_7n88Z9nHDKXrjG4F5XKjhTqGthwRvw0tgzgXSI6T', 'width': 600}]",ChIJ2TVI4Yy3t4kRWDjaOE-LISc,"{'compound_code': 'WX2J+VQ Washington, DC, USA', 'global_code': '87C4WX2J+VQ'}",4.3,ChIJ2TVI4Yy3t4kRWDjaOE-LISc,GOOGLE,"['art_gallery', 'book_store', 'cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",2989.0,"450 K Street Northwest, Washington",2.0,
OPERATIONAL,"{'location': {'lat': 38.8959259, 'lng': -77.0222721}, 'viewport': {'northeast': {'lat': 38.89735753029149, 'lng': -77.02078216970848}, 'southwest': {'lat': 38.89465956970849, 'lng': -77.0234801302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jaleo by José Andrés,{'open_now': True},"[{'height': 308, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107325313012802046958"">Jaleo by José Andrés</a>'], 'photo_reference': 'AW30NDxTNg0rddLhq4cno5EESkus8ENSbO-iNK0P0BOJQVS18YPxY5wzyzmgCfCJDkKGZWyQNb5Ta5zpgdWdBGDyzm1C9hbNnmqd_pRkijVKGjGqLFRSqYoKB1kmKYzncTWvJv_RCkMhfQbdNBzPLL85EtnyFTsOY1IVBeDkFvqkMkJS3k_0', 'width': 851}]",ChIJLQH_IJC3t4kRZLetUEiw_Lw,"{'compound_code': 'VXWH+93 Washington, DC, USA', 'global_code': '87C4VXWH+93'}",4.4,ChIJLQH_IJC3t4kRZLetUEiw_Lw,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3406.0,"480 7th Street Northwest, Washington",3.0,
OPERATIONAL,"{'location': {'lat': 38.8989371, 'lng': -77.02130489999999}, 'viewport': {'northeast': {'lat': 38.9002369802915, 'lng': -77.02026881970849}, 'southwest': {'lat': 38.8975390197085, 'lng': -77.0229667802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Clyde's of Gallery Place,{'open_now': True},"[{'height': 1363, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113191273299037437135"">Clyde&#39;s of Gallery Place</a>'], 'photo_reference': 'AW30NDyPTDxc__w8HklHcBlbY2e3CUuvsjZBA5T4yD0Y5drycE4a9mvVQ6qa_J71Vn8h6ky3esQgbFXteITMVoQwQVI3oUfSdfCwxkvREu0p4BpMV5CmsoFqbMotvZJPpoF0iPGwFwAjnRn6kkitv4dzNTmXZadwXv1hwiRHHZBIa2WT4hie', 'width': 2048}]",ChIJX2DN_423t4kRXPqouiDTazQ,"{'compound_code': 'VXXH+HF Washington, DC, USA', 'global_code': '87C4VXXH+HF'}",4.3,ChIJX2DN_423t4kRXPqouiDTazQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2864.0,"707 7th Street Northwest, Washington",2.0,
OPERATIONAL,"{'location': {'lat': 38.89714110000001, 'lng': -77.0275873}, 'viewport': {'northeast': {'lat': 38.89859578029151, 'lng': -77.0262643697085}, 'southwest': {'lat': 38.89589781970851, 'lng': -77.0289623302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Ristorante TOSCA,{'open_now': True},"[{'height': 400, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113139567107247864045"">Ristorante TOSCA</a>'], 'photo_reference': 'AW30NDwGy0BBMET7tqGBojpDv8pidk6wPnNvMFPTKZbvMolM7aZsMVwtNxGtu1K5O3j-njV6tmqTXG8rwy-eh6v-5myeLrWryw61LK-SuQ44hWaUDG-LmUtSNfCc2WXllp-i_QcGm72vMYwvc0yyZADC9UFSsMKLeuJ4beohe-5jswqcHM5f', 'width': 400}]",ChIJdRoU1JC3t4kRaRCnXV0YIgw,"{'compound_code': 'VXWC+VX Washington, DC, USA', 'global_code': '87C4VXWC+VX'}",4.4,ChIJdRoU1JC3t4kRaRCnXV0YIgw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",415.0,"1112 F Street Northwest, Washington",3.0,
