business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 34.070226, 'lng': -117.889018}, 'viewport': {'northeast': {'lat': 34.0716462802915, 'lng': -117.8876910197085}, 'southwest': {'lat': 34.0689483197085, 'lng': -117.8903889802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,85C Bakery Cafe - West Covina,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113346600774418770638"">Shawn Solis</a>'], 'photo_reference': 'AW30NDwDaQ9Tx0ihn1-sRqsXR5zRIOrBuTlDqRwRgUqq3Up1e9Z7j_ZPEVrgH95rpPYWy4s-cmMq7iphSPdo1j_OwrdoqxEzNaUjiMv__rR68DS1C60jKLPQGzYNdmHxjmraHwdvxB7TlT1np9MvNnjhbGogf-G2vkqMllE7Wwbm5Fz7Xloh', 'width': 5312}]",ChIJK2Zajq0pw4ARjJ6rta1Tw0A,"{'compound_code': '34C6+39 West Covina, CA, USA', 'global_code': '856434C6+39'}",1.0,4.5,ChIJK2Zajq0pw4ARjJ6rta1Tw0A,GOOGLE,"['bakery', 'cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",1246.0,"2626 East Garvey Avenue South, West Covina",
OPERATIONAL,"{'location': {'lat': 34.0327256, 'lng': -117.915506}, 'viewport': {'northeast': {'lat': 34.0340126302915, 'lng': -117.9140645697085}, 'southwest': {'lat': 34.0313146697085, 'lng': -117.9167625302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1893, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109668874662539536710"">DBL.G.</a>'], 'photo_reference': 'AW30NDy_JTyIO2Qy97TZEiqBcmNYBEshieeQnOQBFb_fCox5bwKxVMXJwHZvkYLWd92xllyRKYdhgabS_oFifO8t9hFE33WTUitcBeG5n8wBEG501nh_cZk5lvkrjf7Vu0D1jPAWLfQ2Rp1Qbkb9hAmeG6vtCwgxU8-JKTNalWaWNjrQmzXh', 'width': 2524}]",ChIJk7NAl_kpw4ARyOp9nBhOCAg,"{'compound_code': '23MM+3Q West Covina, CA, USA', 'global_code': '856423MM+3Q'}",1.0,4.3,ChIJk7NAl_kpw4ARyOp9nBhOCAg,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",93.0,"2427 South Azusa Avenue, West Covina",
OPERATIONAL,"{'location': {'lat': 34.0353917, 'lng': -117.912538}, 'viewport': {'northeast': {'lat': 34.0367906802915, 'lng': -117.9111906697085}, 'southwest': {'lat': 34.0340927197085, 'lng': -117.9138886302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wendy's,{'open_now': True},"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102458844847013968344"">The Rule of Justice</a>'], 'photo_reference': 'AW30NDz2tmoWBxM6nNsh_cNjKvM6fHZ0Nmk5ONn7qRjprequhm_HWe55ycZmV5AUxm8axf-lQ-M_RiiJAUuyiwPWO6IjxcW1GR7qKMnMELERNmRk2T4NQv653ywW1xv4Klvl3Tiii5HssxfZxJhW3oUJ_d3PYMJkahbMLWJ0XPkZYLNziuGc', 'width': 5504}]",ChIJUfhMcPApw4AR4gXTIWdjDaA,"{'compound_code': '23PP+5X West Covina, CA, USA', 'global_code': '856423PP+5X'}",1.0,4.1,ChIJUfhMcPApw4AR4gXTIWdjDaA,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",807.0,"2300 South Azusa Avenue, West Covina",
OPERATIONAL,"{'location': {'lat': 34.0317832, 'lng': -117.913168}, 'viewport': {'northeast': {'lat': 34.0330604302915, 'lng': -117.9118530697085}, 'southwest': {'lat': 34.0303624697085, 'lng': -117.9145510302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chowking,{'open_now': True},"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116850928805037404718"">J G</a>'], 'photo_reference': 'AW30NDxKNeS4fc0v2lc1MeE0jXQYYNhDeq-zq6sXjdEUR5EGy8-Sf5v0tNGbfasoThqLpwLBD2FpXjkXJgMLMxVnZIY_hV58TIvCTjFxqiLyKNKc660nL-mpT_UTeGytzz_vYWs5aTED4PvSngbledcGf91f-Wn9pd0lYKB-Fl1vpBIUTmSh', 'width': 3072}]",ChIJNzi4Vfcpw4AR2vhy72ZpVhk,"{'compound_code': '23JP+PP West Covina, CA, USA', 'global_code': '856423JP+PP'}",1.0,3.8,ChIJNzi4Vfcpw4AR2vhy72ZpVhk,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",145.0,"1525 Amar Road B, West Covina",
OPERATIONAL,"{'location': {'lat': 34.0358868, 'lng': -117.9123135}, 'viewport': {'northeast': {'lat': 34.0373310802915, 'lng': -117.9109209197085}, 'southwest': {'lat': 34.0346331197085, 'lng': -117.9136188802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Round Table Pizza,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117332460615282440780"">Paul Flores</a>'], 'photo_reference': 'AW30NDz-0mAX8TuNOl_I7_gI8Sfr1Gb4xnAQ4rGyo2dR2Oara1ySUXAzZc0NUSbANQra3JaxGSEy_Km1ZMXCPhr1guA91N7kw8imqY9sOdin5fVasuv5gV7F2KFYxvkG__x8R42WrgQdoGlra5JQ9HxRtYqzGYYUL_5eWpnrV9G7ohs82jXD', 'width': 3024}]",ChIJ8cLVHvopw4ARil8zU6q_iKQ,"{'compound_code': '23PQ+93 West Covina, CA, USA', 'global_code': '856423PQ+93'}",2.0,4.2,ChIJ8cLVHvopw4ARil8zU6q_iKQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",244.0,"2270 South Azusa Avenue D, West Covina",
OPERATIONAL,"{'location': {'lat': 34.03351019999999, 'lng': -117.9143978}, 'viewport': {'northeast': {'lat': 34.0347633302915, 'lng': -117.9130025697085}, 'southwest': {'lat': 34.0320653697085, 'lng': -117.9157005302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Online Pasalubong Technology Corporation,{'open_now': True},,ChIJ5xYZcvopw4ARdo38kIaFtKM,"{'compound_code': '23MP+C6 West Covina, CA, USA', 'global_code': '856423MP+C6'}",,5.0,ChIJ5xYZcvopw4ARdo38kIaFtKM,GOOGLE,"['beauty_salon', 'lodging', 'car_dealer', 'restaurant', 'food', 'store', 'point_of_interest', 'health', 'establishment']",1.0,"2343 South Azusa Avenue, West Covina",
OPERATIONAL,"{'location': {'lat': 34.0316047, 'lng': -117.9116744}, 'viewport': {'northeast': {'lat': 34.0328758802915, 'lng': -117.9103878697085}, 'southwest': {'lat': 34.0301779197085, 'lng': -117.9130858302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tantawan Thai Kitchen,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107619157826919952162"">Leticia T.V</a>'], 'photo_reference': 'AW30NDxGxjHEFErDwxoZSfg8k9iJ2LeKRmIFJweAS4x4GrUI5QUfkHDjXrYfN0V7Kg5PnimxTHtXY9QpQj92Lie-isbdDG2zEPaKm4klLAWWb_l8ET3bRrjG86_gsuBgX5_DzzZ_dq6UCBZEHhWX89SV1Md2Vx39GP6ez8RE5KGgUqByVnBX', 'width': 4608}]",ChIJ6VlnN_cpw4ARB1cMENKYPZI,"{'compound_code': '23JQ+J8 West Covina, CA, USA', 'global_code': '856423JQ+J8'}",1.0,4.4,ChIJ6VlnN_cpw4ARB1cMENKYPZI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",182.0,"1557 East Amar Road D & E, West Covina",
OPERATIONAL,"{'location': {'lat': 34.0310444, 'lng': -117.9117139}, 'viewport': {'northeast': {'lat': 34.0324760302915, 'lng': -117.9103839697085}, 'southwest': {'lat': 34.0297780697085, 'lng': -117.9130819302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Planet Pansit,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100769994910561633846"">SOMSAK TISUTHIWONGSE</a>'], 'photo_reference': 'AW30NDzb1lEqwSYG5dHkyzaraNGRqHLwkgX923CrP77MP8VOnX9ENwYKhdmcsPXKxZ7Qd10Mt7rJVawAi30oWnTOBq8vY49J2pfdVhMG_hEqiIvQ3OqDDAMkpCegpF2jxhQxZHUMl3rdXXqMIWnGx14932FthY6JokP69jNW40YNt7d8lxYb', 'width': 4032}]",ChIJiZJ9bvcpw4ARKc4fr8epL-4,"{'compound_code': '23JQ+C8 West Covina, CA, USA', 'global_code': '856423JQ+C8'}",1.0,4.2,ChIJiZJ9bvcpw4ARKc4fr8epL-4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",35.0,"1559 East Amar Road ste o, West Covina",
OPERATIONAL,"{'location': {'lat': 34.032796, 'lng': -117.914642}, 'viewport': {'northeast': {'lat': 34.0340762802915, 'lng': -117.9131956697085}, 'southwest': {'lat': 34.0313783197085, 'lng': -117.9158936302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Del Taco,{'open_now': True},"[{'height': 2493, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109668874662539536710"">DBL.G.</a>'], 'photo_reference': 'AW30NDzFS8daavSUotw9ECUfeflWkUUCz4w3v6RloelqHjxAi9zq_dTUOYi_e5eslNDV2c84sYbGZLMfuaN_VmLvycllkxFOPbRL2DDQaggWNZf-NUveTKWVo5-X5y43BU5uh8vq5WoaBYvaFfsDAVtFtdLC4RiTRliNvI_Hq8xtr94ypapB', 'width': 3325}]",ChIJuwGDavopw4ARNSm8u2PqzV4,"{'compound_code': '23MP+44 West Covina, CA, USA', 'global_code': '856423MP+44'}",1.0,4.0,ChIJuwGDavopw4ARNSm8u2PqzV4,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",490.0,"2401 South Azusa Avenue, West Covina",
OPERATIONAL,"{'location': {'lat': 34.0316295, 'lng': -117.9128018}, 'viewport': {'northeast': {'lat': 34.0329069302915, 'lng': -117.9114703697085}, 'southwest': {'lat': 34.0302089697085, 'lng': -117.9141683302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Baja Cali Fish & Tacos (West Covina),{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100955610492805369267"">Baja Cali Fish &amp; Tacos (West Covina)</a>'], 'photo_reference': 'AW30NDzPsnn032II8Y7Z0_1borZ2kM0dmgYMvmDc55Zkv8TgchXj0uooMA-AtRg6D_efTE9zV4R6rEYE-12UaGDaLi8B0BMxj6smUsGwO4uRc50V4msKEXkTx2kSu2wgA3UhkLDJXS0AnTz50VUU5vP_qElKnoaMGpGrFrOCGBFRElez5zaX', 'width': 4032}]",ChIJT5l3VPcpw4ARtbakY6dqg0k,"{'compound_code': '23JP+MV West Covina, CA, USA', 'global_code': '856423JP+MV'}",1.0,4.5,ChIJT5l3VPcpw4ARtbakY6dqg0k,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",713.0,"1535 East Amar Road, West Covina",
