business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 40.6191803, 'lng': -111.9815051}, 'viewport': {'northeast': {'lat': 40.6207150802915, 'lng': -111.9798339197085}, 'southwest': {'lat': 40.6180171197085, 'lng': -111.9825318802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Cinemark 24 Jordan Landing and XD,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108063917850703402288"">Chad Margetts</a>'], 'photo_reference': 'AW30NDx2Ogmn2hLgvWo4mFjrHMSQBAO_B_GmfvJtbtvyuwN4xdfEt1eXUZ7g9rkdRLy5Du4QWX1ZaXN6ggBY7vs3X6_fBSZbzKmGhXlRQqPbkey9r3W8L_X-7kdRKWITD50IYYbofFtqaAsIH0LCJ2KNVcFKbR2dhi9Oxt_pk6jZ28BJRK8p', 'width': 4032}]",ChIJw0D5RuuOUocRR3t5VboKyL8,"{'compound_code': 'J299+M9 West Jordan, UT, USA', 'global_code': '85GCJ299+M9'}",4.5,ChIJw0D5RuuOUocRR3t5VboKyL8,GOOGLE,"['movie_theater', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",3693.0,"7301 South Jordan Landing Boulevard, West Jordan",,,
OPERATIONAL,"{'location': {'lat': 40.5864672, 'lng': -111.9855433}, 'viewport': {'northeast': {'lat': 40.58792343029149, 'lng': -111.9842443197085}, 'southwest': {'lat': 40.5852254697085, 'lng': -111.9869422802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112727896118886537159"">Krystal Hansen</a>'], 'photo_reference': 'AW30NDzlJWg7i354_fC-Yx7l-wxbWlj_JF-zbrsJlf3G_dPgbVBhg1qAdxH1KDEtedNu4JZs2gHXM_h9y73ZxpUJkObMtMH4MP1q6C749vHeOYxJ8LgbEXR_f82RzRX_IFrHefec8NaXNkLEeEjM5m8bfOdHSHoAziNQJnGOKMcu_j8NtfuQ', 'width': 1920}]",ChIJgfN2rRGPUocRVABQ9qC1tZ4,"{'compound_code': 'H2P7+HQ West Jordan, UT, USA', 'global_code': '85GCH2P7+HQ'}",3.8,ChIJgfN2rRGPUocRVABQ9qC1tZ4,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",155.0,"9000 South 4000 West Spaces E And F, West Jordan",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 40.6102823, 'lng': -112.0044493}, 'viewport': {'northeast': {'lat': 40.6115588802915, 'lng': -112.0030895197085}, 'southwest': {'lat': 40.6088609197085, 'lng': -112.0057874802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108063917850703402288"">Chad Margetts</a>'], 'photo_reference': 'AW30NDw-i_5ArIJNs7Rpif-NA3j-nVGSpO6Ydqlt7vEij65mfbsBIp5VQ0K7fb8p6t_WL93KnOwPcoDNg7VhO8iUfpSf0sG0g34FiQ07GVpWfV-pFf4s5DuN3yZe8hO-UW9UeAG7T8E2_EKcbXRWEs2ygKCQghepHa_bQq7qYEQmItzK8_XO', 'width': 4032}]",ChIJJ2H4rHyOUocRo_koghtkevk,"{'compound_code': 'JX6W+46 West Jordan, UT, USA', 'global_code': '85G9JX6W+46'}",3.8,ChIJJ2H4rHyOUocRo_koghtkevk,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",295.0,"7759 South 4800 West J, West Jordan",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 40.61909519999999, 'lng': -111.9789012}, 'viewport': {'northeast': {'lat': 40.6204650802915, 'lng': -111.9774080197085}, 'southwest': {'lat': 40.6177671197085, 'lng': -111.9801059802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Famous Dave's Bar-B-Que,"[{'height': 3492, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104431801462024231402"">Ben Ortega</a>'], 'photo_reference': 'AW30NDxhfsw9kQpXVhMIOuEIowQESmq5OwmbAyZWtS5bWBgbiJMhYYBnNOXsYIqWStY8kbDYac4hB93tnr94KMiwGsF29mCIL_BbGf-GssUypSbKwr_0fRUlSjLjaiK4tIXWsLv5Do02TD_p4aZlR_38wBTc0HgXt7w0EF-FVQFnyyIQqKsA', 'width': 4656}]",ChIJyR0ZKuuOUocR_kyzNmSfkWs,"{'compound_code': 'J29C+JC West Jordan, UT, USA', 'global_code': '85GCJ29C+JC'}",4.1,ChIJyR0ZKuuOUocR_kyzNmSfkWs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1782.0,"7273 Plaza Center Drive, West Jordan",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 40.586487, 'lng': -111.98567}, 'viewport': {'northeast': {'lat': 40.58793413029149, 'lng': -111.9843452697085}, 'southwest': {'lat': 40.58523616970849, 'lng': -111.9870432302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107376883136001821615"">Hazel bagel</a>'], 'photo_reference': 'AW30NDyK5RI6XJVHFWlPaFszAQHrbQKAezCHE3ZbZwP2sQpG-Nw7U5xVTmK4JNQh1czwsQve5y5KiZrdLSskiDaAYJaWb_H1Rhx3N_RR7vMoiKNpElI7rOIqCiaobhlGSE99Mq4I9Fwf6H9VxRgzkMaqcLOa4y9EVAL6P-2_h9oFIqXoeP4S', 'width': 3984}]",ChIJM3_qahCPUocRn6ifLBG3qhM,"{'compound_code': 'H2P7+HP West Jordan, UT, USA', 'global_code': '85GCH2P7+HP'}",3.3,ChIJM3_qahCPUocRn6ifLBG3qhM,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",428.0,"3961 West 9000 South, West Jordan",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 40.624756, 'lng': -112.0049259}, 'viewport': {'northeast': {'lat': 40.6262459802915, 'lng': -112.0036296197085}, 'southwest': {'lat': 40.6235480197085, 'lng': -112.0063275802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,"[{'height': 2046, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107382564987901508454"">Liz&amp;Yu Silva</a>'], 'photo_reference': 'AW30NDzFvCuWamz3gydMIwD0UrCjREHnTcKEljRnjcAJf6c6R5pPrwvn6QyWnHTDrB31mbiXFJkJ9rW9wYOhWC28_0IYTaihCeSy3WWTNOgYY4ImXgqPmseibmRBefLDwgtXQxwEZcY8ZR3G6Bhc6ILieJDTPryV8GokrsOozxSnB5fkHXXp', 'width': 3915}]",ChIJjfSypXyOUocRdEuu-Ou9fJw,"{'compound_code': 'JXFW+W2 West Jordan, UT, USA', 'global_code': '85G9JXFW+W2'}",3.3,ChIJjfSypXyOUocRdEuu-Ou9fJw,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",826.0,"6973 South 4800 West, West Jordan",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 40.61974799999999, 'lng': -111.97716}, 'viewport': {'northeast': {'lat': 40.6212086802915, 'lng': -111.9759986197085}, 'southwest': {'lat': 40.6185107197085, 'lng': -111.9786965802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chili's Grill & Bar,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108063917850703402288"">Chad Margetts</a>'], 'photo_reference': 'AW30NDyBe-X_GJ_e6dGrdueJTTLBhg-azc6lN57LFsrxU8rC67_RFY6nZMv4p13oHF4EeeOjhVHrSTRgFRr464o4bcivrqHH9uBBZKKY197322U8fVOnl6uUvBZ0iwNCR-fYPgAkMEkc9L1kX3c2Rdgv6YTni73b1mGvXk5R9f9o3mTEO0S2', 'width': 4032}]",ChIJU4N5s-qOUocR4YfbkHz6dhg,"{'compound_code': 'J29F+V4 West Jordan, UT, USA', 'global_code': '85GCJ29F+V4'}",3.5,ChIJU4N5s-qOUocR4YfbkHz6dhg,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1880.0,"3629 Center Park Drive, West Jordan",{'open_now': True},2.0,
OPERATIONAL,"{'location': {'lat': 40.6090534, 'lng': -111.9565737}, 'viewport': {'northeast': {'lat': 40.6104997302915, 'lng': -111.9552153197085}, 'southwest': {'lat': 40.6078017697085, 'lng': -111.9579132802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116320905457501581121"">Selea Kerr</a>'], 'photo_reference': 'AW30NDx4A2rb0Adk9fRqtoMG6fB7kGNPYjTMaq3bz_MQz0dura59HCAYgAngVqzqocY9uS1TuCkwQWnys_omG8BquLFnyDlt4z-d1SgLuYzDAQ8lt4ovRBrCedxJXjwVzI1smtzwGW7d-Ky085gw6p2WO_ZNkBLevi1EQnv9ViI2hI3T4LXB', 'width': 4032}]",ChIJkZoi9dOOUocRxmL4kduOYYk,"{'compound_code': 'J25V+J9 West Jordan, UT, USA', 'global_code': '85GCJ25V+J9'}",3.5,ChIJkZoi9dOOUocRxmL4kduOYYk,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",511.0,"2641 West 7800 South A, West Jordan",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 40.63951429999999, 'lng': -112.0085118}, 'viewport': {'northeast': {'lat': 40.6407533302915, 'lng': -112.0071944197085}, 'southwest': {'lat': 40.6380553697085, 'lng': -112.0098923802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,"[{'height': 9000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116023138979830400875"">Lorrin P Colby Jr</a>'], 'photo_reference': 'AW30NDwunBafC_H_IcxiiYEuXYLQsYSwlpbwLrM0w0BoxsC_233p9JxoO4YkIikN-qXSK1VmzLx93nmqwOuPMtoyFdlacpiDsQJacfM6pXAl2FVCvWxjhX0FM2m1tyOAq1xjMeHwC6Si7hhSljvr7aZGg2I-PjEzlATPIZzRxaKLvH10bxlm', 'width': 12000}]",ChIJyWBhOtGNUocRr8P_WcAOyYU,"{'compound_code': 'JXQR+RH Kearns, UT, USA', 'global_code': '85G9JXQR+RH'}",3.8,ChIJyWBhOtGNUocRr8P_WcAOyYU,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",303.0,"4926 West 6200 South, Kearns",{'open_now': True},1.0,
OPERATIONAL,"{'location': {'lat': 40.610744, 'lng': -111.985933}, 'viewport': {'northeast': {'lat': 40.6120538802915, 'lng': -111.9844952697085}, 'southwest': {'lat': 40.6093559197085, 'lng': -111.9871932302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Kneaders Bakery & Cafe,"[{'height': 3840, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100997229649253424285"">Kneaders Bakery &amp; Cafe</a>'], 'photo_reference': 'AW30NDzsyqeSd7CiOzzSmnIUi-1-HIKSzNI6C6ECVvdzVFzqkCJhImpu0rYTqoKxW_lUsOYg1hOK3d19vPN_--vCwXrHXxtpu30oKxsydyQ74vkXtxdlBdpEA0zXOGhEIF1FFeQxUPcVnEXSGFcBYu4_UpZelnF8bHbzKSaEDPe1Z4yuIZSc', 'width': 5760}]",ChIJN1iTTO6OUocRmJMDGAcS_jo,"{'compound_code': 'J267+7J West Jordan, UT, USA', 'global_code': '85GCJ267+7J'}",4.0,ChIJN1iTTO6OUocRmJMDGAcS_jo,GOOGLE,"['bakery', 'cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",1131.0,"7713 S Jordan Landing Boulevard, West Jordan",{'open_now': True},2.0,
