business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 26.7156997, 'lng': -80.1019728}, 'viewport': {'northeast': {'lat': 26.7170190802915, 'lng': -80.1007768197085}, 'southwest': {'lat': 26.7143211197085, 'lng': -80.1034747802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Yum Yum Express‎,{'open_now': False},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103860424887223121539"">Herve Andrieu</a>'], 'photo_reference': 'AW30NDxMbgWocU4U5Y17cAtA61vlFI_7EZebHBgI-n8O8AZAR7qcsVj0eOy7L_c7E_HxIZSYNCTt9ndmjjEIoItBxCgqEjQkwt4-pPMVonpiKzqbFiWx43hiwvqYRG3k3zh1ehO8Wm0_7s8YB_qo6e-4CwsEdrsoXXQsjpfNPssDihdqomkW', 'width': 3000}]",ChIJV3me3OMp2YgRKWecbEQo03A,"{'compound_code': 'PV8X+76 West Palm Beach, FL, USA', 'global_code': '76RXPV8X+76'}",1.0,3.7,ChIJV3me3OMp2YgRKWecbEQo03A,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",193.0,"931 Village Boulevard #906, West Palm Beach",
OPERATIONAL,"{'location': {'lat': 26.7192913, 'lng': -80.1115714}, 'viewport': {'northeast': {'lat': 26.7205936302915, 'lng': -80.11024126970851}, 'southwest': {'lat': 26.71789566970849, 'lng': -80.11293923029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Singing Bamboo Chinese Restaurant,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100843680626014942610"">i ate NJ</a>'], 'photo_reference': 'AW30NDwNkbaHht0a7J481r60TQxM2aAy4HK2yiQYQt3RtyludOuinLdjd60Lq4lvIvG-xre406H4oZCZQ8YeCx_ljDBh-OPCOLlEvbYSMhCGP6DTa2KeFA4xmK-GL3bY-ZwF0P07h9oCsNJnz_UxrCQVLKNK_SLoaJP-QZvjNG6Ag87mgzJ4', 'width': 4032}]",ChIJX9rgqO8p2YgRKIEgnkDy0FE,"{'compound_code': 'PV9Q+P9 West Palm Beach, FL, USA', 'global_code': '76RXPV9Q+P9'}",2.0,4.1,ChIJX9rgqO8p2YgRKIEgnkDy0FE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",459.0,"2845 North Military Trail, West Palm Beach",
OPERATIONAL,"{'location': {'lat': 26.71588700000001, 'lng': -80.102141}, 'viewport': {'northeast': {'lat': 26.7173040302915, 'lng': -80.10079261970849}, 'southwest': {'lat': 26.71460606970849, 'lng': -80.1034905802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jersey Mike's Subs,{'open_now': False},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114691576731173532045"">Jersey Mike&#39;s Subs</a>'], 'photo_reference': 'AW30NDxbjT99NiwqIphXfYYJPQYYw0ErU_EdffhFJZockV4QyoXrWXzZrb9gKs7n2lAso3ZAjaety9YjxBknXa04q0CPLHGSREEi3is-VHEAXzX-hdjRru0kZsrWKSneC7xcg1Ziy4Mu1vqPQ0E6_S3oYtqwsGNX9e6czSCu2_yDDA6oIJDQ', 'width': 4500}]",ChIJV3me3OMp2YgRjaltaGGrMtY,"{'compound_code': 'PV8X+94 West Palm Beach, FL, USA', 'global_code': '76RXPV8X+94'}",1.0,4.0,ChIJV3me3OMp2YgRjaltaGGrMtY,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",195.0,"931 Village Boulevard Suite 907, West Palm Beach",
OPERATIONAL,"{'location': {'lat': 26.71975669999999, 'lng': -80.1116809}, 'viewport': {'northeast': {'lat': 26.7211349802915, 'lng': -80.1102085697085}, 'southwest': {'lat': 26.7184370197085, 'lng': -80.11290653029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114073648591305281158"">Keyur Raval</a>'], 'photo_reference': 'AW30NDyX8UlRMh-9j3z_110EbRLrlFPpIobrTmaWnqWVRGV3DyGuMeFMc-AyUCAxRafr1MQXItG8ntS4w2ZWIWF2nXu6LTAOgjmoucXMLJ2NMY602-SMOg6bxTDzZI_RlGHKleM3MtVjhhI5eteNGkTM4kBxIdIvQQUlBjoH_C2JAlL3Ujso', 'width': 1920}]",ChIJBQxBy-gp2YgRxVH1TjSjUyQ,"{'compound_code': 'PV9Q+W8 West Palm Beach, FL, USA', 'global_code': '76RXPV9Q+W8'}",1.0,3.0,ChIJBQxBy-gp2YgRxVH1TjSjUyQ,GOOGLE,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",306.0,"2885 North Military Trail Ste A, West Palm Beach",
OPERATIONAL,"{'location': {'lat': 26.713155, 'lng': -80.101743}, 'viewport': {'northeast': {'lat': 26.7145861302915, 'lng': -80.1002915697085}, 'southwest': {'lat': 26.7118881697085, 'lng': -80.10298953029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Panera Bread,{'open_now': False},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105378957506730766670"">THE LONE Wolf</a>'], 'photo_reference': 'AW30NDw8GXty-uy2rLVwrvEhGSUDDI326eebO11IKP5rt_X9odC7GOOhztZ0X0bYXskLSc33eZ_xxpHGTj7FiYBCD_vccOZXoJ7VRj_0eezMIFQce-G7RF3ELDNwqDf53dNl_9m7w-S0_4OGZId6zXqMxtjIEDP8v8tAFaBGjGLPoATkCNFz', 'width': 4160}]",ChIJ6xeN7OEp2YgR0K8GQkM2Of8,"{'compound_code': 'PV7X+78 West Palm Beach, FL, USA', 'global_code': '76RXPV7X+78'}",2.0,3.7,ChIJ6xeN7OEp2YgR0K8GQkM2Of8,GOOGLE,"['cafe', 'bakery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1003.0,"771 Village Boulevard, West Palm Beach",
OPERATIONAL,"{'location': {'lat': 26.720603, 'lng': -80.11403299999999}, 'viewport': {'northeast': {'lat': 26.7217870802915, 'lng': -80.11256156970849}, 'southwest': {'lat': 26.7190891197085, 'lng': -80.1152595302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Hong Kong Wok,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113465525675728287774"">Hong Kong Wok</a>'], 'photo_reference': 'AW30NDzsP3f4mbTRLb0CnxU8vTuIhuJ5qCnSqpOOSD3J6Saegz0kmIdN0hIngEv5oNKETZlkxDwkTLH-29y42jdfEc6i_7iF5F_hz2NWNKnyaa14OjnxaLSTYk4t_rRjMFByXhKcR81pQL72Sgcp9krYdaQvnkmw2cAWH9in_QF5Cy8Eo1pF', 'width': 4032}]",ChIJcZNLlu8p2YgRBww5mCZDVr8,"{'compound_code': 'PVCP+69 West Palm Beach, FL, USA', 'global_code': '76RXPVCP+69'}",1.0,3.8,ChIJcZNLlu8p2YgRBww5mCZDVr8,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",134.0,"2919 North Military Trail D, West Palm Beach",
OPERATIONAL,"{'location': {'lat': 26.7202646, 'lng': -80.11359519999999}, 'viewport': {'northeast': {'lat': 26.7216480802915, 'lng': -80.11224426970848}, 'southwest': {'lat': 26.7189501197085, 'lng': -80.1149422302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pho 16,{'open_now': False},"[{'height': 1176, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106836980251148106766"">Fermin Christopher Herrera</a>'], 'photo_reference': 'AW30NDzMp26F7l6iO2hKsGiwmEBLT4P48m1SBcTaM1Vu--WTy7cHjZT_lFqxKdtY0qFkc0J-MclTQ5FXpWudUuqiA2wAV0BJK2xuPTWW0f39Dw_BO1o67XPyWM3_r86jLxJ-uEsRYJvJcG5Be5upHLBIgGWke668k63TI1G_-3yrxW9u2Nlh', 'width': 921}]",ChIJoYt1be4p2YgR4-SA5muQgpE,"{'compound_code': 'PVCP+4H West Palm Beach, FL, USA', 'global_code': '76RXPVCP+4H'}",1.0,4.4,ChIJoYt1be4p2YgR4-SA5muQgpE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",374.0,"2905 North Military Trail E, West Palm Beach",
OPERATIONAL,"{'location': {'lat': 26.7163271, 'lng': -80.1114984}, 'viewport': {'northeast': {'lat': 26.71740263029151, 'lng': -80.11006456970848}, 'southwest': {'lat': 26.7147046697085, 'lng': -80.1127625302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100367845666795525895"">561FINESTT</a>'], 'photo_reference': 'AW30NDyL4Mz8KG0ufS5zwYlGwLvAPpBH4YIFBhbOjJgFiDcNl_7E_Z73IPubDpwnpsH2IIdeKPWbrUVS6YcADImamzDswPQ0PApQgwXytfPP91F7nHX1JBl3DsScjiwgH7e0Z1TmbiA5EO4Rb04ywu5x1Sww55szkgrQ91VV1D4HF8Pf-QiL', 'width': 4032}]",ChIJJc1SFe8p2YgRPj9oHBVzjys,"{'compound_code': 'PV8Q+GC West Palm Beach, FL, USA', 'global_code': '76RXPV8Q+GC'}",1.0,3.4,ChIJJc1SFe8p2YgRPj9oHBVzjys,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",279.0,"2695 North Military Trail, West Palm Beach",
OPERATIONAL,"{'location': {'lat': 26.7345958, 'lng': -80.11936949999999}, 'viewport': {'northeast': {'lat': 26.7362193302915, 'lng': -80.11792601970849}, 'southwest': {'lat': 26.7335213697085, 'lng': -80.1206239802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Happy Chang Thai Restaurant,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117571129437118850118"">Cecily Lyvonne</a>'], 'photo_reference': 'AW30NDx4SJ5PLm2ejPrkAAv7NGZpoE5yWWoA6J_hqgsnseAOpDlOoFrB3c9UeQDwWDYdSNGvVtsUXjNNvNaxXXaEu3pwuuGhs73QXpjC-XRhfrHQ1W6AY-fZqAs0LecnFFpIMT49Z_oKbQHVAyiWSO7R-IwXI41GKbA5yUihUaWDrOmNmFRB', 'width': 3024}]",ChIJQ_bO6x8q2YgR80GdfWQvbvQ,"{'compound_code': 'PVMJ+R7 West Palm Beach, FL, USA', 'global_code': '76RXPVMJ+R7'}",2.0,4.3,ChIJQ_bO6x8q2YgR80GdfWQvbvQ,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",140.0,"3897 Haverhill Road Ste.124, West Palm Beach",
OPERATIONAL,"{'location': {'lat': 26.735502, 'lng': -80.1193201}, 'viewport': {'northeast': {'lat': 26.73685258029151, 'lng': -80.11788366970849}, 'southwest': {'lat': 26.7341546197085, 'lng': -80.1205816302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Curbside Gourmet,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113949680985902737440"">Silvia Alvarado</a>'], 'photo_reference': 'AW30NDw066JOjP9ni29-jh17g-CMBVmyKooQfup0e7nFfBjhnlgVnyy3W6Togzijkg_Hb3Fe7Pd0_Z-cWKfr0OMvFRevLEhXLtjEQybEGXDjScpsY2d_ZZGN5F0JkZPw4xrjbOCtMQkepLEVFC1mLXYIK-l0RUCtJABq19OolATGCef3hEtR', 'width': 3024}]",ChIJXbTnUF_W2IgRACNwJBgKbek,"{'compound_code': 'PVPJ+67 West Palm Beach, FL, USA', 'global_code': '76RXPVPJ+67'}",,4.2,ChIJXbTnUF_W2IgRACNwJBgKbek,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",31.0,"3951 Haverhill Road, West Palm Beach",
