business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 40.69686900000001, 'lng': -112.0234142}, 'viewport': {'northeast': {'lat': 40.69820498029151, 'lng': -112.0221634697085}, 'southwest': {'lat': 40.69550701970851, 'lng': -112.0248614302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102051303212953265661"">David Hope</a>'], 'photo_reference': 'AW30NDwcFcI74Agc9_TDzdiWuFpEhnWaDU5lTClu0DWdjY__a-Cu2J4KUhQfBWxcTLFuBnNQLv8zg7yIQE4vZn6NiG-poUpfcgbF0u8BQTefrdjHz1AcSk6pNOhTZFEDK0ALcTwzjVVv0ob65RS7Q0zHVXqXxoQojX5OVR-0_kYsx1ZK4TFB', 'width': 4032}]",ChIJ21cVCTiNUocRB5vG1q9en-I,"{'compound_code': 'MXWG+PJ West Valley City, UT, USA', 'global_code': '85G9MXWG+PJ'}",1.0,4.0,ChIJ21cVCTiNUocRB5vG1q9en-I,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",818.0,"5550 West 3500 South, West Valley City",
OPERATIONAL,"{'location': {'lat': 40.698556, 'lng': -112.026437}, 'viewport': {'northeast': {'lat': 40.6999375802915, 'lng': -112.0249176197085}, 'southwest': {'lat': 40.6972396197085, 'lng': -112.0276155802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Little Caesars Pizza,{'open_now': True},"[{'height': 1000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103964985077591630233"">Little Caesars Pizza</a>'], 'photo_reference': 'AW30NDzI4iCMi_iAU_k5KQNS3kMoQtTNhqCw0Dt_Ky3W7rZlaK9DncBSgx-hM9xzOOqGZTEjR3nkWpv5RJQf_dmhMVBxURx-7WZVXILTHoF9obFjlaObq-L7Adl7uNseNfo4ZvZrzxP7rwy6TtWCJKuj1Z2Oa0x5SgaaMHyDYnIkknEW6J02', 'width': 1000}]",ChIJZ4D8PUiNUocRauNiS2b-krU,"{'compound_code': 'MXXF+CC West Valley City, UT, USA', 'global_code': '85G9MXXF+CC'}",1.0,4.1,ChIJZ4D8PUiNUocRauNiS2b-krU,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",530.0,"3380 South 5600 West, West Valley City",
OPERATIONAL,"{'location': {'lat': 40.6978724, 'lng': -112.0237393}, 'viewport': {'northeast': {'lat': 40.6991966302915, 'lng': -112.0224477197085}, 'southwest': {'lat': 40.6964986697085, 'lng': -112.0251456802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Coppercreek Pub & Grub,{'open_now': True},"[{'height': 2952, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101048964232868100876"">Michael Carpenter</a>'], 'photo_reference': 'AW30NDxwyNBBSphiN4q2LKwmJvFNS6RRNDq0yhtNiBwyKqIi5BprI_Whs4Sc8aduyEltz1fpYyOlkuswdmBhSEBLuALMkbwPHNy1gYfkPdBZQZfCpXlNz_DdWFkMyJ7IC4lTHIQ8F_-KyMpymr0I2t1iE4xSSxrtBf2YYIH8Va8ClC7mKb-b', 'width': 5248}]",ChIJ47Gz_0eNUocRZKFmSNCbyyo,"{'compound_code': 'MXXG+4G West Valley City, UT, USA', 'global_code': '85G9MXXG+4G'}",2.0,4.4,ChIJ47Gz_0eNUocRZKFmSNCbyyo,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1056.0,"3451 South 5600 West suite A, West Valley City",
OPERATIONAL,"{'location': {'lat': 40.69703259999999, 'lng': -112.005237}, 'viewport': {'northeast': {'lat': 40.69838488029149, 'lng': -112.0039961197085}, 'southwest': {'lat': 40.69568691970849, 'lng': -112.0066940802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Domino's Pizza,{'open_now': True},"[{'height': 1253, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114963584465677813849"">Domino&#39;s Pizza</a>'], 'photo_reference': 'AW30NDwe7Rxv-Ihsk_HeqiekYiI7ziuubtJmZ1IRAeWx1Z1UKrqdL8lTvRf3-UaQlXFBGuzr2sfXRwVvYxIUWPZ0Tb82EoWDYGsQSbx8__5-OpuyymAi1tKsInzhBf-BdrQXSoeRknD20J4R5IBx7K5R56OYZJxfyIFFqjzQScO16ZjLxXFI', 'width': 1080}]",ChIJl-lcrCaNUocRdHkWe-zXhcw,"{'compound_code': 'MXWV+RW Salt Lake City, UT, USA', 'global_code': '85G9MXWV+RW'}",1.0,3.4,ChIJl-lcrCaNUocRdHkWe-zXhcw,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",590.0,"4790 West 3500 South, Salt Lake City",
OPERATIONAL,"{'location': {'lat': 40.6973387, 'lng': -112.0243173}, 'viewport': {'northeast': {'lat': 40.6987221302915, 'lng': -112.0230576197085}, 'southwest': {'lat': 40.69602416970851, 'lng': -112.0257555802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Rancherito's Mexican Food,{'open_now': True},"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111070750224562258317"">Steve Chavis</a>'], 'photo_reference': 'AW30NDwpkozbFmezviImwOkwr-z3urOCIcDn9u7yT20rTewAfkY9uEhp36jlzzUDl547MuqJyZO0ZRFQUJiP8UcFMzO99RSsWEL15vmeuIte0bSpHMuJCpvBNngQHJeZnMKcFFrsipe56U4ML61kJTfgMRY3VyebhQFcCjvZY9bthZgicd7P', 'width': 4160}]",ChIJB_-e_UeNUocRO4Ce65jfK_Y,"{'compound_code': 'MXWG+W7 Salt Lake City, UT, USA', 'global_code': '85G9MXWG+W7'}",1.0,3.9,ChIJB_-e_UeNUocRO4Ce65jfK_Y,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1751.0,"3455 South 5600 West, Salt Lake City",
OPERATIONAL,"{'location': {'lat': 40.6988635, 'lng': -112.0262694}, 'viewport': {'northeast': {'lat': 40.7002118802915, 'lng': -112.0248323697085}, 'southwest': {'lat': 40.69751391970851, 'lng': -112.0275303302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Healthy Nutrition,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109146633496249890614"">Healthy Nutrition West Valley</a>'], 'photo_reference': 'AW30NDzCYW1DiLK0baBIuDzCJQQRpnuubLp0MtTdmK1xJeo4WcxR_Op5vHi9frGrWYswMcwbdAntY09j_BcP2foL5iNsVCQatqG3haQyWMm1O1nLtCXu8IiR_TRvtUHaLByNtdEH2cRfPtpc0XmiI5QzVt2ZOlNygJJDiZ7DnUb21p7yq3Wb', 'width': 3024}]",ChIJw3lbWUiNUocR6t5553SNs_Q,"{'compound_code': 'MXXF+GF West Valley City, UT, USA', 'global_code': '85G9MXXF+GF'}",,4.8,ChIJw3lbWUiNUocR6t5553SNs_Q,GOOGLE,"['bar', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",28.0,"3364 South 5600 West, West Valley City",
OPERATIONAL,"{'location': {'lat': 40.6677886, 'lng': -112.0063689}, 'viewport': {'northeast': {'lat': 40.66894623029149, 'lng': -112.0046668197085}, 'southwest': {'lat': 40.66624826970849, 'lng': -112.0073647802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/gas_station-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/gas_pinlet,Maverik Adventure's First Stop,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110289216114752757081"">Bryan Dirkes</a>'], 'photo_reference': 'AW30NDxgrLIv8-qs_W4U70ylS3su3VzXKqNaj_3C-Tpr7UhRyItMQ5m4j5FY0b7hSEOo0eSqcgiMQmqayRChj56cr4r_ghwS4dV80VMSKSEAt2nNIe4hwErnogx_y00Qsdsp2N55AXF8RYVAKX1R1A-_RLo6v0JS7JEjE1znoYrI23pWTdrH', 'width': 4608}]",ChIJd5SuUKmNUocRcimXhvjAz1A,"{'compound_code': 'MX9V+4F West Valley City, UT, USA', 'global_code': '85G9MX9V+4F'}",,3.6,ChIJd5SuUKmNUocRcimXhvjAz1A,GOOGLE,"['gas_station', 'convenience_store', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",53.0,"4692 South 4800 West, West Valley City",
OPERATIONAL,"{'location': {'lat': 40.6982095, 'lng': -112.0242794}, 'viewport': {'northeast': {'lat': 40.69950363029151, 'lng': -112.0229597197085}, 'southwest': {'lat': 40.69680566970851, 'lng': -112.0256576802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Culver's,{'open_now': True},"[{'height': 2434, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109109645407819789545"">Joshua Baker</a>'], 'photo_reference': 'AW30NDyYM3B5zUqcGi30ESgk98887Gu9Th5pjBHHLENDIoKdR5Dzq8XWgJtw1roEDsvf63K4j5FCBsDbhzquNjCTFcWhqynPjIFtskgrrEBffH4nymyT8PTdQY_c32YYqKYXmlZXddBS32F5D-xEC4-8Gql6oR69f9EzRpvk4NnVLKlApW6M', 'width': 4030}]",ChIJq4cVG0iNUocRHZxCwZyLML4,"{'compound_code': 'MXXG+77 West Valley City, UT, USA', 'global_code': '85G9MXXG+77'}",1.0,4.0,ChIJq4cVG0iNUocRHZxCwZyLML4,GOOGLE,"['restaurant', 'food', 'store', 'point_of_interest', 'establishment']",1772.0,"3407 South 5600 West, West Valley City",
OPERATIONAL,"{'location': {'lat': 40.6837491, 'lng': -112.0252671}, 'viewport': {'northeast': {'lat': 40.68501393029151, 'lng': -112.0239033197085}, 'southwest': {'lat': 40.68231596970851, 'lng': -112.0266012802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Big Daddy's Pizza - 5620 W 4100 S,{'open_now': True},"[{'height': 2760, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102552499266379389648"">Big Daddy&#39;s Pizza - 5620 W 4100 S</a>'], 'photo_reference': 'AW30NDzlVAP-5PKnDfc_geK314tnsEMwv4nfzkD9AJAyeuc4p_XJPSOVX99DLsrFu8F6ETQx2QBNOjYCWnxB9bxWsK5oSByifT06PrTA9c1J_Zf3eSKbu7oXHBlpW4Lo2OxYp2GjBqFhe6XsQ6_Sa9rW64N2fjEpr7ICc2h9uny0DXft3ELN', 'width': 4912}]",ChIJeQTBl2yNUocRaEe6x-bWLEo,"{'compound_code': 'MXMF+FV Salt Lake City, UT, USA', 'global_code': '85G9MXMF+FV'}",1.0,4.0,ChIJeQTBl2yNUocRaEe6x-bWLEo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",335.0,"5620 West 4100 South, Salt Lake City",
OPERATIONAL,"{'location': {'lat': 40.69579, 'lng': -112.024244}, 'viewport': {'northeast': {'lat': 40.69704838029149, 'lng': -112.0231521197085}, 'southwest': {'lat': 40.6943504197085, 'lng': -112.0258500802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Arby's,{'open_now': True},"[{'height': 2242, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109109645407819789545"">Joshua Baker</a>'], 'photo_reference': 'AW30NDziJh9TCfgdNsf135eO1j7Z6tfy6WTMPcYq19_bLzHa1r5jA2XZwclzmd4UO7ymE5my7NDaF7JlbGi_O73HwtSXf7q912VzygzmVFepCx9C5FJm7cDa74E7YXuL6fCJr7mMOB17tDH29hLwcRNbhgT2tWZqd2KN8Expzfv85RPqcc7-', 'width': 4030}]",ChIJQe9Nj0eNUocR4wsdvcIKTK8,"{'compound_code': 'MXWG+88 West Valley City, UT, USA', 'global_code': '85G9MXWG+88'}",1.0,4.0,ChIJQe9Nj0eNUocR4wsdvcIKTK8,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",887.0,"3535 South 5600 West, West Valley City",
OPERATIONAL,"{'location': {'lat': 40.69850690000001, 'lng': -112.0252222}, 'viewport': {'northeast': {'lat': 40.6999057802915, 'lng': -112.0240284197085}, 'southwest': {'lat': 40.6972078197085, 'lng': -112.0267263802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizza Hut,{'open_now': True},"[{'height': 683, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114229808590599243460"">Pizza Hut</a>'], 'photo_reference': 'AW30NDw-J3YrHL4TPpkeRkZKn96A6UI1JwhYGQTGkWAoicts7o-DtsYOppdW-_XIP6hgswYhlwmItNkvSkFO7XE-dgQ0HtzA2Mom2a6LxY0BnfovkamBe5oeTZCAO5XiPlPCXi1VN6bIVxpLs6z4AxVjJ72ks9VSTDJl3DKoty5diCdiru_p', 'width': 1025}]",ChIJB1--FUiNUocRgtvQNETk_FY,"{'compound_code': 'MXXF+CW West Valley City, UT, USA', 'global_code': '85G9MXXF+CW'}",1.0,3.0,ChIJB1--FUiNUocRgtvQNETk_FY,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",472.0,"3390 South 5600 West, West Valley City",
OPERATIONAL,"{'location': {'lat': 40.69698379999999, 'lng': -112.024207}, 'viewport': {'northeast': {'lat': 40.69831328029149, 'lng': -112.0229337697085}, 'southwest': {'lat': 40.69561531970849, 'lng': -112.0256317302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,McDonald's,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113533924130646128043"">Bobbie Gene Simmons</a>'], 'photo_reference': 'AW30NDw_ovLY2AwOIgbrB89kqZniBQHhYvTsWiCNFdP8lhsHKsyprNOJXF47yOVB8PG67N1pc1908JfSxqEaUmlthAVU5cHydga48O6tBbQmgbw2PIuY-Dbe2qAbAYZcpnHKEWyRazyRXNN0Gh4PZuM6IzgqPQLWLzNcEMIp9ViKq7hHClaw', 'width': 5312}]",ChIJWaoI-keNUocRBFG571b_vX0,"{'compound_code': 'MXWG+Q8 West Valley City, UT, USA', 'global_code': '85G9MXWG+Q8'}",1.0,3.3,ChIJWaoI-keNUocRBFG571b_vX0,GOOGLE,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",2752.0,"3497 South 5600 West, West Valley City",
OPERATIONAL,"{'location': {'lat': 40.6968675, 'lng': -112.0254205}, 'viewport': {'northeast': {'lat': 40.6981861802915, 'lng': -112.0239482697085}, 'southwest': {'lat': 40.6954882197085, 'lng': -112.0266462302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Burger King,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116367015853035332277"">Matthew Montgomery</a>'], 'photo_reference': 'AW30NDzM4R0ko-xMMT8uoYkkOxPiJTEhqv-ScWvP3aoSQcD4Zx0FIrS7_MUmszNSXU3tqeMjYRhX3KFGGCk0yhy6DDilc4E4Upq1pW2MaThOybsoAGzA0Zu2U0xVJ3xNosMj00VgRJaXzSPnOmXtU6-RouJw6Vwd-Ui3DhUjHCRdyV2w3Ta5', 'width': 4032}]",ChIJJ92RwkeNUocR_Gm6he4euC8,"{'compound_code': 'MXWF+PR Salt Lake City, UT, USA', 'global_code': '85G9MXWF+PR'}",1.0,3.3,ChIJJ92RwkeNUocR_Gm6he4euC8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",945.0,"3500 South 5610 West, Salt Lake City",
