business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 39.8902934, 'lng': -105.0705643}, 'viewport': {'northeast': {'lat': 39.8915480302915, 'lng': -105.0694029697085}, 'southwest': {'lat': 39.8888500697085, 'lng': -105.0721009302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dave & Buster's,{'open_now': True},"[{'height': 2584, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104164799301704950339"">Dave &amp; Buster&#39;s</a>'], 'photo_reference': 'AW30NDxQTjW9TdUaSkuJFihN3BV3wRuAhLSfnMvuK1kVCbwp1J5ZUMrT3r4Gp3ZK04zgWtJFyOPcBVblxfYH85ynRbkz6XgJauQ6cOOZnY41vR5O_XWNmOfLd6ELeSNanzgJIv9luLEsTdX2ElC6zp-afD88AOgjNgPEX6kuNb92Q9Jv6qCF', 'width': 3828}]",ChIJxzmM_yiKa4cRQacdU1Qq_CI,"{'compound_code': 'VWRH+4Q Westminster, CO, USA', 'global_code': '85FPVWRH+4Q'}",2.0,4.1,ChIJxzmM_yiKa4cRQacdU1Qq_CI,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",3313.0,"10667 Westminster Boulevard, Westminster",
OPERATIONAL,"{'location': {'lat': 39.8605918, 'lng': -105.052621}, 'viewport': {'northeast': {'lat': 39.8618822802915, 'lng': -105.0514120197085}, 'southwest': {'lat': 39.8591843197085, 'lng': -105.0541099802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Joe's Crab Shack,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100560883726464803693"">Chris Miskiel</a>'], 'photo_reference': 'AW30NDxWCY1uYK1TJgTeZZ-86gGAQ4FCmDGstCCreBMn0f2HT9D0FrRd-fpsw4_IOXVL39tFmHKzYvj4zOjCfFRFWTV5V_wMyL7urLpNWkw8OXsOugR6Zo4mbvm_YniIE_XYOYEARojwvUFQ-M9ocag_QdxNLBOvO0wS-YQ9kbDDCOClNICB', 'width': 5312}]",ChIJG8hRgMiJa4cRn19DEOjFVEU,"{'compound_code': 'VW6W+6X Westminster, CO, USA', 'global_code': '85FPVW6W+6X'}",2.0,4.0,ChIJG8hRgMiJa4cRn19DEOjFVEU,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2055.0,"8911 Yates Street, Westminster",
OPERATIONAL,"{'location': {'lat': 39.89086, 'lng': -105.07285}, 'viewport': {'northeast': {'lat': 39.8920721802915, 'lng': -105.0711480197085}, 'southwest': {'lat': 39.8893742197085, 'lng': -105.0738459802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Bowlero Promenade,{'open_now': True},"[{'height': 674, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106712755547186722935"">Bowlero Promenade</a>'], 'photo_reference': 'AW30NDzqGB3CBX5RBuTc2kgYuqjIi6JQoPyzU6huT7_JO-iSl1t3GJAcmI_DKAjtHVk86Zc-F4T9IlgOzCUGXcndT_vJ98mjJ2Xx2BxwjtvwtIqlM19_yi2OeY7CPnnYox71C4hPAeLBhPxc1bSZuJwGtgIbI0nBSyp8BeLTX4nydAfSxn6G', 'width': 1390}]",ChIJF8xkeSmKa4cRyQVTFkThPuA,"{'compound_code': 'VWRG+8V Westminster, CO, USA', 'global_code': '85FPVWRG+8V'}",,4.1,ChIJF8xkeSmKa4cRyQVTFkThPuA,GOOGLE,"['bowling_alley', 'restaurant', 'food', 'point_of_interest', 'establishment']",1458.0,"10685 Westminster Boulevard, Westminster",
OPERATIONAL,"{'location': {'lat': 39.8879376, 'lng': -105.0739848}, 'viewport': {'northeast': {'lat': 39.8892025802915, 'lng': -105.0727328197085}, 'southwest': {'lat': 39.8865046197085, 'lng': -105.0754307802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Bonefish Grill,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115119413703362444479"">Becca</a>'], 'photo_reference': 'AW30NDy9fC7Qz00z1vGdM927Ad0wJ7Lya_Uqe_DZyJD68EyMCcfraeuKzjvx5ybUAwdoeEbJ2w3oBsTCEero2uRJJVKseImpJoON7I0DFW7VFOstCcsj3BjWpSkp9I3x1j6j8xP5rgg3-6kiNFVlul4z2BqBZPKyuukklLz1VlRn_UDYuOUl', 'width': 3000}]",ChIJXRGwByqKa4cRcxy8N9zLmtc,"{'compound_code': 'VWQG+5C Westminster, CO, USA', 'global_code': '85FPVWQG+5C'}",2.0,4.3,ChIJXRGwByqKa4cRcxy8N9zLmtc,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1625.0,"10438 Town Center Drive, Westminster",
OPERATIONAL,"{'location': {'lat': 39.85701879999999, 'lng': -105.0575932}, 'viewport': {'northeast': {'lat': 39.8584847802915, 'lng': -105.0564307197085}, 'southwest': {'lat': 39.8557868197085, 'lng': -105.0591286802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101251664442145335546"">sasidharan baskaran</a>'], 'photo_reference': 'AW30NDzZu7WTmVRg1ANpOtljhcn8KcJIqmM7Yhm07MNRw0He1DSqb0GiH0zqZYuQZsSfQ-3WyMYwBFkrmTPsURASBI0iGvqiZVK1l_1pwSkqQRIDk_cL8JBalymS_XaXQnpX1j-I01IbRVZ0GJyPkDuaLknCZbhF8Dq3wtFUI-jpPAvz0Vcw', 'width': 3024}]",ChIJYeUUWraJa4cRiMlvL9maAxQ,"{'compound_code': 'VW4R+RX Westminster, CO, USA', 'global_code': '85FPVW4R+RX'}",2.0,4.2,ChIJYeUUWraJa4cRiMlvL9maAxQ,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3142.0,"5551 West 88th Avenue, Westminster",
OPERATIONAL,"{'location': {'lat': 39.8881691, 'lng': -105.074265}, 'viewport': {'northeast': {'lat': 39.88962018029149, 'lng': -105.0728217697085}, 'southwest': {'lat': 39.8869222197085, 'lng': -105.0755197302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,BJ's Restaurant & Brewhouse,{'open_now': True},"[{'height': 9000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111921284886383488777"">Luis “Mr.Kopriti” Glinos</a>'], 'photo_reference': 'AW30NDzOT6RGevwniW3grDrezNGz2JdKHTkyjOX0rYJYvdJCIjCJIU6MocGG6OQhve3DNLjQZfc69CTRtmaN1gPT4HN1hMWwPiXJi5d9Ldg6d4fSU-daWo7xGXmAYxkrGM6-fhqmMc67VzAFl3SKtDAnohrA1x3rV3RGuEZWGp9jir4iGWLN', 'width': 12000}]",ChIJw-pTDiqKa4cR1zqIeanpr9s,"{'compound_code': 'VWQG+77 Westminster, CO, USA', 'global_code': '85FPVWQG+77'}",2.0,4.2,ChIJw-pTDiqKa4cR1zqIeanpr9s,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1632.0,"10446 Town Center Drive, Westminster",
OPERATIONAL,"{'location': {'lat': 39.8861896, 'lng': -105.0766258}, 'viewport': {'northeast': {'lat': 39.88866175, 'lng': -105.0754830197085}, 'southwest': {'lat': 39.88536555, 'lng': -105.0781809802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Panera Bread,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107446311369043855295"">Samantha Espinosa</a>'], 'photo_reference': 'AW30NDwTpZDg-_blE8_6ssZDH0wM69c3x4ocXgP13rfCHYEX2gZ0Iu1SxPxprAMXHgVp9y-tkCX2JqN45tyCtYGbd50rX491vGMKG6d0vLt4BlYIgnau4_XC3UrSw7HfYMQTOpY8HplpjAr0jKzuekS-gyq2pMWgjZ5ulpfc7zZPVfAAuly-', 'width': 1920}]",ChIJ3_4phSqKa4cRcqPemv5owPs,"{'compound_code': 'VWPF+F8 Westminster, CO, USA', 'global_code': '85FPVWPF+F8'}",2.0,3.7,ChIJ3_4phSqKa4cRcqPemv5owPs,GOOGLE,"['cafe', 'bakery', 'meal_takeaway', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",558.0,"10435 Reed Street Suite 200, Westminster",
OPERATIONAL,"{'location': {'lat': 39.8599247, 'lng': -105.0826577}, 'viewport': {'northeast': {'lat': 39.86115703029149, 'lng': -105.0813598197085}, 'southwest': {'lat': 39.8584590697085, 'lng': -105.0840577802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Yak & Yeti Restaurant and Bar - Westminster,{'open_now': True},"[{'height': 1000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114351912411243737898"">Yak &amp; Yeti Restaurant and Bar - Westminster</a>'], 'photo_reference': 'AW30NDxkfS-U6ALeGSjQEjXM_Gnu1GMfiqfDlqCrm86Xa9hR0LkdO0Z0tiaJ9bXM5XrENBH9XQKAGKl5pIaPp-ZsDAdwVdti5GTfs-ENLFYenb_7sgdcyIR_6s9AF6A_lZU_ywRwQlZKykL03mNNtBn9m1u5YbcDhgC3c7gdel-nrzGJ0FaB', 'width': 1498}]",ChIJs4PwTMqJa4cRmFHfIq-aK78,"{'compound_code': 'VW58+XW Westminster, CO, USA', 'global_code': '85FPVW58+XW'}",2.0,4.4,ChIJs4PwTMqJa4cRmFHfIq-aK78,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1781.0,"9000 Yukon Street, Westminster",
OPERATIONAL,"{'location': {'lat': 39.8538878, 'lng': -105.0823654}, 'viewport': {'northeast': {'lat': 39.8553428802915, 'lng': -105.0810794697085}, 'southwest': {'lat': 39.8526449197085, 'lng': -105.0837774302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Old Chicago Pizza + Taproom,{'open_now': True},"[{'height': 3617, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104226786690221834663"">N Allen</a>'], 'photo_reference': 'AW30NDyRF75yC4Cxg1HzS4fZttk4I119pcCcaxeF4FotV3GK5daAzG24gnrxNvOjSl8n92_cQwKmES_qiDBAjfk2eVLTnz9u4Qur4Ns5sTbjfv0M63pDR5om4EDHaDVR1s-XiV_TEPbjIU0ECjIj_G8RRY8t2Ka-8hnhCIvXtsCmaaZevdE3', 'width': 3024}]",ChIJi20q_waJa4cRF8lgIqUAeyU,"{'compound_code': 'VW39+H3 Westminster, CO, USA', 'global_code': '85FPVW39+H3'}",2.0,4.0,ChIJi20q_waJa4cRF8lgIqUAeyU,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1549.0,"8711 Wadsworth Boulevard, Westminster",
OPERATIONAL,"{'location': {'lat': 39.861014, 'lng': -105.0519589}, 'viewport': {'northeast': {'lat': 39.8622301802915, 'lng': -105.0506723197085}, 'southwest': {'lat': 39.85953221970851, 'lng': -105.0533702802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Saltgrass Steak House,{'open_now': True},"[{'height': 1366, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103610706166142246378"">Chris Barron pixlepeople llc</a>'], 'photo_reference': 'AW30NDw858xy72T92FTkqFcuiviH4DIMHL7gqP0217D4TsdQ9GfomiZUvIws-38IDiMRDtRM7BSv9Zfv0kQNB0CU_ekyeGaL4fK_bYhUgHPVIMd-h1SNR75ySsno5nChvR2vKVSiE-Gq9y9de8UMiDrmjfBttMGQl9Gu8I0D-HgejOcO6agb', 'width': 2048}]",ChIJQ9b2nsiJa4cRKpnT4bORLf8,"{'compound_code': 'VW6X+C6 Westminster, CO, USA', 'global_code': '85FPVW6X+C6'}",2.0,4.3,ChIJQ9b2nsiJa4cRKpnT4bORLf8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1907.0,"8931 Yates Street, Westminster",
