business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 33.880182, 'lng': -98.539512}, 'viewport': {'northeast': {'lat': 33.88153253029149, 'lng': -98.53805911970848}, 'southwest': {'lat': 33.87883456970849, 'lng': -98.5407570802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Roadhouse,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109758951572702089545"">Linus Wong</a>'], 'photo_reference': 'AW30NDwEI_aRf68WKvnr5e75D27OgV4zVKma24eRxzbnqPPcRax6NiTm-UEUTonW44et-OFowoXwuCzlHaH65EDnHNVzZiG1ba2Roin1FT1kSJlMAXwUfUeTP6xUNIi6_mEdOkPSMrRQmAIqBOyCXyCyyIFPLQRDz2ckKtr434zClBbIOvE9', 'width': 4032}]",ChIJryiREbghU4YRZ83ucfbhmUE,"{'compound_code': 'VFJ6+35 Wichita Falls, TX, USA', 'global_code': '8653VFJ6+35'}",2.0,4.5,ChIJryiREbghU4YRZ83ucfbhmUE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3415.0,"3111 Lawrence Road, Wichita Falls",
OPERATIONAL,"{'location': {'lat': 33.87892790000001, 'lng': -98.5515784}, 'viewport': {'northeast': {'lat': 33.8801607302915, 'lng': -98.5501802197085}, 'southwest': {'lat': 33.8774627697085, 'lng': -98.5528781802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cheddar's Scratch Kitchen,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109921930868796227368"">Charles Allen (Chuck)</a>'], 'photo_reference': 'AW30NDzVUP2YV5iOCp7v3HOSSpJt_1OyAGEAJdtuKmoufHMqPVTM4ewUAvH66ByVeUBi_vTKmb6ETHpU9b7aO5J3jTA9Tx9YYnvZZXk7TdBBld-QE-zt00gLfq_xEHL4DUzWStRacODHgCf1xsCgTGNyiO9WvjH2eDCFfgXHm0zixyFQHq_F', 'width': 3024}]",ChIJkanZSpUhU4YRoYdlQG2-inM,"{'compound_code': 'VCHX+H9 Wichita Falls, TX, USA', 'global_code': '8653VCHX+H9'}",2.0,4.2,ChIJkanZSpUhU4YRoYdlQG2-inM,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2122.0,"4240 Kell West Boulevard, Wichita Falls",
OPERATIONAL,"{'location': {'lat': 33.9024948, 'lng': -98.4979003}, 'viewport': {'northeast': {'lat': 33.9039933302915, 'lng': -98.49660761970848}, 'southwest': {'lat': 33.9012953697085, 'lng': -98.49930558029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107372807092526782903"">Alex Pappas</a>'], 'photo_reference': 'AW30NDwpP0K_-QDTm-uD1fmL3LYY73owr__1kroLxTMxrNyAxw_UBsdd8Xs2FTW66M1NtA5RkcsBLyY1RBQ6bVZltX1F7nC4iJHDvwqBlBARxKFR3I5TgezVFsoRZ0QTMcJOKAgVHooyn1bxChNdv5z5CJwPdPrsEnMVZEjwRfqPgqYVA5j1', 'width': 3024}]",ChIJCW0I9mIgU4YRyenvwYtZRhM,"{'compound_code': 'WG22+XR Wichita Falls, TX, USA', 'global_code': '8653WG22+XR'}",1.0,4.0,ChIJCW0I9mIgU4YRyenvwYtZRhM,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",222.0,"1200 Holliday Street, Wichita Falls",
OPERATIONAL,"{'location': {'lat': 33.9506008, 'lng': -98.5291577}, 'viewport': {'northeast': {'lat': 33.95209608029149, 'lng': -98.52751686970848}, 'southwest': {'lat': 33.9493981197085, 'lng': -98.5302148302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113179900893973311881"">Joshua Taylor Doran</a>'], 'photo_reference': 'AW30NDzL3JWrkWETkeGg-RvxJSyjyA6duV1HaRFJ1PA2kbzFvANhtTd54KfeA4C9AkdEFUX1ZiZmeU-DN9w-0HGyf2Jlzrnh6s6IvOjJ3_e7tOOXTTCm6LBzw31Hy6lyDxk0L1fAYlytnHyJVT8rllsUzE6arXJTjJgEdhJ2664c2kJdHkrv', 'width': 3024}]",ChIJzaIaRionU4YRqsy1Ux5SPXU,"{'compound_code': 'XF2C+68 Wichita Falls, TX, USA', 'global_code': '8653XF2C+68'}",1.0,3.2,ChIJzaIaRionU4YRqsy1Ux5SPXU,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",36.0,"2700 Central East Freeway, Wichita Falls",
OPERATIONAL,"{'location': {'lat': 33.8700528, 'lng': -98.5171254}, 'viewport': {'northeast': {'lat': 33.87154883029149, 'lng': -98.5157270697085}, 'southwest': {'lat': 33.8688508697085, 'lng': -98.51842503029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pelican's,{'open_now': True},"[{'height': 3138, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114783647562149416871"">Patrick A Corrente</a>'], 'photo_reference': 'AW30NDw7GKpFUhl6ygog9U4YIMXstrliuhkugXncqOiCEu3mRbAbI-rRZIRGL-EE7JOPy6y6TMU7QWzAZg0ZFTGudHwFD6jfTJctTVaTwBZkapydi8JPoGVN9nVpUDtX3xeGGn8w-nCrOsSjp4Iu9KqJowbLT8zPNUZ65W1wZtjl_u8NF0cG', 'width': 2352}]",ChIJtbPrGzAgU4YRD04MCFHacu0,"{'compound_code': 'VFCM+24 Wichita Falls, TX, USA', 'global_code': '8653VFCM+24'}",3.0,4.5,ChIJtbPrGzAgU4YRD04MCFHacu0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",565.0,"2301 Midwestern Parkway, Wichita Falls",
OPERATIONAL,"{'location': {'lat': 33.8771863, 'lng': -98.56040010000001}, 'viewport': {'northeast': {'lat': 33.87842638029149, 'lng': -98.5590548697085}, 'southwest': {'lat': 33.87572841970849, 'lng': -98.56175283029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113921702769497787949"">Michelle Hodges</a>'], 'photo_reference': 'AW30NDwVOQ_5dfxoq0IZ-doinlDjhpT59jRiEdpI_WVtN3E8K-IZZiZ_EpP9Xf22XMjEAGfcunkpwe2ZZwpw3EbYi2nQBgsb5H0TBy1BSYeOyvMRFpVTFNrjpOMM2B7dYP9njhps4Y-CmFTlKjQnMResuj6rqSePuL5OXOgBzGwC5WwsOw6m', 'width': 5312}]",ChIJnTsxT-0hU4YR5JwAaDS0fDk,"{'compound_code': 'VCGQ+VR Wichita Falls, TX, USA', 'global_code': '8653VCGQ+VR'}",1.0,4.1,ChIJnTsxT-0hU4YR5JwAaDS0fDk,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",102.0,"3701 Fairway Boulevard Suite 104, Wichita Falls",
OPERATIONAL,"{'location': {'lat': 33.95285, 'lng': -98.528435}, 'viewport': {'northeast': {'lat': 33.95411113029149, 'lng': -98.5271458697085}, 'southwest': {'lat': 33.95141316970849, 'lng': -98.52984383029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107372807092526782903"">Alex Pappas</a>'], 'photo_reference': 'AW30NDwfKMqWB8NmFvcvHv_Z6v8yJRk5odJ6OKj-y9_w9Wm0gi_lSijlSao3gvA_PbCSXMAP3JXZGF6vMsWLsJxwOLXqPQayoKFORg21wOMC-pFePq4nuRrX7l6R0u1oTFshGnaPy4mFDhitbl_lO0VCyIjtqcIRIIx_NzAQm8g17utMuWqc', 'width': 3024}]",ChIJqTiOHNYmU4YRUCC2psOA0FE,"{'compound_code': 'XF3C+4J Wichita Falls, TX, USA', 'global_code': '8653XF3C+4J'}",1.0,4.0,ChIJqTiOHNYmU4YRUCC2psOA0FE,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",137.0,"2314 Airport Drive Suite A, Wichita Falls",
OPERATIONAL,"{'location': {'lat': 33.96081559999999, 'lng': -98.5130995}, 'viewport': {'northeast': {'lat': 33.96219273029149, 'lng': -98.5119638197085}, 'southwest': {'lat': 33.95949476970849, 'lng': -98.5146617802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111352538447734881498"">Angela Smith</a>'], 'photo_reference': 'AW30NDyHXndHc_o9YwdWK13LckSr9fZZ_3WXBi6K4qKjjM7rRgpn2FKJ1IUuzhI4D9ARvts06VV_fMbX4qvHxsGBw693HMo2thoi5-kjVXcbKI-z5PSWUP0HQLqQjYutKEpBkjj7k-42j85oR4NczLgpWqutshDlYmzwGEz9ItxSnTQqshG8', 'width': 3264}]",ChIJkdvITjonU4YRTE1JUrQ9ajk,"{'compound_code': 'XF6P+8Q Wichita Falls, TX, USA', 'global_code': '8653XF6P+8Q'}",1.0,4.3,ChIJkdvITjonU4YRTE1JUrQ9ajk,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",131.0,"3711 Sheppard Access Road, Wichita Falls",
OPERATIONAL,"{'location': {'lat': 33.9077869, 'lng': -98.5305412}, 'viewport': {'northeast': {'lat': 33.9092513302915, 'lng': -98.52929836970848}, 'southwest': {'lat': 33.9065533697085, 'lng': -98.5319963302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104023695930501817513"">Jeff Creekmore</a>'], 'photo_reference': 'AW30NDy8Uc3Ktq6K-66ZYng3zQ79YnjbFFw2BvDEjYx21TnC0mkjaPbbp9dX1dIJpjAK8XFI-kxxUXvqQWSdLKOtZksDNJyTbrna4E0HdwkQbMFPLWOr0bclHDys0K_8tr4lBcmgCN59BhafWykAdWagFdG3eW0ypsgI1LUsq3EHaiQmgFJQ', 'width': 1080}]",ChIJg363LQIhU4YRE2nThiIolx8,"{'compound_code': 'WF59+4Q Wichita Falls, TX, USA', 'global_code': '8653WF59+4Q'}",1.0,4.3,ChIJg363LQIhU4YRE2nThiIolx8,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",138.0,"3141 5th Street, Wichita Falls",
OPERATIONAL,"{'location': {'lat': 33.8717906, 'lng': -98.5354126}, 'viewport': {'northeast': {'lat': 33.87323248029151, 'lng': -98.53390301970849}, 'southwest': {'lat': 33.87053451970851, 'lng': -98.5366009802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104102649432470817824"">nasser Aldahmani</a>'], 'photo_reference': 'AW30NDw7atXNHgPSvKmpMmFSbvXa6XCHHCG7n2MyfHmtbDbF5iUZgN-nObFa15mllDQnIje2n-oJ0YlHt41v-MourCDsXhEzc8e5YY2BlIiCyRKce3efJ7wMb9jqCUT2Gfq-ZYeAmhkWPgkExAU_LFRkArCq4k9JfWeuuy4MVxeml31pPly-', 'width': 3024}]",ChIJm41x884hU4YRTStTtK1BOsM,"{'compound_code': 'VFC7+PR Wichita Falls, TX, USA', 'global_code': '8653VFC7+PR'}",2.0,4.3,ChIJm41x884hU4YRTStTtK1BOsM,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1714.0,"3916 Kemp Boulevard, Wichita Falls",
