business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 37.6828958, 'lng': -97.3412172}, 'viewport': {'northeast': {'lat': 37.6839956302915, 'lng': -97.33985741970848}, 'southwest': {'lat': 37.6812976697085, 'lng': -97.3425553802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Harvest Kitchen | Bar,{'open_now': True},"[{'height': 1615, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107826923152200944759"">Harvest Kitchen | Bar</a>'], 'photo_reference': 'AW30NDz1ZjC7EV1XEx8DmB7q_7ADNFEYG-zxRnpYwcGElCuqfZZ4jau7iDDtfcctnDR-eQ12tIRHjsW1Nyzuvb18sj3wYVkQcCA58g7gSosEemZ995cWiPagn4fZVBLg5-RQ_cmFt7N-GZSnznONf76HmvB-aobMT3ZinEbDWxFGRf1M72hU', 'width': 2357}]",ChIJu28hpOjjuocRAiG8lbM7BHo,"{'compound_code': 'MMM5+5G Wichita, KS, USA', 'global_code': '8694MMM5+5G'}",4.2,ChIJu28hpOjjuocRAiG8lbM7BHo,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",76.0,"400 West Waterman Street, Wichita",,
OPERATIONAL,"{'location': {'lat': 37.6900364, 'lng': -97.3286127}, 'viewport': {'northeast': {'lat': 37.6912655302915, 'lng': -97.32733356970849}, 'southwest': {'lat': 37.6885675697085, 'lng': -97.3300315302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Old Chicago Pizza + Taproom,{'open_now': True},"[{'height': 1440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106219700403652066501"">Doug Farrell Godard</a>'], 'photo_reference': 'AW30NDzL-dFfrIvc4xsmar8LDJvzD7bFYwU-Dzp2rgAdg_QulnJTEJDpNimvIHzVMoNgRUT30rQTYp-JlBC7tCGFGhBXrf6kpC5te4VjeiypcKr1wJFjk_5A-23hcPuHpVi8TY0PhDyMbwl6zTd9vSBO-DxaSZWRAoqL4Q0cUVuHDE-ioyY4', 'width': 1081}]",ChIJ6x6qC7_juocRLMMZPPaOE7g,"{'compound_code': 'MMRC+2H Wichita, KS, USA', 'global_code': '8694MMRC+2H'}",4.2,ChIJ6x6qC7_juocRLMMZPPaOE7g,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2708.0,"300 North Mead Street Ste 100, Wichita",2.0,
OPERATIONAL,"{'location': {'lat': 37.6922772, 'lng': -97.2982388}, 'viewport': {'northeast': {'lat': 37.6936258802915, 'lng': -97.29701361970848}, 'southwest': {'lat': 37.6909279197085, 'lng': -97.2997115802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 3006, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118168730088144806788"">Niko Kubli</a>'], 'photo_reference': 'AW30NDw_DKzou_6kKi3Eg60mYIQ6b3_kAk4gO2DORBEeXYbYLzeGnbvprbGmZOr9c49_PxV1eHOrWfRqWdv8q-_oQ624Rxz-jzaEAFVRdj9WBn6N0f5hKXHx6YKQ6Txo0YoldZPItsOXfmN84pzsNrP_ztTVYdGvQprmh3h6enATvcE0O-oU', 'width': 5344}]",ChIJ_fGsmA3juocRjcTFQrYALpk,"{'compound_code': 'MPR2+WP Wichita, KS, USA', 'global_code': '8694MPR2+WP'}",3.7,ChIJ_fGsmA3juocRjcTFQrYALpk,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",115.0,"410 North Hillside Street Suite 800, Wichita",1.0,
CLOSED_TEMPORARILY,"{'location': {'lat': 37.7005981, 'lng': -97.3359136}, 'viewport': {'northeast': {'lat': 37.7019469302915, 'lng': -97.33439531970849}, 'southwest': {'lat': 37.6992489697085, 'lng': -97.3370932802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110136598420589157058"">Adrián Lamo</a>'], 'photo_reference': 'AW30NDz3G7v13aXu4-tDX4ly99FRCTOopIykIP7J0l3NX43L05xO98eXlTcbJiMQrUWxz0oEP0w3DP3ueXoh7zUeQVMcSA-30FgACSDVPxsNzUeVFwzKUxIjVSRVVU6gbfPNmbarZcr9KUKsn6DL6Nqw3C1IcQUAhy_CoxpGZBGUuu0L8mq4', 'width': 4160}]",ChIJpTuI0c7juocRPTXA1vk4e0w,"{'compound_code': 'PM27+6J Wichita, KS, USA', 'global_code': '8694PM27+6J'}",3.8,ChIJpTuI0c7juocRPTXA1vk4e0w,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",95.0,"1001 North Broadway Street, Wichita",1.0,True
OPERATIONAL,"{'location': {'lat': 37.6842359, 'lng': -97.3522729}, 'viewport': {'northeast': {'lat': 37.6854530302915, 'lng': -97.3509235197085}, 'southwest': {'lat': 37.6827550697085, 'lng': -97.35362148029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 1325, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105898401158340309924"">Cheree Gould</a>'], 'photo_reference': 'AW30NDyYd6mmM42ZhqrQIZCRDqxbqWQaatWdlKaro7Zna14Z3DQouCggT4rDjkSv8meVaZTfcwDgtVkXgHWITH6x0JMT4ymFcn8xdNHbMY9_s21AeMUOUw_25YqRbKsWUy-HD2QLR7OBc0XvA3u25jzuwmK1GmcMPQm8eGCesQ-5WVqk9vjP', 'width': 2204}]",ChIJp7KEjV_huocRjqgU-Yqw4_E,"{'compound_code': 'MJMX+M3 Wichita, KS, USA', 'global_code': '8694MJMX+M3'}",3.8,ChIJp7KEjV_huocRjqgU-Yqw4_E,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",191.0,"1016 West Douglas Avenue, Wichita",1.0,
OPERATIONAL,"{'location': {'lat': 37.686958, 'lng': -97.3398344}, 'viewport': {'northeast': {'lat': 37.6878258802915, 'lng': -97.3388838697085}, 'southwest': {'lat': 37.6851279197085, 'lng': -97.3415818302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Papa Johns Pizza,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109154049722990214019"">Brian Baker</a>'], 'photo_reference': 'AW30NDy0jNBvsyGH_STvNw_1dGcJr1-3wvg1uAWj0ZrrpgrhKhRiObCeBFjubR2WeGRmbA0UGsePSOCx7rkFCYouqFf6sDeo2BHoO54P5dO5PrAiVUWO8e0XJjXPXFVMW2qlmIDl7rUegd0UlfB2MsC14lRjzfPmErDJzVW9gFt7WlCz3ki7', 'width': 4032}]",ChIJmZj_HujjuocRIorZAnocz6g,"{'compound_code': 'MMP6+Q3 Wichita, KS, USA', 'global_code': '8694MMP6+Q3'}",3.6,ChIJmZj_HujjuocRIorZAnocz6g,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",181.0,"220 West Douglas Avenue Ste 7272, Wichita",1.0,
OPERATIONAL,"{'location': {'lat': 37.68636839999999, 'lng': -97.32731170000001}, 'viewport': {'northeast': {'lat': 37.68756483029149, 'lng': -97.3259737197085}, 'southwest': {'lat': 37.68486686970849, 'lng': -97.3286716802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Larkspur | Bistro & Bar,{'open_now': True},"[{'height': 4080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113448619191131470069"">David W.</a>'], 'photo_reference': 'AW30NDyBUtXtLPxqoFXAP9lAPa3xsSYsZer9YKLl8870hBS5VyosjNG_qSHqokd9AkuvxvUAXX7ILieChBOYUDBEZ0vBeYBhZ_QAyMuu2taetpnS8OEdHSf_yIJhRJoFRXEFpdyUSLIpLSKMsrUgKyVkV2DIoEowsrmh2docNrXItvZ4napb', 'width': 3072}]",ChIJjUnsnZXjuocRKqNbVEc5djE,"{'compound_code': 'MMPF+G3 Wichita, KS, USA', 'global_code': '8694MMPF+G3'}",4.4,ChIJjUnsnZXjuocRKqNbVEc5djE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",679.0,"904 East Douglas Avenue, Wichita",2.0,
OPERATIONAL,"{'location': {'lat': 37.7014039, 'lng': -97.33587969999999}, 'viewport': {'northeast': {'lat': 37.70278148029149, 'lng': -97.33437776970848}, 'southwest': {'lat': 37.70008351970849, 'lng': -97.3370757302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Kimlan Sandwiches,{'open_now': True},"[{'height': 1772, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114365274366733561765"">Jayla Bowman</a>'], 'photo_reference': 'AW30NDyHUetZ2a8BrXIcCFOQMRw63_0EZMjMJcBft-tDOTIak9gm5Hj7dWa2v4YivEonAANtY7Q-thri6hOeLIzOuHoEh3dddGh59ICyBpaspqKAYFPng8SasAgsOmWZ0AQtV0rTbtHR6j-2SQZbMNed6EIgsqz2u_Vq1eeMzTlhZxfuyi3o', 'width': 1772}]",ChIJ7Wkqts7juocRVOK4fnjRJX8,"{'compound_code': 'PM27+HJ Wichita, KS, USA', 'global_code': '8694PM27+HJ'}",4.7,ChIJ7Wkqts7juocRVOK4fnjRJX8,GOOGLE,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",284.0,"1035 North Broadway Street, Wichita",1.0,
OPERATIONAL,"{'location': {'lat': 37.6803298, 'lng': -97.33578539999999}, 'viewport': {'northeast': {'lat': 37.6816954802915, 'lng': -97.33430676970849}, 'southwest': {'lat': 37.6789975197085, 'lng': -97.3370047302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 5312, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113258009026342442121"">tamatha maddox</a>'], 'photo_reference': 'AW30NDzTbsMhpauD9wBt1AEkbPQCIsjkzpLEnGnGelC9QloqWHmJKAqAh4iSOkah8pQXVVmw0W_SwHo51wC_HO7hD930Xvey6aCGPYcyw8xenLboFsU94S9UVZVUS2Gf_bT2rVrQ6girzoZ3GpMWGwcLkdGjToSPC5zfz597Zw9AAGpY3SKJ', 'width': 2988}]",ChIJs4OWoe7juocRfu0HCY_yblE,"{'compound_code': 'MMJ7+4M Wichita, KS, USA', 'global_code': '8694MMJ7+4M'}",4.1,ChIJs4OWoe7juocRfu0HCY_yblE,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",243.0,"519 South Broadway, Wichita",1.0,
OPERATIONAL,"{'location': {'lat': 37.68948249999999, 'lng': -97.3269746}, 'viewport': {'northeast': {'lat': 37.69083218029149, 'lng': -97.3255603197085}, 'southwest': {'lat': 37.68813421970849, 'lng': -97.32825828029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Lotus Leaf Cafe,{'open_now': True},"[{'height': 1370, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110110283074670257998"">Lotus Leaf Cafe</a>'], 'photo_reference': 'AW30NDwKwah3RetNt8sMHK4Fnspr6GbFkx0DLNAEtAguPhfdEKvYLmUBs1AjHhMIWhE_q2IL87NU9anqHLJq8Z0UjNSCJiu_QTsI-0QdiADwbZey022kJKhzZpsSqTsC2ivu2WNGkmuAsn4pEXULEnmtdRkMO0cbqH7fx5rB-ITEW78_3xVr', 'width': 2048}]",ChIJ2Qlf3uDjuocRQ8NmxyCJfjM,"{'compound_code': 'MMQF+Q6 Wichita, KS, USA', 'global_code': '8694MMQF+Q6'}",4.5,ChIJ2Qlf3uDjuocRQ8NmxyCJfjM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",585.0,"251 North Washington North, Wichita",2.0,
