business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity
OPERATIONAL,"{'location': {'lat': 36.09718979999999, 'lng': -80.2566342}, 'viewport': {'northeast': {'lat': 36.09846933029149, 'lng': -80.25527251970848}, 'southwest': {'lat': 36.09577136970849, 'lng': -80.2579704802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Old Fourth Street Filling Station,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116460630631640924580"">Dan Spencer</a>'], 'photo_reference': 'AW30NDwWW9lmvNfe40rKXfpVbX5YZfssXckawAGQ74JSzXxDUuqBgNq5Mi61WQXXjnTAEQt4mrh1iM_hGLRrHiKKFTwSD9THb-tFB2TYBWf-vB30wuRUON53vahteSI3zCULzaXmcGORLWGtVXSpjqAtY6T2ub2iyIGCS-b9GAiVZTS3GOTw', 'width': 3024}]",ChIJx9hw6DiuU4gRbI4I3pNMVio,"{'compound_code': '3PWV+V8 Winston-Salem, NC, USA', 'global_code': '868X3PWV+V8'}",2.0,4.5,ChIJx9hw6DiuU4gRbI4I3pNMVio,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1361.0,"871 West 4th Street, Winston-Salem"
OPERATIONAL,"{'location': {'lat': 36.09788169999999, 'lng': -80.2476914}, 'viewport': {'northeast': {'lat': 36.0993335302915, 'lng': -80.24639461970848}, 'southwest': {'lat': 36.0966355697085, 'lng': -80.24909258029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mellow Mushroom Winston-Salem,{'open_now': True},"[{'height': 3688, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116964094618703901269"">Mellow Mushroom Winston-Salem</a>'], 'photo_reference': 'AW30NDy_DzysVkpJdQZ3oWCgtTd6MZtEYAu625ef4z0JKuWAv8Ws0YBYNAro8WQSsCMtvImicx-9o1Dm-Gd9tBZCclcPgDEFqx4pnwgGP80Kue3X9FFyyCkK9spU1yv4qJ04kBgkejWpOYsgN8KJjnG-Q9cxXZq4sUvyZKV60D_iOvf1Uuq_', 'width': 5723}]",ChIJHTVVCkSuU4gRwjWPGjqjx2w,"{'compound_code': '3QX2+5W Winston-Salem, NC, USA', 'global_code': '868X3QX2+5W'}",2.0,4.3,ChIJHTVVCkSuU4gRwjWPGjqjx2w,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2275.0,"314 West 4th Street, Winston-Salem"
OPERATIONAL,"{'location': {'lat': 36.0983732, 'lng': -80.24681629999999}, 'viewport': {'northeast': {'lat': 36.0996270802915, 'lng': -80.2454903197085}, 'southwest': {'lat': 36.09692911970851, 'lng': -80.2481882802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,THE HONEY POT,{'open_now': True},"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117205782965077893633"">Christopher Hall</a>'], 'photo_reference': 'AW30NDwDVrohYr1JqpxJwSfywMtNiYG1PgrC6k8wdFVBIqeIgU2RAiUTBijZB9mb8VmJ5UPebbuALe2SzMVWvt-a4J5V4bUCMBMCodk5q7lOwMWW9nZ4Xo3UpoXKAcP7iRWKJAX0jHMZScAvlX0_1WJpF6QY3jNXQy-vLHgsmjkILOmCX2p6', 'width': 5312}]",ChIJs5ZDj0OuU4gR4dOpGcCL4lM,"{'compound_code': '3QX3+87 Winston-Salem, NC, USA', 'global_code': '868X3QX3+87'}",,4.2,ChIJs5ZDj0OuU4gR4dOpGcCL4lM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",22.0,"285 West 4th Street, Winston-Salem"
OPERATIONAL,"{'location': {'lat': 36.1267421, 'lng': -80.2860195}, 'viewport': {'northeast': {'lat': 36.1281180302915, 'lng': -80.28456566970848}, 'southwest': {'lat': 36.1254200697085, 'lng': -80.28726363029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Village Tavern,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107933822310132081713"">Katharine Bayer</a>'], 'photo_reference': 'AW30NDy5m6sCsIF2vwXvAmLWEukLWKPER5g8yWWkkqJkt6zLC7bJ2fzPIuCY-qhKYY3qGxd_nV73axh7OcptzRl_Pgd0fXsyxAal1_F7bpRE0is3Nptpu2eFkhK__ekCPkkRSeqgeCuMfiUwEDeGCH8LJsrS8JQAKUQZujZa7CNpaxEPaeB_', 'width': 4032}]",ChIJqfcpcfixU4gRcupw3Cdt39M,"{'compound_code': '4PG7+MH Winston-Salem, NC, USA', 'global_code': '868X4PG7+MH'}",2.0,4.4,ChIJqfcpcfixU4gRcupw3Cdt39M,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",918.0,"221 Reynolda Village, Winston-Salem"
OPERATIONAL,"{'location': {'lat': 36.0981657, 'lng': -80.2434964}, 'viewport': {'northeast': {'lat': 36.0994878802915, 'lng': -80.24239591970849}, 'southwest': {'lat': 36.0967899197085, 'lng': -80.2450938802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': False},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107336414738887289854"">Chris Williamson</a>'], 'photo_reference': 'AW30NDyFq9opq4jpzHkU_PSqvtkub7NQC5G6nB4nCuopnW9PTl3knOtkIi2voIWg1MFBndLPJn0QQAbYoXROMWlT2KLRQFA1yWDtj4O1sUjJzLTQvbQ4H0qNGAU1vFLquwPhcBBSXNw4RTgiZUtadTaT1ufW198Ds6Ll0eqeHhN4SSucnyWF', 'width': 1920}]",ChIJ12xbpkSuU4gRUsmrYZUpz7A,"{'compound_code': '3QX4+7J Winston-Salem, NC, USA', 'global_code': '868X3QX4+7J'}",1.0,4.1,ChIJ12xbpkSuU4gRUsmrYZUpz7A,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.0,"301 North Main Street, Winston-Salem"
OPERATIONAL,"{'location': {'lat': 36.086607, 'lng': -80.29091199999999}, 'viewport': {'northeast': {'lat': 36.0877387302915, 'lng': -80.2894868697085}, 'southwest': {'lat': 36.0850407697085, 'lng': -80.29218483029152}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Milner's American Southern Restaurant And Catering,{'open_now': False},"[{'height': 3936, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110218946857995740395"">Janelle Cunningham</a>'], 'photo_reference': 'AW30NDxYNLfe1pOYacXsmT5ed7Dw6Vw5AqKdACheaKhuave1G37bSz-Yui10fwgi8099B4XojJiIi_2laOisLPUv_H_shzqf9BqmuYjCeOrxcf_Xnw9IACHLz9zMZueovF7Pw0Um9hsSEm4unRPs0L1WHhLNnI72MIr7qdf2sRndv3ZFX_UJ', 'width': 5248}]",ChIJj_Ex3syxU4gR_AzU9i5qjMY,"{'compound_code': '3PP5+JJ Winston-Salem, NC, USA', 'global_code': '868X3PP5+JJ'}",2.0,4.6,ChIJj_Ex3syxU4gR_AzU9i5qjMY,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",879.0,"630 South Stratford Road, Winston-Salem"
OPERATIONAL,"{'location': {'lat': 36.0969086, 'lng': -80.25672089999999}, 'viewport': {'northeast': {'lat': 36.0983220802915, 'lng': -80.25536251970848}, 'southwest': {'lat': 36.0956241197085, 'lng': -80.2580604802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Mozelle's Fresh Southern Bistro,{'open_now': False},"[{'height': 1000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113529341264207550654"">Mozelle&#39;s Fresh Southern Bistro</a>'], 'photo_reference': 'AW30NDxEYER2BXrR9tmmokHW5I6JDjVRu1kdBQoOCENiGmtLmhlievB0ulBjxZNjnflYQa3G3Gz3fV3YxCz7yRPpr_eGkGUtDbO4IituwnuxDl0jufRNsiFcM_s9quh8kHTuCn8YYx_3RDgdpxNi-3XmzdgsTTcmORSohELzskf7K4ERNeE', 'width': 1500}]",ChIJMf2-4ziuU4gRcK-53nv89Rk,"{'compound_code': '3PWV+Q8 Winston-Salem, NC, USA', 'global_code': '868X3PWV+Q8'}",2.0,4.6,ChIJMf2-4ziuU4gRcK-53nv89Rk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",936.0,"878 West 4th Street, Winston-Salem"
OPERATIONAL,"{'location': {'lat': 36.0983384, 'lng': -80.2410283}, 'viewport': {'northeast': {'lat': 36.0998015302915, 'lng': -80.23999441970848}, 'southwest': {'lat': 36.0971035697085, 'lng': -80.2426923802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Krankies,{'open_now': False},"[{'height': 1084, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112329059462868758060"">Rowdy Scarlett</a>'], 'photo_reference': 'AW30NDzO6c1ENkMNSVwHJRgdRpNmjfwtdN_AN5TbdPs_-1QZ4Ooj6TeeuBo4nmaGGqtYuGC161VAHsyKI2BAnzL0ge3CeaVx2tyXgYKkvx_yAbeUBtsC67ViCQubDXIalHFiin5H6dfL2V6TXPFBlipNkVxCpKEzouiV-SOldcRiVi-hYiEk', 'width': 1912}]",ChIJb8gRkFyuU4gRt5ASvjb0F_Y,"{'compound_code': '3QX5+8H Winston-Salem, NC, USA', 'global_code': '868X3QX5+8H'}",2.0,4.3,ChIJb8gRkFyuU4gRt5ASvjb0F_Y,GOOGLE,"['cafe', 'bar', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",1668.0,"211 3rd Street East, Winston-Salem"
OPERATIONAL,"{'location': {'lat': 36.12768329999999, 'lng': -80.26164849999999}, 'viewport': {'northeast': {'lat': 36.12908368029149, 'lng': -80.2601758197085}, 'southwest': {'lat': 36.12638571970849, 'lng': -80.2628737802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 766, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107645121885548551628"">Subway</a>'], 'photo_reference': 'AW30NDxqh1sx5TDJWfBgtQpuL4ajpe9CkqZfDfK2IekWvhEqF7jF9clScML_5DyLnKKSOtfmSotlUJKsHqY9mvA8LdkgekihtaBgNRWrmxn9MEHkS1pHUECa2CthNDFZEeJseIvjMOUBA8l5V2Y77WgPtIy7nE71KyFR8Y6Geu6KkPaBUHM', 'width': 766}]",ChIJ97EyN-KtU4gR5R5lL_5aChA,"{'compound_code': '4PHQ+38 Winston-Salem, NC, USA', 'global_code': '868X4PHQ+38'}",1.0,3.7,ChIJ97EyN-KtU4gR5R5lL_5aChA,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",109.0,"2808 University Parkway, Winston-Salem"
OPERATIONAL,"{'location': {'lat': 36.09440859999999, 'lng': -80.2775157}, 'viewport': {'northeast': {'lat': 36.09583378029149, 'lng': -80.27610896970849}, 'southwest': {'lat': 36.09313581970849, 'lng': -80.2788069302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Midtown Cafe and Dessertery,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107665520089585066565"">Shay H.</a>'], 'photo_reference': 'AW30NDzgdsrA4EBzlFD1c37u-6KyhGTrbruXzwLQSrPDG1MajmKARY8PSbwE53rsS-FZevzSrIejNdgRsdrnAZeRCktQboA9w1Zwtw_G3g9rGuna-3pXjZw0ZP1Y4DHG9-unFM0kveUVL3oviR6_5xw0mfHo6kxB9qRzbwzpjewZoMfWdkp_', 'width': 4608}]",ChIJ5YX57dexU4gRxm-7c0i2bbQ,"{'compound_code': '3PVC+QX Winston-Salem, NC, USA', 'global_code': '868X3PVC+QX'}",2.0,4.4,ChIJ5YX57dexU4gRxm-7c0i2bbQ,GOOGLE,"['cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",1288.0,"151 South Stratford Road, Winston-Salem"
