business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 40.5613546, 'lng': -74.3010884}, 'viewport': {'northeast': {'lat': 40.56265013029149, 'lng': -74.2998499697085}, 'southwest': {'lat': 40.5599521697085, 'lng': -74.30254793029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Jose Tejas,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105854794355464564842"">Prince</a>'], 'photo_reference': 'AW30NDxEs7uAx5nlbeG_1CDZ4ddHewwKO5IEUDDFPg3hwT1Wh_I6fGTUEeJc0xL9SIUGioCLq5Iqoqqr8IbXVzNDKS89Qi553M1CoH7eOxsp0vo-HBAV993zCzn7J1pVnsBjFGSW7kSX_rcpLPyDn1PAYdEONDcf5KvKxEECWK0R0gOMoY2G', 'width': 4032}]",ChIJ6zuxmNa1w4kR7RCXDa283g0,"{'compound_code': 'HM6X+GH Iselin, Woodbridge Township, NJ, USA', 'global_code': '87G7HM6X+GH'}",1.0,4.5,ChIJ6zuxmNa1w4kR7RCXDa283g0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",10545.0,"700 U.S. 1, Iselin",
OPERATIONAL,"{'location': {'lat': 40.5562994, 'lng': -74.3113171}, 'viewport': {'northeast': {'lat': 40.5575398302915, 'lng': -74.3100165697085}, 'southwest': {'lat': 40.5548418697085, 'lng': -74.3127145302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Kona Grill - Woodbridge,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111921769769796979253"">Ron M</a>'], 'photo_reference': 'AW30NDzL5MASqZ37g-lg-TqdiWUYZa7CjxtP-Z_g5dVfMRwtqv6pLpFXvI1ML9oVI-wnIXtXTekpJL5IV6lo-vY0O6-SaTUuQN_9Zu9rG3-IL9ovl7aZGQxvadIPAxjlmYqvDGhOLQcafTp9-8GeabnQ9LsHgh7xjPflgdK4FmQRoD6_FLbb', 'width': 4032}]",ChIJaWw6KNa1w4kRPf099CF3BEs,"{'compound_code': 'HM4Q+GF Woodbridge Township, NJ, USA', 'global_code': '87G7HM4Q+GF'}",2.0,4.5,ChIJaWw6KNa1w4kRPf099CF3BEs,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3687.0,"511 U.S. 1, Woodbridge Township",
CLOSED_TEMPORARILY,"{'location': {'lat': 40.54756339999999, 'lng': -74.3233133}, 'viewport': {'northeast': {'lat': 40.54892993029149, 'lng': -74.32208156970849}, 'southwest': {'lat': 40.54623196970849, 'lng': -74.32477953029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Headquarters Lounge,,"[{'height': 2269, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111032813831141758792"">HEADQUARTERS LOUNGE</a>'], 'photo_reference': 'AW30NDyfIByNhar2SB6ZeEmPikIw90XDmAu420v3-n5GkmSk-czPKjwFmslxAihWXJol6Zt5C1CfhV47Omsa4oJAjS61NVaAF6WZ_7JfV7iGIT8znpY6BB_I_b-K3fDEONkqUnIVhHXWI6NTnIDeN8x1QZEkjGSG1jIAftWfd7fgvNljybYb', 'width': 4032}]",ChIJaUlFgG22w4kRI1GuXlSP7hQ,"{'compound_code': 'GMXG+2M Fords, Woodbridge Township, NJ, USA', 'global_code': '87G7GMXG+2M'}",2.0,3.3,ChIJaUlFgG22w4kRI1GuXlSP7hQ,GOOGLE,"['bar', 'night_club', 'restaurant', 'food', 'point_of_interest', 'establishment']",581.0,"85 Lafayette Road, Fords",True
OPERATIONAL,"{'location': {'lat': 40.5739607, 'lng': -74.3252335}, 'viewport': {'northeast': {'lat': 40.57531383029149, 'lng': -74.3239560697085}, 'southwest': {'lat': 40.5726158697085, 'lng': -74.32665403029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dimple's Bombay Talk,{'open_now': True},"[{'height': 2048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113830513919208731082"">Dimple&#39;s Bombay Talk</a>'], 'photo_reference': 'AW30NDzwT8lmx4fNgDCEjmJv1Y26MJNwUR2berVHIxpOEx8y4gA-CiO9feOAA8Kpzs4pckU3A3Y4dq8Dy5-pz7PGDx7omXqvCeEezMDX-b5tY5CMNQGgmVBMHuEFa9esdtEc75lCipUerVlx1ZA4Hbij1YvixGaXkbVh7vsswBam3dewmR4t', 'width': 1536}]",ChIJXQPhvo-2w4kROn-ywhhOfgE,"{'compound_code': 'HMFF+HW Iselin, Woodbridge Township, NJ, USA', 'global_code': '87G7HMFF+HW'}",1.0,3.9,ChIJXQPhvo-2w4kROn-ywhhOfgE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1643.0,"1358 Oak Tree Road, Iselin",
OPERATIONAL,"{'location': {'lat': 40.5564532, 'lng': -74.3049118}, 'viewport': {'northeast': {'lat': 40.55771078029149, 'lng': -74.30360186970849}, 'southwest': {'lat': 40.55501281970849, 'lng': -74.30629983029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Olive Garden Italian Restaurant,{'open_now': True},"[{'height': 3348, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103331897297577664302"">Hrishikesh vimadalal</a>'], 'photo_reference': 'AW30NDx5GYNCsHM-ExjZ6n3dXZLrlekhJjE5tMm08Fa65rnDn-CPiw1aU45MCOW7ed-HfRnACEcrxjNZLzMHqOi6BXuIz6zI-IF8-wlD1bfxvjsZ2QW3iQ_DGVz5t6VThWcilHAzvxs3XhB5Y0ns9lNT95spQRbELBpxVRgqekzyssyuHoWF', 'width': 5952}]",ChIJPamEONG1w4kRtCgmIMr47UQ,"{'compound_code': 'HM4W+H2 Woodbridge Township, NJ, USA', 'global_code': '87G7HM4W+H2'}",2.0,4.2,ChIJPamEONG1w4kRtCgmIMr47UQ,GOOGLE,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3371.0,"510 Woodbridge Center Drive, Woodbridge Township",
OPERATIONAL,"{'location': {'lat': 40.55474, 'lng': -74.277236}, 'viewport': {'northeast': {'lat': 40.5560935302915, 'lng': -74.27579926970849}, 'southwest': {'lat': 40.5533955697085, 'lng': -74.27849723029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Woodbridge Brewing Co.,{'open_now': True},"[{'height': 960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112582403080611889916"">Woodbridge Brewing Co.</a>'], 'photo_reference': 'AW30NDxD9TKd-YLpl5pb4wrb3e0gR_sJiyTrxyExhtGDx6YV-DEyHveh5WL5KfYtXZDeaT2sv8BN45yg6ZzUvUEWpjIS9PKEPzb3sJKyLLUUS64lNV5j9Jg6baYzWlZwuOlO6AKUXYv2Db72XItj3Hb4KoNam165ujooIREqESsjlMNFUGhP', 'width': 1280}]",ChIJr83wDLK1w4kRKGskAIUeCl8,"{'compound_code': 'HP3F+V4 Woodbridge Township, NJ, USA', 'global_code': '87G7HP3F+V4'}",2.0,4.2,ChIJr83wDLK1w4kRKGskAIUeCl8,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",528.0,"33 Main Street, Woodbridge Township",
OPERATIONAL,"{'location': {'lat': 40.5727532, 'lng': -74.33391200000001}, 'viewport': {'northeast': {'lat': 40.5741814802915, 'lng': -74.3325554197085}, 'southwest': {'lat': 40.5714835197085, 'lng': -74.3352533802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Rasoi II Restaurant,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106212694188377582768"">Sridhar Srinivasan</a>'], 'photo_reference': 'AW30NDykz7WNFSH0DWdsmrn2neM_rRUHXXBQHDYB-bs9xBsM1munIj-LAiS_NVOQ-YiONOec8mZKgC95bA_FHQMb0QifI5-22NCnmvSj6PIBInRRaIX0-5peGAMxyh4Mcmu-SFcOPtsGdy3B66Lz3u1ORxgWUQ1-BHj3xGP8_i_GWDAUrqfe', 'width': 4032}]",ChIJofyq94y2w4kRL0c2wg99J_0,"{'compound_code': 'HMF8+4C Iselin, Woodbridge Township, NJ, USA', 'global_code': '87G7HMF8+4C'}",2.0,3.7,ChIJofyq94y2w4kRL0c2wg99J_0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1718.0,"1567 Oak Tree Road, Iselin",
OPERATIONAL,"{'location': {'lat': 40.5581535, 'lng': -74.2939439}, 'viewport': {'northeast': {'lat': 40.5594105802915, 'lng': -74.29268141970849}, 'southwest': {'lat': 40.5567126197085, 'lng': -74.29537938029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chris Michael's Steakhouse,{'open_now': True},"[{'height': 3540, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111160750812871115260"">Chris Michael&#39;s Steakhouse</a>'], 'photo_reference': 'AW30NDweffi1ZqTqym2MAyb9ZmATssnYpxCeJbQeLh2BeAH2C58u8s0LbVVAL8oCKyQx6ogj8TF5ZboEBmFgwe67aHe-4_6NqHA08BAHNAT0KCKj0mUK9mr3UVX67t0KGJiX3nAVRvabd98-mxydHK_kjcujZmIoCOWOCvIS2aZdyRRxT7Bu', 'width': 2832}]",ChIJk4ITj8u1w4kRkd_ftp44oRw,"{'compound_code': 'HP54+7C Woodbridge, Woodbridge Township, NJ, USA', 'global_code': '87G7HP54+7C'}",3.0,4.2,ChIJk4ITj8u1w4kRkd_ftp44oRw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",835.0,"40 Oakwood Avenue, Woodbridge",
OPERATIONAL,"{'location': {'lat': 40.5736605, 'lng': -74.3241522}, 'viewport': {'northeast': {'lat': 40.5750864802915, 'lng': -74.32279321970849}, 'southwest': {'lat': 40.5723885197085, 'lng': -74.32549118029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Shalimar Restaurant,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106077092332625640732"">VEEPIYEN</a>'], 'photo_reference': 'AW30NDzzqQ9OGzHJVpZsIBW9plslYpeoaExiLW9YB511WeT3BqbqSWnaXdc1EoWn0dtFhgPJGVlfPId76q3tLN1Xu7AmyFMtg1YubKCKhJxXXOo4OH4GjWdSX0Dg9cGFi5bpVJJfaIp_aWqeMbGRdyOG2mFJZ-P2-5hFJyV2wN1XSt0PpPOe', 'width': 4000}]",ChIJXQt3jo-2w4kRpq46Q0kc0Lk,"{'compound_code': 'HMFG+F8 Iselin, Woodbridge Township, NJ, USA', 'global_code': '87G7HMFG+F8'}",2.0,3.7,ChIJXQt3jo-2w4kRpq46Q0kc0Lk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1783.0,"1335 Oak Tree Road, Iselin",
OPERATIONAL,"{'location': {'lat': 40.56383, 'lng': -74.298147}, 'viewport': {'northeast': {'lat': 40.5651811302915, 'lng': -74.29693461970848}, 'southwest': {'lat': 40.5624831697085, 'lng': -74.29963258029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Big Shots Restaurant & Lounge,{'open_now': True},"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104977924892461304731"">Big Shots Restaurant &amp; Lounge</a>'], 'photo_reference': 'AW30NDy7rDWj-scJ1EZr5I47nwuN_sy3NY2ecGNWJ8aW0CNwIFgt12c4ykPUZKcVGgVsYuBKEDiIqtICo6hKqhtEhjlaiBGgwLu1JQICAmIWqmOZsbt_gCrGy2-qudUIna1_ZUI7gXVD-hvdkhst_kiyAW3nLFOGwrbsimNTHPfFZXaNaPaS', 'width': 1800}]",ChIJ6zuxmNa1w4kRKyvgGflvV3s,"{'compound_code': 'HP72+GP Iselin, Woodbridge Township, NJ, USA', 'global_code': '87G7HP72+GP'}",2.0,4.0,ChIJ6zuxmNa1w4kRKyvgGflvV3s,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",916.0,"780 U.S. 1, Iselin",
