business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed
OPERATIONAL,"{'location': {'lat': 42.26325829999999, 'lng': -71.7900472}, 'viewport': {'northeast': {'lat': 42.26450468029149, 'lng': -71.78887736970849}, 'southwest': {'lat': 42.2618067197085, 'lng': -71.79157533029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Via Italian Table,{'open_now': True},"[{'height': 2400, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116421293387827558967"">Via Italian Table</a>'], 'photo_reference': 'AW30NDx2VYPnu2KLfaw9zXJq6X2dx7I_Xf4tkjVPX0JvULg-Ix0G8dd36gez2hY9HwI-ndPG-ChMINOuLCw8fnI65sSHCsYG3-KkVkhCPENg1dWs3-_KK0OPisjL2_qQ2rF8cPFd4F0DqqpcWWUha6KvkzymDRPVMnJjBcEkghce3ozm-xVh', 'width': 3600}]",ChIJP-XUTmoG5IkRqPvRd658sNA,"{'compound_code': '7675+8X Worcester, MA, USA', 'global_code': '87JC7675+8X'}",2.0,4.5,ChIJP-XUTmoG5IkRqPvRd658sNA,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1603.0,"89 Shrewsbury Street, Worcester",
OPERATIONAL,"{'location': {'lat': 42.2712122, 'lng': -71.8072852}, 'viewport': {'northeast': {'lat': 42.2725494802915, 'lng': -71.80606331970849}, 'southwest': {'lat': 42.2698515197085, 'lng': -71.80876128029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Sole Proprietor,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115818641505177592860"">The Sole Proprietor</a>'], 'photo_reference': 'AW30NDycvS2tIEn_21_oRxAvNViyAQNb7NRXHWCwh7zjaPm4_P9x9A55tNFkGZLTMZb9i2aGspIkpcKNTCQ50YSRbtdp_Cf_Zz_Dsp7rG1ghAejCIieH6g4op76p0CHLBs5WNs_sd5OCSKSKJjH7RqsAjmOYY4AWBBa3zcIoPSkEZUgWDKYK', 'width': 4500}]",ChIJ_34fG18G5IkRk1RGOBVqBbE,"{'compound_code': '75CV+F3 Worcester, MA, USA', 'global_code': '87JC75CV+F3'}",3.0,4.5,ChIJ_34fG18G5IkRk1RGOBVqBbE,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2395.0,"118 Highland Street, Worcester",
OPERATIONAL,"{'location': {'lat': 42.29382539999999, 'lng': -71.77453460000001}, 'viewport': {'northeast': {'lat': 42.2952754302915, 'lng': -71.77304116970849}, 'southwest': {'lat': 42.2925774697085, 'lng': -71.77573913029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Roadhouse,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102075305285524030249"">Eric Bloom</a>'], 'photo_reference': 'AW30NDzjpamJsMxowMpeWR4w1o77RUEN4X2L-b-wRUEi7QAg-XudbC34McRouCf3xrWNXhcU4Ffdvh4CF2Fw_mlisWN8pMDMz9z2HhrR44Pig-aG6f0leo3HFN_8NEneYngr3WwI8ZU1pNN0xvcV6bFTG52Gm-vusfBKrK0PEDtGkN9DMbjo', 'width': 3264}]",ChIJAWIhW9sH5IkRMpywZW1nAQM,"{'compound_code': '76VG+G5 Worcester, MA, USA', 'global_code': '87JC76VG+G5'}",2.0,4.3,ChIJAWIhW9sH5IkRMpywZW1nAQM,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1991.0,"535 Lincoln Street F, Worcester",
OPERATIONAL,"{'location': {'lat': 42.2627767, 'lng': -71.82662499999999}, 'viewport': {'northeast': {'lat': 42.26397713029149, 'lng': -71.8254870197085}, 'southwest': {'lat': 42.26127916970849, 'lng': -71.82818498029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,NU Kitchen Worcester,{'open_now': False},"[{'height': 974, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100762042715736718074"">NU Kitchen Worcester</a>'], 'photo_reference': 'AW30NDw01iBcSkXCUBdDUnZd2_DcRcLVQu-bPgKOSI-tSJghyx-CxZggpJXjW3rEWfvBdSj8ly1QTwEPu6WaVfYEXK01fx1wsKGEruGdFFOFHH2m72s2Jv68ZTF84d6Ql3yYlHkW13fdotmwAz4fTYbOMk82FvWw8WGzewsJhb6LdyC9BYma', 'width': 1980}]",ChIJu6dDyJAG5IkRDOPPH1-R9ws,"{'compound_code': '757F+49 Worcester, MA, USA', 'global_code': '87JC757F+49'}",2.0,4.5,ChIJu6dDyJAG5IkRDOPPH1-R9ws,GOOGLE,"['meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1252.0,"335 Chandler Street, Worcester",
OPERATIONAL,"{'location': {'lat': 42.29449390000001, 'lng': -71.7774907}, 'viewport': {'northeast': {'lat': 42.2958968302915, 'lng': -71.77601371970849}, 'southwest': {'lat': 42.2931988697085, 'lng': -71.7787116802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Dunkin',{'open_now': False},"[{'height': 800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116837356157164172376"">Dunkin&#39;</a>'], 'photo_reference': 'AW30NDxFVMQbPv20htOF-3hpDqhMb_q97J9ZLZLQ_5RN5MlJLrP1SInJyda9qyC-UaLigP5j7yKesmjJxH2EIS4hOQljb3XrtySdESOqFSC4VwW9EvYkS7mCe83NnZQMilKiE-3ct3bpRjlHMSL-Q2njK7tZ2oz6fqlcZ78G_ieOpyyYJuwP', 'width': 1143}]",ChIJHzPtjMQH5IkRYaRy06o1mcY,"{'compound_code': '76VF+Q2 Worcester, MA, USA', 'global_code': '87JC76VF+Q2'}",1.0,4.1,ChIJHzPtjMQH5IkRYaRy06o1mcY,GOOGLE,"['meal_takeaway', 'cafe', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",124.0,"Bob's Discount Furniture, 490 Lincoln Street, Worcester",
OPERATIONAL,"{'location': {'lat': 42.2635249, 'lng': -71.7895344}, 'viewport': {'northeast': {'lat': 42.2649559302915, 'lng': -71.78826201970848}, 'southwest': {'lat': 42.2622579697085, 'lng': -71.79095998029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,One Eleven Chop House,{'open_now': True},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117528163791125913847"">Eric R</a>'], 'photo_reference': 'AW30NDwcXlTpEIV2zhBHkGTgcif9JRDOJWELzfjjFdOKaEuRwgAYK9ixsRTuL1_0pa9yVOu42_RjCi9KkCHVa5amyg5y7lF6LLRh5ggrhSag_J5TMDtse55vgKAFBozGC6G6vGivv7XnKEa6kF30adefFk8RNTIIkSC9FLp_sTxfhTHcgVoU', 'width': 2048}]",ChIJg04xWmoG5IkRhfdVonkir_g,"{'compound_code': '7676+C5 Worcester, MA, USA', 'global_code': '87JC7676+C5'}",,4.6,ChIJg04xWmoG5IkRhfdVonkir_g,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1227.0,"111 Shrewsbury Street, Worcester",
OPERATIONAL,"{'location': {'lat': 42.2668, 'lng': -71.794511}, 'viewport': {'northeast': {'lat': 42.26829158029149, 'lng': -71.7931062697085}, 'southwest': {'lat': 42.2655936197085, 'lng': -71.79580423029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/cafe-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/cafe_pinlet,Starbucks,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111974830300726941735"">James Pappas</a>'], 'photo_reference': 'AW30NDzEQEDxfMRcG0VtPcRr5NYAdv7bJZr5CM5wshkN3WOqPh9_k6p1YQNoaCKUNveOqatTtRkWGdG8L6LU6pb__Rpf84a2q8M3cNWv0XEXEeHwAhuLepFSXQBZOy_C6_9fag29C98guncqEIHd-K4OjEtS5714qxkxEW2uaqbOUBB-uEVy', 'width': 4608}]",ChIJo--LY0IG5IkRFZI5RietdDc,"{'compound_code': '7684+P5 Worcester, MA, USA', 'global_code': '87JC7684+P5'}",2.0,4.1,ChIJo--LY0IG5IkRFZI5RietdDc,GOOGLE,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",805.0,"11 East Central Street, Worcester",
OPERATIONAL,"{'location': {'lat': 42.26877390000001, 'lng': -71.80078139999999}, 'viewport': {'northeast': {'lat': 42.2700613302915, 'lng': -71.7992440697085}, 'southwest': {'lat': 42.2673633697085, 'lng': -71.80194203029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Armsby Abbey,{'open_now': True},,ChIJRTJ-CF0G5IkRU0j2VlY9IlA,"{'compound_code': '759X+GM Worcester, MA, USA', 'global_code': '87JC759X+GM'}",2.0,4.6,ChIJRTJ-CF0G5IkRU0j2VlY9IlA,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1509.0,"144 Main Street, Worcester",
OPERATIONAL,"{'location': {'lat': 42.2708623, 'lng': -71.80739299999999}, 'viewport': {'northeast': {'lat': 42.2722940302915, 'lng': -71.8060765197085}, 'southwest': {'lat': 42.2695960697085, 'lng': -71.8087744802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,The Boynton Restaurant & Spirits,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108725930120331200877"">Cyril Moore</a>'], 'photo_reference': 'AW30NDwwhKQ9xw2HQJyBOl7EoYJK9BeVik6HEfUPOg7COCKxEpcuBrUJ1GjYEcymZxI2YmiOhloWIjwd6zx-quLyyL2ybuvSvpkEZfG8cRghUjoM6vfescM06xJdndYh75oF-upzgGOjk9azItp0TO6MBHQkUDQXf6GAzAsxp-45k3oUDMKz', 'width': 3024}]",ChIJBzxfBV8G5IkRsUbib9rBuMo,"{'compound_code': '75CV+82 Worcester, MA, USA', 'global_code': '87JC75CV+82'}",2.0,4.4,ChIJBzxfBV8G5IkRsUbib9rBuMo,GOOGLE,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2806.0,"117 Highland Street, Worcester",
OPERATIONAL,"{'location': {'lat': 42.2545374, 'lng': -71.8256672}, 'viewport': {'northeast': {'lat': 42.25585118029149, 'lng': -71.8242304697085}, 'southwest': {'lat': 42.2531532197085, 'lng': -71.8269284302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Peppercorn's Grille & Tavern,{'open_now': False},"[{'height': 618, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108663638688492374173"">Peppercorn&#39;s Grille &amp; Tavern</a>'], 'photo_reference': 'AW30NDxvlcx38MPvUyM6Ck5NYVdmlut3mVTMhSf_ZC9aG5JPWACC_-BxvpM-TB-oI3SDeRujFcvfYJo8JtJc9ICU26Wio52N_Iu2mx7stIYYMV1wIS-pKkkcjWOFaWTrGO3hXI00R3xFCN6lGuy52rfB_uQVrtKYET4oY8R4lTRs797x1CQZ', 'width': 988}]",ChIJXfyRSpwG5IkRULtstHjN_wU,"{'compound_code': '753F+RP Worcester, MA, USA', 'global_code': '87JC753F+RP'}",2.0,4.4,ChIJXfyRSpwG5IkRULtstHjN_wU,GOOGLE,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",1196.0,"455 Park Avenue, Worcester",
