business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
OPERATIONAL,"{'location': {'lat': 40.91930149999999, 'lng': -73.8645107}, 'viewport': {'northeast': {'lat': 40.92109398029149, 'lng': -73.8636173197085}, 'southwest': {'lat': 40.91839601970849, 'lng': -73.8663152802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Empire City Casino,{'open_now': True},"[{'height': 1360, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101770909202109262516"">Empire City Casino</a>'], 'photo_reference': 'AW30NDzRX3W-vN5jUm7vohwnUb0XraXYGG-8u7B94CqtOtRj-u1MBFFCoP-cCoF5pBuY6fV_mCWbfdSzZsTcI2W5ROLDQwGpEBlIn_ZU5WN9cVNIJoaHgxX_xkisCHhuUMP-nKKAuVDZZtExb36H5uz195sqBMsZQUxN8Z5ZR_cP5iy29tph', 'width': 2420}]",ChIJh7tBHr7ywokR4hFTwLzlguk,"{'compound_code': 'W49P+P5 Yonkers, NY, USA', 'global_code': '87G8W49P+P5'}",3.9,ChIJh7tBHr7ywokR4hFTwLzlguk,GOOGLE,"['casino', 'tourist_attraction', 'restaurant', 'food', 'point_of_interest', 'establishment']",13254.0,"810 Yonkers Avenue, Yonkers",,
OPERATIONAL,"{'location': {'lat': 40.92684810000001, 'lng': -73.85366429999999}, 'viewport': {'northeast': {'lat': 40.9283560302915, 'lng': -73.85210536970848}, 'southwest': {'lat': 40.9256580697085, 'lng': -73.85480333029149}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chipotle Mexican Grill,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102501899432930026023"">Laz G</a>'], 'photo_reference': 'AW30NDyFzgUtaVpA2RqAdlMlSmPri9zzW5RyxpzTAc53zOrOpwXbonGj7m7bSu2Pa8XVmBLH4zDIykZW092myqDNP_fC--3a0h2SuElnRgFroujiBZ8syb0ahDWQIJiDZKNI5Y5LDfEsY-BpofAAFGGpwR_2UPMPlRGs4pFJrd9g09jZVA9o', 'width': 4032}]",ChIJ41KXQa_ywokRIUAtJKZPhZo,"{'compound_code': 'W4GW+PG Yonkers, NY, USA', 'global_code': '87G8W4GW+PG'}",3.5,ChIJ41KXQa_ywokRIUAtJKZPhZo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1315.0,"5510 Xavier Dr Space 5A10, Yonkers",1.0,
OPERATIONAL,"{'location': {'lat': 40.92383999999999, 'lng': -73.856991}, 'viewport': {'northeast': {'lat': 40.92512308029149, 'lng': -73.85552911970849}, 'southwest': {'lat': 40.9224251197085, 'lng': -73.8582270802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,"Neha Palace Indian Restaurant, Banquet Hall & Party Venue",{'open_now': True},"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113291067978896168318"">Neha Palace Indian Restaurant, Banquet Hall &amp; Party Venue</a>'], 'photo_reference': 'AW30NDy0H4VGJ5KxFcJIJeut3va2eVBhG7VWds4oKyG3jtgn6SJYseyiQC-mfEkbKtUypUuctKMLtPRucnQ5bmXpYyiw0XHD1IfpgrweF4fYeRn73QTK-A3GANqMrSGq7PyLbDyhX-oiinGB_rZOTFsSQtwquuYeeOXmoqNKmQoSNpUZlwwu', 'width': 1600}]",ChIJAQAAALzywokRTtuChSlv6fI,"{'compound_code': 'W4FV+G6 Yonkers, NY, USA', 'global_code': '87G8W4FV+G6'}",4.3,ChIJAQAAALzywokRTtuChSlv6fI,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",670.0,"27 Meyer Avenue, Yonkers",2.0,
OPERATIONAL,"{'location': {'lat': 40.9193567, 'lng': -73.86032999999999}, 'viewport': {'northeast': {'lat': 40.9206793302915, 'lng': -73.85911196970848}, 'southwest': {'lat': 40.9179813697085, 'lng': -73.8618099302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Louie & Johnnie's Ristorante Primavera,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109744132804398083264"">Lou Sorell</a>'], 'photo_reference': 'AW30NDw0SdoSh5Kvx4g9aC35QQnvu1iD4toPQAR7ZqAixCndt2ANStFOO9sEveQUBXVSrX0Hp2uGOTnZMEfXHjEfrRYH_DLBuegvfZ2YzDM-VedSa0tVbPvWLsCrbY9kst1aI9DKoNwFp9qCgWHAwOrCmtTobfI6d5KcsEUdWXIzjL8rPy_s', 'width': 4032}]",ChIJx7o5Ib_ywokR5QTuHRsd6qQ,"{'compound_code': 'W49Q+PV Yonkers, NY, USA', 'global_code': '87G8W49Q+PV'}",4.6,ChIJx7o5Ib_ywokR5QTuHRsd6qQ,GOOGLE,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",762.0,"887 Yonkers Avenue, Yonkers",2.0,
OPERATIONAL,"{'location': {'lat': 40.92710499999999, 'lng': -73.85244}, 'viewport': {'northeast': {'lat': 40.92843813029149, 'lng': -73.8510743697085}, 'southwest': {'lat': 40.92574016970849, 'lng': -73.8537723302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Red Lobster,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116852030260812218501"">Jason Lee Basora</a>'], 'photo_reference': 'AW30NDwGFGlIhOOOHcmbNAWubDIiSXHHQbbW32tWZWktUbC37laC5I1Eqgwt7DJq0NXkAnv9t6NO-9SMXsRzyotK3Xohqm9qLWOJgUtM7MSQ7T58bViGUlWSaN_gFK5QlVoWN_1HP8za6-uEa4tCn-UPt-K3-mCQO2-qbZl77ZVFpLkKOnju', 'width': 4032}]",ChIJwX4Bba_ywokRrrrJ1Dt72zM,"{'compound_code': 'W4GX+R2 Yonkers, NY, USA', 'global_code': '87G8W4GX+R2'}",4.0,ChIJwX4Bba_ywokRrrrJ1Dt72zM,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1985.0,"CROSS COUNTY MALL, 5135 Xavier Drive, Yonkers",2.0,
OPERATIONAL,"{'location': {'lat': 40.9308626, 'lng': -73.8707304}, 'viewport': {'northeast': {'lat': 40.93224463029149, 'lng': -73.86927756970849}, 'southwest': {'lat': 40.92954666970849, 'lng': -73.8719755302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,DeCosta's,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109552015133713801789"">DeCosta&#39;s</a>'], 'photo_reference': 'AW30NDz7zIkMdTgILL_0zkzV6vxODeCq5yWhSDRpmE8c8jt-p_BB0GwJeVpARfBnV4MW_2cfavBmyIAes3f98uu_Am_L3AuxhzAimPt6WxBUE3JVepX7Swsk7bP-l0JCyxk4HL2r1p2XRfO9VvEk-WlLf8Moe3RdjeSkmXHsuQ5frd3aWhPQ', 'width': 4032}]",ChIJBzVvrZ7ywokRQlANow1JaXg,"{'compound_code': 'W4JH+8P Yonkers, NY, USA', 'global_code': '87G8W4JH+8P'}",4.5,ChIJBzVvrZ7ywokRQlANow1JaXg,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",385.0,"400 Yonkers Avenue, Yonkers",2.0,
OPERATIONAL,"{'location': {'lat': 40.92898599999999, 'lng': -73.850222}, 'viewport': {'northeast': {'lat': 40.93031883029149, 'lng': -73.84873661970849}, 'southwest': {'lat': 40.9276208697085, 'lng': -73.8514345802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,TGI Fridays,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108161265629781921689"">Junior Peña</a>'], 'photo_reference': 'AW30NDx-gz63r_ljlgLY_kUPh2v_iu3EAYo5BFiqrj-72LlyhyaWHWzdRa8sYNTMxTm39oY1nO0gsaFD6LmN52YM_s0-tFgF3jjjZSIwL6cpb9FIIbqBNk7rwpeRkg6FVJPOFFi4qOvxQM597-SbnbEA2E2IoVJSXh6mjDuvmo5nrYw3P-fc', 'width': 4032}]",ChIJO_dwZKnywokRpyYYfCqdu48,"{'compound_code': 'W4HX+HW Yonkers, NY, USA', 'global_code': '87G8W4HX+HW'}",3.4,ChIJO_dwZKnywokRpyYYfCqdu48,GOOGLE,"['restaurant', 'meal_takeaway', 'bar', 'food', 'point_of_interest', 'establishment']",2057.0,"833 Kimball Avenue Bldg 13A, Yonkers",2.0,
OPERATIONAL,"{'location': {'lat': 40.948787, 'lng': -73.8767344}, 'viewport': {'northeast': {'lat': 40.95011613029151, 'lng': -73.8752563197085}, 'southwest': {'lat': 40.94741816970851, 'lng': -73.8779542802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Dom & Vinnies Restaurant,{'open_now': True},"[{'height': 3018, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104981465656830052937"">Dom &amp; Vinnies Restaurant</a>'], 'photo_reference': 'AW30NDwaYXhV_3MCs4tfmfRNifulvgkKtUNVVyhAPCVpMjxAHKWalRmx_98V8b1vXr4FarUMXTpeuzLwOyb7Dmf-6sWEjSNBiDVVfX9GZMbkKnEH9lCP2Z8_X_AnnindxMDQ2CyWeUL5NtE30PL3yW_g65GcukPpo6fi9FcMYSZuHa3FJJMu', 'width': 3018}]",ChIJtV5RU2XtwokRaOwlcFzQo4U,"{'compound_code': 'W4XF+G8 Yonkers, NY, USA', 'global_code': '87G8W4XF+G8'}",4.4,ChIJtV5RU2XtwokRaOwlcFzQo4U,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",417.0,"351 Saw Mill River Road, Yonkers",2.0,
OPERATIONAL,"{'location': {'lat': 40.92188900000001, 'lng': -73.847368}, 'viewport': {'northeast': {'lat': 40.9232300302915, 'lng': -73.84589891970849}, 'southwest': {'lat': 40.9205320697085, 'lng': -73.84859688029151}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Burkes Restaurant and Bar,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111341442721493014387"">Burkes Restaurant and Bar</a>'], 'photo_reference': 'AW30NDwLUO0p0F3Mw3geo0kXWKJLWuzAOnHRyEeghqLqUXAYtO3ZDEt8T5oeWmQepUExzSnfoRZqW3mOwgQpocsnH2MDyH6MjGfSJqRprVC-0NUINEVkavrvCzmN2UpA6CFQ8veaMlbh5de3z2Lm3K6q19rr45YQjCWpCSDY817qkDUK1oc3', 'width': 3024}]",ChIJSV6TIrLywokRoUzzJdnD3bo,"{'compound_code': 'W5C3+Q3 Yonkers, NY, USA', 'global_code': '87G8W5C3+Q3'}",4.3,ChIJSV6TIrLywokRoUzzJdnD3bo,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",677.0,"645 Bronx River Road, Yonkers",2.0,
OPERATIONAL,"{'location': {'lat': 40.9143254, 'lng': -73.8591639}, 'viewport': {'northeast': {'lat': 40.91571098029149, 'lng': -73.85774311970849}, 'southwest': {'lat': 40.91301301970849, 'lng': -73.8604410802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shopping_pinlet,New York Bagels Deli & Catering,{'open_now': False},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114637958487194920769"">Gabriel Suarez</a>'], 'photo_reference': 'AW30NDxLldyf66fwo0km1t8ybPRSZVbeQpGxOawilymZ_hUFPI79cL9Y15EwffhwUtPejyq1XjYLUIyrH49HGdp89NZqfMs3G0htCgnn1dIP8kDOmZmJzja4XWqtbK_25zovmPpHvGptCf1pJB49AdWia8E6pYh3VVbpT82lVJdBqF3aIEg-', 'width': 3024}]",ChIJ-Xj5TcfywokRvxe6kyt7bJc,"{'compound_code': 'W47R+P8 Yonkers, NY, USA', 'global_code': '87G8W47R+P8'}",4.4,ChIJ-Xj5TcfywokRvxe6kyt7bJc,GOOGLE,"['restaurant', 'food', 'store', 'point_of_interest', 'establishment']",378.0,"1032 Yonkers Avenue, Yonkers",1.0,
