city,state,2020 census,2020 land area,location,lat,long
New York,New York,8804190,778.3 km2,40°40′N 73°56′W﻿ / ﻿40.66°N 73.93°W,40.66666666666666,-73.93333333333334
Los Angeles,California,3898747,"1,216.0 km2",34°01′N 118°25′W﻿ / ﻿34.01°N 118.41°W,34.016666666666666,-118.41666666666669
Chicago,Illinois,2746388,589.7 km2,41°50′N 87°41′W﻿ / ﻿41.83°N 87.68°W,41.833333333333336,-87.68333333333334
Houston,Texas,2304580,"1,658.6 km2",29°47′N 95°23′W﻿ / ﻿29.78°N 95.39°W,29.78333333333333,-95.38333333333334
Phoenix,Arizona,1608139,"1,341.6 km2",33°34′N 112°05′W﻿ / ﻿33.57°N 112.09°W,33.56666666666667,-112.08333333333331
Philadelphia[e],Pennsylvania,1603797,348.1 km2,40°00′N 75°08′W﻿ / ﻿40.00°N 75.13°W,40.0,-75.13333333333334
San Antonio,Texas,1434625,"1,291.9 km2",29°28′N 98°31′W﻿ / ﻿29.47°N 98.52°W,29.466666666666665,-98.51666666666668
San Diego,California,1386932,844.1 km2,32°49′N 117°08′W﻿ / ﻿32.81°N 117.13°W,32.81666666666667,-117.13333333333334
Dallas,Texas,1304379,879.6 km2,32°47′N 96°46′W﻿ / ﻿32.79°N 96.76°W,32.78333333333333,-96.76666666666668
San Jose,California,1013240,461.8 km2,37°17′N 121°49′W﻿ / ﻿37.29°N 121.81°W,37.28333333333333,-121.81666666666666
Austin,Texas,961855,828.5 km2,30°18′N 97°45′W﻿ / ﻿30.30°N 97.75°W,30.3,-97.75
Jacksonville[f],Florida,949611,"1,935.5 km2",30°20′N 81°40′W﻿ / ﻿30.33°N 81.66°W,30.33333333333333,-81.66666666666667
Fort Worth,Texas,918915,888.1 km2,32°47′N 97°20′W﻿ / ﻿32.78°N 97.34°W,32.78333333333333,-97.33333333333331
Columbus,Ohio,905748,569.8 km2,39°59′N 82°59′W﻿ / ﻿39.98°N 82.98°W,39.98333333333333,-82.98333333333333
Indianapolis[g],Indiana,887642,936.5 km2,39°46′N 86°08′W﻿ / ﻿39.77°N 86.14°W,39.766666666666666,-86.13333333333334
Charlotte,North Carolina,874579,798.5 km2,35°12′N 80°50′W﻿ / ﻿35.20°N 80.83°W,35.2,-80.83333333333333
San Francisco[h],California,873965,121.5 km2,37°43′N 123°02′W﻿ / ﻿37.72°N 123.03°W,37.71666666666667,-123.03333333333332
Seattle,Washington,737015,217.0 km2,47°37′N 122°21′W﻿ / ﻿47.62°N 122.35°W,47.61666666666667,-122.35
Denver[i],Colorado,715522,396.5 km2,39°46′N 104°53′W﻿ / ﻿39.76°N 104.88°W,39.766666666666666,-104.88333333333334
Oklahoma City,Oklahoma,681054,"1,570.1 km2",35°28′N 97°31′W﻿ / ﻿35.46°N 97.51°W,35.46666666666667,-97.51666666666668
Nashville[j],Tennessee,689447,"1,232.3 km2",36°10′N 86°47′W﻿ / ﻿36.17°N 86.78°W,36.16666666666666,-86.78333333333333
El Paso,Texas,678815,669.3 km2,31°50′N 106°25′W﻿ / ﻿31.84°N 106.42°W,31.83333333333333,-106.41666666666669
Washington[k],District of Columbia,689545,158.2 km2,38°54′N 77°01′W﻿ / ﻿38.90°N 77.01°W,38.9,-77.01666666666667
Boston,Massachusetts,675647,125.1 km2,42°20′N 71°01′W﻿ / ﻿42.33°N 71.02°W,42.333333333333336,-71.01666666666667
Las Vegas,Nevada,641903,367.3 km2,36°13′N 115°16′W﻿ / ﻿36.22°N 115.26°W,36.21666666666667,-115.26666666666668
Portland,Oregon,652503,345.8 km2,45°32′N 122°39′W﻿ / ﻿45.53°N 122.65°W,45.53333333333333,-122.65
Detroit,Michigan,639111,359.2 km2,42°23′N 83°06′W﻿ / ﻿42.38°N 83.10°W,42.38333333333333,-83.1
Louisville[l],Kentucky,633045,841.5 km2,38°10′N 85°38′W﻿ / ﻿38.16°N 85.64°W,38.16666666666666,-85.63333333333334
Memphis,Tennessee,633104,769.2 km2,35°06′N 89°58′W﻿ / ﻿35.10°N 89.97°W,35.1,-89.96666666666667
Baltimore[m],Maryland,585708,209.5 km2,39°18′N 76°37′W﻿ / ﻿39.30°N 76.61°W,39.3,-76.61666666666666
Milwaukee,Wisconsin,577222,249.2 km2,43°04′N 87°58′W﻿ / ﻿43.06°N 87.96°W,43.06666666666667,-87.96666666666667
Albuquerque,New Mexico,564559,485.1 km2,35°06′N 106°38′W﻿ / ﻿35.10°N 106.64°W,35.1,-106.63333333333334
Fresno,California,542107,298.4 km2,36°47′N 119°47′W﻿ / ﻿36.78°N 119.79°W,36.78333333333333,-119.78333333333332
Tucson,Arizona,542629,624.2 km2,32°09′N 110°52′W﻿ / ﻿32.15°N 110.87°W,32.15,-110.86666666666666
Sacramento,California,524943,255.4 km2,38°34′N 121°28′W﻿ / ﻿38.56°N 121.46°W,38.56666666666667,-121.46666666666668
Mesa,Arizona,504258,359.2 km2,33°24′N 111°43′W﻿ / ﻿33.40°N 111.71°W,33.4,-111.71666666666668
Kansas City,Missouri,508090,815.1 km2,39°07′N 94°33′W﻿ / ﻿39.12°N 94.55°W,39.11666666666667,-94.55
Atlanta,Georgia,498715,350.4 km2,33°46′N 84°25′W﻿ / ﻿33.76°N 84.42°W,33.766666666666666,-84.41666666666667
Omaha,Nebraska,486051,345.0 km2,41°16′N 96°02′W﻿ / ﻿41.26°N 96.04°W,41.266666666666666,-96.03333333333332
Colorado Springs,Colorado,478961,506.1 km2,38°52′N 104°46′W﻿ / ﻿38.86°N 104.76°W,38.86666666666667,-104.76666666666668
Raleigh,North Carolina,467665,375.8 km2,35°50′N 78°38′W﻿ / ﻿35.83°N 78.64°W,35.833333333333336,-78.63333333333334
Virginia Beach[m],Virginia,459470,633.8 km2,36°47′N 76°01′W﻿ / ﻿36.78°N 76.02°W,36.78333333333333,-76.01666666666667
